@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[3]_max numeric
@attribute mfcc_sma[4]_amean numeric
@attribute mfcc_sma[5]_max numeric
@attribute mfcc_sma[6]_max numeric
@attribute mfcc_sma[6]_linregc2 numeric
@attribute mfcc_sma[7]_max numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_min numeric
@attribute F0_sma_amean numeric
@attribute F0_sma_skewness numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[4]_range numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_min numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_range numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute output {sexy,notsexy}

@data
-0.983861,9.820682,-3.353603,-0.081602,7.691665,-2.456992,13.07524,16.17664,-2.656956,14.74063,-1.278725,2.787177,-1.879497,-0.389003,0.00726,0.050184,0.132978,43.95189,2.281485,6.999126,5.370164,8.271866,-0.028486,-3.490999,3.703969,9.131119,0.000084,-0.132754,sexy
-0.723809,19.80731,0.290652,0.412677,17.07038,1.275683,17.02891,10.40189,-6.178885,12.81845,-2.797786,3.210864,0.445855,2.285135,0.007864,0.04133,0.140439,66.57,1.699662,6.370779,6.928555,8.772243,-0.08435,-3.822271,4.61746,8.079104,0.000049,-0.144691,sexy
-0.387052,13.48614,0.042159,-0.519379,13.96246,1.172596,19.25722,18.59019,2.174596,16.78924,-1.865426,3.302921,-1.477901,-1.914904,0.00363,0.047319,0.152461,50.54175,1.876104,8.03138,9.789839,7.383929,-0.359029,-3.618457,3.791507,8.701415,0.000116,-0.148749,sexy
0.771938,17.42898,0.776507,0.361038,22.39069,-1.373041,12.62265,20.75868,1.779963,22.27762,-2.610967,3.06884,-1.138997,-2.517915,0.003025,0.044458,0.106531,29.76816,2.569227,10.68642,8.835573,11.19185,0.524263,-5.59213,3.750057,15.51193,0.000104,-0.147707,sexy
0.105192,16.56816,-0.783984,0.249775,13.90778,-0.58802,14.20379,17.15807,-0.951189,10.25894,-1.433383,3.393046,1.99507,3.046472,0.00484,0.050992,0.150642,111.0089,0.912879,7.946269,6.281611,7.266472,0.113772,-4.11218,3.865567,7.624673,0.000124,-0.160721,sexy
-0.852482,16.17024,1.834821,-0.544291,12.92353,-1.601552,24.16836,16.85687,-0.628525,18.89816,2.183141,3.325548,1.528323,1.211627,0.00242,0.08136,0.12968,15.13083,4.430212,12.43663,11.69882,15.2756,0.098897,-6.159252,3.737592,10.73217,0.000312,-0.154558,sexy
2.264883,9.079722,-9.442593,0.267689,7.003237,-11.91823,2.580071,15.56689,-3.387475,15.30472,-0.300963,3.276032,-6.461175,-6.72614,0.011494,0.016506,0.177738,108.8996,0.945715,11.62285,8.745823,8.196301,0.12922,-4.338264,4.112152,6.483269,0.00001,-0.134326,sexy
-0.274372,3.064933,-8.388409,-0.154094,12.08239,1.703516,10.74482,12.75846,-3.30444,17.39922,3.221516,2.580568,-0.208311,1.100085,0.045977,0.051535,0.175066,12.94143,5.072994,4.96558,4.863017,5.532338,0.031546,-3.396037,3.311643,7.731586,0.0001,-0.122161,sexy
-0.416764,18.23732,-0.989616,-0.151187,19.72601,9.781506,25.19849,22.50968,6.070961,26.29554,5.717541,3.365061,0.914726,1.031803,0.004235,0.03536,0.154058,14.95282,4.615208,9.625591,7.83698,9.104725,-0.211425,-4.936703,4.25952,8.203815,0.000064,-0.119063,sexy
0.139436,7.062273,-5.185941,-0.566517,20.05395,2.185407,21.1361,25.30675,-4.019636,37.05114,4.104397,2.995091,2.870131,2.970909,0.00605,0.037858,0.140451,123.1396,0.762527,8.637291,9.243376,9.136038,-1.010902,-5.340488,4.901838,13.52252,0.000053,-0.186089,sexy
