@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.198438,0.000659,4.7647,6.382358,8.775917,8.665085,0.341638,0.360173,0.347501,2.05379,-886.273849,0.662866,0.793514,4.45238,0.228204,0.23383,0.193328,0.135319,0.041702,0.053043,0.058052,0.086014,0.062896,0.000199,0.12877,0.069891,0.10181,0.008291,0.000356,0.000292,0.145969,0.209995,1.006191,0.001208,0.013886,65.88336,4.301569,1.294458,0.580432,0.547769,0.878738,0.038046,35.25223,5.762383,399.2395,1.165299,0.030683,0.055718,0.13848,0.000394,0.004328,1562.66,1.446961,0,0.953396,0.093034,0,0.044462,0.001978,407.8473,99164.65
0.015173,0.000112,4.821541,6.837315,7.073966,10.643288,0.386739,0.408588,0.340073,2.102811,-509.428753,0.620093,0.880945,4.342939,0.219952,0.225168,0.199819,0.148233,0.040091,0.050069,0.057341,0.103011,0.065953,0.000062,0.135318,0.095266,0.037611,0.005338,0.00013,0.000071,0.155095,0.212722,1.004251,0.001002,0.003729,93.2996,5.970347,1.493186,0.599667,1.051099,0.88846,0.102779,45.39151,5.435485,937.4971,2.877023,0.047267,0.080098,0.736951,0.000303,0.024325,4143.758,1.718081,0,0.792943,0.097149,0,0.164294,0.004114,943.3942,373186.6
0.240562,0.000988,4.052596,4.884987,5.703334,7.233893,0.492133,0.469485,0.478147,2.209206,-23.035774,0.689245,0.841597,2.644724,0.243876,0.239588,0.189412,0.144879,0.032743,0.091246,0.082151,0.085407,0.034951,0.000186,0.112745,0.070176,0.062953,0.0138,0.00018,0.000156,0.165133,0.218056,1.010005,0.001342,0.016996,70.30323,5.159765,1.4514,0.800973,1.026072,0.896368,0.075166,41.86048,5.452721,301.1659,1.322021,0.03132,0.114751,0.438986,0.000297,0.006833,2471.677,0.89536,0,0.798269,0.098658,0,0.161143,0.004582,409.8483,150959
-0.042276,0.000183,4.825334,6.867987,5.459384,5.095331,0.269973,0.338637,0.38899,2.111245,-1028.923715,0.449945,0.69677,2.685034,0.220819,0.180092,0.143416,0.145874,0.023689,0.023642,0.041653,0.074378,0.028606,0.000117,0.122197,0.183618,0.009432,0.007825,0.000089,0.00006,0.160135,0.216728,1.002793,0.000878,0,56.70247,2.724938,0.982214,0.728427,0.434024,0.851869,0.040456,59.24251,8.028365,693.5154,0.917911,0.022222,0.238653,0.076077,0.000449,0.001716,2385.576,1.042009,0,0.892144,0.108636,0,0.096287,0.002958,433.8612,48483.68
0.075765,0.000422,4.341189,5.633154,8.287474,9.392565,0.404055,0.406799,0.401739,2.115803,-79.075247,0.5716,0.712587,3.829007,0.221362,0.219284,0.171885,0.161878,0.037277,0.046639,0.058689,0.064592,0.049765,0.000108,0.130096,0.083373,0.063168,0.003652,0.000128,0.000156,0.155519,0.214355,1.005333,0.001004,0.004146,71.08573,4.974395,1.413951,0.815748,0.929393,0.896711,0.062948,34.63769,5.507525,278.0982,0.894999,0.024164,0.141125,0.246291,0.000304,0.007345,1588.89,0.886482,0,0.891478,0.106362,0,0.096809,0.003078,549.6292,249757.1
0.004911,0.000245,5.775298,8.138108,9.769027,10.942723,0.257254,0.265273,0.279461,2.087438,-250.158517,0.543344,0.958987,4.868937,0.221072,0.203001,0.186263,0.138941,0.038132,0.052479,0.045905,0.071599,0.072062,0.000342,0.135052,0.118858,0.035664,0.005563,0.000189,0.000203,0.144472,0.210513,1.002916,0.00086,0.002017,72.06974,5.121593,1.459994,0.539863,0.576348,0.885515,0.101819,77.91722,4.81791,429.6544,1.577786,0.031036,0.084058,0.114181,0.000361,0.011022,7265.684,1.014652,0,0.89747,0.101232,0,0.092079,0.003215,1013.918,380354.5
0.059875,0.000441,4.373937,5.629547,6.428627,9.363428,0.433178,0.459993,0.430846,2.141867,-45.524587,0.546187,0.717422,3.490982,0.219522,0.221316,0.18437,0.131529,0.038311,0.04279,0.050173,0.06171,0.03041,0.000148,0.111986,0.070516,0.041147,0.005049,0.000199,0.000094,0.155078,0.216144,1.003957,0.00099,0.003469,78.00242,4.79563,1.341748,0.788695,0.978723,0.894195,0.068813,34.76049,5.988579,310.14,1.0262,0.019505,0.070313,0.18199,0.000201,0.009813,1413.99,0.695544,0,0.888149,0.114533,0,0.099406,0.004209,574.661,267190.7
-0.058021,0.00045,4.696495,5.078642,6.778746,7.677665,0.403767,0.412532,0.430589,2.131913,-133.443567,0.540864,0.801355,2.950108,0.230853,0.209238,0.176173,0.147367,0.022677,0.048655,0.046895,0.07144,0.012462,0.000136,0.11819,0.077067,0.036365,0.005064,0.00009,0.000087,0.154389,0.216738,1.005745,0.000982,0.002981,53.44902,3.84885,1.260444,0.822937,0.575452,0.892268,0.077897,57.86196,5.645246,118.5348,0.963942,0.033634,0.083301,0.11047,0.000268,0.00796,2902.375,1.184913,0,0.959388,0.117584,0,0.038989,0.003081,306.1563,112549.6
0.33589,0.000476,5.043207,6.86801,7.825488,8.150095,0.350539,0.388896,0.372047,2.144916,-65.090186,0.564225,0.668763,2.877631,0.212892,0.208218,0.182836,0.1347,0.042119,0.048947,0.061691,0.09565,0.07598,0.000153,0.102051,0.094676,0.110901,0.007267,0.000305,0.000267,0.158797,0.209872,1.007356,0.001355,0.017353,61.40929,4.452947,1.359669,0.733252,0.622534,0.895271,0.114497,104.8425,5.336399,339.6697,1.465998,0.029881,0.093664,0.244348,0.000178,0.006583,8022.2,0.701093,0,0.710386,0.071211,0,0.205875,0.00389,385.9735,177971.6
0.387673,0.000852,4.125287,5.785387,6.375387,8.869724,0.47457,0.473615,0.440494,2.115324,-122.669669,0.502886,0.786133,3.621545,0.229844,0.201855,0.202843,0.150707,0.044001,0.052851,0.058039,0.078032,0.106616,0.00015,0.095852,0.073619,0.108661,0.009169,0.000143,0.000116,0.155017,0.215119,1.007077,0.001093,0.016265,72.2017,5.101812,1.429485,0.693574,0.949247,0.901242,0.100439,40.19302,5.21081,203.7301,0.816447,0.01754,0.048838,0.346784,0.000158,0.009555,1790.921,0.416362,0,0.582557,0.067909,0,0.243346,0.005302,415.4262,110581.5
0.228326,0.000496,5.170927,6.246374,7.308539,10.329656,0.3929,0.350613,0.331024,2.120607,-77.241379,0.568998,0.940419,4.438298,0.201375,0.207108,0.198761,0.157245,0.038938,0.040223,0.045594,0.083379,0.045913,0.000111,0.107335,0.081187,0.043025,0.006756,0.000118,0.000091,0.15797,0.214874,1.00664,0.001164,0.006833,79.4244,5.639562,1.499299,0.562759,0.930956,0.899286,0.073101,45.997,5.053815,226.5646,0.91451,0.017345,0.038787,0.326145,0.000143,0.004569,1784.492,0.30653,0,0.697736,0.060492,0,0.211041,0.003221,643.2719,224720.1
0.237114,0.001453,3.870558,4.459079,5.625097,7.55995,0.541119,0.524724,0.504578,2.17966,-10.633003,0.641701,0.822895,2.643677,0.267337,0.249265,0.178597,0.129349,0.053844,0.068696,0.058677,0.080074,0.090455,0.0006,0.086182,0.065849,0.076854,0.006926,0.000838,0.000803,0.161542,0.21545,1.010351,0.001466,0.016635,56.42771,4.749098,1.498138,0.687445,0.607526,0.897175,0.057523,8.753585,4.250652,275.0023,0.525662,0.017243,0.01957,0.305169,0.00032,0.014571,242.8254,0.795421,0,0.292943,0.041978,0,0.207265,0.004776,561.6744,587392.9
0.154903,0.000001,4.615638,5.870795,8.608913,13.019415,0.537205,0.325577,0.233493,2.121107,-501.161425,0.500356,0.517607,5.039715,0.219205,0.186246,0.179098,0.128046,0.013854,0.023294,0.039632,0.055836,0.021586,0.000002,0.126616,0.065887,0.012092,0.007111,0.000004,0.000001,0.155656,0.221773,1.005006,0.000948,0.003186,83.93617,4.285546,1.237836,0.786353,0.939354,0.851129,0.120929,49.72443,6.892905,673.7519,1.436417,0.018075,0.014539,0.269905,0.000622,0.015775,1234.195,4.120183,0,0.697071,0.094064,0,0.211304,0.006442,672.7622,33170.01
-0.099445,0.000061,4.955601,5.854638,7.07246,8.367698,0.356204,0.348624,0.437747,2.119121,-56.179586,0.584864,1.006506,3.150579,0.216845,0.213199,0.168754,0.122502,0.039186,0.038768,0.034563,0.060188,0.057063,0.000015,0.091365,0.063273,0.029369,0.006168,0.000017,0.000017,0.153592,0.210961,1.003193,0.00089,0,104.8055,7.173139,1.651489,0.482749,1.262987,0.893088,0.12263,45.72392,4.881032,142.7638,0.753865,0.011319,0.003931,0.145795,0.000087,0.015412,1402.906,0.23954,0,0.996005,0.143344,0,0.003981,0.002391,1515.322,311859.7
0.338469,0.000747,3.721896,5.659944,6.053805,6.883543,0.574366,0.536087,0.497017,2.155349,-108.945045,0.514934,0.699224,3.117733,0.224482,0.204309,0.176988,0.128761,0.056879,0.080374,0.051089,0.078587,0.177828,0.00017,0.078893,0.066458,0.118134,0.009645,0.000115,0.000099,0.153282,0.216985,1.007726,0.001548,0.013384,50.19407,3.803924,1.262197,0.938257,0.504233,0.879948,0.04168,31.71769,5.532635,344.4299,1.378894,0.040465,0.071827,0.132744,0.000824,0.005159,2863.706,1.166429,0,0.921438,0.100287,0,0.072438,0.002873,198.287,65856.13
0.043856,0.000103,6.093207,7.520664,7.95831,10.054963,0.322397,0.28457,0.36214,2.094063,-441.088066,0.523145,0.71001,5.334433,0.214491,0.209964,0.191251,0.156527,0.039229,0.037195,0.040601,0.105689,0.096812,0.000035,0.139008,0.086691,0.101384,0.006854,0.000053,0.000044,0.151084,0.212049,1.014699,0.001819,0.026264,63.5801,4.268913,1.313858,0.654615,0.669686,0.892746,0.116039,98.63588,5.500593,255.3821,0.641416,0.011998,0.060797,0.244593,0.000315,0.012408,9322.252,0.645809,0,0.961385,0.109136,0,0.037149,0.002845,434.2232,104816.5
0.48381,0.001821,4.703559,6.038531,6.509526,7.939575,0.417477,0.395783,0.34059,2.163488,-53.635726,0.544031,0.838841,3.310114,0.24908,0.230864,0.200157,0.173289,0.051083,0.062227,0.067965,0.083172,0.065826,0.000376,0.08663,0.076609,0.078354,0.006279,0.000166,0.000159,0.152641,0.212534,1.005742,0.001248,0.008124,66.24829,4.997484,1.456943,0.759177,0.951165,0.893543,0.030989,8.38335,4.975196,149.3183,0.61224,0.018425,0.118984,0.239006,0.000208,0.004521,320.8086,0.563682,0,0.64514,0.068459,0,0.229087,0.005027,411.9842,220497.8
0.298901,0.000153,4.839065,6.510482,7.104928,9.59711,0.356354,0.354235,0.315857,2.141518,-56.934994,0.586961,0.880515,3.996262,0.216368,0.221655,0.170457,0.142588,0.026628,0.042761,0.054406,0.072612,0.030128,0.000063,0.0798,0.063709,0.05563,0.0054,0.000077,0.000058,0.160277,0.21367,1.0062,0.00107,0.015247,67.94062,4.629351,1.347301,0.836511,0.951337,0.89722,0.097694,93.82027,5.904164,190.7658,0.840884,0.023362,0.097809,0.231502,0.000188,0.006393,5311.126,0.732759,0,0.830892,0.119269,0,0.140604,0.00507,326.6114,41291.87
0.540538,0.000482,3.869599,4.713983,4.97918,7.295729,0.470869,0.272822,0.431138,2.161664,-84.936866,0.631841,0.77111,2.432061,0.256621,0.23547,0.189893,0.13819,0.040774,0.039545,0.032701,0.076863,0.029988,0.000162,0.098932,0.072118,0.026004,0.005578,0.000116,0.0001,0.155716,0.217382,1.003998,0.000981,0.002094,80.90088,5.070135,1.403648,0.68926,1.080465,0.885804,0.119635,48.17831,5.481692,187.0269,0.545905,0.008763,0.031753,0.093385,0.000169,0.027115,7554.61,0.221055,0,0.768309,0.108489,0,0.178129,0.005648,863.592,172889.1
0.116778,0.000401,4.867095,6.498756,7.043425,8.764864,0.391152,0.389559,0.3687,2.174394,-9.409893,0.597206,0.974722,3.119039,0.24083,0.226663,0.20596,0.154222,0.045929,0.059934,0.07833,0.062646,0.056049,0.00012,0.106208,0.08831,0.093781,0.006602,0.000278,0.000219,0.156053,0.216817,1.006336,0.001189,0.008298,56.39578,4.24554,1.352042,0.982444,0.702665,0.885185,0.037955,15.53977,5.485128,261.2139,0.90924,0.036697,0.381262,0.373323,0.000274,0.005531,408.0181,2.287127,0,0.894141,0.103288,0,0.094716,0.003771,467.2167,336926.7
0.710269,0.000343,4.815565,7.892736,7.004999,8.268243,0.309143,0.364602,0.336806,2.103692,-275.528866,0.643614,0.963282,3.089095,0.231946,0.224468,0.206278,0.164535,0.046708,0.062227,0.06103,0.07972,0.049284,0.000064,0.141967,0.062964,0.077025,0.007047,0.000083,0.000063,0.1531,0.213631,1.007359,0.001371,0.00552,67.38805,4.673294,1.3823,0.696723,0.831796,0.887598,0.064479,34.28577,5.285085,370.2941,1.105439,0.029248,0.20076,0.526992,0.000268,0.006407,1553.799,1.135022,0,0.749001,0.09542,0,0.188124,0.004919,641.6491,307490.9
0.419316,0.001329,4.30693,4.967346,5.767344,7.624764,0.48675,0.460975,0.477095,2.12408,-70.454658,0.618035,0.763284,2.750853,0.215945,0.230542,0.19696,0.131356,0.04435,0.055001,0.053112,0.079351,0.060319,0.000177,0.084508,0.078438,0.056736,0.005837,0.000284,0.000233,0.150084,0.213866,1.005973,0.001015,0.014084,77.07664,5.858604,1.555059,0.556342,0.880119,0.89002,0.081711,26.84272,4.676983,240.1254,1.015141,0.019454,0.012793,0.296356,0.000112,0.010794,1017.431,0.223905,0,0.914115,0.078035,0,0.078561,0.002332,586.8905,146637.1
0.17005,0.000468,3.736888,4.377417,6.504672,7.398581,0.558659,0.534867,0.514047,2.115471,-79.842895,0.614108,0.844898,2.551056,0.202837,0.219172,0.165038,0.118397,0.024544,0.051624,0.061637,0.074203,0.111276,0.000066,0.086088,0.061357,0.100536,0.006208,0.00008,0.000071,0.152839,0.216151,1.005372,0.001002,0.003974,53.86766,4.078742,1.319983,0.885888,0.593831,0.898875,0.071232,34.48238,5.401264,66.08345,0.70483,0.028871,0.059934,0.080569,0.000214,0.006805,1203.015,0.785163,0,0.734354,0.097688,0,0.195208,0.005734,181.6252,27268.48
0.297451,0.000048,3.770341,5.001028,6.949796,9.739481,0.509187,0.525236,0.460276,2.070593,-217.071929,0.551153,0.751959,4.082717,0.245259,0.238923,0.185646,0.127224,0.05211,0.060828,0.05725,0.075701,0.066055,0.000012,0.089688,0.060015,0.067167,0.009981,0.000017,0.000014,0.150135,0.208664,1.014698,0.001986,0.030423,78.09007,5.742835,1.539548,0.652675,1.09022,0.89966,0.075276,11.53888,4.745753,785.8939,2.325569,0.035571,0.031331,0.663663,0.000172,0.016075,434.3514,0.942261,0,0.936751,0.125151,0,0.059288,0.003148,973.3515,724105.9
0.175107,0.000311,5.237841,6.486328,7.881888,7.734603,0.377495,0.352467,0.369748,2.076868,-624.033596,0.517454,0.71301,3.09671,0.213258,0.205916,0.182056,0.131011,0.0383,0.044914,0.038746,0.098518,0.079886,0.000115,0.102622,0.120675,0.068673,0.005416,0.000162,0.000138,0.147566,0.215293,1.004196,0.001005,0.004435,88.42677,5.226645,1.349311,0.777333,1.721504,0.894692,0.150451,99.49572,6.514719,743.9301,2.232665,0.038373,0.131285,0.713482,0.000169,0.018134,9668.657,2.493382,0,0.94008,0.128789,0,0.056367,0.003011,461.9515,151825.8
0.157962,0.000308,4.060086,5.426498,5.705758,8.647305,0.492699,0.501755,0.477541,2.143382,-25.174257,0.599722,0.784276,3.140436,0.243692,0.215408,0.185059,0.129255,0.035277,0.048491,0.049303,0.076537,0.085182,0.000101,0.112777,0.081416,0.060202,0.005201,0.000134,0.000113,0.157147,0.213894,1.008914,0.001229,0.01433,106.2832,7.217857,1.631662,0.580738,1.692769,0.898838,0.058115,15.99134,5.253603,529.5147,1.572997,0.017423,0.0285,0.646896,0.000076,0.007415,387.8395,0.443617,0,0.962716,0.134292,0,0.035917,0.002811,927.5588,336810.4
0.519566,0.000864,4.307302,5.372031,7.241899,13.864999,0.468864,0.470794,0.457203,2.113162,-74.418669,0.659963,0.80694,6.317575,0.219816,0.225895,0.185851,0.127885,0.040281,0.044237,0.042254,0.065328,0.037507,0.000141,0.12092,0.06608,0.027171,0.004906,0.000104,0.000086,0.15812,0.213052,1.004301,0.000979,0,89.24773,5.988419,1.507359,0.646648,1.366558,0.897745,0.081004,35.98466,5.349907,131.1557,0.422646,0.008306,0.024626,0.144231,0.000055,0.010952,2698.061,0.256515,0,0.994674,0.119474,0,0.005301,0.002712,709.4472,114403.2
0.569701,0.000358,4.65656,8.671806,7.260307,8.169096,0.468787,0.34192,0.333259,2.085896,-778.791992,0.511655,0.788167,5.206239,0.200806,0.184743,0.163517,0.138627,0.017072,0.025409,0.053083,0.074239,0.019309,0.000143,0.113604,0.082951,0.057821,0.006072,0.000156,0.000113,0.149046,0.211751,1.002505,0.000847,0,45.78023,2.819166,1.024593,1.217669,0.524536,0.876636,0.089715,72.47553,7.225896,58.38335,0.316511,0.013148,0.131985,0.084265,0.000259,0.005416,1606.593,1.208997,0,0.986019,0.109387,0,0.013795,0.002473,165.6033,15743.56
0.195492,0.000146,4.787892,6.9297,7.892654,9.553205,0.401588,0.321137,0.363161,2.084082,-261.700492,0.533623,0.750866,3.787177,0.209739,0.202759,0.179863,0.144061,0.034005,0.03713,0.052617,0.074594,0.039645,0.000044,0.085967,0.066245,0.033288,0.006049,0.000082,0.000047,0.150634,0.214411,1.003905,0.001012,0,91.89483,5.782643,1.474021,0.586733,1.072195,0.895182,0.114124,48.98869,5.409048,169.2002,0.766087,0.013022,0.018994,0.151841,0.000146,0.01235,3065.986,0.2542,0,0.872836,0.1218,0,0.111067,0.004486,986.9171,141423.5
0.010632,0.000975,5.537171,5.249202,4.902402,5.965497,0.351028,0.369367,0.305505,2.084124,-772.038411,0.413886,0.70374,2.174416,0.206438,0.184547,0.153083,0.118304,0.017479,0.030164,0.0329,0.061389,0.034367,0.000145,0.09286,0.091184,0.040929,0.007945,0.000085,0.000069,0.154371,0.223601,1.002376,0.000807,0,59.5527,3.349912,1.111825,0.720684,0.695533,0.885843,0.122317,98.24827,6.935206,87.16301,0.360236,0.011807,0.051325,0.065387,0.000233,0.005506,2460.107,0.581387,0,0.840879,0.09339,0,0.133891,0.002899,223.1218,10706.03
