@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.504918,-0.31587,0.000505,0.000604,7.296106,0.324183,0.417123,0.382447,0.383691,2.117698,11.622741,0.000554,0.720569,0.877003,5.232869,0.167828,0.13696,0.031779,0.039473,0.02455,0.100418,0.091439,0.019654,0.007791,0.213937,1.005464,0.00106,0.29787,0.008448,74.07756,4.471299,1.295737,0.739356,0.843726,0.891708,0.110125,56.70349,6.21277,222.766,0.977022,0.022605,0.054331,0.232343,0.000203,0.01153,3319.124,0.933845,0,0.926764,0.09276,0,0.067917,0.002755,463.1903,49331.82
0.287976,-0.20337,0.000743,0.001145,5.586251,0.469997,0.489906,0.457822,0.474585,2.121933,8.565081,0.000655,0.717311,0.736649,3.054011,0.192027,0.12229,0.035119,0.044255,0.032561,0.119368,0.086211,0.054616,0.004088,0.215771,1.004373,0.000931,0.30343,0.003349,86.23743,5.753136,1.489,0.650693,1.278494,0.893091,0.091253,20.68446,5.243807,153.8355,0.405261,0.011892,0.024681,0.239909,0.000219,0.012676,645.9675,0.383629,0,0.597204,0.094082,0,0.240712,0.007055,788.4791,284465.9
0.832263,0.627353,0.00029,0.000388,2.732891,0.769287,0.782652,0.773955,0.803219,2.172815,3.336502,0.000128,0.625252,0.576114,1.619018,0.157692,0.156816,0.030345,0.066383,0.163669,0.134523,0.159877,0.184266,0.043818,0.224792,1.003006,0.000975,0.273727,0,19.32499,1.254788,0.612444,1.535525,0.235861,0.744747,0.02678,25.4719,13.34732,57.87852,0.347671,0.048792,0.221766,0.040955,0.003513,0.000678,275.7769,32.24794,0,0.484687,0.043471,0,0.249932,0.002764,87.89949,926.1678
0.170063,-0.038089,0.000058,0.000069,6.058673,0.333678,0.335944,0.356603,0.386109,2.094758,13.310595,0.000085,0.827497,0.870187,4.304783,0.181998,0.135764,0.043989,0.048373,0.047609,0.130545,0.119384,0.044933,0.005636,0.213481,1.005333,0.001059,0.264644,0.006865,76.29934,4.960308,1.393443,0.64882,0.900108,0.892465,0.078962,34.56361,5.513985,190.388,0.581706,0.016909,0.065257,0.349919,0.000246,0.009783,1527.758,0.744573,0,0.852197,0.085128,0,0.126041,0.003462,706.9303,187035.1
0.175733,-0.009984,0.000574,0.000649,6.37743,0.382896,0.354765,0.398033,0.38483,2.137626,5.852208,0.000847,0.901511,0.827099,3.742013,0.198274,0.168358,0.075317,0.100198,0.058555,0.088097,0.067648,0.072755,0.007506,0.215708,1.007655,0.001082,0.281286,0.013248,58.3774,4.800039,1.500067,0.685868,0.515104,0.878373,0.062624,30.69229,4.467125,373.1057,1.499211,0.056256,0.198794,0.295067,0.000313,0.008648,1958.672,2.360476,0,0.699734,0.084685,0,0.210246,0.005175,893.4026,1029342
-0.137062,0.009921,0.001039,0.001255,4.577844,0.431839,0.486473,0.528661,0.389394,2.106789,12.62943,0.000805,0.830627,0.798487,3.579704,0.169514,0.109005,0.033565,0.04356,0.028069,0.095463,0.069142,0.028822,0.004891,0.21382,1.003684,0.000873,0.28574,0,85.23017,5.160558,1.366817,0.744629,1.313009,0.907258,0.112168,49.38931,5.999699,60.94729,0.227626,0.005127,0.013357,0.092735,0.000103,0.011116,3022.533,0.150209,0,0.960719,0.146199,0,0.037763,0.003027,517.6716,33042.07
0.115821,0.019767,0.000248,0.000305,6.274232,0.368847,0.390681,0.404135,0.388588,2.076172,19.553547,0.000166,0.813916,0.716256,3.897682,0.167965,0.142523,0.043401,0.051573,0.051005,0.08229,0.072323,0.044522,0.006441,0.214983,1.003783,0.000891,0.280626,0,92.37813,5.72873,1.439459,0.604959,1.108629,0.898088,0.104519,62.92273,5.790703,344.0527,1.508727,0.033678,0.035818,0.22374,0.000143,0.01109,4494.583,0.961155,0,0.932756,0.100091,0,0.062764,0.003032,749.8167,176171.6
0.289727,0.098856,0.000374,0.000423,5.450573,0.455546,0.493109,0.462811,0.367129,2.060953,20.463939,0.000441,0.772694,0.73151,2.819649,0.173115,0.126186,0.044499,0.051178,0.042096,0.121984,0.091367,0.07368,0.005634,0.224305,1.004514,0.000969,0.281957,0.004802,75.69239,4.923649,1.38034,0.677035,0.954161,0.893799,0.125355,67.50518,5.525184,270.2414,1.282251,0.028687,0.030798,0.310677,0.00029,0.012678,6730.012,0.737424,0,0.585886,0.082977,0,0.242785,0.006293,604.7489,201119.7
0.290035,0.468842,0.00008,0.000049,4.782047,0.400169,0.387539,0.487269,0.515333,2.146436,9.272895,0.00008,0.79216,0.945702,2.917834,0.17581,0.144914,0.032972,0.068409,0.020241,0.106412,0.106709,0.071855,0.006875,0.218945,1.003979,0.00099,0.292754,0.002487,50.99379,3.052987,1.077554,1.048427,0.520412,0.860158,0.048921,40.59121,7.259663,260.0983,1.019813,0.042882,0.248517,0.101336,0.000333,0.005147,2748.629,4.235467,0,0.677763,0.094571,0,0.218546,0.00546,301.6354,44311.88
-0.307817,0.173063,0.000479,0.000848,6.284571,0.460572,0.475363,0.475049,0.353481,2.071773,26.124791,0.000252,0.696098,0.649846,3.867486,0.164648,0.114071,0.024186,0.037365,0.023131,0.083435,0.060038,0.007107,0.004143,0.211017,1.003057,0.000855,0.295695,0,88.63032,5.154164,1.364568,0.650946,1.134013,0.89857,0.177102,93.56625,5.844423,40.17737,0.208798,0.003823,0.005265,0.072092,0.000069,0.011966,4816.381,0.098796,0,0.91478,0.110007,0,0.078009,0.003931,796.4059,37463.34
