@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Volume numeric
@attribute mean_Complex_Tonal numeric
@attribute std_SpectralCentroid numeric
@attribute output {sexy,notsexy}

@data
0.835585,0.104694,44.87708,0.384322,2024.151,0.137243,118736,sexy
0.545184,0.247826,133.2849,0.425808,15660.79,0.129677,604507.6,sexy
1.126204,0.055156,31.58135,0.54896,1560.985,0.118643,129316.9,sexy
0.63787,0.107878,51.4607,0.150976,2330.807,0.134731,132379.8,sexy
0.536005,0.117691,108.1921,0.458444,7540.611,0.123525,33310.72,sexy
0.727573,0.075908,23.30746,0.547757,740.8825,0.11476,685266.9,sexy
0.717943,0.044018,18.19747,0.559158,460.1484,0.072278,961230,sexy
0.757469,0.076972,22.65021,0.305239,816.568,0.114677,150622.3,sexy
0.675308,0.065279,33.14859,0.118319,782.2298,0.106586,104479.1,sexy
0.583543,0.053047,29.50582,0.249139,1119.741,0.087177,208218.3,sexy
0.650397,0.157007,108.4963,0.325928,3816.26,0.138931,59176.08,sexy
0.747647,0.124442,188.7777,0.088192,13430.63,0.07759,13850.4,sexy
0.701826,0.191422,71.2267,0.357026,4862.791,0.10906,121300.5,sexy
0.801552,0.108517,109.6664,3.720493,12656.42,0.109572,150954.6,sexy
0.586684,0.03666,15.04376,0.340609,382.5348,0.092376,1154806,sexy
0.596657,0.0464,57.64626,0.270224,2346.786,0.106415,111259.8,sexy
0.776409,0.06158,31.3481,0.054292,796.7347,0.10486,233490.7,sexy
0.749133,0.149903,131.3424,0.310822,9867.55,0.088682,58514.73,sexy
0.753947,0.081529,30.71259,0.141327,780.2956,0.104268,221885.6,sexy
0.5347,0.045296,15.53245,0.392729,496.0838,0.103291,411609.9,sexy
0.733375,0.062479,24.52263,0.471569,689.1227,0.050863,141714.4,sexy
0.795388,0.131034,102.95,0.427768,13866.97,0.112109,62752.65,sexy
0.709984,0.136873,108.3192,0.12363,4526.177,0.080295,242643.4,sexy
1.18535,0.031371,32.6795,0.280395,1719.571,0.102155,192425.3,sexy
1.103263,0.058653,111.6462,0.307057,13705.08,0.0828,16981.06,sexy
0.695387,0.06389,22.72517,0.23898,559.9665,0.120336,282530.6,sexy
0.878565,0.043512,31.21806,0.236383,962.5031,0.057092,86671.88,sexy
0.763393,0.120768,89.0587,0.180962,4906.229,0.099858,481179.3,sexy
0.562834,0.087679,30.60083,0.476467,1860.19,0.110317,617875.5,sexy
1.030871,0.023869,14.2237,0.679785,363.3592,0.090126,17318.72,sexy
0.63881,0.090716,41.55257,0.351328,5667.921,0.116125,609875.5,sexy
0.588521,0.107947,46.08124,0.197738,6671.445,0.099596,131152.3,sexy
0.728808,0.09014,44.2836,0.519531,2817.74,0.093344,649456,sexy
0.627294,0.079676,55.94243,0.473718,1632.296,0.080105,209391.9,sexy
0.738679,0.100962,60.2186,0.195091,1956.333,0.106262,41291.53,sexy
0.804571,0.056961,16.25792,0.279913,818.3182,0.057264,1750122,sexy
0.650377,0.072077,36.8707,0.497085,1580.137,0.117134,280630.8,sexy
0.568235,0.067865,26.01524,0.475048,1397.586,0.107424,277721,sexy
0.909073,0.027772,30.22013,0.155109,1496.588,0.114526,124636.9,sexy
0.685868,0.062624,30.69229,0.295067,1958.672,0.084685,1029342,sexy
0.656089,0.066322,59.05139,0.524229,3809.849,0.081121,183713,sexy
0.585766,0.158312,112.6777,0.056489,9720.354,0.105915,56306.24,sexy
0.954573,0.03563,13.29329,0.402302,522.3408,0.096825,270738.3,sexy
0.651108,0.061877,53.43473,0.391898,2777.503,0.082702,134659.7,sexy
0.646776,0.10133,89.07375,0.164098,7934.891,0.101524,160679.6,sexy
0.741507,0.163718,190.6958,0.068372,16459.69,0.090646,18488.19,sexy
0.64251,0.057901,61.78395,0.168665,1660.019,0.117116,36920.28,sexy
0.810462,0.053,57.05487,0.235595,5561.796,0.091145,84341.52,sexy
0.83397,0.07254,29.51966,0.264603,1094.5,0.114546,125957.5,sexy
0.593353,0.084499,77.31068,0.487697,4779.639,0.094624,77277.08,sexy
0.717681,0.060523,38.94518,0.213774,1247.399,0.095518,80182.93,sexy
0.563864,0.192411,203.8761,0.177637,49600.34,0.082723,129698.9,sexy
1.535525,0.02678,25.4719,0.040955,275.7769,0.043471,926.1678,sexy
0.928107,0.106898,70.80996,0.588568,5874.338,0.108812,301667.6,sexy
0.576965,0.026111,7.589173,0.414171,139.7192,0.095632,469191.3,sexy
0.787779,0.101462,163.5986,0.047472,13012.4,0.090627,72431.34,sexy
0.616174,0.125394,42.25528,0.1408,1643.071,0.079037,151680,sexy
0.705554,0.097582,74.27493,0.619027,7745.31,0.075763,74567.67,sexy
1.043559,0.043868,31.96061,0.23497,1157.262,0.057837,31490.6,sexy
0.50844,0.152905,89.60992,0.277678,3962.449,0.108098,157727.1,sexy
0.654681,0.03482,14.10262,0.203418,774.0589,0.098598,123131.6,sexy
0.559927,0.099031,75.8483,0.307591,5087.774,0.08677,511069.7,sexy
0.68008,0.041117,40.03062,0.185705,1925.202,0.025602,303071.3,sexy
0.662353,0.095575,43.84103,0.087906,1902.994,0.115796,106456.3,sexy
0.768625,0.069484,74.08862,0.096534,2306.078,0.118869,52146.39,sexy
0.501883,0.088394,19.1526,0.498681,748.7452,0.105002,1885721,sexy
0.943364,0.08265,81.70352,0.207477,6194.889,0.107111,162965.6,sexy
0.682857,0.091296,62.05649,0.413797,2963.434,0.074386,215206,sexy
0.790158,0.121189,136.3998,0.227287,14048.89,0.102214,21647.02,sexy
0.527027,0.040247,36.23513,0.113918,1047.608,0.039747,104578.4,sexy
0.615741,0.051058,20.70731,0.184678,805.263,0.112885,287998.6,sexy
0.534256,0.158071,89.87533,0.17377,4497.013,0.092255,176611,sexy
0.582753,0.076187,28.48663,0.72486,981.0485,0.104749,827310.7,sexy
0.633474,0.044071,9.627559,0.193236,220.2527,0.036039,330710.8,sexy
0.669986,0.069013,39.45985,0.498293,2284.232,0.122009,134177.3,sexy
0.634897,0.307195,181.5544,0.357598,79061.52,0.047103,273149.3,sexy
0.615371,0.118527,72.29633,0.381852,5170.808,0.116003,319349.7,sexy
0.52333,0.118618,50.74228,0.124492,1624.838,0.155025,284345.2,sexy
0.789458,0.054912,22.49888,0.428267,781.2474,0.086671,280042,sexy
0.554379,0.146406,59.68251,0.130944,3470.006,0.124082,253030.3,sexy
0.604959,0.104519,62.92273,0.22374,4494.583,0.100091,176171.6,sexy
0.485255,0.134412,173.7205,0.074092,15123.79,0.120114,309914.2,sexy
1.067395,0.040017,27.99628,0.290918,859.2067,0.103218,48633.66,sexy
0.667832,0.169141,147.7518,0.241293,15105.69,0.095738,136984.6,sexy
0.729361,0.063008,83.69317,0.155931,6015.114,0.130821,319476.8,sexy
0.578325,0.056567,6.555793,0.691751,203.0758,0.087385,1426030,sexy
0.656212,0.07162,24.54117,0.588508,838.7431,0.112201,205374,sexy
0.650747,0.111443,87.91311,0.183202,6147.693,0.117828,1018020,sexy
0.730883,0.050631,22.44412,0.713881,1235.522,0.093636,1147589,sexy
0.902222,0.057084,13.68404,0.207325,419.0549,0.126772,193916.7,sexy
0.533343,0.090053,62.01995,0.075115,2251.866,0.09851,224446.4,sexy
0.692687,0.09093,52.76116,0.297306,3400.919,0.118783,522420.7,sexy
0.739356,0.110125,56.70349,0.232343,3319.124,0.09276,49331.82,sexy
0.902057,0.065342,28.31942,0.465134,1521.363,0.058919,1185110,sexy
0.827975,0.125884,58.17204,0.198892,2124.469,0.105396,249537.7,sexy
0.613107,0.038964,7.947888,0.134231,98.82701,0.066125,376529.2,sexy
0.63055,0.071784,39.28129,0.132333,1136.274,0.111215,101384.7,sexy
0.64882,0.078962,34.56361,0.349919,1527.758,0.085128,187035.1,sexy
