@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[3]_max numeric
@attribute mfcc_sma[6]_max numeric
@attribute mfcc_sma[6]_linregc2 numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[10]_kurtosis numeric
@attribute mfcc_sma[12]_min numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute pcm_zcr_sma_min numeric
@attribute voiceProb_sma_min numeric
@attribute voiceProb_sma_skewness numeric
@attribute F0_sma_amean numeric
@attribute mfcc_sma_de[3]_min numeric
@attribute mfcc_sma_de[3]_range numeric
@attribute mfcc_sma_de[4]_max numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_min numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {sexy,notsexy}

@data
-0.487915,-0.143351,-1.430082,12.71704,19.10152,-3.795832,-0.251891,3.718342,-19.87513,-1.659388,-0.763626,0.007864,0.146029,0.750326,87.07429,-3.161398,7.671369,6.639894,0.286912,-5.485708,0.000119,-0.577662,sexy
-0.387052,0.043844,0.042159,13.96246,18.59019,2.174596,-1.865426,3.302921,-15.64006,-1.477901,-1.914904,0.00363,0.152461,1.191696,50.54175,-5.076489,9.789839,4.276623,-0.359029,-3.618457,0.000116,-0.318647,sexy
0.334972,-3.16896,-0.148147,19.98708,14.14555,-0.862679,1.518097,2.833915,-15.09479,-3.087418,-3.393811,0.009074,0.136343,1.502391,15.55314,-4.36516,6.724322,3.531627,0.197484,-4.638928,0.000078,-0.46693,sexy
0.145282,-1.041396,-2.156547,16.46722,10.68972,-3.777419,-0.014442,3.545972,-15.67283,-2.631439,-2.229715,0.00726,0.142279,0.732912,18.8691,-3.094382,7.364006,3.718089,0.143191,-4.342475,0.000078,-0.526533,sexy
0.501349,-1.039924,-1.672609,19.5769,28.33336,2.675725,-0.532241,2.756083,-20.13215,-1.618921,-1.624812,0.005445,0.132738,1.014436,65.00121,-6.434831,10.92231,5.750975,-0.411545,-5.777782,0.000286,-0.44713,sexy
-0.350548,0.607589,1.154166,10.95496,13.29481,-4.934681,-6.173325,3.139724,-12.70283,-0.899329,-1.145487,0.009679,0.137132,1.23201,27.12852,-2.874711,6.551072,3.24986,0.208741,-3.593314,0.00004,0.088401,sexy
-0.753631,6.118035,5.211206,22.21143,13.3713,-0.09674,-4.455033,2.993114,-18.3629,-3.01794,-0.227709,0.00363,0.155292,1.017103,30.0643,-3.897141,7.2885,3.971545,0.758448,-3.781523,0.000136,-0.90503,sexy
0.420203,5.911184,9.586528,24.65647,17.59457,3.668992,0.69136,5.075505,-16.33887,3.459305,7.721115,0,0.127305,0.979654,34.97221,-4.140323,8.681076,5.271171,-0.574453,-4.261301,0.000338,-0.613793,sexy
-0.42913,4.073262,5.868051,23.42273,23.45139,1.125176,2.530665,3.209027,-17.98104,-0.452281,-3.532608,0.00484,0.14701,0.628926,78.94368,-5.701169,11.77331,5.725753,0.028399,-6.452121,0.000709,0.028198,sexy
-0.158038,3.220861,8.654341,21.66889,25.08352,5.456947,-1.180342,3.056774,-15.85118,-0.591585,-0.272217,0.00484,0.124622,0.565812,44.88807,-6.142154,11.55429,3.937376,0.779511,-6.817543,0.000067,-0.5476,sexy
-0.752505,-6.076955,-6.187461,15.48268,13.69355,0.828496,-4.140157,3.231793,-21.74687,-3.325467,-3.451283,0.016939,0.130646,1.077107,66.17134,-2.74099,6.063483,4.37996,-0.152792,-4.494276,0.000222,-0.106839,sexy
0.31245,-4.67018,-4.386868,11.7281,19.22625,-1.197975,-2.593317,3.249713,-19.16078,-3.285571,-3.944369,0.008469,0.140143,1.9823,25.68948,-3.82564,10.51128,6.922014,0.408432,-5.038826,0.000408,-0.630024,sexy
-0.482879,-3.110695,-6.281109,12.00324,18.34695,0.202093,-1.371241,2.977629,-11.7127,0.170071,-1.04302,0.00605,0.130262,2.537014,5.458714,-3.728754,7.007886,3.903233,0.269061,-3.551558,0.000265,-0.371726,sexy
0.312663,-2.179142,-1.426116,16.16957,10.43116,-6.739241,-4.35137,3.126202,-25.95632,2.552308,4.992059,0.005445,0.133079,0.601853,101.324,-3.484699,10.16864,5.248284,0.275829,-4.523435,0.000118,-0.903077,sexy
0.298676,2.338218,1.544431,8.859799,8.323181,-3.393369,-3.636477,3.929467,-21.0745,-5.843692,-5.217953,0.008469,0.153142,0.749517,85.73872,-4.353373,9.694456,4.08936,-0.303231,-5.806668,0.000131,-0.267558,sexy
-0.553141,-0.975937,0.10726,12.59052,14.60476,4.694956,5.49286,3.425142,-9.065472,1.692029,1.972499,0.010889,0.139483,1.963379,0,-1.95578,4.046728,2.623403,-0.081198,-3.316018,0.000127,-0.019281,sexy
-0.543725,3.152658,2.613867,16.29328,17.25933,1.202174,2.045875,3.651948,-15.585,0.69316,1.485108,0.00605,0.134369,0.634595,83.73507,-4.616801,7.753113,3.106527,-0.20866,-5.142615,0.000031,-0.448626,sexy
0.020009,0.647509,-4.11942,6.237254,16.47243,-0.611642,-1.13244,3.602612,-20.14992,-0.90149,-0.621455,0.00363,0.127764,0.838583,67.07673,-3.529265,6.821617,3.303207,-0.077835,-4.059317,0.000088,-0.182403,sexy
0.325194,6.975667,7.259907,22.902,12.90096,-3.020611,-2.13147,3.381156,-12.02378,1.806849,0.660983,0.004235,0.135913,0.764431,28.11594,-5.325591,8.595228,4.20026,0.322294,-3.16522,0.000118,-0.316285,sexy
0.029865,-1.398015,-0.315539,18.73281,30.34564,-0.659199,0.203787,3.195609,-17.72163,-2.471056,-3.64376,0.007864,0.105076,0.899031,35.34909,-5.241327,10.86877,3.865613,0.054318,-6.099741,0.000353,-0.42786,sexy
-0.398953,-7.815289,-6.131784,15.90582,21.61263,0.656331,-4.373892,2.828352,-20.64091,-4.115922,-2.632248,0.006655,0.159817,0.053122,122.0297,-4.143525,9.089835,4.731884,0.407904,-4.652675,0.000073,-0.151662,sexy
0.607733,-3.347277,-1.070919,14.71651,23.41692,-0.558173,-1.129948,3.341949,-28.45008,1.425294,0.29566,0.00363,0.104895,0.183879,164.4513,-5.889235,11.61353,6.24451,0.476652,-5.562102,0.000125,-0.305186,sexy
-0.981712,2.306171,7.334826,13.60502,7.796051,-5.594558,-6.17383,3.05371,-15.84367,-1.17468,-0.042506,0.013309,0.151,0.27625,79.3025,-3.774455,8.666795,4.144174,0.046515,-3.584666,0.000106,-0.105494,sexy
-0.257961,-0.387635,1.534562,23.34118,12.71245,-5.669891,-3.299771,3.187394,-19.50619,0.608257,0.471424,0.009074,0.126516,0.18396,122.2419,-6.168336,9.969846,5.175028,-0.479521,-3.381149,0.000043,-0.09224,sexy
0.039851,-3.338318,-3.789233,7.804039,11.95931,-3.226043,2.033668,2.898445,-17.80603,-6.063014,-5.64851,0.051422,0.139057,1.691942,4.746822,-2.591172,5.757146,3.020449,0.40834,-3.190644,0.000085,-0.32856,sexy
-0.741312,-4.907989,-6.729835,15.7674,21.49976,1.51078,-4.607356,3.455494,-16.57876,-2.378966,-0.635329,0.013914,0.128095,0.73123,91.29353,-2.984828,6.642133,4.569536,0.211927,-4.587152,0.000247,-0.327825,sexy
-0.659145,-3.781443,-3.938756,18.07252,14.69078,-1.085435,-1.382199,3.230313,-20.71428,-2.092841,-2.22418,0.009679,0.134178,0.963389,35.13378,-3.403696,7.389264,4.409434,0.108808,-3.491919,0.000203,-0.272225,sexy
0.596156,4.325566,3.197076,17.44088,14.50864,4.163876,2.454155,2.619536,-13.62381,-2.80981,-1.278839,0.00605,0.140556,1.032151,4.468741,-4.663562,8.015369,3.969648,-0.314924,-4.856706,0.000044,-0.728512,sexy
0.12765,-3.168344,-1.440277,21.42326,19.94682,-3.850683,4.53133,4.552028,-18.62474,-0.608859,-0.964297,0.00363,0.136383,0.299702,102.8553,-4.67707,10.35312,5.521466,-0.234108,-6.221581,0.00003,-0.380707,sexy
0.277741,-0.750471,5.496133,14.49984,18.21293,-0.120977,0.726615,2.94279,-17.62371,-3.207515,-2.685537,0.00726,0.106418,0.666444,71.88692,-5.042126,9.006092,3.25193,-0.162808,-4.793592,0.000031,-0.38159,sexy
-0.967316,3.184376,1.739051,23.1701,24.81612,0.351018,-3.890873,3.367876,-13.82186,-1.245479,-1.759382,0.00605,0.138172,0.796056,48.10869,-5.73762,11.1573,5.197083,-0.197047,-4.226008,0.000121,-0.492574,sexy
-0.417231,4.157679,4.107093,16.38478,16.56307,1.47312,-3.162099,2.867916,-17.42756,1.982341,0.33645,0.004235,0.167805,1.054618,64.82008,-4.062482,8.093349,4.528497,-0.072068,-3.988826,0.000021,-0.209866,sexy
-0.866084,-9.86025,-8.68056,13.75128,17.03398,-13.80395,-6.60872,2.813118,-16.00902,-3.509773,-4.64622,0.019359,0.131025,0.34721,81.20632,-6.391224,11.69234,4.125673,0.082067,-4.303056,0.000176,0.225558,sexy
-0.471586,1.020991,-2.33806,14.56635,14.57218,0.992623,1.124293,2.72842,-12.85376,2.149851,1.775285,0.005445,0.110685,1.098742,30.13356,-5.92861,9.781034,3.452363,0.061792,-3.452115,0.000105,-0.118631,sexy
0.552894,-3.595431,-2.911311,8.433076,12.67618,-5.714619,-5.920868,3.496544,-26.48738,-1.07644,-2.789655,0.017544,0.126875,0.881495,68.06803,-6.88848,11.26796,4.200046,-0.060323,-4.13893,0.000149,-0.532364,sexy
-0.603056,-4.616135,-6.632281,14.01916,10.10879,-3.116621,-2.460999,3.041895,-10.98458,-0.194059,0.211918,0.006655,0.151566,0.473361,101.5755,-2.794486,6.849079,4.017026,0.336866,-2.476166,0.000071,0.102493,sexy
-0.443732,-2.740022,-0.984477,16.82912,19.42585,3.811427,1.913519,4.201414,-11.12034,6.637713,5.965506,0.00363,0.136401,0.641413,100.195,-4.641338,7.964763,5.230902,-0.041553,-5.710347,0.000103,-0.069279,sexy
-0.328379,12.61683,15.38873,16.67437,20.02798,-2.709816,-0.882862,2.666484,-23.29161,-8.692584,-13.76635,0.006655,0.198457,0.263158,136.7149,-3.929448,6.44321,4.895179,-0.183264,-4.823067,0.000002,0.959973,sexy
0.280325,-0.292018,-1.209769,22.76826,16.36726,0.750812,0.499078,4.500312,-11.00978,1.489977,2.261378,0.004235,0.138721,1.511654,40.56052,-6.374022,9.896286,4.39535,-0.018954,-4.944889,0.00007,-0.37634,sexy
-0.810337,-1.131854,1.596445,9.564076,16.8095,-2.662685,-4.909154,3.068702,-20.93446,-3.053395,-1.587842,0.004235,0.140483,0.761011,47.90688,-4.229763,9.330853,5.48456,0.098081,-5.472726,0.000448,-0.203102,sexy
0.940181,3.424486,3.158005,14.18925,17.73707,-3.219886,-2.528679,3.412919,-15.32982,-2.419337,-3.451424,0.00363,0.1425,1.967188,13.96282,-3.681434,8.005543,5.035025,0.049639,-3.951258,0.000165,-0.01448,sexy
-1.018,0.348148,1.4193,10.00039,16.34685,0.538687,-0.132751,3.542102,-11.12546,0.065203,0.409299,0.005445,0.145839,1.368466,37.67737,-2.973166,5.512477,4.505707,0.129167,-4.247439,0.000041,0.146342,sexy
-0.52052,-0.935171,-4.575513,20.09443,34.63574,-2.01449,2.144762,2.645094,-14.8983,1.173812,-0.167978,0.003025,0.128405,0.752416,43.93783,-5.348882,12.54464,6.368186,0.090869,-5.284813,0.00017,0.063678,sexy
-0.680849,-1.196939,-5.304523,9.588412,8.123277,-9.869014,-8.187074,3.372948,-16.55505,-2.158387,-1.021883,0.016334,0.162741,0.919271,76.33887,-3.531242,6.924304,2.893735,-0.04253,-3.888161,0.000068,-0.224984,sexy
-1.066997,1.758563,0.766848,15.2296,5.873587,-7.326278,-8.891232,2.786728,-15.32552,-2.794636,-2.652384,0.00484,0.127732,0.302666,0,-3.243516,7.798399,3.462262,0.421604,-3.630408,0.000114,-0.514017,sexy
-0.739048,1.195673,1.498939,17.2839,17.53094,5.394519,1.863196,4.459976,-19.89188,-1.405739,-1.872893,0.005445,0.141981,0.620463,115.041,-4.00549,8.408527,4.063146,0.043223,-4.992126,0.000045,0.128638,sexy
0.339875,-7.511293,-7.945868,15.49686,8.705531,-4.223931,-0.261403,3.143947,-19.06474,-5.573557,-8.221134,0.026013,0.140297,0.974407,18.55643,-3.546978,6.002854,3.8058,-0.165341,-4.448131,0.000087,-0.751151,sexy
0.137513,1.003786,0.997912,7.811588,14.48041,-5.880156,-2.009388,3.640107,-21.14383,-2.225004,-1.209298,0.00605,0.133686,0.533256,65.88758,-3.228341,7.810768,4.21894,0.035042,-5.286565,0.000165,-0.451619,sexy
0.711169,1.463724,-3.039727,10.23253,12.14595,-8.57982,-6.427707,3.366519,-15.08879,-0.787449,-2.975197,0.00605,0.132236,1.94059,11.70605,-4.161307,10.4736,5.498102,0.467765,-3.315997,0.00057,-1.034065,sexy
0.77415,-0.902278,-2.59577,23.19161,20.94909,2.906319,3.019927,3.293282,-12.10738,0.090704,-0.774894,0.005445,0.13437,1.416946,23.48488,-3.995149,8.519215,4.130038,0.013212,-4.933131,0.000106,-0.261849,sexy
-0.471802,-10.20232,-11.94992,11.4056,13.63914,0.693498,1.94389,2.987774,-14.45826,-1.549865,-1.884845,0.031458,0.155581,1.070114,36.11566,-4.867533,8.474826,3.568179,-0.073419,-3.152266,0.000039,0.01812,sexy
-0.000307,1.067279,2.101257,19.95316,8.85193,-3.782655,-0.354608,3.454315,-24.13956,-4.996196,-4.968672,0.00363,0.14367,0.948258,36.29556,-4.492184,7.900596,4.343297,0.295532,-4.111348,0.000055,-0.20694,sexy
-0.06456,-1.466903,0.863989,12.72727,18.95418,3.439494,3.969158,3.060884,-20.37127,0.03345,-1.230696,0.00484,0.131297,1.397611,0.807221,-2.661988,7.055858,3.828712,-0.141852,-5.261075,0.000116,-0.091554,sexy
-0.897115,-2.183102,-2.26791,6.437531,12.69518,-0.935447,4.549732,2.81578,-14.24354,-0.705442,0.010993,0.009679,0.15635,0.984159,62.10832,-3.559729,6.287379,3.840795,0.154774,-3.730762,0.000023,0.009283,sexy
-0.252274,1.632771,2.786326,13.89785,18.11521,-3.620886,-4.117169,3.385382,-16.77057,0.668758,0.249461,0.00363,0.121902,0.668919,77.96036,-5.483792,10.78633,6.091199,0.638837,-4.019,0.0001,-0.616846,sexy
-0.240026,6.214957,5.644876,13.55514,18.78325,2.920159,-2.703599,3.568434,-10.85876,1.483527,2.061901,0.00363,0.143841,1.20407,37.97025,-3.63369,8.334854,4.868543,-0.057012,-5.107015,0.000134,-0.635267,sexy
-0.331078,-3.567877,-5.613446,23.61062,20.50206,-0.506137,-2.5455,3.715655,-16.83205,3.149721,4.906429,0.00363,0.133229,0.7603,81.388,-5.833036,10.16546,9.213635,0.020558,-6.745221,0.000325,-0.840037,sexy
-0.551694,-3.210992,-3.939869,6.825645,18.80721,3.841548,0.747125,2.788546,-11.76671,2.366841,4.433534,0.010284,0.178412,0.556115,78.93852,-2.900326,5.175277,2.24687,-0.015142,-4.211546,0.000012,0.124669,sexy
-0.408343,2.391417,4.365737,14.65237,8.68996,-3.011042,-3.715721,2.835385,-8.543839,3.389424,3.111318,0.007864,0.144876,1.052973,32.23847,-2.567356,5.644536,2.81904,0.073674,-2.76736,0.000052,0.334211,sexy
0.427947,-2.606777,-2.634093,15.69296,12.06798,-0.187187,-1.482997,3.201011,-14.80579,-2.58646,-2.778114,0.027828,0.128699,1.2961,13.50374,-3.764053,7.132689,2.725814,0.047667,-3.698228,0.000136,-0.410081,sexy
-0.745575,1.420256,0.226382,20.36587,24.55569,-2.757338,-1.239932,3.240803,-22.99417,-2.50455,-6.632222,0.00363,0.099732,0.379211,107.0472,-5.93925,10.52491,5.510653,-0.239379,-8.440021,0.000088,0.163469,sexy
