@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicSpread2 numeric
@attribute BeatHisto_NumMax numeric

@data

0.175733,-0.009984,0.000574,0.000649,6.37743,0.382896,0.354765,0.398033,0.38483,2.137626,5.852208,0.000847,0.901511,0.827099,3.742013,0.198274,0.168358,0.075317,0.100198,0.058555,0.088097,0.067648,0.072755,0.007506,0.215708,1.007655,0.001082,0.281286,0.013248
-0.137062,0.009921,0.001039,0.001255,4.577844,0.431839,0.486473,0.528661,0.389394,2.106789,12.62943,0.000805,0.830627,0.798487,3.579704,0.169514,0.109005,0.033565,0.04356,0.028069,0.095463,0.069142,0.028822,0.004891,0.21382,1.003684,0.000873,0.28574,0
0.115821,0.019767,0.000248,0.000305,6.274232,0.368847,0.390681,0.404135,0.388588,2.076172,19.553547,0.000166,0.813916,0.716256,3.897682,0.167965,0.142523,0.043401,0.051573,0.051005,0.08229,0.072323,0.044522,0.006441,0.214983,1.003783,0.000891,0.280626,0
0.289727,0.098856,0.000374,0.000423,5.450573,0.455546,0.493109,0.462811,0.367129,2.060953,20.463939,0.000441,0.772694,0.73151,2.819649,0.173115,0.126186,0.044499,0.051178,0.042096,0.121984,0.091367,0.07368,0.005634,0.224305,1.004514,0.000969,0.281957,0.004802
0.290035,0.468842,0.00008,0.000049,4.782047,0.400169,0.387539,0.487269,0.515333,2.146436,9.272895,0.00008,0.79216,0.945702,2.917834,0.17581,0.144914,0.032972,0.068409,0.020241,0.106412,0.106709,0.071855,0.006875,0.218945,1.003979,0.00099,0.292754,0.002487
-0.307817,0.173063,0.000479,0.000848,6.284571,0.460572,0.475363,0.475049,0.353481,2.071773,26.124791,0.000252,0.696098,0.649846,3.867486,0.164648,0.114071,0.024186,0.037365,0.023131,0.083435,0.060038,0.007107,0.004143,0.211017,1.003057,0.000855,0.295695,0
0.354517,0.308416,0.0001,0.000148,6.237409,0.4166,0.413892,0.413759,0.463462,2.11107,10.25678,0.000092,0.835628,0.804679,3.924673,0.207913,0.182929,0.062506,0.062058,0.035525,0.118708,0.106494,0.045251,0.00819,0.215967,1.006101,0.001178,0.289033,0.004684
0.226734,-0.027649,0.000037,0.000044,5.918865,0.376403,0.369223,0.400463,0.387263,2.094809,11.824587,0.000057,0.810902,0.933335,3.883029,0.188131,0.156797,0.050638,0.057321,0.054115,0.110091,0.067352,0.048463,0.00699,0.21208,1.006048,0.001321,0.239459,0.005333
0.33589,0.089017,0.000326,0.000476,6.86801,0.350539,0.388896,0.372047,0.364272,2.144916,6.431889,0.000453,0.754203,0.668763,2.877631,0.171435,0.1347,0.048947,0.061691,0.07598,0.102051,0.094676,0.110901,0.007267,0.209872,1.007356,0.001355,0.3114,0.017353
-0.108173,0.072689,0.000508,0.000515,6.582695,0.523762,0.47986,0.437223,0.460657,2.110473,13.730686,0.000343,0.842735,0.744487,2.768265,0.164134,0.155686,0.054992,0.052861,0.047389,0.095806,0.063523,0.022398,0.007336,0.215133,1.005574,0.001053,0.277811,0.003059
