@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute output {groovy,notgroovy}

@data
1.383737,0.900197,60.1676,0.099633,groovy
1.52051,0.884619,30.30431,3.539508,groovy
1.125629,0.853202,40.03062,0.185705,groovy
1.358764,0.892788,56.2608,0.350248,groovy
1.382382,0.896079,56.57391,0.291281,groovy
1.506969,0.886433,29.78062,0.313515,groovy
1.588032,0.897354,72.60608,0.105975,groovy
1.538005,0.882735,8.971026,0.398309,groovy
1.35533,0.886108,31.58313,0.658754,groovy
1.390453,0.899578,49.94713,0.125322,groovy
1.491781,0.902373,52.34997,0.181575,groovy
1.527338,0.893158,41.41837,0.290488,groovy
1.379948,0.88732,57.60642,0.212614,groovy
1.446182,0.89697,206.9978,0.502551,groovy
1.473875,0.902871,35.54516,0.347584,groovy
1.417793,0.890486,28.22275,0.483367,groovy
1.300137,0.892346,31.42633,0.212935,groovy
1.448234,0.893968,71.46583,0.174707,groovy
1.48248,0.893218,40.17536,0.507603,groovy
1.683495,0.89385,6.187799,0.262861,groovy
1.386295,0.893738,18.42734,0.101833,groovy
1.461546,0.899787,11.13676,0.099847,groovy
1.323795,0.887714,5.028753,0.226422,groovy
1.447275,0.889254,47.59159,0.273041,groovy
1.479816,0.904499,18.68084,0.466095,groovy
1.508415,0.901262,79.31436,0.562736,groovy
1.454847,0.903042,67.17496,0.625436,groovy
1.28149,0.884067,87.56451,0.110613,groovy
1.469469,0.900497,16.60452,0.217722,groovy
1.35193,0.887809,59.57647,0.276072,groovy
1.367227,0.898292,39.23351,0.371087,groovy
1.472538,0.905851,25.32725,0.160873,groovy
1.389107,0.892355,31.18024,0.773441,groovy
1.426338,0.877561,14.11833,1.038429,groovy
1.619931,0.897193,13.63463,0.916986,groovy
1.420495,0.893266,56.35651,0.164884,groovy
1.504073,0.895698,38.0801,0.356801,groovy
1.373233,0.899847,78.79455,0.420136,groovy
1.216664,0.899272,24.01791,0.241623,groovy
1.49747,0.89981,38.43682,0.306421,groovy
1.506652,0.899886,38.95444,0.214142,groovy
1.474021,0.895182,48.98869,0.151841,groovy
1.509078,0.899457,74.62584,0.154531,groovy
1.606282,0.902384,33.33801,0.387896,groovy
1.318972,0.893386,27.40705,0.288971,groovy
1.683975,0.895066,84.14694,0.225987,groovy
1.57542,0.8868,6.555793,0.691751,groovy
1.41859,0.892986,18.17033,0.1862,groovy
1.591407,0.900171,24.48051,0.18824,groovy
1.527184,0.896015,35.94139,0.456658,groovy
1.421547,0.895842,42.28607,0.148332,groovy
1.37054,0.897256,64.89687,0.173342,groovy
1.4283,0.899148,35.69291,0.287289,groovy
1.693062,0.878416,42.32003,0.086215,groovy
1.656878,0.895167,50.74228,0.124492,groovy
1.18513,0.881428,29.95699,0.154478,groovy
1.409806,0.897282,57.39074,0.178112,groovy
1.311784,0.891368,9.485722,0.179372,groovy
1.396143,0.906973,66.70624,0.392201,groovy
1.58434,0.894539,37.66644,0.07519,notgroovy
1.547191,0.893295,44.15475,0.12293,notgroovy
1.396702,0.894943,14.96793,0.339992,notgroovy
1.297576,0.880362,33.43679,0.323089,notgroovy
1.322379,0.884163,24.13971,0.08231,notgroovy
1.263663,0.893843,21.97851,0.233099,notgroovy
1.503183,0.898451,50.13089,0.41221,notgroovy
1.503183,0.898451,50.13089,0.41221,notgroovy
1.357732,0.885763,62.36436,0.055958,notgroovy
1.357732,0.885763,62.36436,0.055958,notgroovy
1.325035,0.893491,28.58048,0.292614,notgroovy
1.50014,0.903362,134.4754,0.308257,notgroovy
1.363813,0.90106,91.45646,0.146364,notgroovy
1.68917,0.888046,16.89071,0.612431,notgroovy
1.297793,0.889071,194.6522,0.1997,notgroovy
1.515703,0.901034,72.52674,0.194326,notgroovy
1.515703,0.901034,72.52674,0.194326,notgroovy
1.472095,0.887452,42.70353,0.202295,notgroovy
1.472095,0.887452,42.70353,0.202295,notgroovy
1.472095,0.887452,42.70353,0.202295,notgroovy
1.167944,0.872514,102.7687,0.528224,notgroovy
1.206695,0.869605,79.75022,0.133998,notgroovy
1.141491,0.870555,148.7198,0.065014,notgroovy
1.566753,0.901047,70.85562,0.138672,notgroovy
1.117917,0.853981,170.6964,0.075699,notgroovy
1.117917,0.853981,170.6964,0.075699,notgroovy
1.117917,0.853981,170.6964,0.075699,notgroovy
1.467258,0.896982,48.97509,0.147366,notgroovy
1.530552,0.891726,22.26867,0.342053,notgroovy
1.19045,0.886827,84.52229,0.111354,notgroovy
1.19045,0.886827,84.52229,0.111354,notgroovy
1.19045,0.886827,84.52229,0.111354,notgroovy
1.393443,0.892465,34.56361,0.349919,notgroovy
1.148567,0.8664,101.0439,0.116929,notgroovy
1.148567,0.8664,101.0439,0.116929,notgroovy
1.148567,0.8664,101.0439,0.116929,notgroovy
1.334113,0.889492,39.45985,0.498293,notgroovy
1.334113,0.889492,39.45985,0.498293,notgroovy
1.350592,0.889334,85.31716,0.133694,notgroovy
1.350592,0.889334,85.31716,0.133694,notgroovy
1.256977,0.887835,86.04478,0.056229,notgroovy
1.474498,0.893766,64.39119,0.092103,notgroovy
1.474498,0.893766,64.39119,0.092103,notgroovy
1.201058,0.87723,169.8052,0.292617,notgroovy
1.508952,0.890292,15.7461,0.485705,notgroovy
