@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {groovy,notgroovy}

@data

0.043914,-14.33313,0.427947,17.18437,-0.853113,-1.361464,11.75144,3.18042,-2.371166,3.201011,12.4801,3.463013,0.153034,0.002131,0.590937,5.160051,0.128699,0.638633,0.303988,0.112029,1.2961,0.038945,0.00005,6.007553,0.000007,5.839383,-3.745046,6.671038,0.001063,0.54133,2.725814,891,-0.006352,0.821564,0.047667,1.048795,1.432702,1.017408,-0.141424,0.000745,-0.410081,-0.000018,groovy
0.016167,-8.12639,0.137513,10.60905,-3.385473,-4.949192,15.09644,2.840953,1.1768,3.640107,25.67038,3.223126,0.076413,0.002503,3.458523,25.58411,0.133686,0.786368,0.398959,0.172643,0.533256,0.048355,-0.000004,7.097082,-0.000002,6.28012,-4.002047,7.540452,-0.00051,0.842808,4.21894,187,0.249975,1.031366,0.035042,1.201767,1.416846,2.122478,-0.188771,0.001893,-0.451619,-0.000068,groovy
0.061579,-12.08653,-0.525168,9.513472,-2.819117,-1.962209,21.59634,2.877495,-0.143052,3.09102,16.47319,3.168498,0.116733,0.001735,1.094253,5.314163,0.144427,0.614506,0.336978,0.134259,0.910218,0.035769,0.000031,7.764315,0,5.780078,-2.536486,5.008248,-0.000145,0.407164,3.623184,236,0.395753,0.932377,0.34947,1.147947,1.25473,1.120926,-0.120672,0.000773,-0.476864,-0.000044,groovy
0.074098,-17.78358,-0.114133,12.04787,0.274673,-0.118363,18.42305,2.916765,-1.788232,3.087361,7.421968,3.535151,0.1886,0.009148,0.193458,1.905759,0.128073,0.504741,0.21761,0.067699,2.294051,0.088247,0.000086,4.857399,0.000004,4.591269,-5.357753,8.914946,0.002695,1.873828,3.633907,326,-0.069797,1.628123,-0.96683,1.62024,2.123388,1.249317,-0.111208,0.000341,0.109882,-0.000002,groovy
0.044729,-9.965527,0.873591,18.90782,-1.251799,-0.082366,13.49525,3.035914,4.680973,3.398124,20.61471,3.006615,0.082585,0.00323,1.439725,5.945154,0.145663,0.634697,0.33665,0.119887,0.930851,0.034645,0.000057,5.51305,-0.000001,4.716144,-3.190905,8.197123,0.002671,0.702299,5.320097,673,0.775703,1.284043,0.341424,1.74572,1.739318,1.755049,-0.104935,0.00075,-0.187787,-0.000027,groovy
0.023418,-6.767065,0.323021,12.85877,-0.020586,0.592147,15.82621,3.167158,-3.43513,2.953712,14.59862,3.306405,0.072163,0.003143,1.870004,8.509697,0.102864,0.761564,0.398815,0.151586,0.551167,0.037727,0.000011,6.177519,0.000008,5.038132,-4.2682,9.594795,0.001989,1.220194,4.135733,1067,0.170225,1.527108,-0.180786,1.47343,1.49582,1.293901,-0.158629,0.001508,-0.330459,0.000017,groovy
0.025699,-12.97929,-0.037442,23.92298,-2.576573,-3.32657,23.91887,2.942566,-1.202911,2.82177,15.01435,2.947196,0.134146,0.010471,1.403687,5.251475,0.134762,0.736957,0.378143,0.154016,0.734379,0.048029,0.000026,6.873148,0.000012,5.170538,-4.227417,11.13689,-0.002944,1.928192,5.610004,1133,-0.066309,4.002937,-0.202748,2.116665,2.547877,1.806911,-0.174161,0.001716,-0.334982,-0.000063,groovy
0.024797,-5.449091,0.625365,7.97422,-5.837967,-7.490864,17.72416,3.134738,-1.514588,2.802629,11.71453,2.672762,0.04327,0.00056,0.913285,4.373985,0.114209,0.602364,0.343525,0.109484,0.699916,0.026488,0.000009,8.336173,0.000001,5.805797,-5.008615,8.296644,0.000581,1.14406,3.553912,736,0.589848,1.213078,0.149552,1.314742,1.34173,1.143195,-0.11244,0.000897,-0.645332,-0.000026,groovy
0.031482,-6.402926,0.692749,13.97323,-3.166509,-3.831875,12.84216,2.613093,0.050342,2.74827,18.28161,3.067859,0.075698,0.001707,1.397872,7.490393,0.129848,0.775148,0.400429,0.194057,0.808066,0.051,-0.000032,5.524033,-0.000003,6.987438,-4.152318,9.607177,0.002579,1.37208,5.57218,155,0.596639,1.211431,0.190338,1.770666,1.835873,1.171446,-0.17582,0.001318,-0.667668,-0.000111,groovy
0.037069,-11.28983,0.427253,22.21086,0.420528,-3.212727,26.13014,3.081089,-0.84854,2.831044,16.52937,3.08923,0.116151,0.005042,0.543872,2.586704,0.118771,0.744658,0.395875,0.156203,0.476323,0.063984,-0.000046,5.403112,-0.000007,5.677287,-6.755015,11.42488,-0.000681,1.11286,4.917635,1766,-0.004342,1.367082,0.095749,1.906659,1.78531,1.314343,-0.134273,0.001195,-0.067575,-0.000088,groovy
