@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {groovy,notgroovy}

@data

0.025549,12.42958,2415,-9.074225,-0.433954,13.84801,-2.652817,14.15638,3.147995,3.255963,-5.309753,2.883684,2.936627,2.975606,0.00484,15.59358,0.713876,0.14818,1.055452,0.000023,14.17673,0.000003,5.124192,9.315344,-0.003283,1.041638,1.020609,0.915642,0.079833,0.000007,1.082433,0.182295,1.251829,1.472684,0.000002,0.012301,16.44011,-0.174034,0.001107,0.083143,groovy
0.012111,17.85105,2071,-3.728909,-0.594002,21.65643,1.131427,21.05571,2.807303,2.726627,-3.426136,2.887724,3.152636,3.618387,0.005445,17.30581,0.640031,0.098395,0.588154,0.000004,14.16921,0.000006,5.976814,7.108961,-0.001365,0.547239,0.739756,0.646787,-0.560001,-0.000002,0.818255,-0.322487,0.808749,0.952683,0.000002,0.00482,10.77583,-0.119087,0.000528,0.036771,groovy
0.02571,4.526324,915,-7.475313,0.023411,10.64308,-3.815975,13.43186,2.733917,3.052014,-2.606246,3.393435,3.422511,3.17173,0.013309,6.31914,0.743212,0.156119,-0.127492,0.000024,6.832505,0,5.057939,6.929258,-0.001737,0.553691,0.744104,0.815922,0.153239,-0.000006,0.939015,-0.148614,1.044811,1.660826,0,0.006924,10.01978,-0.118941,0.001258,0.185536,groovy
0.029596,3.538308,2408,-8.207793,-0.080085,17.44155,-0.806095,10.65584,2.859049,3.117251,-3.268386,3.356307,3.230935,3.052096,0.037508,4.728952,0.704211,0.166991,0.361773,-0.00001,7.041702,0.000002,7.867834,7.506478,-0.000594,0.690673,0.831079,0.648827,-0.08364,0,0.886176,-0.005279,0.874999,1.269857,0.000001,0.006452,4.967384,-0.157501,0.001416,-0.055064,groovy
0.017527,10.67952,1696,-4.329283,-0.665298,26.14977,0.021023,14.95651,2.849131,3.07898,2.120075,3.153475,3.029514,3.417505,0.00363,11.60952,0.775243,0.20425,0.402802,0.00001,15.20145,0.000002,5.612029,10.21526,-0.001424,0.864416,0.929742,0.539229,1.075391,-0.000002,0.928458,-0.189349,0.911809,0.916975,0,0.006288,14.80527,-0.163137,0.001231,0.251954,groovy
0.031108,3.183521,837,-6.263223,0.623252,12.7441,1.548635,14.14807,3.653625,4.0762,-1.20963,3.516679,5.004056,3.159457,0.005445,5.088108,0.621094,0.111386,1.347434,-0.00001,4.814808,0.000003,6.879539,6.965911,0.003634,0.704291,0.839224,0.715012,0.442274,-0.000001,0.919901,0.460717,0.856264,1.154219,0,0.007631,7.040649,-0.128552,0.000675,0.019062,groovy
0.005243,5.027411,2690,-1.940805,0.0773,15.55574,1.935016,13.32426,3.527477,3.77632,0.501213,4.515655,3.999951,4.435144,0.00484,4.136022,0.802072,0.209064,0.804737,0.000009,9.444544,0.000001,4.515814,10.23186,0.004552,1.018711,1.00934,0.852237,-0.093663,0.000003,1.226004,-0.403128,1.378491,1.303632,0,0.003915,5.594622,-0.164134,0.001123,0.172419,groovy
0.04084,3.673132,336,-6.402926,0.692749,13.97323,-3.831875,12.84216,2.613093,2.855903,0.050342,2.74827,3.067859,3.154527,0.004235,7.490393,0.775148,0.194057,0.808066,-0.000032,5.524033,-0.000003,6.987438,9.607177,0.002579,1.37208,1.171366,1.014175,0.596639,-0.000006,1.211431,0.190338,1.318089,1.835873,0.000001,0.009396,11.04823,-0.17582,0.001318,0.166325,groovy
0.072028,6.852737,2967,-13.7728,-0.210072,18.61449,-3.409698,21.73794,3.326757,2.661314,-3.679822,3.252736,2.717577,3.064082,0.006655,5.99403,0.695009,0.150614,1.115816,0.000019,6.714725,-0.000001,3.79869,7.259257,0.000879,0.83915,0.916053,0.668173,0.395135,-0.000003,0.910797,0.257282,1.22188,1.163068,-0.000006,0.014238,7.165948,-0.14327,0.001126,0.078384,groovy
0.025764,3.59586,427,-10.05431,0.101704,25.09454,3.932492,18.99336,3.282468,3.551332,-0.31851,3.675615,3.026526,3.10512,0.005445,6.803271,0.702026,0.135454,0.652554,-0.000014,7.701565,0.000001,4.345984,9.108635,0.000291,1.285246,1.133688,0.914259,-0.179873,-0.000007,1.626989,0.190188,1.961276,1.756882,0.000002,0.010897,8.833071,-0.13585,0.00138,-0.081949,groovy
