@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.113236,0.085594,0.44118,0.42578,0.39568,0.650574,2.032861,0.032675,0.999105,0.291684,0.60893,0.924865,0.738955,0.214671,0.213756,0.169692,0.162567,0.146349,0.03484,0.064798,0.352325,0.203786,0.196324,0.246098,0.641434,0.112909,0.103063,0.081533,0.232378,0.077545,0.000228,0.033098,11982.727886,24.937183,56.75,0.581632,1.00814,0.001333,0.461438,65.60885,5.015622,1.45298,0.749435,0.729011,0.895577,0.066873,38.39197,5.071299,241.2347,1.181491,0.033327,0.084412,0.203941,0.000161,0.005585,1779.397,1.043248,0,0.905459,0.113988,0,0.08566,0.0038,507.7664,355300.3
0.04678,0.08029,0.512592,0.477376,0.48937,0.582416,1.960541,0.028022,0.719651,0.289934,0.627487,0.804556,0.762652,0.212399,0.194838,0.159714,0.148633,0.118896,0.032037,0.034538,0.643379,0.213007,0.194749,0.294449,0.51005,0.115994,0.082091,0.092424,0.370223,0.090308,0.0002,0.028197,8610.448706,25.79419,52,0.587688,1.005083,0.000884,0.483918,49.41284,3.350961,1.152114,1.152544,0.575256,0.882239,0.065187,32.57035,6.320726,156.3651,0.680237,0.027035,0.173066,0.103786,0.0003,0.011991,2541.393,1.845228,0,0.992011,0.113108,0,0.007931,0.001876,197.9192,19887.13
0.119478,0.080557,0.417631,0.441038,0.398196,0.617073,1.942311,0.025637,0.837477,0.292873,0.495948,0.751642,0.758169,0.226797,0.212265,0.179272,0.169274,0.145221,0.026411,0.039546,0.247097,0.316931,0.185322,0.241853,0.509515,0.099685,0.101196,0.070858,0.210757,0.102002,0.000046,0.024214,10516.812337,27.771104,57,0.565679,1.003359,0.000871,0.522789,80.63784,5.168942,1.398416,0.594576,0.970183,0.888173,0.052091,19.70302,5.600823,184.9922,0.910796,0.018567,0.027535,0.079262,0.00017,0.006384,658.9834,0.42598,0,0.929427,0.128813,0,0.065636,0.004033,620.668,65121.48
0.151095,0.080471,0.383825,0.430837,0.417666,0.59221,1.957993,0.026552,0.904975,0.276356,0.503901,0.875321,0.706307,0.211072,0.189457,0.16458,0.165689,0.137562,0.028978,0.028859,0.278358,0.263207,0.171873,0.269321,0.657861,0.098112,0.098958,0.08466,0.269939,0.080966,0.00005,0.035036,12847.094207,63.164182,79,0.549573,1.007013,0.001144,0.520882,87.91289,5.343727,1.40473,0.600908,1.060756,0.896865,0.075525,46.71865,5.726209,104.3567,0.463367,0.009639,0.013233,0.135424,0.000211,0.006634,1928.392,0.278081,0,0.848868,0.120295,0,0.128377,0.004721,779.0966,50493.91
0.145141,0.081871,0.374787,0.466706,0.461502,0.539496,1.990767,0.030739,0.84074,0.281484,0.663836,0.760497,0.955335,0.216518,0.220631,0.179156,0.171811,0.144157,0.040269,0.105959,0.233279,0.240968,0.188567,0.315101,0.545817,0.119754,0.094242,0.109773,0.207119,0.09291,0.000327,0.035999,11062.508422,50.630129,59,0.613727,1.009966,0.00171,0.387518,56.16579,3.797203,1.254359,0.733246,0.612881,0.880075,0.063423,41.69932,5.686969,165.6018,0.485682,0.015323,0.127936,0.324531,0.0006,0.005867,1525.176,0.938567,0,0.951398,0.092703,0,0.046271,0.002897,314.7423,59003.07
0.098378,0.088165,0.477281,0.457518,0.423676,0.58854,1.970054,0.034648,0.875462,0.287038,0.538364,0.836585,0.825784,0.211812,0.189049,0.171579,0.167866,0.151969,0.027443,0.031155,0.412051,0.212679,0.166055,0.220994,0.381514,0.126234,0.103077,0.083134,0.21439,0.087688,0.000146,0.024166,14157.408859,88.832217,62.5,0.533339,1.009712,0.001356,0.399427,72.96872,4.761854,1.34778,0.769556,1.002639,0.902097,0.135333,88.58662,5.817884,176.4672,0.97431,0.020733,0.017825,0.307983,0.000155,0.011809,10064.37,0.465534,0,0.8249,0.078104,0,0.144536,0.00353,379.514,28685.93
0.053804,0.088649,0.42651,0.459835,0.443934,0.573048,1.983084,0.034622,0.962549,0.292322,0.669128,0.848586,0.745507,0.242989,0.218545,0.186103,0.185401,0.175346,0.032737,0.038997,0.314746,0.259307,0.207751,0.333666,0.732494,0.126424,0.163447,0.106018,0.272326,0.186764,0.000038,0.043257,5227.466239,11.18799,59.5,0.609179,1.007008,0.001524,0.4107,57.54395,3.574767,1.153719,1.171584,0.853556,0.883183,0.042904,39.79175,6.750889,429.0712,0.863101,0.019366,0.292112,0.480344,0.000455,0.004966,3694.256,1.578773,0,0.926099,0.093825,0,0.068486,0.002378,232.2376,21336.33
0.162442,0.088254,0.416328,0.409826,0.404343,0.575296,1.972223,0.034301,1.139362,0.297386,0.636601,0.876381,0.784597,0.209225,0.200411,0.167375,0.16682,0.151896,0.030471,0.040479,0.337522,0.294808,0.17596,0.241297,0.503821,0.102391,0.100824,0.103762,0.267871,0.131709,0.000235,0.038308,15797.152916,70.554099,65,0.565338,1.007001,0.001047,0.455614,79.65654,5.138169,1.39622,0.649123,0.955763,0.896343,0.092372,55.41265,5.637908,243.6497,1.28471,0.031294,0.027949,0.229735,0.000309,0.006824,2731.961,0.739366,0,0.86751,0.121464,0,0.115013,0.004405,579.1583,115150
0.229123,0.080468,0.422491,0.461926,0.422547,0.657538,1.968097,0.026558,0.798277,0.281465,0.592367,0.746595,0.94166,0.229382,0.196599,0.185936,0.17929,0.144998,0.044287,0.053327,0.288504,0.151062,0.188643,0.266268,0.515789,0.104508,0.102925,0.1036,0.182084,0.09085,0.000082,0.039068,20317.416497,73.041998,60,0.580936,1.005504,0.000978,0.486755,91.70121,6.540439,1.600211,0.539067,1.130495,0.896778,0.089743,52.52333,4.858698,110.7348,0.642666,0.011278,0.012099,0.146952,0.000131,0.008746,4393.826,0.128479,0,0.917443,0.107688,0,0.075791,0.003726,1016.456,311853
0.177489,0.088571,0.397798,0.390888,0.302302,0.610124,1.956792,0.02833,1.255023,0.300427,0.571466,0.83223,0.877959,0.225805,0.220989,0.193141,0.174376,0.13992,0.06301,0.046221,0.282904,0.15622,0.183701,0.251995,0.401828,0.105572,0.088301,0.082447,0.220356,0.087894,0.000198,0.028757,11096.531074,38.711358,50,0.623844,1.006657,0.001135,0.536904,76.04378,5.081059,1.421614,0.635584,0.916192,0.895956,0.059229,15.54126,5.212549,191.069,0.52561,0.011527,0.026491,0.190964,0.000139,0.010108,459.4359,0.419894,0,0.870839,0.120417,0,0.112554,0.004095,740.4802,221418.3
