@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_maxPos numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.00443,0.004823,0.000033,2.627483,2.300005,-1.077807,-0.217982,1.089082,-4.274104,0.145511,0.000313,-1.744492,-1.075395,0.03819,0.043643,0.049696,27.31189,0.127927,1.163645,0,0.000997,1.083476,25.35418,11.74816,0.467002,8.013592,6.180068,0.816675,4.132327,884,-0.244152,6.645337,1.326701,-5.5911,10.00878,0.913406,0.953773,-0.000002,0.858704,-0.003123,0.000092,-0.145609,0.000449,-0.146681,2385,25.11368,sad
0.004388,0.003988,0.000018,3.541519,3.965526,-0.475265,-0.601126,-8.094959,-3.53632,-1.063274,0.000506,-2.130893,2.324537,0.031121,0.023341,0.028794,133.6594,0.163266,-0.127013,-0.000002,0.000595,1.297811,28.84052,11.91955,0.352891,10.61602,2.74878,0.37123,3.8515,2498,0.147738,6.450371,0.706169,-5.850755,9.52582,0.886972,0.718872,0.000004,0.636498,-0.003298,0.000044,-0.126984,0.000528,0.655506,981,6.950854,sad
0.00256,0.001585,0.000009,-1.83776,-0.416164,-1.678046,0.466562,-9.251522,-6.507187,-6.125893,0.000386,-0.734336,-3.638432,0.044531,0.034549,0.048276,35.82359,0.123992,0.528953,0,0.000487,1.060982,33.9922,9.338789,0.332962,6.958446,3.76025,0.606641,3.236002,2799,-0.207375,4.922731,0.761075,-4.423116,8.410105,1.034124,0.916736,0,0.792755,-0.001132,0.000099,-0.084559,0.000468,0.445891,2818,22.88441,sad
0.01647,0.015631,0.000112,-5.473521,-6.3068,0.027061,1.408901,-0.705012,-0.871241,-2.344657,-0.000396,3.052898,0.777086,0.077367,0.07385,0.052588,21.0086,0.155315,0.238675,0,0.001474,0.781961,14.73858,11.35375,0.289516,7.030383,2.413373,0.366376,3.216352,2767,0.137321,3.765018,0.916384,-3.877497,7.464819,0.825268,1.17089,-0.000007,0.891489,0.003838,0.000068,-0.135539,0.000615,-0.248511,2720,10.32106,sad
0.018049,0.011284,0.000146,-5.740151,-5.493319,-0.670156,0.366126,-0.323506,-4.017935,-7.350593,-0.000822,-0.237999,1.848629,0.047749,0.04474,0.049264,37.24795,0.151561,0.550571,0,0.002992,0.735898,16.25742,6.610136,0.594976,5.232629,3.635227,0.732932,5.027145,2962,-0.160024,4.970563,1.29563,-5.843751,10.858,1.404176,1.410812,0.000003,1.3881,0.000425,0.000135,-0.15449,0.00106,0.078562,2166,8.213006,sad
0.031135,0.03327,0.000382,-6.673822,-7.017858,0.043057,-0.47462,3.145908,-2.222309,-4.108938,0.000486,-4.685606,-0.577849,0.061308,0.063889,0.037797,8.653949,0.131071,0.875723,0.000013,0.004273,1.77887,12.14746,5.920507,0.862806,5.854744,3.384386,0.588611,4.117535,946,0.081766,3.374506,0.887773,-3.783077,7.44937,1.200318,1.080013,0.000003,1.057528,-0.001149,0.000076,-0.150767,0.000896,-0.915879,51,12.65615,sad
0.014729,0.013852,0.000075,-1.839023,-1.693874,-0.95319,0.991239,-3.108734,-5.016327,-3.850958,-0.001446,0.218599,-5.215637,0.050217,0.054227,0.03428,34.48611,0.181656,0.182629,0.000007,0.001211,0.737106,13.69009,11.9181,0.293305,5.494488,3.060621,0.386306,3.096322,220,0.047172,4.206259,0.708543,-3.871608,8.529767,0.948041,0.959846,-0.000007,0.918351,0.002559,0.00003,-0.096985,0.000534,-0.237864,660,7.921216,sad
0.024944,0.013001,0.000322,-6.800927,-6.460219,0.252121,-0.021075,-1.625308,-1.554402,0.012893,0.001058,-1.591877,-2.106904,0.07266,0.050997,0.047362,6.281266,0.123077,0.811752,0.000018,0.003599,1.180724,9.519568,7.60324,0.921183,4.582592,5.144446,0.696405,5.436246,2935,0.038009,4.370991,1.062549,-5.582081,9.282577,1.386664,1.097291,0.000001,1.136772,0.000691,0.00009,-0.144811,0.001064,-0.633214,701,9.469823,sad
0.017182,0.016903,0.000167,-5.67737,-6.61537,-0.98563,0.823554,-1.984442,-1.588524,-2.445921,-0.000044,-2.948353,-2.749009,0.067282,0.066505,0.055804,18.75434,0.148156,0.966979,0,0.003699,0.686167,11.13248,6.945454,0.642556,5.368969,3.694606,0.704362,3.732887,2603,-0.098883,4.463131,0.926099,-3.240013,7.290607,1.142028,1.005868,-0.000004,0.951404,-0.001232,0.000178,-0.150855,0.001022,-0.453458,967,9.588078,sad
0.018344,0.021692,0.00008,-2.503178,-2.669664,-0.015123,0.224674,2.655699,-2.715614,-4.75274,0.001577,0.266758,3.052236,0.045268,0.05216,0.02849,19.47013,0.205196,0.397537,0.000002,0.001536,-0.575811,28.49416,7.090599,0.603626,6.186353,3.608263,0.873897,3.639732,1763,-0.299169,4.768652,1.459584,-5.199135,11.18584,1.46463,1.183263,-0.000008,1.419229,0.001008,0.000025,-0.112946,0.000827,0.023168,583,5.118144,sad
