@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_17 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_Flatness numeric
@attribute BeatHisto_PeriodicCentroi2 numeric
@attribute BeatHisto_PeriodicSpread1 numeric

@data

0.040373,0.030104,0.065917,8.12965,-0.084433,0.000038,1.452834,3.711546,0.521754,0.104341,0.502678,0.030141,0.106088,0.818125,0.000047,0.197264,0.177429,0.187329,0.154983,0.153856,0.156004,0.149316,0.027102,0.362274,0.345786,0.318455,0.324182,0.318432,0.130757,0.123491,0.151834,0.187117,0.083908,0.13583,0.021421,0.042536,0.087901,0.148595,0.260019,0.036297,1.186426,0.097502,0.039481,0.04559,0.049793,0.207047,3863.853372,8.101099,10.144966,0.001498,0.567474,0.309301
0.029033,0.023454,0.032641,8.780967,-0.069585,0.000045,1.527895,4.084872,0.474587,0.09111,0.471549,0.006182,0.01517,0.750717,0.000024,0.196043,0.181197,0.170244,0.1369,0.163895,0.157359,0.153038,0.014332,0.519875,0.415867,0.228944,0.324198,0.298233,0.130644,0.15711,0.118593,0.105231,0.18318,0.178524,0.016969,0.030917,0.095014,0.151409,0.269269,0.009477,0.613084,0.16984,0.04818,0.058679,0.051141,0.207323,4022.363366,6.393841,10.528007,0.001523,0.576162,0.317059
0.041664,0.032067,0.04846,7.10277,-0.274658,0.000007,1.479222,3.870401,0.388912,0.107569,0.584055,0.020555,0.047454,0.728772,0.000007,0.197373,0.17629,0.185068,0.160107,0.159953,0.148202,0.138525,0.018469,0.492315,0.296039,0.219951,0.254256,0.310715,0.109002,0.113391,0.095983,0.104675,0.07085,0.065841,0.016887,0.032339,0.069716,0.141731,0.258574,0.030817,0.646857,0.108002,0.037645,0.037198,0.051232,0.207259,2461.12958,6.850856,4.600777,0.00147,0.529606,0.318042
0.073253,0.050466,0.103631,5.314602,-0.086712,0.000099,1.401705,4.576545,0.269059,0.166149,0.572129,0.023323,0.065069,0.673176,0.000048,0.218449,0.180438,0.181826,0.154457,0.161986,0.149572,0.14001,0.029875,0.24216,0.409373,0.532789,0.297078,0.344281,0.114693,0.122316,0.096891,0.180519,0.083269,0.079991,0.03624,0.035043,0.072076,0.138295,0.257771,0.024255,0.443379,0.105402,0.049497,0.03435,0.054429,0.197006,7408.861595,13.485668,16.252625,0.001606,0.564523,0.314725
0.047571,0.031492,0.057179,5.198343,-0.233034,0.000359,1.596251,3.960245,0.381474,0.10523,0.599158,0.026962,0.08475,0.703344,0.000308,0.225174,0.205548,0.189498,0.179001,0.170115,0.15428,0.145747,0.025667,0.440378,0.26873,0.250361,0.291953,0.347262,0.117024,0.14079,0.098958,0.097369,0.062608,0.059554,0.019804,0.040387,0.070047,0.14325,0.265905,0.031194,0.438848,0.083282,0.047648,0.036966,0.058326,0.203856,9273.968187,19.46271,21.83586,0.00155,0.55738,0.310716
0.064067,0.035119,0.069511,4.978276,0.184211,0.000789,1.409334,5.038623,0.449184,0.131802,0.576103,0.02002,0.0707,0.910842,0.000534,0.184392,0.190881,0.189414,0.161983,0.148544,0.168619,0.172344,0.028015,0.261921,0.217128,0.21498,0.222362,0.206361,0.098675,0.121052,0.093968,0.082981,0.077087,0.055101,0.022393,0.040626,0.080784,0.144149,0.260753,0.012864,0.421814,0.11825,0.041707,0.036132,0.056715,0.201094,15540.731165,36.244673,37.3552,0.001419,0.500003,0.305934
0.051671,0.037729,0.066767,7.160998,-0.179255,0.000247,1.515737,4.134222,0.316116,0.135717,0.528747,0.016264,0.047147,0.746683,0.000134,0.217274,0.197814,0.181092,0.163763,0.163524,0.156592,0.149564,0.026092,0.335708,0.302931,0.31778,0.255634,0.271757,0.113086,0.102002,0.103732,0.087416,0.056493,0.073223,0.019738,0.032825,0.066091,0.137436,0.25871,0.024573,0.572126,0.136413,0.044003,0.029572,0.051707,0.204058,8470.840005,23.268916,16.023138,0.00156,0.533182,0.322262
0.067168,0.042321,0.095585,4.741951,0.146313,0.000298,1.492831,4.110351,0.41269,0.136482,0.597997,0.026845,0.087674,1.076292,0.000273,0.220935,0.216445,0.202992,0.187348,0.194542,0.171549,0.171209,0.035949,0.258658,0.260147,0.220991,0.26545,0.269717,0.125251,0.122624,0.099855,0.083394,0.06628,0.051874,0.029166,0.042912,0.072045,0.138102,0.254764,0.012934,0.434459,0.105931,0.041749,0.041371,0.050617,0.201637,11912.005701,27.224678,20.348577,0.001445,0.533322,0.309519
0.065979,0.045884,0.093545,5.549439,0.210453,0.000178,1.471253,3.81524,0.378739,0.147803,0.590361,0.036017,0.09906,0.704145,0.000163,0.227124,0.208421,0.198939,0.168382,0.169547,0.158376,0.146234,0.030256,0.260914,0.203054,0.144195,0.284733,0.296194,0.10333,0.11775,0.110214,0.088586,0.062614,0.060528,0.018793,0.032542,0.067779,0.134612,0.256041,0.020315,0.340958,0.117448,0.041407,0.032027,0.057787,0.203453,9468.501649,43.713266,37.140752,0.001407,0.542049,0.315254
0.048648,0.035041,0.059643,6.344716,-0.00548,0.00034,1.545837,4.43919,0.344996,0.123276,0.545398,0.015292,0.044125,1.17989,0.000164,0.215442,0.215141,0.191867,0.18491,0.171566,0.168763,0.159511,0.031472,0.618953,0.396888,0.415686,0.300543,0.356527,0.109168,0.102454,0.137849,0.123505,0.070837,0.104622,0.027385,0.042596,0.07233,0.138637,0.251405,0.01613,0.461897,0.109277,0.036879,0.046893,0.05518,0.196675,9897.505524,17.960624,21.30256,0.001606,0.559647,0.31584
