@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_5 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5 numeric
@attribute BeatHisto_Sum numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute output {sad,notsad}

@data

0.067081,0.048011,0.094106,0.078488,6.129711,0.350572,0.409054,1.476516,4.677952,5.575091,0.441441,0.159382,0.274901,0.722415,1.396039,0.023211,0.00009,0.286614,0.413758,0.612325,0.201046,0.201987,0.203779,0.194399,0.17229,0.166995,0.16455,0.160559,0.030317,0.870195,0.309801,0.237586,0.261647,0.21394,0.241104,0.422013,0.116197,0.126415,0.035208,0.086096,0.141884,0.195614,0.257065,208.230051,0.018106,0.016167,3.656438,0.429218,0.126518,0.150918,0.177436,0.033316,0.037842,0.029591,0.026783,0.050151,8343.794681,15.062678,1.00373,0.000969,sad
0.068599,0.043864,0.092396,0.083145,5.787093,0.840169,1.040074,1.456582,3.893353,5.040834,0.514409,0.140557,0.28537,0.745016,1.412156,0.026519,0.000471,0.283651,0.435802,0.588717,0.184737,0.198839,0.205393,0.184967,0.16857,0.160626,0.159589,0.15894,0.027051,0.82886,0.148023,0.228047,0.218914,0.162297,0.222031,0.34693,0.103841,0.095596,0.037134,0.089796,0.146234,0.198028,0.259843,274.296684,0.022626,0.018942,3.442964,0.463078,0.121624,0.112223,0.175781,0.030168,0.037122,0.038157,0.026104,0.050479,14966.986221,63.02088,1.004413,0.000967,sad
0.063066,0.049836,0.089616,0.078453,6.795059,1.08398,1.106892,1.506224,6.516486,9.134215,0.345746,0.130342,0.234024,0.717131,1.3728,0.035594,0.000172,0.283045,0.450204,0.570362,0.189451,0.217234,0.157477,0.16635,0.168831,0.141468,0.131964,0.144824,0.028038,1.526534,0.526648,0.31832,0.335094,0.303258,0.243594,0.363868,0.096002,0.08568,0.041121,0.089572,0.134462,0.189042,0.260596,4331.046469,0.042098,0.038015,3.89853,0.576553,0.112237,0.118125,0.163622,0.03902,0.047147,0.048593,0.031736,0.055121,7963.965945,16.350604,1.002561,0.000815,sad
0.037314,0.025278,0.052111,0.083329,5.252685,1.75471,0.465394,1.577862,3.787011,6.276023,0.416458,0.092217,0.24678,0.77323,1.382716,0.013165,0.000331,0.264879,0.448158,0.569462,0.223207,0.226167,0.212881,0.211313,0.189432,0.180827,0.163832,0.157223,0.03132,1.040749,0.42225,0.42427,0.239919,0.239251,0.43914,0.436886,0.120866,0.12999,0.042112,0.093042,0.138144,0.198759,0.258417,150.815943,0.012516,0.010904,3.75244,0.458345,0.139772,0.141206,0.210826,0.038401,0.039579,0.041868,0.030131,0.055468,6021.990694,14.864195,1.003423,0.00091,sad
0.058278,0.04552,0.080721,0.077963,7.76665,1.260104,0.398633,1.457049,4.292708,6.65711,0.399066,0.152193,0.251128,0.674052,1.308854,0.011143,0.000185,0.274867,0.37161,0.57396,0.20426,0.180606,0.201513,0.185371,0.166007,0.157395,0.151983,0.135551,0.020193,1.228163,0.245923,0.27097,0.256042,0.295625,0.26808,0.365141,0.102669,0.09637,0.032336,0.077614,0.130034,0.197919,0.266057,1419.641977,0.010563,0.004776,3.80026,0.481168,0.101923,0.185253,0.169446,0.025995,0.03831,0.028239,0.021923,0.053119,11595.95076,27.965963,1.002712,0.000839,sad
0.0752,0.056635,0.108767,0.085816,6.867065,1.617999,0.25723,1.405897,4.563801,6.118645,0.541716,0.171705,0.289506,0.661195,1.285733,0.01477,0.000366,0.273409,0.351745,0.459545,0.213168,0.21166,0.194499,0.166828,0.134394,0.131599,0.152549,0.13424,0.024602,0.837814,0.24809,0.298596,0.27903,0.268611,0.304626,0.260987,0.127908,0.124322,0.040608,0.078088,0.128017,0.18384,0.256665,2664.979849,0.00388,0.002697,3.644161,0.459105,0.091319,0.111362,0.142652,0.035495,0.035876,0.027965,0.021679,0.04734,13711.711657,66.490455,1.005066,0.000957,sad
0.065979,0.045884,0.093545,0.082698,5.549439,1.083696,0.273232,1.471253,3.81524,6.990358,0.54943,0.147803,0.281158,0.742335,1.361163,0.036017,0.000163,0.281372,0.453975,0.606029,0.218028,0.215972,0.208421,0.198939,0.168382,0.169547,0.164918,0.158376,0.030256,0.927484,0.260914,0.22956,0.203054,0.167928,0.284733,0.439948,0.10333,0.110214,0.032542,0.08475,0.134612,0.191184,0.256041,680.804407,0.020315,0.019316,3.629049,0.340958,0.118085,0.133408,0.160833,0.032027,0.04027,0.027908,0.022003,0.057787,9468.501649,37.140752,1.005291,0.001127,sad
0.099156,0.06951,0.166818,0.088227,4.502855,2.458724,-0.206761,1.49732,4.147706,10.505445,0.435288,0.143412,0.266122,0.727808,1.199947,0.031995,0.000004,0.277432,0.409386,0.555352,0.213864,0.209431,0.197436,0.178317,0.172892,0.179631,0.163889,0.155391,0.023208,1.202035,0.539651,0.389399,0.377355,0.20965,0.293142,0.389761,0.100134,0.12551,0.036921,0.087165,0.12453,0.166228,0.243736,63801.243815,0.027276,0.027566,4.332192,0.490171,0.157425,0.146655,0.154511,0.030808,0.038845,0.026591,0.052423,0.056601,3884.09712,9.131502,1.003718,0.00093,sad
0.048542,0.038658,0.073349,0.082109,9.567785,0.232723,1.030107,1.560479,4.293574,6.23845,0.548744,0.131235,0.241611,0.616561,1.338334,0.016016,0.00001,0.257679,0.427285,0.589855,0.212876,0.191922,0.18739,0.155363,0.143026,0.13338,0.132447,0.12667,0.022445,1.858999,0.328359,0.381345,0.284482,0.260305,0.3338,0.419166,0.112023,0.09899,0.031109,0.086408,0.147074,0.189088,0.261649,1567.468785,0.019716,0.015617,4.414049,0.820282,0.124275,0.15272,0.194787,0.038777,0.046398,0.036997,0.036134,0.056193,2990.087047,6.517254,1.004749,0.001032,sad
0.050853,0.026843,0.046512,0.076581,4.790099,1.050613,0.353041,1.419804,4.339315,6.188069,0.566357,0.134044,0.29021,0.767831,1.369727,0.009287,0.000133,0.291045,0.413439,0.490733,0.198719,0.194129,0.188818,0.178332,0.15928,0.158381,0.13528,0.133256,0.022343,0.955822,0.150537,0.104983,0.246623,0.179045,0.221319,0.288537,0.093209,0.084387,0.034567,0.091636,0.140496,0.191404,0.256229,280.877697,0.004713,0.003192,3.920237,0.277227,0.100561,0.128864,0.146365,0.025172,0.030489,0.02747,0.014721,0.058021,9956.211101,21.003762,1.002801,0.000843,sad
