@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.069481,0.229486,3.40353,0.477791,0.309502,0.562515,0.74969,1.227308,2.700552,1.256174,0.448413,0.21305,0.22127,0.203391,0.034216,1573.871128,0.025439,0.340701,0.290938,0.408592,0.415972,1.202636,0.102071,0.087573,0.065346,0.063335,0.104151,0.306836,0.147347,0.03107,0.024515,0.054352,129.25,1.004588,55.34539,3.938178,1.322379,0.713913,0.429563,0.884163,0.066392,24.13971,5.105354,319.4293,0.706017,0.027501,0.0508,0.08231,0.000193,0.010967,712.5911,1.388688,0,0.891478,0.128656,0,0.096809,0.002695,553.2341,501689.5
0.095487,0.391872,3.09296,0.542437,0.242988,0.655741,0.817508,1.265249,2.703875,0.595917,0.4136,0.20181,0.20154,0.194506,0.044575,17861.981119,0.04846,0.236194,0.30321,0.385279,0.68755,2.068022,0.099759,0.109232,0.068361,0.073378,0.118022,0.307435,0.122715,0.032977,0.036698,0.054556,144,1.007462,76.48989,5.82746,1.547909,0.728808,1.166483,0.895035,0.09014,44.2836,5.000367,506.8318,2.295496,0.050697,0.079901,0.519531,0.00027,0.012471,2817.74,1.25185,0,0.687084,0.093344,0,0.215143,0.005546,639.8033,649456
0.131805,0.361179,3.19269,0.531138,0.20693,0.677047,0.819649,1.233837,2.665282,0.79531,0.455656,0.219752,0.219426,0.206577,0.051988,7949.366356,0.016906,0.247921,0.265089,0.334202,0.476401,1.015107,0.105988,0.086697,0.062351,0.067318,0.108644,0.303708,0.117004,0.039289,0.030172,0.059569,133.5,1.00543,87.08043,6.31897,1.596672,0.574137,1.266773,0.888527,0.110895,38.10057,4.765681,187.3398,0.448916,0.008137,0.015947,0.328451,0.00015,0.021377,5981.984,0.385665,0,0.667776,0.093708,0,0.221999,0.005979,937.958,349491.9
0.080994,0.141833,3.44196,0.479839,0.253396,0.614226,0.752867,1.218458,2.698051,0.573698,0.430421,0.198317,0.209886,0.195472,0.025621,2474.822366,0.011425,0.27678,0.238797,0.431247,0.435187,1.489799,0.081487,0.085011,0.06669,0.055322,0.098907,0.308496,0.171382,0.035999,0.030081,0.058964,125.25,1.004682,81.15282,5.064769,1.379582,0.663275,0.979516,0.9018,0.189486,125.6135,5.84912,95.60751,0.343203,0.008195,0.019009,0.112619,0.000115,0.013553,10683.05,0.301969,0,0.92743,0.111708,0,0.067348,0.00189,564.7545,45741.45
0.056317,0.243165,3.80903,0.364629,0.337513,0.572269,0.737534,1.240879,2.694395,0.814423,0.423979,0.212632,0.203688,0.188878,0.027759,31488.017894,0.007885,0.213789,0.324964,0.535031,0.565589,1.34301,0.120285,0.139928,0.066954,0.060182,0.10894,0.304926,0.247934,0.038594,0.036804,0.048362,137,1.005754,69.86428,4.364539,1.286437,0.770078,0.799156,0.895014,0.096055,99.69335,6.329473,222.4787,0.787899,0.022537,0.073396,0.162743,0.000236,0.00732,7798.111,0.955412,0,0.923435,0.09281,0,0.07075,0.00268,409.8957,161141.5
0.09135,0.523831,4.145161,0.311998,0.232244,0.576756,0.764609,1.210713,2.68729,1.149066,0.439524,0.240976,0.236024,0.200454,0.039234,99925.41395,0.029209,0.47739,0.49835,0.528453,0.752638,3.138251,0.120678,0.130322,0.098985,0.072253,0.112165,0.302334,0.174331,0.039014,0.037637,0.052168,106,1.003204,77.64058,5.254313,1.4384,0.570036,0.543652,0.881565,0.050363,27.13196,5.320552,823.1142,2.923442,0.054417,0.104758,0.088977,0.000359,0.007523,729.7145,0.95551,0,0.902131,0.098906,0,0.08835,0.002591,721.1278,294439
0.135688,0.057926,3.734253,0.423886,0.1986,0.650955,0.790782,1.22579,2.683921,0.780499,0.442962,0.209131,0.22411,0.201864,0.035195,5919.200934,0.021698,0.191975,0.266461,0.440915,0.515169,1.430636,0.091233,0.104583,0.061495,0.065203,0.104809,0.305687,0.124663,0.033285,0.032861,0.061196,149.75,1.003626,94.72495,6.34178,1.547409,0.565537,1.283559,0.898173,0.147619,52.63325,5.212067,120.4947,0.386327,0.007225,0.011388,0.161835,0.000071,0.021656,2593.18,0.208408,0,0.959388,0.130297,0,0.038989,0.002548,998.9832,170149.5
0.123395,0.622213,3.36985,0.475932,0.291861,0.643266,0.784412,1.153859,2.681171,1.04685,0.406674,0.205237,0.224177,0.197919,0.033725,691803.735173,0.024307,0.356493,0.382278,0.343671,0.643112,1.3742,0.094235,0.088614,0.054781,0.058034,0.10735,0.305793,0.118264,0.031895,0.032932,0.060286,120,1.003342,87.23576,5.948122,1.516864,0.604831,1.026893,0.892471,0.148193,84.09252,5.148375,197.2831,1.232088,0.023312,0.021228,0.194309,0.00014,0.014405,6525.23,0.386153,0,0.968708,0.106986,0,0.030333,0.001953,873.0172,272443.9
0.057725,0.169401,3.427157,0.462808,0.33796,0.553108,0.745154,1.223491,2.698087,0.963051,0.44776,0.208443,0.22071,0.192997,0.023542,5782.663079,0.017199,0.513796,0.371251,0.37106,0.841976,1.433747,0.115276,0.128631,0.05639,0.067852,0.107783,0.31067,0.169802,0.037392,0.029368,0.059897,131,1.003184,61.2995,4.01021,1.272301,0.776409,0.572869,0.876079,0.06158,31.3481,5.998884,116.2774,1.061143,0.038848,0.096102,0.054292,0.000302,0.007263,796.7347,1.196846,0,0.822903,0.10486,0,0.145831,0.004044,503.3384,233490.7
0.153637,0.229512,3.272031,0.509462,0.242302,0.671535,0.795137,1.230042,2.690846,0.577163,0.445777,0.210638,0.21077,0.197358,0.035294,6173.029307,0.025965,0.214291,0.173764,0.376415,0.396745,1.309703,0.096238,0.07594,0.054428,0.066117,0.107408,0.306596,0.11781,0.035199,0.02827,0.061045,139,1.00349,96.41057,6.720378,1.60876,0.563305,1.153246,0.895509,0.119202,34.62342,4.841096,133.5317,0.554588,0.006752,0.003106,0.077467,0.000068,0.019999,1492.687,0.091548,0,0.85486,0.108578,0,0.124157,0.004808,1205.091,170462.3
