@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute output {funny,notfunny}

@data
5.769192,0.902183,5.405881,notfunny
2.922139,0.843669,6.734488,notfunny
4.247804,0.897762,6.706026,notfunny
3.761133,0.877701,6.53288,notfunny
4.004917,0.878122,4.867791,notfunny
4.431634,0.889564,5.800821,notfunny
5.650937,0.909754,5.027626,notfunny
3.544749,0.875249,6.792003,notfunny
4.349429,0.869448,5.589384,notfunny
4.349429,0.869448,5.589384,notfunny
4.349429,0.869448,5.589384,notfunny
4.349429,0.869448,5.589384,notfunny
5.351114,0.881302,6.129921,notfunny
5.335417,0.891228,5.731189,notfunny
5.335417,0.891228,5.731189,notfunny
6.236805,0.905034,4.915446,notfunny
4.515067,0.899233,5.864028,notfunny
4.515067,0.899233,5.864028,notfunny
3.732678,0.86254,4.484893,notfunny
5.204699,0.894681,5.512459,notfunny
6.243594,0.898289,5.025811,notfunny
5.380505,0.90386,5.791576,notfunny
5.659323,0.892446,5.266047,notfunny
3.081789,0.885537,6.328808,notfunny
3.081789,0.885537,6.328808,notfunny
4.35816,0.892257,6.380889,notfunny
4.35816,0.892257,6.380889,notfunny
5.977852,0.89869,5.321518,notfunny
5.612333,0.903455,5.911946,notfunny
4.149692,0.893195,5.557161,notfunny
4.149692,0.893195,5.557161,notfunny
4.149692,0.893195,5.557161,notfunny
4.149692,0.893195,5.557161,notfunny
4.508315,0.887919,5.526331,notfunny
6.036815,0.901304,5.355824,notfunny
5.371012,0.893101,5.58691,notfunny
3.963875,0.868896,6.68761,notfunny
3.611462,0.860067,6.747261,notfunny
3.611462,0.860067,6.747261,notfunny
3.611462,0.860067,6.747261,notfunny
4.507379,0.875219,5.60817,notfunny
4.507379,0.875219,5.60817,notfunny
4.507379,0.875219,5.60817,notfunny
4.061509,0.882972,6.275373,notfunny
5.393056,0.886957,5.100055,notfunny
5.13924,0.888063,5.572346,notfunny
4.858168,0.893025,5.701608,notfunny
4.239126,0.868633,5.742696,notfunny
4.239126,0.868633,5.742696,notfunny
5.756409,0.895486,4.710793,notfunny
5.756409,0.895486,4.710793,notfunny
5.756409,0.895486,4.710793,notfunny
4.53888,0.891946,6.262234,notfunny
5.205659,0.883183,5.439847,notfunny
5.069639,0.898036,5.260877,notfunny
5.142152,0.89352,5.794043,notfunny
5.069639,0.898036,5.260877,notfunny
5.142152,0.89352,5.794043,notfunny
3.350838,0.879655,6.82954,notfunny
3.937046,0.869163,5.612521,notfunny
3.937046,0.869163,5.612521,notfunny
3.937046,0.869163,5.612521,notfunny
4.880401,0.902716,5.808719,notfunny
4.880401,0.902716,5.808719,notfunny
4.880401,0.902716,5.808719,notfunny
4.880401,0.902716,5.808719,notfunny
6.091701,0.885796,4.558989,notfunny
6.045794,0.88479,3.881248,notfunny
5.770525,0.899652,5.098013,notfunny
6.189179,0.899727,5.833664,notfunny
6.254381,0.902236,5.353251,notfunny
4.600585,0.884301,6.657046,notfunny
5.224477,0.901991,5.529702,notfunny
5.857807,0.89605,6.072183,notfunny
6.355222,0.896642,5.572732,notfunny
4.79678,0.897542,5.460298,notfunny
4.79678,0.897542,5.460298,notfunny
4.79678,0.897542,5.460298,notfunny
4.79678,0.897542,5.460298,notfunny
4.29546,0.888329,6.362303,notfunny
4.29546,0.888329,6.362303,notfunny
5.763101,0.891773,5.426343,notfunny
3.659915,0.893709,5.743023,notfunny
4.911323,0.89149,6.155882,notfunny
4.911323,0.89149,6.155882,notfunny
4.671966,0.901684,6.004067,notfunny
5.774409,0.902111,5.157303,notfunny
6.323073,0.887347,4.955803,notfunny
6.323073,0.887347,4.955803,notfunny
6.323073,0.887347,4.955803,notfunny
6.07657,0.894385,5.586073,notfunny
5.737449,0.896257,5.113477,notfunny
5.222377,0.888808,4.956841,notfunny
5.222377,0.888808,4.956841,notfunny
