@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[9]_linregc2 numeric
@attribute mfcc_sma[10]_linregc2 numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_max numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute voiceProb_sma_amean numeric
@attribute F0_sma_amean numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_maxPos numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {funny,notfunny}

@data
1.274563,-11.33004,-11.18216,0.001352,-2.711214,3.257284,-3.355022,-3.571153,-2.947681,3.093426,21.93085,0.500303,0.117525,0.11885,0.003538,0.374502,52.11613,1.95504,10.55221,-0.816608,7.070488,0.000999,4.229418,1413,0.000002,0.001112,1.409877,0.087103,276,1.612655,10.47337,funny
0.509359,-11.836,-11.69578,-0.005679,0.240018,3.294543,0.060411,-2.811175,-1.034778,4.196383,30.29232,0.660012,0.11222,0.101633,0.006231,0.456635,120.8772,0.604941,7.383476,-0.371643,6.720538,-0.0092,5.864775,1668,0.000004,-0.003145,1.479633,0.093956,859,1.571176,15.15799,funny
-0.034372,-6.210348,-6.170211,-0.000485,-1.346988,3.591171,2.239145,2.334604,-0.71862,3.14943,15.72914,0.177254,0.082715,0.077698,0.000377,0.417891,67.62051,0.460694,4.618794,-0.910203,6.364858,-0.0019,3.942371,1498,0.000002,-0.00105,0.605788,0.01753,2353,0.903713,4.741547,funny
0.75803,-7.377396,-6.972029,-0.000419,-5.080417,2.434788,2.576443,3.428108,-1.252097,3.43479,32.83723,0.375681,0.082376,0.073552,0.001238,0.446797,69.25433,1.736821,12.67788,-0.944989,5.62876,-0.00186,4.540654,872,0.000003,0.001108,0.795065,0.116656,1403,0.924922,20.8338,funny
0.415873,-11.86693,-12.15721,0.000477,1.399931,2.909417,-1.349043,-1.449383,2.764092,3.300441,18.98726,0.357532,0.10362,0.110598,0.002986,0.262973,5.751992,1.282139,5.729956,-0.789921,5.848434,0.001918,5.110442,1924,-0.000005,0.00036,1.090886,-0.4742,2502,1.172357,5.610245,funny
1.204194,-13.58808,-17.5905,0.001981,-1.51108,3.300885,-1.123617,-1.639253,-2.677502,2.933432,28.3466,0.599516,0.13421,0.19203,0.00568,0.312403,18.51439,1.035923,8.642941,-0.233091,4.992603,0.000919,4.991558,727,0.00001,0.000326,1.511348,0.230235,621,1.825025,10.29984,funny
0.263674,-11.65791,-11.12978,0.000506,-2.808996,2.848843,-6.451932,-6.039798,0.268648,2.948594,13.75313,0.274047,0.122186,0.119322,0.000665,0.249829,0.173891,0.901224,8.905433,0.265351,4.213731,0.000423,3.50835,1057,0.000003,0.003431,0.979451,0.381477,1222,1.086926,5.932735,funny
-0.148002,-11.25994,-12.13247,-0.001081,-1.22183,3.329606,2.142508,4.190197,-0.593764,4.100312,12.7454,0.355717,0.105547,0.113835,0.002959,0.344837,36.50769,0.69939,7.296067,-1.489789,11.93572,0.000131,5.283903,974,0.000003,-0.000794,0.991331,-0.152113,1161,1.380214,5.556695,funny
0.774718,-9.286286,-9.209672,-0.000152,-0.244514,3.158811,-0.802191,-0.463221,-1.810124,3.018028,15.83759,0.294616,0.091542,0.091795,0.00123,0.273341,3.604698,0.85584,5.817709,-0.7947,5.268902,-0.001032,3.204836,1642,0,-0.000221,1.034017,0.160349,463,1.131603,7.631837,funny
0.865155,-11.47792,-11.48815,-0.000852,-0.472837,3.227004,-0.397164,1.330098,0.867539,3.557439,6.03106,0.276467,0.123106,0.119917,0.002088,0.215839,0,2.070978,8.638061,0.089142,4.935521,0.000995,3.320191,423,-0.000002,0.001242,0.548749,-0.234607,2447,0.808914,4.282543,funny
