@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_PeakRatio_Chroma_A# numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_E numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_16 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_1 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_PeriodicCentroid1 numeric
@attribute output {romantic,notromantic}

@data

0.022389,7.812137,0.0004,1.541452,2.991808,0.082967,0.007793,0.000171,1.883969,0.354958,0.395184,0.267251,0.444051,0.181974,0.180796,0.157095,0.215612,0.101572,14.15745,0.539271,1.003585,0.486269,romantic
0.02742,6.336355,0.000317,1.613274,2.493373,0.120445,0.012426,0.000187,2.375567,0.347523,0.348362,0.346702,0.412506,0.134313,0.160212,0.16637,0.219471,0.110784,19.833714,0.555726,1.003213,0.458717,romantic
0.047291,5.606417,0.000054,1.489116,2.621543,0.142607,0.019338,0.000038,2.371923,0.612362,0.644541,0.371661,0.396731,0.131421,0.194532,0.172835,0.359005,0.088368,14.525078,0.577122,1.002914,0.478937,romantic
0.064294,4.408454,0.000153,1.473527,2.609365,0.166462,0.021968,0.000179,2.371495,0.601089,0.385448,0.437541,0.45875,0.125033,0.116905,0.125466,0.229852,0.081214,16.857065,0.570438,1.002506,0.480446,romantic
0.035287,7.762594,0.000043,1.5099,2.628324,0.120293,0.015661,0.000035,2.560664,0.437878,0.473519,0.294369,0.359686,0.130614,0.119611,0.106509,0.18097,0.097302,13.477334,0.545003,1.002999,0.532513,romantic
0.030633,5.302648,0.000134,1.480507,2.659048,0.115316,0.018083,0.000119,2.744333,0.233432,0.300479,0.306057,0.278263,0.131149,0.108891,0.129515,0.209711,0.10148,46.006132,0.56354,1.0062,0.459483,romantic
0.02954,4.86854,0.000022,1.495565,2.701323,0.100589,0.025526,0.000033,1.714557,0.37106,0.287921,0.269293,0.329844,0.11151,0.102689,0.100038,0.276678,0.089322,6.103022,0.571574,1.007268,0.425989,romantic
0.03377,5.185456,0.000326,1.487699,2.608965,0.130668,0.031155,0.000707,2.393735,0.4543,0.279729,0.333585,0.349642,0.113326,0.158447,0.10747,0.201281,0.071009,58.7164,0.58963,1.007356,0.559675,romantic
0.04362,8.256559,0.000143,1.434393,2.723623,0.141525,0.012385,0.000111,2.40435,0.499965,0.395308,0.401304,0.29775,0.131244,0.112115,0.100274,0.34478,0.080038,16.830041,0.570403,1.002956,0.479234,romantic
0.034341,2.947423,0.000499,1.477683,2.564875,0.125666,0.021627,0.000273,1.78001,0.354813,0.237336,0.224768,0.278795,0.100962,0.088691,0.093555,0.333192,0.085358,59.618811,0.589751,1.004343,0.483761,romantic
0.031982,5.59771,0.000603,1.485306,2.51874,0.130369,0.01861,0.000497,2.405652,0.282837,0.275524,0.298736,0.35419,0.133811,0.110873,0.118917,0.199848,0.071,23.685348,0.561447,1.002518,0.475001,romantic
0.07105,4.877746,0.000084,1.438168,2.677966,0.166613,0.030846,0.000118,2.419501,0.589814,0.433279,0.489276,0.418961,0.110213,0.141304,0.138044,0.282777,0.093089,13.611487,0.578322,1.002429,0.491434,romantic
0.061586,5.516762,0.000071,1.479867,2.648761,0.180002,0.028334,0.000064,2.969309,0.585526,0.374116,0.389044,0.437769,0.097121,0.129476,0.107831,0.238973,0.071637,18.802407,0.56161,1.005284,0.51832,romantic
0.035739,5.910681,0.000027,1.577329,3.03498,0.129749,0.014434,0.000029,2.263177,0.459145,0.567725,0.430434,0.400604,0.153813,0.137984,0.133399,0.210503,0.105468,7.010522,0.617811,1.002904,0.478599,romantic
0.043882,5.898708,0.000093,1.503962,2.434497,0.148825,0.026403,0.000105,2.312876,0.447863,0.25458,0.369607,0.393212,0.120488,0.108581,0.132974,0.301906,0.098832,37.136957,0.524074,1.005247,0.445512,romantic
0.067523,3.510841,0.000666,1.513657,2.573323,0.164298,0.02841,0.000762,1.949094,0.19641,0.193657,0.187513,0.286158,0.098602,0.096926,0.104392,0.176627,0.07609,85.140008,0.598031,1.004306,0.554135,romantic
0.018855,5.512011,0.000307,1.508161,3.089519,0.089144,0.008687,0.000224,1.861355,0.254267,0.24486,0.343007,0.471431,0.098569,0.106889,0.102418,0.22703,0.100146,28.149583,0.552332,1.004121,0.518859,romantic
0.041582,4.516581,0.00008,1.535093,2.658917,0.164311,0.026228,0.000215,2.013374,0.522218,0.324653,0.353868,0.423816,0.111059,0.120711,0.094351,0.278771,0.078845,51.532995,0.561786,1.010132,0.409617,romantic
0.035849,6.158194,0.000105,1.465162,2.780834,0.14236,0.014271,0.000064,2.380979,0.311034,0.244745,0.285953,0.37031,0.135141,0.117032,0.119063,0.237805,0.093287,34.644781,0.589777,1.004702,0.472546,romantic
0.047565,5.682855,0.000174,1.498418,2.611541,0.156452,0.022079,0.00019,2.668779,0.449928,0.328994,0.277625,0.293428,0.104151,0.098195,0.11444,0.320715,0.078987,28.446375,0.552944,1.005762,0.502983,romantic
0.117208,1.982751,0.000421,1.447149,2.635792,0.202845,0.034064,0.00036,2.112278,0.303873,0.212054,0.250969,0.363268,0.13057,0.107115,0.129471,0.108515,0.090109,61.246229,0.551366,1.004644,0.51131,romantic
0.060059,7.209919,0.000166,1.491135,2.736175,0.169477,0.017037,0.000074,2.892071,0.328503,0.285926,0.3845,0.540166,0.133321,0.128957,0.128521,0.216115,0.090323,19.189091,0.573719,1.00361,0.47569,romantic
0.033718,7.12293,0.00008,1.462031,2.546572,0.127489,0.012622,0.000054,2.149033,0.355481,0.327588,0.273721,0.333257,0.098717,0.113067,0.109141,0.314549,0.073309,13.906688,0.581451,1.002698,0.461764,romantic
0.114714,2.452909,0.000039,1.506045,2.35831,0.214198,0.054322,0.000029,2.085459,0.259802,0.264866,0.211725,0.326544,0.101516,0.114153,0.124323,0.192425,0.080808,16.682705,0.584923,1.00348,0.467621,romantic
0.033774,6.927008,0.000674,1.430396,2.378301,0.14865,0.010804,0.000459,1.927073,0.327503,0.315968,0.349392,0.28573,0.125336,0.119591,0.086984,0.166439,0.091457,48.861821,0.571056,1.004293,0.473148,romantic
0.030957,7.74102,0.000027,1.60903,2.869346,0.129095,0.009419,0.000021,2.598621,0.472239,0.459463,0.516332,0.456715,0.15234,0.133233,0.159832,0.240929,0.1051,7.206786,0.61105,1.003163,0.486122,romantic
0.06951,4.502855,0.000008,1.49732,2.871416,0.143412,0.031995,0.000004,2.650228,0.762079,0.539651,0.389399,0.389761,0.12112,0.137244,0.100134,0.288739,0.077798,9.131502,0.54977,1.003718,0.449424,romantic
0.023752,6.155381,0.000692,1.473393,2.627636,0.105315,0.01207,0.001142,2.437971,0.400863,0.2395,0.292202,0.437661,0.119889,0.151863,0.111454,0.224479,0.095376,27.833547,0.598151,1.004617,0.460467,romantic
0.038621,5.715425,0.000129,1.484363,2.548083,0.141133,0.025814,0.000109,2.648495,0.470533,0.292708,0.358999,0.438165,0.116373,0.112083,0.110028,0.286863,0.075827,54.136238,0.571501,1.007088,0.521572,romantic
0.047737,4.708011,0.000026,1.438738,2.338866,0.139184,0.040118,0.000024,2.485507,0.527136,0.335089,0.282581,0.310952,0.102294,0.110703,0.095439,0.2982,0.07191,14.004443,0.607801,1.005232,0.515053,romantic
0.052776,7.500608,0.000069,1.491413,2.541574,0.152516,0.029313,0.000053,2.877398,0.314256,0.196425,0.290087,0.342516,0.128918,0.125977,0.087101,0.390932,0.105992,12.660807,0.574613,1.003211,0.507476,romantic
0.045663,4.476339,0.000426,1.447865,2.606459,0.128086,0.035042,0.000453,2.094466,0.427133,0.278394,0.218066,0.333776,0.102728,0.1137,0.121171,0.24135,0.070692,18.424788,0.605844,1.005059,0.503555,romantic
0.052739,5.667017,0.000532,1.537,2.78652,0.152083,0.025333,0.000357,2.433951,0.886131,0.324389,0.378052,0.366559,0.168998,0.137906,0.117506,0.418814,0.10984,42.401858,0.560856,1.003751,0.473068,romantic
