@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_stddev numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[8]_amean numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[5]_linregc1 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_amean numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {romantic,notromantic}

@data
0.009157,4.005201,-2.766216,-1.749092,3.310168,5.793257,0.001113,0.407778,5.432969,1120,-0.412905,0,-0.093293,0.103731,-0.000084,0.981174,0.000042,-0.000104,-0.088243,romantic
0.009413,1.12201,2.409938,-0.625701,-3.874331,3.542102,0.001532,0.525069,6.288664,2674,-0.13954,0.000003,-0.136793,-0.086705,0.000646,0.783735,-0.00001,0.000035,-0.199248,romantic
0.009813,1.876163,-7.501399,-1.020442,-8.226195,3.064699,0.001802,0.663855,5.967842,509,0.365811,0,0.261825,0.051429,0.002585,1.199197,0.000041,-0.000089,0.233283,romantic
0.014931,0.493913,-10.5046,-0.599061,-1.163255,3.090734,0.002651,0.709608,4.987956,2852,-0.110911,0.000002,0.026565,0.030983,0.005686,1.075471,0.000005,-0.000171,-0.153356,romantic
0.015074,1.661606,-5.456105,-0.652377,-4.78661,3.183341,0.002415,0.531621,6.350211,1534,0.424607,-0.000002,-0.042434,0.045949,-0.000413,0.832238,0.000037,-0.000041,0.102028,romantic
0.011959,1.517736,-9.81375,-0.273224,-2.042692,1.851676,0.00205,0.631468,4.042381,836,0.432616,-0.00001,-0.194192,0.101621,-0.000444,1.226007,-0.00004,0.000047,-0.0741,romantic
0.005901,1.968984,4.062107,-0.133267,-5.455511,1.41624,0.000698,0.708746,4.445819,462,0.051972,-0.000003,-0.048602,0.01988,0.000897,1.339365,0.000016,0.000035,-0.122924,romantic
0.010924,0.637629,-7.396637,0.216018,-2.081691,0.8985,0.002291,0.535016,4.553707,1880,-0.42895,0.000002,-0.274753,-0.175452,-0.006056,0.939506,-0.000065,-0.000047,-0.553441,romantic
0.021714,0.98925,-9.274051,0.105192,1.503513,1.833414,0.005165,0.688143,4.406431,43,0.056858,0.000006,0.113772,0.082139,-0.001387,1.216923,0.000076,0.000164,-0.024182,romantic
0.019092,1.85715,-1.336471,-1.914984,-6.471115,4.118667,0.002504,0.848606,7.134102,2194,-0.000439,-0.000007,0.064489,-0.02531,-0.002754,1.636878,0.000013,0.000149,0.224484,romantic
