@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_19 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_PeakRatio_Chroma_C# numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_5 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute output {romantic,notromantic}

@data

0.02502,1.121454,1.487187,2.083292,0.387013,0.13183,0.010735,0.000511,0.40341,0.208495,0.170718,0.077732,0.351203,0.409734,0.30572,0.12323,0.129651,0.11025,0.096447,0.106295,0.140589,24.103497,35.810386,romantic
0.031433,1.674945,1.492463,2.506291,0.291666,0.117062,0.012987,0.000059,0.360506,0.190762,0.185056,0.085413,0.485416,0.352035,0.316974,0.108033,0.158328,0.130611,0.09315,0.11236,0.208595,8.794962,10.825323,romantic
0.058533,0.966922,1.500039,2.461645,0.316964,0.159677,0.032731,0.00013,0.449176,0.236022,0.203621,0.082961,0.387775,0.434098,0.400843,0.117762,0.119632,0.12584,0.164046,0.081836,0.346864,14.126222,18.162022,romantic
0.065173,1.882792,1.495158,2.307497,0.345796,0.118585,0.06271,0.000009,0.435151,0.211973,0.208639,0.083138,0.262397,0.257666,0.295685,0.101264,0.09799,0.093499,0.090685,0.030098,0.150955,14.74843,19.204312,romantic
0.026927,1.268131,1.554723,2.324994,0.434819,0.10421,0.0185,0.000127,0.438957,0.219425,0.205317,0.082845,0.732139,0.312054,0.329311,0.110902,0.105578,0.100798,0.108078,0.121286,0.263654,16.673991,10.19071,romantic
0.048982,1.340705,1.524676,2.451407,0.328497,0.15807,0.016279,0.000025,0.444968,0.225642,0.188406,0.08,0.558923,0.431784,0.449533,0.145396,0.156208,0.135968,0.126668,0.095163,0.237527,4.972881,10.287358,romantic
0.050534,2.04421,1.459781,2.183251,0.40543,0.139941,0.030894,0.000491,0.449275,0.225731,0.216324,0.071113,0.404983,0.37075,0.296956,0.12108,0.129445,0.130953,0.091471,0.046784,0.274477,54.804371,52.698535,romantic
0.025583,0.633009,1.531672,2.151872,0.386208,0.091483,0.026913,0.000036,0.399295,0.202219,0.183829,0.072344,0.525873,0.362961,0.346886,0.139966,0.118977,0.102906,0.100469,0.07691,0.299312,0,7.911752,romantic
0.042957,2.471252,1.522411,2.210153,0.49255,0.136001,0.011662,0.000138,0.355907,0.192329,0.189806,0.071171,0.491257,0.492089,0.319867,0.110093,0.114615,0.130045,0.119381,0.111921,0.245189,25.273805,35.950835,romantic
0.069658,1.016773,1.600266,2.390206,0.268333,0.173451,0.040148,0.000028,0.311331,0.201474,0.153989,0.075546,0.338875,0.564341,0.335991,0.185933,0.107441,0.187126,0.171521,0.081766,0.226217,7.256676,11.079059,romantic
0.085447,0.992421,1.558483,2.348108,0.398936,0.192266,0.045763,0.000079,0.467788,0.22378,0.19282,0.080875,0.426943,0.225316,0.353421,0.1429,0.12302,0.12414,0.141513,0.036187,0.438082,25.340502,29.629647,romantic
0.051608,0.611115,1.549365,2.402696,0.281037,0.143275,0.038175,0.000121,0.447147,0.209474,0.175904,0.086712,0.341421,0.297005,0.354473,0.114197,0.160966,0.176528,0.100154,0.05643,0.344835,17.524509,23.929225,romantic
0.067768,0.367214,1.470358,2.428082,0.451301,0.169639,0.033117,0.000082,0.448483,0.220267,0.191895,0.081542,0.450238,0.523527,0.404095,0.127809,0.116953,0.095825,0.102236,0.047601,0.254897,21.046926,26.855316,romantic
0.03847,2.631501,1.498389,2.429791,0.612518,0.131427,0.009245,0.000071,0.396552,0.20422,0.179607,0.094059,0.548659,0.44238,0.366005,0.103839,0.113723,0.121817,0.115161,0.181548,0.361926,15.813846,13.137036,romantic
0.053,1.772555,1.482567,2.171184,0.440824,0.165516,0.01769,0.000168,0.467952,0.222474,0.184793,0.069965,0.264185,0.238775,0.294307,0.10436,0.09592,0.106828,0.121416,0.048825,0.133609,43.334105,68.369187,romantic
0.05665,1.851632,1.471272,2.091824,0.380183,0.16077,0.036191,0.000399,0.428566,0.206679,0.203801,0.076855,0.295786,0.26312,0.267765,0.103277,0.106429,0.101875,0.098128,0.049386,0.1893,34.262827,50.148905,romantic
0.051129,1.658888,1.506928,2.87185,0.32946,0.137628,0.029132,0.000167,0.429577,0.232816,0.173259,0.0875,0.747349,0.466188,0.487244,0.145867,0.175719,0.151211,0.162912,0.107224,0.459338,10.547323,11.507802,romantic
0.033465,2.069621,1.521697,2.305374,0.404136,0.115106,0.017522,0.000168,0.456271,0.221339,0.200877,0.07765,0.316416,0.225667,0.441325,0.155593,0.141952,0.124765,0.123548,0.078129,0.355279,20.199088,23.774091,romantic
0.046049,1.341403,1.494528,2.164386,0.427344,0.152067,0.016898,0.000044,0.436005,0.221123,0.184165,0.079088,0.536151,0.475915,0.306824,0.12353,0.139011,0.137915,0.105506,0.057116,0.324461,17.561905,14.845236,romantic
0.038621,0.990089,1.484363,2.514898,0.309562,0.141133,0.025814,0.000099,0.427731,0.205026,0.189647,0.0803,0.470533,0.292708,0.438165,0.116373,0.112083,0.113429,0.110028,0.12557,0.286863,39.845503,54.136238,romantic
0.067523,1.778811,1.513657,2.174416,0.467377,0.164298,0.02841,0.000604,0.455837,0.222399,0.188362,0.072663,0.19641,0.193657,0.286158,0.098602,0.096926,0.097938,0.104392,0.052329,0.176627,61.471017,85.140008,romantic
0.103205,0.630266,1.447654,2.100674,0.438281,0.188801,0.039425,0.000059,0.382747,0.193994,0.198027,0.076685,0.436381,0.237596,0.272177,0.113854,0.116645,0.083082,0.105671,0.030439,0.134892,31.696446,30.857842,romantic
0.034038,2.462054,1.551049,2.297466,0.396806,0.128984,0.018577,0.000029,0.398435,0.215382,0.191259,0.074281,0.294147,0.1804,0.299285,0.099193,0.083756,0.104007,0.09115,0.036103,0.202153,12.617327,13.074049,romantic
0.034614,1.643376,1.533974,2.458678,0.349219,0.107806,0.01548,0.000107,0.446777,0.231368,0.183075,0.089015,0.63377,0.453732,0.364449,0.107403,0.162016,0.144687,0.10025,0.07167,0.247839,12.693386,12.39542,romantic
0.039131,1.638008,1.509633,2.711081,0.412411,0.131456,0.014825,0.000053,0.396272,0.20743,0.155294,0.080627,0.387731,0.231028,0.532911,0.149547,0.123415,0.142466,0.14344,0.240737,0.197643,24.438698,27.383887,romantic
0.038583,1.30671,1.434683,2.387196,0.493014,0.131905,0.007076,0.000181,0.321341,0.183582,0.177918,0.078092,0.852041,0.403836,0.390324,0.101346,0.10588,0.09912,0.128193,0.09082,0.197952,18.763567,22.26078,romantic
0.059159,2.15049,1.530328,2.485813,0.331533,0.160188,0.024246,0.000362,0.426744,0.22068,0.192212,0.07415,0.49174,0.273394,0.441794,0.123327,0.124652,0.134809,0.150304,0.04979,0.259434,52.2488,28.266832,romantic
0.058846,1.023304,1.452916,2.301235,0.405845,0.147358,0.044876,0.000209,0.439666,0.227059,0.212467,0.086978,0.468046,0.338461,0.364796,0.113071,0.109786,0.113416,0.113969,0.068992,0.240029,45.447431,46.569845,romantic
0.055028,1.174382,1.527316,2.272759,0.453063,0.158898,0.037322,0.000194,0.365604,0.210451,0.203749,0.075831,0.433051,0.278503,0.3952,0.111881,0.097122,0.0897,0.094748,0.070151,0.182535,42.568429,26.868639,romantic
0.064393,1.767824,1.43859,2.380696,0.393506,0.170891,0.024353,0.000203,0.450954,0.216201,0.188511,0.076545,0.312048,0.210331,0.334736,0.101549,0.122808,0.117728,0.094629,0.053617,0.146256,44.928888,59.482585,romantic
0.035119,0.564888,1.409334,2.394745,0.493716,0.131802,0.02002,0.000483,0.322731,0.184392,0.189414,0.073051,0.385018,0.261921,0.405463,0.117394,0.097028,0.098064,0.098675,0.055101,0.169752,67.882978,37.3552,romantic
0.026604,1.727684,1.540932,2.366645,0.494994,0.094651,0.01592,0.000027,0.394576,0.201143,0.192514,0.068026,0.683306,0.359181,0.488798,0.140748,0.128551,0.16221,0.119098,0.079321,0.277282,4.461264,5.294061,romantic
0.040108,1.304841,1.562375,2.275925,0.445262,0.124907,0.028826,0.000362,0.391893,0.202746,0.195508,0.087684,0.345949,0.230588,0.335534,0.122309,0.125878,0.09852,0.108847,0.056695,0.229356,45.25378,56.969595,romantic
0.049416,1.426893,1.541014,2.34812,0.307755,0.14837,0.029189,0.000171,0.443258,0.220857,0.193903,0.093057,0.392483,0.336851,0.334512,0.104604,0.105431,0.092899,0.108719,0.069824,0.249624,30.197134,25.401444,romantic
0.039803,1.300912,1.58279,2.418896,0.352169,0.132527,0.015419,0.000015,0.338555,0.169472,0.172374,0.080258,0.342774,0.743989,0.371507,0.134732,0.154967,0.119508,0.134434,0.073181,0.306601,5.488671,8.494839,romantic
0.057362,-0.04837,1.462086,2.621631,0.388175,0.160226,0.039548,0.000375,0.383073,0.21596,0.190765,0.092977,0.96095,0.325712,0.489668,0.14624,0.129081,0.133457,0.133266,0.107874,0.206724,57.396469,71.421159,romantic
0.045513,1.36663,1.540657,2.546717,0.324727,0.139597,0.021121,0.000047,0.456542,0.222403,0.193183,0.089187,0.439672,0.398782,0.479385,0.124538,0.133901,0.140021,0.143826,0.067397,0.233451,20.25416,10.427979,romantic
0.060178,0.313436,1.525104,2.398739,0.283501,0.138454,0.042834,0.000016,0.405497,0.211582,0.208096,0.111387,0.373109,0.379346,0.316902,0.127406,0.155297,0.143131,0.11084,0.050675,0.29985,4.830116,5.952851,romantic
