@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.050896,6.312058,0.000025,1.608192,2.906806,0.123304,0.048189,0.000018,2.34686,0.414791,0.326249,0.408578,0.383823,0.156112,0.124228,0.105613,0.261558,0.112072,8.674273,0.55933,1.002773,0.491541,58.66706,3.782746,1.23963,0.841825,0.569553,0.874803,0.071347,60.96968,6.108701,379.7164,1.419469,0.060571,0.247667,0.09838,0.00039,0.004916,2691.964,2.029196,0,0.909454,0.140669,0,0.082402,0.002978,553.3089,484121.3
0.02502,5.327814,0.000446,1.487187,2.738277,0.13183,0.010735,0.000572,2.102618,0.351203,0.409734,0.456596,0.30572,0.12323,0.129651,0.096447,0.140589,0.070579,35.810386,0.571561,1.003727,0.474895,63.62277,4.027166,1.240947,0.81386,0.81371,0.894638,0.136847,133.6108,6.174548,97.99649,0.467735,0.012181,0.065708,0.133124,0.000184,0.008308,9548.1,0.426879,0,0.918109,0.123555,0,0.075235,0.003148,274.3735,20990.17
0.038044,8.055471,0.000163,1.578716,2.791611,0.1319,0.01199,0.000152,3.273101,0.92249,0.876899,0.626304,0.36891,0.132865,0.126978,0.141693,0.344934,0.101373,17.982886,0.573884,1.002597,0.505149,71.59939,4.033675,1.210145,0.705834,0.708729,0.867451,0.125994,76.70727,6.880129,482.1849,1.150852,0.022877,0.046556,0.197208,0.000684,0.011503,2152.647,1.546846,0,0.977364,0.087261,0,0.022139,0.001372,428.9848,46069.46
0.055028,4.832506,0.000237,1.527316,2.454659,0.158898,0.037322,0.000242,2.56093,0.433051,0.278503,0.242777,0.3952,0.111881,0.097122,0.094748,0.182535,0.085035,26.868639,0.566267,1.003766,0.52228,86.51777,5.390289,1.399247,0.675129,1.085412,0.902206,0.113152,63.48364,5.891057,286.6217,1.438135,0.026433,0.057544,0.117064,0.000107,0.00998,3843.619,0.507528,0,0.946738,0.097104,0,0.050459,0.002862,635.3813,233465.1
0.04985,4.944009,0.000037,1.513645,2.661581,0.145944,0.032341,0.00007,2.645249,0.569534,0.283436,0.297839,0.401885,0.095257,0.103207,0.104889,0.270877,0.063392,23.630043,0.538594,1.006048,0.43353,73.63339,4.860527,1.370806,0.70979,0.940885,0.893743,0.084232,61.944,5.698691,515.2081,1.878196,0.033209,0.107635,0.612846,0.000295,0.008454,3761.628,0.971749,0,0.827563,0.098261,0,0.142797,0.003973,569.9874,274713
0.064393,4.743445,0.000267,1.43859,2.705499,0.170891,0.024353,0.000195,2.425202,0.312048,0.210331,0.223157,0.334736,0.101549,0.122808,0.094629,0.146256,0.083885,59.482585,0.574226,1.004803,0.504189,87.75625,5.356306,1.400256,0.588951,1.040548,0.897085,0.136979,94.98354,5.796193,103.2783,0.489291,0.010747,0.012848,0.150555,0.000105,0.012641,5504.404,0.312312,0,0.871505,0.103042,0,0.112059,0.003345,692.5023,88421.6
0.041792,8.017489,0.000114,1.472058,2.602835,0.136654,0.015949,0.000138,2.549904,0.748934,0.538249,0.632399,0.419913,0.127673,0.141207,0.152511,0.29315,0.072997,11.702394,0.598801,1.002611,0.493607,57.32005,3.739837,1.236954,0.594771,0.356839,0.876172,0.118152,147.3389,5.627464,478.7151,1.771392,0.046916,0.068711,0.04748,0.000321,0.010042,10095.49,1.6662,0,0.887483,0.115137,0,0.099923,0.002941,487.7793,64414.23
0.062282,6.964735,0.000075,1.533296,2.650945,0.167093,0.015802,0.000074,3.436013,0.329764,0.533901,0.670839,0.335703,0.136322,0.14123,0.134192,0.232191,0.09759,20.781642,0.543115,1.003142,0.517389,80.89752,4.91777,1.363741,0.481478,0.649703,0.878498,0.102315,121.1246,5.705258,450.9727,1.987851,0.030886,0.040889,0.072632,0.000239,0.006479,7474.317,0.429842,0,0.860186,0.109858,0,0.120346,0.003791,753.2283,94686.13
0.058846,5.096214,0.000118,1.452916,2.97286,0.147358,0.044876,0.000282,2.920259,0.468046,0.338461,0.280056,0.364796,0.113071,0.109786,0.113969,0.240029,0.069123,46.569845,0.563377,1.006842,0.50875,68.54342,4.753037,1.384453,0.672315,0.764152,0.888196,0.105274,66.51247,5.494068,532.0735,1.547409,0.042899,0.086715,0.433484,0.000294,0.010388,4195.803,1.662987,0,0.868842,0.116225,0,0.114032,0.004333,589.979,393410.7
0.022389,7.812137,0.0004,1.541452,2.991808,0.082967,0.007793,0.000171,1.883969,0.354958,0.395184,0.267251,0.444051,0.181974,0.180796,0.157095,0.215612,0.101572,14.15745,0.539271,1.003585,0.486269,50.24809,2.954359,1.037438,1.064248,0.533069,0.855302,0.04009,58.51253,7.65403,277.2554,0.902864,0.035562,0.287001,0.062301,0.000605,0.002464,2028.677,2.570045,0,0.989348,0.135167,0,0.010546,0.001435,260.8471,17629.24
0.02742,6.336355,0.000317,1.613274,2.493373,0.120445,0.012426,0.000187,2.375567,0.347523,0.348362,0.346702,0.412506,0.134313,0.160212,0.16637,0.219471,0.110784,19.833714,0.555726,1.003213,0.458717,66.59306,3.983255,1.216978,0.820072,0.847337,0.893517,0.120689,163.3053,6.65828,112.451,0.551891,0.015513,0.086368,0.158739,0.000185,0.009563,21379.64,0.709277,0,0.99534,0.14025,0,0.004642,0.001165,297.6821,19371.42
0.047291,5.606417,0.000054,1.489116,2.621543,0.142607,0.019338,0.000038,2.371923,0.612362,0.644541,0.371661,0.396731,0.131421,0.194532,0.172835,0.359005,0.088368,14.525078,0.577122,1.002914,0.478937,82.36292,5.209508,1.406358,0.654998,0.910969,0.885521,0.065566,41.1044,5.400087,1746.771,3.853515,0.036672,0.086641,0.51578,0.000555,0.007406,2552.29,2.546806,0,0.808921,0.093559,0,0.154671,0.00405,591.8906,111769.3
0.064294,4.408454,0.000153,1.473527,2.609365,0.166462,0.021968,0.000179,2.371495,0.601089,0.385448,0.437541,0.45875,0.125033,0.116905,0.125466,0.229852,0.081214,16.857065,0.570438,1.002506,0.480446,88.26042,5.771839,1.475545,0.533343,0.748805,0.893182,0.090053,62.01995,5.379165,483.715,2.07466,0.032695,0.029774,0.075115,0.000171,0.006339,2251.866,0.634344,0,0.922104,0.09851,0,0.071876,0.002525,695.1059,224446.4
0.035287,7.762594,0.000043,1.5099,2.628324,0.120293,0.015661,0.000035,2.560664,0.437878,0.473519,0.294369,0.359686,0.130614,0.119611,0.106509,0.18097,0.097302,13.477334,0.545003,1.002999,0.532513,60.0198,3.811103,1.203771,0.775243,0.506656,0.886725,0.120653,166.3638,6.377655,480.237,2.609995,0.067114,0.069138,0.090693,0.000235,0.006878,18648.63,1.928843,0,0.920107,0.084132,0,0.073559,0.002508,429.3446,116832.7
0.030633,5.302648,0.000134,1.480507,2.659048,0.115316,0.018083,0.000119,2.744333,0.233432,0.300479,0.306057,0.278263,0.131149,0.108891,0.129515,0.209711,0.10148,46.006132,0.56354,1.0062,0.459483,67.94062,4.629351,1.347301,0.836511,0.951337,0.89722,0.097694,93.82027,5.904164,190.7658,0.840884,0.023362,0.097809,0.231502,0.000188,0.006393,5311.126,0.732759,0,0.830892,0.119269,0,0.140604,0.00507,326.6114,41291.87
0.02954,4.86854,0.000022,1.495565,2.701323,0.100589,0.025526,0.000033,1.714557,0.37106,0.287921,0.269293,0.329844,0.11151,0.102689,0.100038,0.276678,0.089322,6.103022,0.571574,1.007268,0.425989,51.76452,3.989058,1.297576,1.018827,0.600252,0.880362,0.068099,33.43679,5.362283,503.0958,1.719699,0.043033,0.2855,0.323089,0.000449,0.007876,1426.887,1.698128,0,0.861518,0.091195,0,0.119384,0.003127,317.1322,94984.14
0.03377,5.185456,0.000326,1.487699,2.608965,0.130668,0.031155,0.000707,2.393735,0.4543,0.279729,0.333585,0.349642,0.113326,0.158447,0.10747,0.201281,0.071009,58.7164,0.58963,1.007356,0.559675,61.40929,4.452947,1.359669,0.733252,0.622534,0.895271,0.114497,104.8425,5.336399,339.6697,1.465998,0.029881,0.093664,0.244348,0.000178,0.006583,8022.2,0.701093,0,0.710386,0.071211,0,0.205875,0.00389,385.9735,177971.6
0.04362,8.256559,0.000143,1.434393,2.723623,0.141525,0.012385,0.000111,2.40435,0.499965,0.395308,0.401304,0.29775,0.131244,0.112115,0.100274,0.34478,0.080038,16.830041,0.570403,1.002956,0.479234,66.30875,3.872789,1.218314,0.648665,0.575568,0.882177,0.107356,99.35356,6.282824,265.4485,0.990011,0.026257,0.023427,0.080174,0.000225,0.006993,4769.435,0.941828,0,0.9747,0.122015,0,0.024676,0.001304,535.8604,49446.01
0.034341,2.947423,0.000499,1.477683,2.564875,0.125666,0.021627,0.000273,1.78001,0.354813,0.237336,0.224768,0.278795,0.100962,0.088691,0.093555,0.333192,0.085358,59.618811,0.589751,1.004343,0.483761,82.08455,5.634669,1.470929,0.699178,1.282149,0.903619,0.121647,57.10564,5.4308,184.9674,0.59975,0.013119,0.027561,0.141717,0.000072,0.016579,3593.48,0.292898,0,0.786951,0.090185,0,0.167771,0.005025,420.8413,74228.26
0.031982,5.59771,0.000603,1.485306,2.51874,0.130369,0.01861,0.000497,2.405652,0.282837,0.275524,0.298736,0.35419,0.133811,0.110873,0.118917,0.199848,0.071,23.685348,0.561447,1.002518,0.475001,68.12505,4.248129,1.259995,0.819274,0.906933,0.898552,0.122835,117.2998,6.26717,131.7745,0.948918,0.026311,0.074194,0.114941,0.000114,0.007285,10086.33,0.879662,0,0.92743,0.116457,0,0.067348,0.003133,349.3845,65288.34
0.07105,4.877746,0.000084,1.438168,2.677966,0.166613,0.030846,0.000118,2.419501,0.589814,0.433279,0.489276,0.418961,0.110213,0.141304,0.138044,0.282777,0.093089,13.611487,0.578322,1.002429,0.491434,72.65526,5.070502,1.436267,0.574577,0.528457,0.888533,0.093895,49.5539,4.9463,549.323,2.19406,0.038883,0.042781,0.046453,0.000191,0.007301,1776.872,0.559866,0,0.76032,0.090785,0,0.182355,0.003888,763.9532,309398
0.061586,5.516762,0.000071,1.479867,2.648761,0.180002,0.028334,0.000064,2.969309,0.585526,0.374116,0.389044,0.437769,0.097121,0.129476,0.107831,0.238973,0.071637,18.802407,0.56161,1.005284,0.51832,83.61608,5.216102,1.396513,0.574171,0.864217,0.890467,0.118532,123.8607,5.79593,368.2246,1.251351,0.02284,0.040257,0.161061,0.000241,0.00716,7320.577,0.551047,0,0.844208,0.087952,0,0.131609,0.003376,663.955,134047.9
