@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_stddev numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[1]_kurtosis numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_amean numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[5]_linregc1 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_amean numeric
@attribute output {romantic,notromantic}

@data
0.019394,0.017545,1.62658,-6.864682,-0.455773,2.641004,3.046055,2.037781,1.933193,0.018505,0.001732,0.421618,3.727625,0.076829,4.023698,0.000008,-0.110042,0.227564,0.004985,-0.000221,-0.000206,romantic
0.008495,0.007148,1.466397,-0.135523,-0.39515,1.970636,2.942017,-3.582534,2.435171,0.005213,0.000797,0.38705,5.031977,-0.174133,4.756271,-0.000006,0.00704,-0.141721,-0.003551,-0.000033,-0.000001,romantic
0.009747,0.008813,1.661604,-5.144265,-0.098175,3.157567,3.177874,-1.251369,2.379387,0.008851,0.001758,0.582102,4.739714,0.323961,4.408388,-0.000001,0.031779,0.208292,-0.002689,-0.000005,-0.000086,romantic
0.003313,0.004883,2.031073,-6.913595,-0.731394,4.277267,2.801357,-1.641535,3.062437,0.005818,0.000804,0.818039,4.408442,-0.061785,4.108219,0.000006,0.030439,0.007535,-0.000939,0.000007,0.00023,romantic
0.01851,0.017734,2.092402,-5.789108,-0.387052,3.212876,3.191828,2.863401,1.779061,0.024581,0.004015,1.134565,4.384099,0.774151,4.037219,0.000003,-0.359029,0.04456,-0.001891,-0.000007,-0.000002,romantic
0.013688,0.011152,1.365513,1.569525,0.665937,3.888889,3.299039,-4.249492,1.126928,0.010055,0.001206,0.497711,4.879992,-0.152965,3.538049,0.000017,0.142222,0.154244,0.000782,-0.00006,0.000052,romantic
0.024964,0.017282,1.820029,-10.83475,-0.272813,4.062891,3.695906,1.992697,1.945698,0.024866,0.003551,0.76501,5.24239,-0.10239,4.630566,0.000003,-0.189881,-0.168122,-0.002621,0.000027,0.000031,romantic
0.022099,0.015623,2.89674,-5.285053,-0.284308,3.99388,3.579032,-1.967995,2.851269,0.032497,0.003151,0.459362,4.057818,0.042241,3.428914,-0.000001,0.079401,0.123718,0.002755,0.000047,-0.000036,romantic
0.025629,0.017771,1.329619,-7.815214,-0.616461,3.652025,2.33434,2.352373,2.874205,0.01584,0.002191,0.490263,4.638808,-0.201465,4.834104,-0.000015,-0.064206,0.166443,-0.00012,-0.000024,-0.000032,romantic
0.014071,0.00771,1.093719,-5.792855,-0.274038,2.851517,2.973968,-0.635024,2.937244,0.008123,0.001292,0.646433,5.258704,0.238997,5.023928,0.000009,-0.028128,-0.122785,0.000378,0.000027,-0.000007,romantic
0.006155,0.004969,3.081074,-5.855324,-0.309952,2.523956,2.892331,2.318777,1.671913,0.011973,0.000903,0.414758,6.027566,0.117766,6.572501,0.000008,-0.258946,-0.062891,-0.002219,0.000047,-0.000125,romantic
0.012581,0.010066,1.532736,-5.328749,-0.133206,2.412739,3.260148,-1.042642,2.892905,0.020427,0.001777,0.680262,5.930357,0.034955,5.170012,0.000002,-0.011358,-0.069851,0.000433,-0.000024,0.000057,romantic
0.056859,0.024004,0.299402,-10.02637,1.088115,6.205858,3.706962,-1.664615,0.717634,0.01876,0.003932,0.490805,5.80817,0.201732,3.415278,0.000004,0.097945,-0.042849,0.000979,0.000018,-0.000005,romantic
0.011084,0.007524,5.387973,-2.358042,-0.630172,3.543501,2.727971,0.023042,4.754754,0.020088,0.001891,0.568559,5.253399,-0.053152,4.127374,0.000004,0.139228,-0.076201,-0.000968,0.000018,-0.000117,romantic
0.010266,0.008788,1.299826,-8.215707,-0.253873,3.638693,3.50658,1.345655,2.045217,0.01266,0.002355,1.556583,4.992023,0.165211,4.088218,0.000009,0.169661,0.028125,0.004801,0.000046,-0.000025,romantic
0.012571,0.005507,1.050142,-3.118485,-0.249633,3.111732,3.541173,-0.965344,1.224,0.0054,0.000917,0.586779,8.175799,0.030463,3.561652,-0.000005,-0.002748,-0.071365,-0.001985,-0.000015,-0.000013,romantic
0.025427,0.014497,1.930902,-7.044981,0.160624,3.044274,3.953996,-0.473856,1.848072,0.022957,0.003068,0.651136,4.375886,-0.120719,3.909464,0.000004,0.143267,-0.053527,0.002927,0.000015,-0.000018,romantic
0.068129,0.015421,0.721982,-13.78796,-0.302024,2.778998,3.103083,-1.21744,0.361956,0.020901,0.003835,0.47012,4.090907,0.555995,4.011999,-0.000005,0.198667,0.236648,0.003789,-0.000133,0.000068,romantic
0.018678,0.009164,1.224867,-3.821532,-0.222614,2.889517,2.614149,-6.913758,2.620175,0.010553,0.001818,0.926842,5.882425,-0.24964,4.133804,0.000008,0.150553,-0.142886,0.002297,0.000029,0.000022,romantic
0.008069,0.006436,1.357011,0.876204,-0.145064,3.83054,5.374898,-3.19415,2.983886,0.005447,0.000959,0.442874,4.269252,0.202269,4.997812,0.000008,-0.164084,0.020508,-0.004266,0.000058,0.000022,romantic
0.015916,0.012436,2.886367,-14.06103,-0.744859,2.769927,4.373518,-5.071503,1.562327,0.021759,0.002457,0.552281,4.072331,-0.097372,4.761932,-0.000002,-0.123041,-0.209836,0.000376,-0.000012,-0.000004,romantic
0.022526,0.009351,0.376933,-1.113691,0.164764,2.898911,4.036619,1.686287,0.525245,0.009775,0.001748,0.420408,3.971259,0.009941,3.580676,0.000003,0.082435,0.103246,-0.001725,-0.000005,0.000084,romantic
0.007874,0.003851,1.373153,-3.420697,-0.607811,3.719045,2.822749,-0.938766,5.16699,0.003829,0.000397,0.341986,6.033816,-0.060761,4.613785,0.000004,0.288725,0.016236,0.006198,-0.000022,0.000013,romantic
0.004718,0.002927,0.672526,-3.92658,-0.045768,3.647998,3.148744,-13.52489,2.29961,0.002567,0.000458,0.598668,4.607526,-0.281546,5.180173,0.000003,0.211168,-0.025891,0.000784,-0.000006,-0.000018,romantic
0.014829,0.012127,2.32002,-4.310294,-0.742903,4.214637,2.920188,-1.947565,4.200049,0.019236,0.002499,0.973267,4.283286,0.044111,4.478295,-0.000001,0.076583,0.206037,-0.000479,0.000027,-0.000021,romantic
0.014205,0.009296,2.934412,-5.874689,-0.867029,5.100194,2.986516,1.8467,4.346168,0.020465,0.002199,0.537353,4.488015,0.079256,4.069514,-0.000007,0.154429,0.040902,0.000399,0.000024,0.000033,romantic
0.007054,0.006113,2.470227,-7.945247,-0.763233,3.484673,3.210222,-0.408409,2.563844,0.008064,0.001151,0.618859,4.120018,0.097179,5.445406,0.000001,-0.440552,-0.140611,0.001564,0.000054,0.000087,romantic
0.006828,0.015261,4.438441,-0.734771,-1.174466,4.223669,3.649092,-8.645132,4.248279,0.027642,0.002457,0.66423,6.176944,-0.04725,6.007298,0,0.036544,-0.153136,0.000897,0.000059,-0.00005,romantic
0.017387,0.013425,1.541193,-8.36341,-0.731828,3.565287,2.770418,-2.294307,1.981076,0.018221,0.002345,1.178195,8.045904,0.238677,4.536274,0.000001,0.227837,0.153602,0.002061,-0.000004,-0.000124,romantic
0.037259,0.021729,1.19452,-5.672763,-0.753374,3.976542,3.587769,-2.458347,2.522967,0.021654,0.003329,0.836735,5.013249,0.092875,4.352357,0.000002,-0.147257,0.177333,0.004346,0.000057,0.000009,romantic
0.015705,0.014564,1.050726,-2.13432,-0.719826,4.319638,3.02769,-1.589227,3.866763,0.015061,0.002132,0.578163,6.443457,-0.11653,4.688907,-0.000016,-0.31825,-0.195546,0.004472,0.000028,-0.000035,romantic
0.010344,0.006011,1.255185,-3.360845,-1.465212,8.34817,2.893674,-3.447182,3.514081,0.005591,0.000889,0.489599,4.471769,-0.221274,4.385816,-0.000002,0.12132,-0.032573,-0.002881,0.000002,0.000084,romantic
0.03327,0.01959,1.598456,-7.017858,0.043057,2.358082,3.062509,0.497705,1.699958,0.036211,0.004273,0.588611,3.906434,0.081766,3.374506,-0.000001,-0.024602,0.044737,-0.001574,0.000044,-0.000013,romantic
0.019686,0.01516,2.557125,-7.359289,-1.229999,4.174653,2.970779,-2.337861,2.925417,0.018689,0.003522,0.636764,3.834368,-0.127086,3.609552,0.000003,0.123684,0.059738,-0.002397,0.00001,-0.000125,romantic
0.024098,0.009877,0.787558,-6.344307,-0.914128,3.911784,3.682982,-1.916866,3.8237,0.019058,0.002722,0.497046,4.636247,0.052996,4.380817,0,0.518681,-0.324329,0.0053,-0.000005,-0.000013,romantic
0.010932,0.007426,1.198125,0.30736,-1.164517,4.93241,2.975105,-9.701524,3.863592,0.007189,0.00115,1.411937,5.702218,0.019372,4.939804,0.000009,-0.57798,0.012025,0.000502,-0.000029,-0.000164,romantic
0.034931,0.016407,0.894225,-6.927457,0.622226,3.627564,2.664744,-0.125407,0.791537,0.018537,0.00292,0.610941,4.834466,0.435311,4.385702,0.000003,-0.039628,0.073521,-0.000637,-0.000029,-0.000021,romantic
0.010546,0.009569,2.139917,-1.805777,0.516914,3.096184,3.004309,0.865372,1.941471,0.020534,0.001615,0.393369,4.505696,-0.284759,5.076537,0.000002,-0.070587,-0.423976,-0.003268,0.000027,0.000016,romantic
0.020627,0.00793,0.401014,-5.803162,-0.124913,3.935359,2.529027,1.696249,3.203309,0.009607,0.001074,0.43373,4.750505,0.008667,3.598894,-0.000004,0.354478,-0.143098,0.000096,0.000039,-0.000043,romantic
0.006999,0.004604,0.618277,-3.62764,-0.736821,3.310807,3.687587,2.277704,1.573112,0.004168,0.000757,0.589117,5.031497,0.147869,4.815945,0.000003,0.10463,0.067501,0.006197,-0.000075,-0.000044,romantic
0.008978,0.017035,2.046305,-2.447056,-0.811651,4.122311,3.013234,1.489028,3.848587,0.015022,0.002208,0.803352,4.165388,-0.11776,4.176801,0.000002,0.1138,0.233254,-0.005905,0.00009,0.000083,romantic
0.009286,0.008993,2.444746,2.791274,-1.452347,5.477122,3.309395,-11.56244,1.788943,0.007045,0.000993,0.762548,5.502003,-0.070669,5.798294,0.000009,0.012343,0.06926,0.002711,0.000027,0.000006,romantic
0.001953,0.003543,3.509292,-3.271765,-1.089127,6.173426,2.613007,-4.949959,6.151969,0.006369,0.000454,0.296022,5.207429,0.011241,4.101501,0.000006,0.209187,0.037706,-0.001879,-0.000087,-0.000141,romantic
0.011434,0.013309,1.718837,-4.265511,-1.15373,3.781318,2.875191,-4.986379,2.101467,0.010675,0.001527,0.562845,4.714664,-0.045272,4.833589,-0.000005,-0.093815,0.297179,0.000941,-0.000056,0.000003,romantic
0.048841,0.030725,1.789724,-12.5448,-0.612438,3.289333,3.245848,-2.77794,1.2529,0.03669,0.00743,0.854251,4.719787,0.220481,3.857875,0.000004,0.41156,0.202144,-0.001089,0.000084,-0.000103,romantic
0.006099,0.004939,1.26452,-5.941272,-0.37435,2.808598,3.072738,-0.813671,2.348805,0.008731,0.00099,0.588461,4.778763,0.077519,4.722715,-0.000001,-0.032501,0.180871,-0.00159,0.000048,-0.000092,romantic
0.003626,0.005949,3.597722,-0.654608,-0.905747,4.218508,4.191429,1.799936,3.196045,0.013391,0.001119,0.610965,7.947203,-0.833992,7.935418,-0.000003,0.023446,-0.028423,-0.005107,-0.000047,0.00014,romantic
0.022588,0.016074,0.472467,-7.492516,-0.255566,2.285784,4.155166,-5.320081,1.220066,0.013812,0.002144,0.540108,5.135919,-0.125178,4.099415,-0.000001,0.599349,0.128755,-0.003911,-0.000014,-0.000056,romantic
0.009716,0.021188,4.21952,-6.731693,-1.279256,5.430126,3.244447,-1.385493,3.994674,0.026277,0.002691,0.460654,4.862422,0.050951,4.696947,0.000004,-0.056144,0.034179,-0.002446,0.000047,-0.000018,romantic
0.028228,0.018344,2.062199,-7.639527,-0.461509,2.82548,3.210829,-0.931603,1.807819,0.023908,0.004395,0.480969,3.891768,0.276908,3.774572,-0.000001,-0.064621,-0.033371,-0.000096,-0.000027,-0.000089,romantic
0.018569,0.026362,1.889796,-1.19422,-0.757562,2.911713,3.524454,-0.519511,1.489416,0.014027,0.0023,0.539868,4.206305,-0.150977,5.209574,0,0.201281,0.036872,0.00255,0.000045,-0.000007,romantic
0.04455,0.026338,1.244701,-8.270472,-0.471586,3.501426,3.087821,0.076964,2.278961,0.033817,0.005914,0.938988,5.420373,0.19569,3.053396,0.000003,0.061792,0.040611,0.001882,0.000021,-0.000063,romantic
0.008529,0.010602,2.364964,-5.224267,0.04366,3.211234,2.755206,-0.768867,3.496957,0.01111,0.001452,0.576518,5.445451,-0.039925,4.772137,-0.000001,0.147771,-0.048728,0.002521,-0.000008,-0.000128,romantic
0.008399,0.009549,3.058536,8.188938,-0.900219,3.926806,2.981214,4.282959,4.823334,0.017282,0.001538,0.522717,5.225481,0.367245,5.434527,-0.000007,0.507013,0.043065,-0.001742,-0.000145,-0.000112,romantic
0.016322,0.009175,1.58178,-5.246894,-0.466039,4.215634,2.669587,0.166404,1.385732,0.017048,0.002303,0.684613,4.700348,0.202708,4.378948,-0.000007,0.088514,0.288462,-0.005623,0.000004,0.00011,romantic
0.025582,0.016483,0.820137,0.073019,-1.484497,6.244051,2.850149,-2.482989,3.767995,0.0109,0.001859,0.542224,6.573038,-0.106475,4.698144,-0.000017,-0.153405,-0.063335,0.001282,0.000027,0.000023,romantic
0.016596,0.019496,3.533615,-7.169191,-1.28198,5.339417,3.440388,-1.156796,3.179127,0.049091,0.00378,0.737238,4.824302,-0.462479,5.021723,-0.000007,0.074109,0.008351,-0.00222,-0.000026,-0.000067,romantic
0.00522,0.003456,1.202478,-11.67898,-0.236603,3.666291,3.119972,-4.979852,2.117453,0.005267,0.001123,1.32157,3.330113,0.373501,3.288599,0,-0.220995,0.022276,-0.0009,-0.000035,-0.000019,romantic
0.010479,0.009511,1.759337,-0.528348,-0.708019,4.015235,2.610866,-2.589988,2.047267,0.006521,0.001032,0.469499,5.718992,0.079097,4.834205,0.000007,0.002256,-0.123698,-0.001601,0.000068,-0.000028,romantic
0.027011,0.023385,0.753287,-5.357383,-0.348122,3.366975,2.787316,-0.059239,2.409916,0.02292,0.004947,1.269488,3.890381,-0.039753,4.10457,0.000002,-0.173706,-0.138328,0.004809,0.00001,-0.000016,romantic
0.035445,0.021714,0.98925,-9.274051,0.105192,3.140276,2.878674,1.503513,1.833414,0.028392,0.005165,0.688143,4.406431,0.056858,4.207583,0.000006,0.113772,0.082139,-0.001387,0.000076,0.000164,romantic
0.004173,0.001803,1.118837,4.253268,-0.529614,3.255192,2.849217,-0.944366,1.431736,0.001616,0.000291,2.19137,3.601189,0.117055,3.474296,0.000004,-0.007061,0.062452,-0.001874,0.000018,-0.000031,romantic
0.018048,0.008392,2.140526,-10.52734,-0.353116,3.829731,2.783659,4.519634,2.913753,0.011023,0.001382,0.468851,4.374395,0.085457,4.154386,0.000002,0.237478,-0.029357,-0.000622,-0.000402,-0.000015,romantic
0.025009,0.010489,1.35408,-3.680179,-0.735927,4.848568,3.594321,-4.553038,4.062311,0.008857,0.001027,0.258098,3.493649,0.161879,3.342288,0.000004,0.208387,0.060379,-0.000567,-0.000016,-0.000028,romantic
0.008786,0.017235,1.129196,-4.178464,-0.170695,4.739334,3.546062,-5.406464,3.913052,0.017667,0.003149,0.66038,4.180019,-0.098906,5.728789,-0.000004,0.450317,0.10417,0.004152,0.00005,0.000061,romantic
0.01224,0.011018,3.787928,-3.447848,-1.270674,5.848027,2.669686,-7.799345,3.962047,0.022992,0.001843,0.531721,4.060114,0.027787,4.056394,0.000003,-0.187221,0.228284,0.000925,0.000037,0.000076,romantic
0.013841,0.008623,2.155782,-2.667334,-1.071371,4.124764,2.81793,0.417154,2.809601,0.01449,0.001948,0.779397,3.993543,0.048028,3.700602,0.000007,-0.039778,0.222575,-0.000539,0.000018,0.000084,romantic
0.019114,0.013496,1.043764,-3.6476,-0.248574,3.674815,2.843534,-0.277883,3.294751,0.013886,0.001719,0.421675,5.963113,0.091579,4.04868,0,-0.045048,-0.267393,-0.001898,-0.000003,-0.000039,romantic
0.030262,0.011925,0.985934,-11.65934,-0.157052,2.98561,2.975464,-4.661837,-0.224693,0.011165,0.002032,0.414306,4.877704,0.376273,4.640556,0.000003,0.28813,0.16687,-0.003514,-0.000079,-0.000162,romantic
0.006453,0.004425,2.330242,-6.407316,-0.952117,3.782458,2.805894,-4.517529,2.572749,0.007053,0.000846,0.807329,4.673538,-0.282361,3.754229,-0.000005,-0.013904,0.05886,-0.00466,0.000032,-0.000023,romantic
0.003449,0.002284,0.576511,-4.38419,0.502768,2.673464,2.838158,6.879073,1.206459,0.00188,0.000363,0.849523,4.403231,0.306463,4.442027,-0.000007,-0.220522,0.141394,0.003071,0.000066,0.000054,romantic
0.012776,0.00952,3.521994,-4.366365,-1.288687,7.242714,3.272048,-9.742627,6.394438,0.007975,0.001217,0.35154,4.217895,0.065242,4.308066,-0.000001,0.106807,0.090746,-0.000728,-0.000019,-0.000042,romantic
0.01098,0.005357,1.010351,1.658426,-1.060659,4.548373,3.77936,0.350792,1.711273,0.009996,0.000935,0.315806,5.35685,0.273596,4.252307,0.000002,0.098482,-0.198018,0.000467,-0.000003,0.000108,romantic
0.012399,0.005736,1.912382,-5.161278,-0.224917,4.90243,2.841908,-13.16186,7.974444,0.00748,0.001109,0.530454,4.680592,0.084539,4.6632,-0.000002,-0.382231,-0.32769,0.000801,0.000045,0.000007,romantic
0.018814,0.017973,1.558346,-3.732107,-0.2551,2.885402,2.569635,-7.805722,2.366635,0.017212,0.002499,0.654509,4.567988,0.122858,3.836392,-0.000003,0.029982,0.442157,0.002789,0.000046,-0.000013,romantic
0.024077,0.018695,2.401131,-8.571368,-0.814588,4.713133,3.566234,-4.83359,2.828887,0.035281,0.004075,0.824688,4.523787,-0.226537,4.474378,-0.000006,-0.405573,0.076832,-0.003129,0.000015,-0.000001,romantic
0.017294,0.006812,1.164507,-7.990657,-0.856045,3.997496,2.901546,3.092108,2.172346,0.006719,0.001102,0.290368,4.61076,0.426382,3.734917,0.000005,-0.167203,0.096055,0.003122,0.000022,0.000002,romantic
0.024109,0.017323,1.768309,0.157275,-0.269983,2.448671,3.328369,-6.090103,3.666407,0.023916,0.004443,0.842302,5.368101,-0.007568,3.933703,-0.000001,0.981204,0.26769,0.001252,-0.000021,-0.000189,romantic
0.021172,0.011959,1.517736,-9.81375,-0.273224,3.917122,2.87813,-2.042692,1.851676,0.013519,0.00205,0.631468,4.042381,0.432616,4.063681,-0.00001,-0.194192,0.101621,-0.000444,-0.00004,0.000047,romantic
0.017778,0.020317,2.480464,-4.509747,-0.659145,4.25736,3.425831,-2.204491,3.238724,0.028804,0.003635,0.732328,4.432393,-0.192164,5.109282,0.000006,0.108808,0.019749,0.000993,0.000035,0.000153,romantic
0.038095,0.008741,3.813821,-13.71506,-0.56091,4.17061,2.898248,-2.907021,2.073421,0.017707,0.002113,0.353411,3.863538,0.136295,3.166066,-0.000001,-0.056328,-0.198492,0.000497,-0.000034,-0.000002,romantic
0.004463,0.003224,3.390133,-4.588161,-0.836023,4.876877,3.187307,3.28307,4.703881,0.004667,0.000666,0.541882,4.243888,-0.085418,4.352765,-0.000002,-0.220083,0.031995,-0.001508,0.000006,0.000076,romantic
