@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute output {romantic,notromantic}

@data
1.21717,75.52494,0.152336,0.005257,romantic
1.56648,50.40662,0.007429,0.00953,romantic
1.254922,100.4124,0.099277,0.00303,romantic
1.347703,35.07129,0.038181,0.01224,romantic
1.32274,82.3768,0.088457,0.005369,romantic
1.250206,42.16552,0.046471,0.010264,romantic
1.392398,100.9218,0.008219,0.016986,romantic
1.414629,89.0587,0.069592,0.007716,romantic
1.350592,85.31716,0.030078,0.005961,romantic
1.353481,110.5758,0.036399,0.003893,romantic
1.230227,79.86032,0.15845,0.004845,romantic
1.337374,51.77673,0.04287,0.009537,romantic
1.25431,122.3629,0.056924,0.007305,romantic
1.079172,155.2047,0.101048,0.012046,romantic
1.301063,39.90031,0.145052,0.002662,romantic
1.122801,106.1993,0.07229,0.006069,romantic
1.102469,86.15623,0.043366,0.004836,romantic
1.40278,132.9527,0.037568,0.006858,romantic
1.372217,34.17953,0.019914,0.004623,romantic
1.350998,55.17731,0.084092,0.004311,romantic
1.054712,104.4768,0.234036,0.003885,romantic
1.506182,51.4607,0.019441,0.011405,romantic
1.33275,93.73117,0.023532,0.00979,romantic
1.349551,81.70352,0.177149,0.005665,romantic
1.38708,135.5778,0.028947,0.018996,romantic
1.437108,49.95555,0.074774,0.007219,romantic
1.65609,15.79906,0.042405,0.005396,romantic
1.179606,332.2546,0.025197,0.021298,romantic
1.371712,48.222,0.024598,0.012428,romantic
1.416468,136.2412,0.038056,0.01394,romantic
1.222028,48.8197,0.185254,0.003258,romantic
1.242095,128.6412,0.057201,0.005262,romantic
1.339444,84.53054,0.081414,0.005756,romantic
1.171583,91.84317,0.13951,0.026856,romantic
1.160088,166.1819,0.159458,0.007136,romantic
1.201984,62.10265,0.095509,0.006017,romantic
1.247836,53.62759,0.221515,0.00388,romantic
1.52402,52.91644,0.04618,0.010016,romantic
1.376704,147.7588,0.0529,0.010648,romantic
1.383262,91.35052,0.026027,0.004802,romantic
1.262942,100.6292,0.049443,0.008137,romantic
1.298389,36.07704,0.158886,0.0085,romantic
1.406018,75.08418,0.048895,0.00611,romantic
1.192685,79.84601,0.135756,0.00761,romantic
1.335278,51.71152,0.105416,0.003043,romantic
1.346872,84.73969,0.129372,0.00407,romantic
1.415578,54.31625,0.028936,0.007982,romantic
1.58434,37.66644,0.00568,0.026436,notromantic
1.547191,44.15475,0.02468,0.010084,notromantic
1.396702,14.96793,0.135163,0.012619,notromantic
1.485387,19.76825,0.030287,0.006762,notromantic
1.364704,96.6728,0.019052,0.018079,notromantic
1.322379,24.13971,0.0508,0.010967,notromantic
1.263663,21.97851,0.09876,0.005223,notromantic
1.503183,50.13089,0.02462,0.014337,notromantic
1.503183,50.13089,0.02462,0.014337,notromantic
1.357732,62.36436,0.033899,0.0069,notromantic
1.357732,62.36436,0.033899,0.0069,notromantic
1.421614,15.54126,0.026491,0.010108,notromantic
1.325035,28.58048,0.13324,0.008007,notromantic
1.50014,134.4754,0.014182,0.019914,notromantic
1.50014,134.4754,0.014182,0.019914,notromantic
1.363813,91.45646,0.044816,0.007189,notromantic
1.68917,16.89071,0.016456,0.013553,notromantic
1.68917,16.89071,0.016456,0.013553,notromantic
1.297793,194.6522,0.072378,0.033205,notromantic
1.515703,72.52674,0.020828,0.010039,notromantic
1.515703,72.52674,0.020828,0.010039,notromantic
1.472095,42.70353,0.046676,0.004816,notromantic
