@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_19 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_20 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute output {jazzy,notjazzy}

@data
-0.397152,6.545483,3.503107,0.577375,0.908007,0.200764,0.07585,0.080112,0.114847,0.125288,jazzy
-0.110529,6.388481,3.428899,0.41007,0.679433,0.104399,0.064601,0.064986,0.059352,0.054765,jazzy
0.199817,6.930113,3.300681,0.487233,0.766875,0.129397,0.074994,0.077927,0.075688,0.083045,jazzy
-0.619199,5.907561,2.80601,0.508029,0.78324,0.118208,0.070372,0.06618,0.061867,0.033594,notjazzy
-0.310468,5.92415,4.862696,0.459749,0.84448,0.169613,0.104237,0.100632,0.066215,0.047674,notjazzy
2.307057,4.825183,5.05597,0.40047,0.779992,0.114518,0.067069,0.070148,0.083867,0.064279,notjazzy
0.775202,5.798727,2.649229,0.483688,0.902472,0.10364,0.070415,0.066963,0.068862,0.032404,notjazzy
-0.36915,5.80019,2.069749,0.381241,0.551793,0.10892,0.081029,0.071776,0.06159,0.043693,notjazzy
0.705233,6.215845,3.952994,0.471203,0.836828,0.120267,0.077568,0.072833,0.061827,0.044086,notjazzy
0.992871,6.136737,4.676874,0.47987,1.05235,0.139008,0.079078,0.071921,0.087551,0.08288,notjazzy
-0.491048,5.904505,3.083358,0.46148,0.799575,0.113017,0.076302,0.076128,0.065858,0.037411,notjazzy
-0.491048,5.904505,3.083358,0.46148,0.799575,0.113017,0.076302,0.076128,0.065858,0.037411,notjazzy
0.363504,7.148652,3.236902,0.467205,0.75172,0.134982,0.083478,0.087308,0.0632,0.051659,notjazzy
0.363504,7.148652,3.236902,0.467205,0.75172,0.134982,0.083478,0.087308,0.0632,0.051659,notjazzy
-1.330406,6.364204,3.930524,0.487382,0.877959,0.110272,0.072686,0.073592,0.066999,0.043873,notjazzy
0.00361,7.037606,2.86779,0.435679,0.7331,0.140105,0.086555,0.084525,0.051788,0.039039,notjazzy
0.00361,7.037606,2.86779,0.435679,0.7331,0.140105,0.086555,0.084525,0.051788,0.039039,notjazzy
0.694084,6.425488,3.122766,0.40733,0.681407,0.132531,0.075094,0.087778,0.068142,0.039264,notjazzy
-0.637377,6.043386,4.369531,0.419261,0.728883,0.133384,0.073827,0.071754,0.088121,0.057961,notjazzy
-0.637377,6.043386,4.369531,0.419261,0.728883,0.133384,0.073827,0.071754,0.088121,0.057961,notjazzy
-1.75124,8.979217,2.472647,0.476946,0.822436,0.16429,0.076207,0.070359,0.074721,0.178124,notjazzy
0.777338,5.799752,2.42137,0.389907,0.80454,0.112026,0.072681,0.069506,0.074951,0.05255,notjazzy
-0.51674,8.042478,2.368073,0.475752,0.816654,0.129006,0.076687,0.070462,0.096723,0.049893,notjazzy
-0.51674,8.042478,2.368073,0.475752,0.816654,0.129006,0.076687,0.070462,0.096723,0.049893,notjazzy
-0.51674,8.042478,2.368073,0.475752,0.816654,0.129006,0.076687,0.070462,0.096723,0.049893,notjazzy
-0.113014,6.585034,1.459419,0.365988,0.66248,0.110574,0.059346,0.056846,0.065501,0.094899,notjazzy
0.691982,7.274146,3.707199,0.417924,0.749952,0.138048,0.072256,0.072059,0.107197,0.142951,notjazzy
0.919007,6.041073,2.842946,0.414134,0.796347,0.147476,0.075714,0.065454,0.093908,0.143233,notjazzy
-0.138577,6.23797,1.919484,0.453836,0.866534,0.114119,0.077895,0.074416,0.064403,0.045135,notjazzy
0.554596,5.721287,3.570577,0.482706,0.660287,0.203528,0.089011,0.085701,0.121056,0.285514,notjazzy
0.554596,5.721287,3.570577,0.482706,0.660287,0.203528,0.089011,0.085701,0.121056,0.285514,notjazzy
0.554596,5.721287,3.570577,0.482706,0.660287,0.203528,0.089011,0.085701,0.121056,0.285514,notjazzy
0.753521,6.022517,2.434194,0.455223,0.730414,0.125478,0.073527,0.074029,0.082341,0.048453,notjazzy
-0.397619,6.287728,4.789478,0.524798,1.018011,0.122513,0.080901,0.084008,0.076983,0.038612,notjazzy
0.424226,7.425105,2.502251,0.500376,0.688796,0.148084,0.076442,0.081913,0.064435,0.068804,notjazzy
0.424226,7.425105,2.502251,0.500376,0.688796,0.148084,0.076442,0.081913,0.064435,0.068804,notjazzy
0.424226,7.425105,2.502251,0.500376,0.688796,0.148084,0.076442,0.081913,0.064435,0.068804,notjazzy
-0.452295,6.814581,2.794302,0.506484,0.870187,0.122969,0.07608,0.075257,0.119384,0.050495,notjazzy
-0.076535,6.218931,2.542908,0.400128,0.733159,0.175008,0.076166,0.064168,0.071031,0.150933,notjazzy
-0.076535,6.218931,2.542908,0.400128,0.733159,0.175008,0.076166,0.064168,0.071031,0.150933,notjazzy
-0.076535,6.218931,2.542908,0.400128,0.733159,0.175008,0.076166,0.064168,0.071031,0.150933,notjazzy
-1.317457,6.544437,3.386896,0.408844,0.800708,0.136407,0.066291,0.070831,0.10347,0.046552,notjazzy
-1.317457,6.544437,3.386896,0.408844,0.800708,0.136407,0.066291,0.070831,0.10347,0.046552,notjazzy
-0.963616,7.640618,2.636006,0.489293,0.759105,0.169454,0.086861,0.088968,0.060979,0.144253,notjazzy
-0.963616,7.640618,2.636006,0.489293,0.759105,0.169454,0.086861,0.088968,0.060979,0.144253,notjazzy
-0.963616,7.640618,2.636006,0.489293,0.759105,0.169454,0.086861,0.088968,0.060979,0.144253,notjazzy
-0.216116,7.958646,2.340021,0.510862,0.843116,0.115136,0.066144,0.062766,0.049457,0.139868,notjazzy
0.563285,7.477649,2.530807,0.440199,0.752266,0.131161,0.069869,0.07277,0.09809,0.107311,notjazzy
0.563285,7.477649,2.530807,0.440199,0.752266,0.131161,0.069869,0.07277,0.09809,0.107311,notjazzy
-0.351955,5.896546,3.028668,0.371932,0.699956,0.130841,0.068701,0.066377,0.092,0.160361,notjazzy
-0.620156,5.867522,3.786122,0.52128,0.82161,0.123804,0.076645,0.077207,0.057446,0.037852,notjazzy
-0.441324,6.718972,3.95139,0.496841,0.831431,0.17106,0.080891,0.087647,0.089625,0.129667,notjazzy
