@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_13 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_16 numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {jazzy,notjazzy}

@data
1.028975,0.528565,4.288822,0.475123,0.633043,0.076857,0.074669,0.098281,0.110544,0.030341,0.179994,0.190125,56.62342,3.931272,1.275663,0.791387,0.536748,0.886532,0.108764,82.97818,5.63043,353.4616,1.283737,0.037826,0.080086,0.132069,0.000335,0.011666,9684.064,0.84823,0,0.750999,0.085891,0,0.187124,0.00457,415.3201,270145.6,jazzy
0.293358,0.507814,2.018312,0.481452,0.608282,0.081253,0.076587,0.11664,0.093447,0.051846,0.18643,0.195652,88.26042,5.771839,1.475545,0.533343,0.748805,0.893182,0.090053,62.01995,5.379165,483.715,2.07466,0.032695,0.029774,0.075115,0.000171,0.006339,2251.866,0.634344,0,0.922104,0.09851,0,0.071876,0.002525,695.1059,224446.4,jazzy
0.26427,0.617371,3.65399,0.498001,0.579324,0.076774,0.076617,0.087376,0.062845,0.03409,0.172702,0.185606,85.66546,5.785919,1.489267,0.615371,1.128513,0.896201,0.118527,72.29633,5.353416,435.8444,1.875137,0.035729,0.060538,0.381852,0.000205,0.012854,5170.808,0.647986,0,0.860186,0.116003,0,0.120346,0.00401,812.6103,319349.7,jazzy
1.375545,0.425278,4.080751,0.576178,0.70245,0.082214,0.083839,0.077715,0.055052,0.023944,0.179588,0.190838,79.18851,5.072819,1.388145,0.630852,0.878758,0.896237,0.069751,53.15044,5.65962,441.3963,1.142148,0.016905,0.073834,0.220415,0.000244,0.008871,3873.598,0.565803,0,0.832224,0.100274,0,0.13972,0.004766,468.8406,54332.68,jazzy
0.964649,0.525636,2.976071,0.360945,0.580013,0.073969,0.078604,0.075306,0.045798,0.027984,0.177252,0.190368,62.70412,4.071407,1.267113,0.91254,0.905616,0.891621,0.086081,67.27771,6.253234,155.0617,0.79933,0.025985,0.151445,0.337151,0.000234,0.005811,4526.26,1.229141,0,0.766977,0.104484,0,0.178842,0.005377,354.6911,86430.86,jazzy
0.948469,0.525972,5.009832,0.529296,0.669128,0.067734,0.068979,0.103068,0.092367,0.0249,0.181541,0.192667,57.54395,3.574767,1.153719,1.171584,0.853556,0.883183,0.042904,39.79175,6.750889,429.0712,0.863101,0.019366,0.292112,0.480344,0.000455,0.004966,3694.256,1.578773,0,0.926099,0.093825,0,0.068486,0.002378,232.2376,21336.33,jazzy
-1.317457,0.535875,3.386896,0.408844,0.552079,0.066291,0.070831,0.100057,0.046552,0.031109,0.180062,0.190828,79.13048,4.736278,1.334113,0.669986,1.032055,0.889492,0.069013,39.45985,5.954416,589.6779,1.529155,0.024325,0.093355,0.498293,0.000162,0.006647,2284.232,1.426797,0,0.890147,0.122009,0,0.097851,0.003847,642.0856,134177.3,jazzy
1.78283,0.552681,4.977484,0.521238,0.520367,0.072233,0.075283,0.067056,0.048572,0.02192,0.178285,0.188071,65.0683,4.614803,1.373332,0.952909,0.899693,0.888559,0.102981,27.23244,5.405639,498.1113,1.6605,0.04395,0.392211,0.585096,0.000276,0.013868,858.6157,2.112787,0,0.94474,0.134266,0,0.052241,0.002826,567.0136,173105,jazzy
-0.769308,0.526876,3.065782,0.61663,0.595826,0.071432,0.076939,0.099586,0.090123,0.038336,0.167358,0.17611,87.71217,6.239972,1.579423,0.429121,0.65406,0.879883,0.091331,49.30366,4.613521,671.281,3.736615,0.051963,0.027639,0.063472,0.000353,0.008529,2811.484,0.411655,0,0.904128,0.110389,0,0.086738,0.003334,1190.961,459319.4,jazzy
-0.338982,0.4497,3.782129,0.414842,0.56335,0.068907,0.068493,0.090146,0.107857,0.027665,0.17101,0.186712,72.45953,4.75121,1.337425,0.650604,0.699084,0.877503,0.076639,49.44928,5.624558,559.5868,3.271689,0.066993,0.110349,0.095423,0.000273,0.008478,2757.345,1.128221,0,0.945406,0.122022,0,0.051648,0.003056,684.2174,294671.5,jazzy
