@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute output {lonely,notlonely}

@data
60.35212,1.271521,0.745954,0.896628,133.5562,5.863801,0.000362,0.007697,0.570898,lonely
76.36793,1.383064,0.652646,0.8913,88.65805,5.802227,0.0002,0.005889,0.942339,lonely
81.68624,1.435858,0.587492,0.887858,44.07419,5.556069,0.000327,0.008325,0.688624,lonely
51.89347,1.035776,0.694973,0.846189,257.7213,6.808462,0.000571,0.017589,1.490609,lonely
83.07221,1.437757,0.560784,0.899838,62.51976,5.425181,0.000097,0.006758,0.185113,lonely
63.18002,1.148567,0.602024,0.8664,101.0439,6.840905,0.000342,0.002331,1.467545,lonely
41.02065,0.923202,1.143048,0.829084,59.75738,9.221183,0.000682,0.004479,9.495582,lonely
92.51441,1.41909,0.586019,0.891795,135.3981,5.99817,0.000179,0.003932,0.576588,lonely
71.59939,1.210145,0.705834,0.867451,76.70727,6.880129,0.000684,0.011503,1.546846,lonely
58.83446,1.292425,0.874305,0.886002,90.36474,5.76113,0.00061,0.007787,1.544414,lonely
64.17439,1.261751,0.724075,0.884901,90.17286,5.923719,0.000179,0.004564,1.039192,lonely
52.60515,0.935048,0.741817,0.846841,196.245,8.868483,0.000212,0.005551,1.100199,lonely
63.95296,1.371172,0.557342,0.876721,64.53847,5.099857,0.000487,0.005853,1.09205,lonely
81.15345,1.336339,0.630132,0.884937,116.8934,6.198224,0.000213,0.008392,1.253302,lonely
59.90077,1.254031,0.788449,0.885432,59.88974,5.956501,0.000505,0.007085,1.698898,lonely
54.62612,1.073257,0.823555,0.868692,103.0681,7.400315,0.00085,0.004131,2.681218,lonely
102.5414,1.598769,0.543342,0.903562,31.7828,5.25748,0.000112,0.006696,0.320804,lonely
77.39306,1.433259,0.607189,0.90104,217.6943,5.304564,0.000133,0.018945,0.461833,lonely
61.36501,0.977715,0.703714,0.847499,68.93034,8.845044,0.000652,0.003961,4.212712,lonely
55.71378,1.13514,1.045268,0.889358,62.46966,6.89017,0.00026,0.006816,0.849567,lonely
83.78442,1.471868,0.409867,0.880414,83.32015,5.116812,0.000203,0.009205,0.28796,lonely
61.73866,1.493512,0.762745,0.880383,22.58862,5.219787,0.000465,0.002112,2.095999,lonely
91.32434,1.433197,0.603907,0.888794,73.38902,5.632552,0.000195,0.008678,0.306301,lonely
69.48446,1.251894,0.612512,0.885037,60.00738,6.447853,0.000194,0.003398,1.5317,lonely
63.8836,1.418355,0.704543,0.899845,137.4298,5.106296,0.000166,0.011782,0.972295,lonely
63.78683,1.324396,0.766985,0.889558,39.04234,5.618176,0.000251,0.008205,1.77959,lonely
77.71192,1.357804,0.532727,0.889583,99.58461,5.8637,0.00024,0.003777,0.807876,lonely
51.09345,1.386242,0.602678,0.879423,31.72426,4.384649,0.000345,0.003739,0.581303,lonely
68.48413,1.348898,0.620347,0.887846,129.7347,5.574574,0.000394,0.01477,1.056305,lonely
95.69797,1.617197,0.493589,0.894227,50.07864,4.940692,0.000185,0.006211,0.321584,lonely
63.55773,1.264919,0.530604,0.889766,159.6379,6.051539,0.000207,0.006896,0.730528,lonely
63.19736,1.192588,0.644936,0.873972,120.7924,6.594172,0.000359,0.002936,0.937572,lonely
64.62934,1.217574,0.77107,0.88106,113.3137,6.245331,0.000163,0.005927,0.330253,lonely
49.11276,1.226004,0.572062,0.857803,81.96549,5.538654,0.000724,0.003674,1.975123,lonely
55.75513,1.486667,0.565722,0.881111,37.20029,4.25877,0.000322,0.005382,0.603661,lonely
72.58076,1.259842,0.60558,0.888329,117.8099,6.362303,0.000214,0.003987,0.62034,lonely
