@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {lonely,notlonely}

@data

0.000003,2.631957,1.100666,-7.899262,-5.941639,8.129359,22.15325,19.6608,3.923852,-13.58451,1.001469,-3.23436,0.000766,-4.377824,-2.620772,-19.21545,-3.397094,-2.909368,-2.632389,11.56156,0.346643,0.336963,0.346518,0.31673,1.387371,0.017983,0.002416,0.000003,-0.005272,-1.512674,3.128202,3.480658,0.904682,-0.203427,3.197752,0.00006,8.241042,lonely
0.000002,1.258247,12.17896,-5.984587,-6.852822,26.13133,35.93581,31.37003,4.57331,-28.43487,-10.01437,-1.992737,-0.000924,-0.61247,-5.94701,-17.01691,0.212897,-2.442993,-2.241856,12.22791,0.45735,0.448881,0.391004,0.371351,0.526944,0.0216,0.003925,-0.000002,0.00661,-0.356583,3.713177,3.957516,1.10712,0.397566,3.663469,0.000128,12.54223,lonely
0.000002,1.048917,4.660223,-4.529585,-4.234391,12.25228,25.61732,14.13738,4.801463,-10.86744,7.258217,-3.311959,-0.001677,-0.807628,-2.85352,-22.51261,0.815387,-1.74446,-1.764704,14.53385,0.369026,0.361767,0.454251,0.425348,0.159636,0.007674,0.001415,-0.000001,-0.00077,-1.151233,3.806965,2.964886,1.382939,-0.026361,3.241086,0.00005,25.20126,lonely
0.000003,3.976487,2.749365,-9.452193,-6.409035,17.37112,26.15582,60.88409,4.689867,-21.81725,-1.025236,3.270085,0.002977,-1.175516,-3.508739,-20.66372,-2.510885,-5.424436,-3.167132,16.27797,0.492438,0.483364,0.332635,0.390225,0.832873,0.029342,0.004048,0.000004,-0.009741,-0.972486,3.998636,4.110341,1.050994,0.106619,4.381095,0.000249,14.63758,lonely
0,0.935429,8.744764,-1.287063,-1.800853,10.60147,30.72614,21.70774,4.717691,-23.54568,-4.650437,-1.695517,0.000572,-2.549846,-2.100134,-20.60514,-1.370568,-0.560265,-4.710875,16.02631,0.339383,0.332728,0.469262,0.432648,0.350421,0.004031,0.00071,0.000003,-0.003682,-0.336778,4.441568,4.66232,1.022031,0.087417,3.531472,0.000029,23.34258,lonely
0.000005,1.122266,8.918916,-2.484069,0.147938,9.30698,28.90714,12.86333,3.645348,-23.17851,-5.680154,-6.136765,0.000025,-6.173566,-4.762043,-26.37109,-7.290598,-6.933253,-7.108529,17.6991,0.173624,0.149425,0.477633,0.46854,0.865245,0.008961,0.001268,0.000004,-0.005742,-0.866,3.905054,3.187193,0.94548,-0.052678,3.81898,0.000019,7.393617,lonely
0.000001,0.567055,14.84971,-0.649315,1.183038,13.85999,34.46939,23.2716,5.110182,-19.5585,1.863692,-8.763596,-0.000642,-7.805293,1.362791,-20.67246,-2.256385,-1.41918,-0.476305,13.33007,0.293406,0.289171,0.485981,0.509008,0.155431,0.008783,0.001515,-0.000005,0.012492,-1.701904,5.627269,5.08287,0.891551,0.357512,5.523344,0.00004,20.34909,lonely
-0.000003,0.172031,0.199982,-8.336073,-8.662192,2.613518,20.00975,10.3128,3.484276,-12.42548,5.01293,-1.954293,-0.000291,-1.519585,-0.778803,-16.20956,-3.347953,-4.945764,-2.153705,8.215219,0.222626,0.168784,0.403938,0.387744,0.546135,0.011525,0.002425,-0.000001,-0.000888,-0.955896,3.615304,3.667491,0.79657,0.0988,3.077385,0.000035,3.645904,lonely
0.000002,2.545834,19.09252,4.288026,5.698926,20.01737,40.2825,40.97558,5.225596,-40.43327,-13.12757,-8.972784,-0.000783,-7.803182,-2.316889,-28.60578,-4.55238,-4.879733,-6.545557,20.13447,0.590442,0.581367,0.540602,0.529211,0.635494,0.007404,0.000566,-0.000013,0.022104,-0.941014,5.07888,4.150721,1.246829,-0.13771,4.934494,0.000081,76.89747,lonely
0.000001,4.70982,9.840062,0.589492,3.398763,15.43747,22.29595,39.71051,5.016293,-19.59785,-1.590027,-8.36101,-0.000168,-8.110643,-4.721574,-19.78572,-4.740786,-3.733964,-4.224887,16.09856,0.421658,0.408349,0.430752,0.440228,0.616853,0.013586,0.000955,0.000006,-0.010369,-1.910669,4.272366,3.652826,0.734531,0.024194,3.240968,0.000044,44.1615,lonely
