@attribute Std_Acc1000_Std_Mem40_LSP_6 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_10 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute Std_Acc1000_Std_Mem40_LPCC_1 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHistoHighBPM numeric
@attribute BeatHisto_MaxHPS numeric
@attribute output {lonely,notlonely}

@data

0.124767,0.000905,2.55661,2.643269,7.695549,0.497319,0.44314,0.416556,0.307781,0.491828,1.973785,0.000298,0.285053,0.12469,0.112011,0.02316,0.06126,0.070833,0.597435,0.486833,0.269589,0.425759,0.14298,0.00019,0.175917,0.276142,0.280838,0.698846,0.95689,0.096491,0.111373,0.119115,0.105999,0.260406,0.246307,0.104697,0.069592,0.113525,0.115767,0.155355,0.145657,0.197008,0.266431,0.047751,0.0491,0.030746,0.023112,0.024769,0.021463,0.014992,0.045327,0.069794,0.080703,0.119491,0.21518,0.101457,72.729372,59.967628,144,1.004244,lonely
0.077733,0.000361,2.765927,3.034719,9.818926,0.440409,0.434795,0.342992,0.32274,0.460274,1.908593,0.000253,0.278053,0.12876,0.122727,0.026854,0.075694,0.077853,0.872975,0.651994,0.318185,0.227535,0.288249,0.000129,0.215515,0.342888,0.441728,0.67405,1.906432,0.168487,0.118275,0.144191,0.101827,0.252964,0.506112,0.211287,0.099132,0.101316,0.166802,0.171047,0.186257,0.241197,0.182967,0.072648,0.043872,0.033488,0.037675,0.025438,0.024354,0.04494,0.044887,0.066627,0.078765,0.107409,0.212869,0.135502,44.910574,66.940588,146.5,1.00593,lonely
0.065974,0.000383,2.801661,3.030416,8.188281,0.389562,0.390328,0.384993,0.238408,0.493598,2.00084,0.000226,0.289632,0.148446,0.155887,0.025185,0.078116,0.081835,1.356017,0.596219,0.313961,0.423912,0.213946,0.000183,0.202309,0.319513,0.513434,0.574586,0.968742,0.115167,0.122177,0.108871,0.101056,0.26248,0.394392,0.273402,0.063812,0.146337,0.168294,0.21327,0.194424,0.158971,0.190038,0.054204,0.041418,0.034649,0.035251,0.025444,0.030068,0.040634,0.05412,0.078843,0.08906,0.127826,0.214558,0.132798,36.459255,21.163889,136,1.004192,lonely
0.055392,0.000201,2.674513,3.106524,7.545106,0.391223,0.464427,0.38967,0.286119,0.380296,1.990247,0.000232,0.283251,0.131314,0.152854,0.033846,0.068933,0.070177,1.018487,0.358968,0.372731,0.255992,0.281971,0.000049,0.221388,0.263303,0.432854,0.540781,0.898581,0.155236,0.089129,0.098658,0.114249,0.259764,0.424378,0.179599,0.101659,0.075814,0.152069,0.19038,0.258019,0.207558,0.252278,0.046062,0.044213,0.041357,0.029122,0.02755,0.020574,0.03612,0.031663,0.061975,0.079984,0.114853,0.215016,0.122472,35.79463,54.726139,150.5,1.007148,lonely
0.074443,0.000099,2.464517,2.793736,9.345818,0.452163,0.360776,0.386607,0.336812,0.488734,1.980332,0.000082,0.282474,0.150725,0.138021,0.037005,0.07608,0.086449,1.165882,1.211265,0.342294,0.321576,0.328014,0.000056,0.21571,0.28124,0.413966,0.583815,1.447052,0.123838,0.107616,0.109017,0.121524,0.258055,0.677484,0.290612,0.076898,0.090028,0.172455,0.158899,0.226931,0.190707,0.265941,0.052575,0.04142,0.0403,0.036711,0.032564,0.033231,0.051027,0.042734,0.058353,0.071496,0.110613,0.212576,0.167977,13.54066,17.269238,156,1.002644,lonely
0.046779,0.000116,2.600758,2.821253,6.65649,0.470608,0.391057,0.432696,0.246023,0.400474,1.931241,0.000113,0.298916,0.150108,0.147926,0.03047,0.075809,0.068862,1.248908,0.517491,0.326434,0.303734,0.300532,0.000042,0.191726,0.302443,0.356715,0.568433,1.165055,0.112365,0.125095,0.109139,0.100613,0.25521,0.680644,0.199639,0.086574,0.11822,0.139668,0.163479,0.15402,0.151572,0.219625,0.043875,0.03769,0.036294,0.028458,0.028929,0.028969,0.035988,0.036222,0.057662,0.072933,0.108973,0.216555,0.195823,17.332578,15.916829,158,1.004939,lonely
0.069369,0.000104,2.56647,2.980754,11.287718,0.552219,0.218091,0.327964,0.257624,0.417249,1.943403,0.000059,0.218829,0.110024,0.116544,0.023325,0.08256,0.082541,1.136371,0.366939,0.270871,0.246697,0.282494,0.000061,0.166767,0.284303,0.304692,0.565231,1.667788,0.108462,0.136325,0.08634,0.101792,0.254776,0.789259,0.314669,0.076972,0.103067,0.120297,0.159828,0.201162,0.234616,0.262855,0.070863,0.033446,0.026822,0.027186,0.040264,0.031216,0.049548,0.035552,0.057002,0.078488,0.105496,0.217388,0.208879,20.196738,19.384527,140.5,1.002615,lonely
0.059231,0.00035,2.93724,3.128818,9.285793,0.382982,0.293382,0.349632,0.264122,0.391387,2.019851,0.000464,0.282415,0.141877,0.162604,0.022308,0.091653,0.079333,1.567107,0.622981,0.636795,0.52404,0.474548,0.000176,0.195418,0.224876,0.354531,0.758485,2.681162,0.10561,0.104823,0.112342,0.09816,0.258335,0.555417,0.317724,0.077359,0.10662,0.153673,0.217396,0.226171,0.170904,0.289855,0.048426,0.050432,0.042818,0.03926,0.028833,0.026519,0.059684,0.044594,0.069929,0.085316,0.120199,0.212587,0.175532,37.128843,50.549678,124,1.005884,lonely
0.114519,0.000511,2.539305,3.041906,9.544295,0.553098,0.409826,0.395726,0.308873,0.457735,1.928211,0.000251,0.284675,0.124695,0.122478,0.023734,0.073459,0.079495,0.63457,0.800102,0.31614,0.385145,0.246044,0.000122,0.179185,0.224923,0.276641,0.587238,1.407647,0.095987,0.101054,0.090073,0.100846,0.255136,0.34507,0.183478,0.071141,0.126908,0.126917,0.165207,0.162021,0.29964,0.251536,0.046552,0.036847,0.035465,0.031589,0.022977,0.022152,0.026359,0.04115,0.069309,0.077227,0.106063,0.214815,0.144918,34.764473,50.2764,153.25,1.002704,lonely
0.04274,0.000015,2.743704,3.024747,6.383378,0.381326,0.378589,0.60645,0.186631,0.346667,1.958797,0.000023,0.276759,0.169292,0.206684,0.023252,0.082431,0.088564,2.43194,0.75989,0.581042,0.369473,0.454667,0.00001,0.189844,0.345139,0.416701,1.110971,2.811009,0.103711,0.204701,0.173616,0.114192,0.26585,0.595055,0.257887,0.077017,0.173586,0.247603,0.241414,0.278443,0.262997,0.37039,0.053607,0.05459,0.055329,0.053994,0.07581,0.078808,0.063573,0.04264,0.064639,0.071326,0.119782,0.205623,0.167392,7.009893,9.830687,113.5,1.003043,lonely
