@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.180018,0.000154,2.024465,2.8922,0.758902,0.504161,0.192038,0.4689,0.583676,1.985236,0.024287,0.000104,0.262216,0.405045,0.146555,0.021997,0.024691,0.961963,0.44859,0.431454,0.000062,0.201637,0.604836,1.620772,0.118359,0.124245,0.266685,0.830484,0.398519,0.130841,0.11404,0.134569,0.169752,0.060636,0.033184,0.034202,0.041288,0.024505,0.074752,33.976714,159,1.002814,89.26302,5.585697,1.448705,0.619909,0.910876,0.89501,0.163608,132.8681,5.564986,184.5447,0.837402,0.017289,0.019947,0.033803,0.000097,0.011108,11429.45,0.445245,0,0.848202,0.126741,0,0.128841,0.004131,828.3172,153567.9
0.058861,0.000062,2.355959,2.958227,0.840373,0.349589,0.111495,0.352998,0.553487,1.946869,0.01504,0.000077,0.246049,0.431745,0.13314,0.026693,0.011893,1.657897,1.2171,0.884341,0.00009,0.204398,0.537977,1.199924,0.142249,0.093784,0.25704,1.129167,0.674337,0.162786,0.162745,0.250128,0.232001,0.064804,0.042233,0.049806,0.037744,0.042124,0.073181,7.799348,154.25,1.003009,55.24962,3.449304,1.153226,0.814629,0.425133,0.863435,0.073126,46.04148,6.667993,428.5862,1.224689,0.032177,0.103541,0.114922,0.000569,0.008152,1610.369,2.926766,0,0.75233,0.074906,0,0.186454,0.003439,332.5664,173242.9
0.242375,0.00001,2.229627,2.991467,0.76718,0.449723,0.184724,0.486025,0.637829,2.006399,0.072717,0.000005,0.283766,0.443441,0.127487,0.029049,0.037407,0.797318,0.456957,0.27265,0.000004,0.201923,0.4995,1.272926,0.105494,0.109248,0.26336,0.382597,0.393376,0.125932,0.171525,0.164461,0.200152,0.049873,0.036686,0.038453,0.041194,0.018224,0.08351,10.418605,139,1.003022,97.2544,6.42118,1.556782,0.578419,1.042249,0.896946,0.148629,117.7259,5.356578,394.7929,1.840344,0.033707,0.02084,0.135814,0.000167,0.012849,10739.49,0.799537,0,0.881491,0.128769,0,0.104534,0.00401,1191.775,847312.5
0.05216,0.00027,2.250804,3.18453,0.788712,0.430458,0.130946,0.423868,0.539706,2.016983,0.006595,0.000187,0.271161,0.422886,0.147473,0.019588,0.005538,1.111939,0.436007,0.347039,0.0001,0.18039,0.542922,2.486894,0.109865,0.108202,0.260366,1.229615,0.484786,0.112847,0.154366,0.246924,0.291777,0.050092,0.046478,0.045916,0.029494,0.026738,0.073331,35.205204,147,1.003587,63.59921,3.852242,1.213817,0.680814,0.61125,0.88878,0.092417,115.5705,6.339677,73.25881,0.415313,0.013011,0.03632,0.087128,0.000197,0.004321,5389.716,0.509188,0,0.768975,0.086458,0,0.177771,0.003699,338.1276,6609.467
0.138225,0.000002,2.457239,2.93415,0.754217,0.540482,0.151198,0.461671,0.592204,2.000645,0.037716,0.000002,0.260663,0.438652,0.129245,0.030406,0.033437,1.165329,0.970021,0.542663,0.000003,0.219477,0.642647,1.530209,0.106094,0.120765,0.258794,0.594959,0.647892,0.121364,0.188831,0.181958,0.203034,0.054041,0.039234,0.039016,0.033766,0.030813,0.079105,5.23356,142.5,1.003074,71.79118,4.671768,1.359667,0.58218,0.562421,0.880717,0.105239,129.4599,5.632128,550.4153,1.940442,0.048267,0.053875,0.117722,0.000278,0.007337,16733.3,2.899311,0,0.768975,0.101641,0,0.177771,0.005215,643.9932,359567.9
0.037029,0.000042,2.867213,3.364603,0.592733,0.429803,0.097884,0.372216,0.522215,2.050609,0.007008,0.000029,0.235981,0.38769,0.176379,0.019845,0.012801,1.207243,0.860618,0.63907,0.000029,0.265703,0.993929,2.540582,0.205904,0.1358,0.275847,1.002083,0.664677,0.139382,0.176385,0.208368,0.346699,0.069653,0.064118,0.04587,0.049119,0.049286,0.072269,4.857293,159,1.003241,31.58067,2.449232,1.043557,0.866072,0.113389,0.850622,0.026903,50.97699,5.489459,368.1358,0.919664,0.032519,0.188178,0.018962,0.000796,0.00099,1736.565,1.622043,0,0.757657,0.083948,0,0.183736,0.003074,292.8433,25356.65
0.153177,0.000208,2.206897,2.842659,0.744534,0.518465,0.166039,0.467922,0.603726,1.996849,0.043184,0.000137,0.297404,0.46375,0.136812,0.028992,0.026076,0.825829,0.387549,0.254528,0.000069,0.193349,0.513937,1.574072,0.109668,0.131947,0.258548,0.540445,0.482904,0.124717,0.117318,0.183879,0.203725,0.044679,0.042997,0.037984,0.039066,0.021276,0.07758,32.421093,154.25,1.002995,77.39306,5.210048,1.433259,0.607189,0.826492,0.90104,0.244315,217.6943,5.304564,211.9768,1.389225,0.031914,0.020511,0.103902,0.000133,0.018945,23377.72,0.461833,0,0.993342,0.143924,0,0.006618,0.001724,792.3958,504714.5
0.043151,0.000056,2.361139,3.469463,0.640961,0.374657,0.111975,0.402105,0.544794,1.977931,0.008468,0.00005,0.219671,0.356048,0.159463,0.021613,0.006437,1.475501,0.93281,0.55312,0.000031,0.254432,0.711963,1.418912,0.145969,0.12487,0.260195,0.702867,0.607204,0.159526,0.174925,0.301197,0.261128,0.080929,0.042849,0.047177,0.056727,0.031364,0.076834,7.123937,134,1.004454,54.10767,3.373072,1.147802,0.84768,0.490669,0.878893,0.049997,101.6432,6.47041,193.3164,0.737082,0.024015,0.165051,0.198269,0.000185,0.002117,6391.085,1.509254,0,0.925433,0.123904,0,0.069053,0.002354,270.8511,18946.57
0.094279,0.000257,2.226917,3.108387,0.77648,0.401926,0.165324,0.420409,0.524546,1.846553,0.015429,0.000099,0.293517,0.422196,0.116246,0.02632,0.024865,1.498046,1.06474,0.614883,0.000061,0.186479,0.636845,2.017319,0.1069,0.127266,0.242651,1.170649,0.625152,0.09052,0.154962,0.28592,0.273625,0.051598,0.044823,0.045934,0.043579,0.040647,0.066158,27.853732,134,1.003855,71.52449,4.144799,1.249056,0.504442,0.596643,0.882654,0.084936,81.7993,6.01584,466.0077,1.352812,0.022423,0.059596,0.087648,0.000226,0.008089,7429.263,0.749145,0,0.984687,0.118806,0,0.015088,0.002337,612.98,107384.6
0.126885,0.000049,2.116311,2.840071,0.797226,0.508275,0.177173,0.44184,0.562551,1.995738,0.032913,0.000055,0.283931,0.419173,0.128463,0.03043,0.015852,0.767101,0.408728,0.229462,0.000013,0.173108,0.527956,1.435599,0.089328,0.104452,0.261464,0.401862,0.473406,0.10064,0.107911,0.18206,0.182107,0.044148,0.03338,0.042123,0.036702,0.026732,0.076249,33.085157,158,1.00478,79.01523,4.796155,1.346119,0.711021,1.007689,0.896505,0.145835,97.47243,5.933679,223.9606,0.539245,0.013888,0.036797,0.214959,0.000242,0.011161,8335.219,0.636489,0,0.974035,0.116889,0,0.025308,0.003312,644.4257,157889.4
0.131545,0.00025,2.216934,3.177913,0.775405,0.411645,0.171035,0.438114,0.592799,1.994462,0.04367,0.000166,0.291591,0.436358,0.12966,0.033239,0.028795,0.898068,0.719428,0.514621,0.000104,0.172947,0.585437,1.389432,0.105546,0.114268,0.262712,0.319513,0.429721,0.093347,0.156814,0.208187,0.177544,0.047288,0.039987,0.046406,0.049886,0.022816,0.081656,49.737255,120.25,1.004984,81.68624,5.324282,1.435858,0.587492,0.791261,0.887858,0.064348,44.07419,5.556069,198.3036,0.947098,0.025376,0.039637,0.097167,0.000327,0.008325,1944.099,0.688624,0,0.958722,0.110849,0,0.039601,0.002569,784.628,410569.1
0.170916,0.000255,2.000101,2.694999,0.739068,0.583788,0.235026,0.450272,0.576204,1.935878,0.021693,0.000269,0.249791,0.327849,0.110665,0.032229,0.012302,0.661467,0.199354,0.19899,0.000063,0.201127,0.446295,0.836972,0.113018,0.098599,0.256251,0.45724,0.160096,0.129431,0.142682,0.1714,0.187758,0.049352,0.028382,0.041955,0.035271,0.022081,0.069527,56.08934,134,1.005717,90.22505,5.448164,1.425176,0.568145,1.135819,0.891097,0.185086,114.3208,5.549963,93.77247,0.424321,0.005411,0.007319,0.224595,0.000121,0.019123,9072.926,0.17032,0,0.991345,0.143567,0,0.008586,0.001812,957.23,47996.52
0.064917,0.000139,2.273678,3.098836,0.769071,0.519035,0.146528,0.384884,0.524066,2.019347,0.0075,0.000122,0.279961,0.379675,0.112052,0.020465,0.007542,0.970528,0.468579,0.295592,0.000101,0.220654,0.602252,1.316882,0.10744,0.122846,0.257204,0.490168,0.535143,0.113746,0.192311,0.198443,0.211728,0.046386,0.042973,0.050861,0.040311,0.02496,0.080967,24.432277,157,1.00319,64.62934,3.807238,1.217574,0.77107,0.61433,0.88106,0.108294,113.3137,6.245331,85.70955,0.257504,0.007018,0.039725,0.036747,0.000163,0.005927,4881.138,0.330253,0,0.964048,0.136158,0,0.034683,0.002053,435.9383,10564.31
0.061585,0.00016,2.645851,3.405769,0.769169,0.230356,0.133098,0.310641,0.422342,1.965249,0.009501,0.000098,0.263091,0.397625,0.183021,0.023689,0.016922,1.469486,0.790042,0.427943,0.000138,0.242078,0.708484,1.658873,0.148423,0.16897,0.258007,2.241775,0.624587,0.127552,0.173634,0.189969,0.303116,0.063748,0.039945,0.047708,0.071195,0.042213,0.080901,15.869933,145,1.002793,56.70247,2.724938,0.982214,0.728427,0.434024,0.851869,0.040456,59.24251,8.028365,693.5154,0.917911,0.022222,0.238653,0.076077,0.000449,0.001716,2385.576,1.042009,0,0.892144,0.108636,0,0.096287,0.002958,433.8612,48483.68
0.106545,0.000475,2.356484,2.981782,0.696907,0.468478,0.132329,0.486719,0.632332,1.994904,0.03079,0.000356,0.287289,0.462039,0.126553,0.042074,0.018194,0.707474,0.690948,0.314755,0.000117,0.193023,0.622438,1.370956,0.10091,0.125445,0.262375,0.459657,0.311685,0.088997,0.123826,0.249082,0.285271,0.045439,0.03987,0.031353,0.031493,0.025341,0.078703,70.988108,136.5,1.005897,76.39963,5.328101,1.451523,0.667622,0.88949,0.896028,0.055304,32.75507,5.30005,318.0207,0.900816,0.019183,0.057596,0.139937,0.000174,0.006434,1890.765,0.510709,0,0.8249,0.107562,0,0.144536,0.004466,539.355,199175.5
0.029165,0.000147,2.213314,2.997657,0.756177,0.522464,0.09661,0.422361,0.546065,1.999033,0.004683,0.000066,0.294209,0.356998,0.109508,0.017246,0.009435,1.101918,0.513452,0.614198,0.000042,0.206785,0.526473,0.956869,0.121427,0.177507,0.264855,0.571646,0.504982,0.139093,0.139537,0.155574,0.1837,0.050108,0.036313,0.040549,0.056027,0.026561,0.082872,11.789558,158,1.002615,54.90082,3.203962,1.083932,1.189861,0.760112,0.871694,0.09891,111.119,7.385686,169.2636,0.188647,0.004057,0.23816,0.088697,0.000174,0.005488,4591.718,0.532372,0,0.998668,0.119707,0,0.001331,0.001223,197.1096,10345.18
0.068653,0.000053,2.579783,3.134069,0.754901,0.344291,0.140797,0.388336,0.491946,1.962681,0.01833,0.000018,0.264771,0.422031,0.180928,0.019609,0.011645,1.696786,0.679785,0.506773,0.000023,0.243103,0.752284,1.996977,0.128786,0.131314,0.289592,2.715718,0.774803,0.136686,0.167189,0.171462,0.216344,0.073817,0.065448,0.053686,0.060715,0.049964,0.069926,16.464359,137.75,1.004136,54.91895,3.599152,1.252714,0.53942,0.311713,0.855901,0.069535,93.78432,5.317229,372.3005,0.981171,0.035046,0.026497,0.040702,0.000529,0.003974,4485.514,1.779004,0,0.715712,0.096658,0,0.203604,0.005106,543.935,191515.4
