@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {energetic,notenergetic}

@data
87.45764,5.65301,1.451111,1.16523,0.904698,67.91768,90.00219,0.005147,0.16139,0.004452,0.27809,602.2095,energetic
60.84344,4.732081,1.434379,0.641496,0.893153,121.2146,287.7829,0.028844,0.161685,0.07481,0.823807,486.0413,energetic
67.28257,4.990919,1.448842,1.174125,0.893106,27.20376,824.6009,0.032902,1.117195,0.0189,2.086313,538.3116,energetic
79.38909,5.623618,1.49831,1.042428,0.898122,28.34566,219.3701,0.011226,0.208639,0.005176,0.406851,690.1724,energetic
95.34916,6.208096,1.521606,1.609702,0.913544,49.08083,150.4409,0.009511,0.16075,0.013027,0.29391,807.9446,energetic
93.58343,5.733899,1.439466,1.402151,0.902369,44.17516,38.68855,0.003449,0.081179,0.011729,0.142502,779.0715,energetic
79.42299,5.923022,1.544197,1.036157,0.896083,66.71181,197.8466,0.012701,0.256902,0.01014,0.31395,424.2118,energetic
87.63715,5.947103,1.508461,1.262068,0.905132,68.49511,94.53225,0.016705,0.10347,0.013074,0.311943,779.5727,energetic
85.84356,5.557341,1.452666,1.151146,0.890413,54.20996,327.9455,0.010203,0.338296,0.014332,0.332838,856.7946,energetic
78.70586,4.826213,1.315053,1.394841,0.903595,90.88697,369.7552,0.013859,0.331354,0.007756,0.296284,332.6592,energetic
89.28815,6.269574,1.564844,1.271052,0.903058,42.80465,78.30661,0.007906,0.147569,0.019361,0.199697,871.4652,energetic
80.98617,5.10787,1.384296,1.153423,0.899834,43.57863,145.2779,0.006198,0.140573,0.012941,0.262665,614.4282,energetic
