@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[10]_skewness numeric
@attribute mfcc_sma_de[10]_kurtosis numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {energetic,notenergetic}

@data

0.039997,-0.000001,0.041543,0.025963,3.627436,-5.027333,-12.15075,-12.93848,-6.24427,-9.525844,2.823377,-0.230954,-17.17833,-4.183837,-4.934875,-13.69113,15.93766,-4.14226,7.228531,12.6052,0.036298,0.132536,0.151865,0.295636,1.357804,32.37515,5.51125,-0.755337,-0.000855,3.633082,0.959225,0.987874,1045,0.008554,0.056707,3.838623,0.000125,0.000002,4.34512,energetic
0.039691,0.000006,0.030075,0.927842,3.603972,0.780606,-9.347051,-7.666145,-2.660237,-18.36565,3.736433,1.864684,-20.30327,-0.899476,-0.677827,-15.71422,13.95325,-1.365309,8.729525,10.74437,0.017544,0.091412,0.116709,0.332836,1.21394,5.05467,8.14551,-0.70878,-0.000688,5.113716,0.952198,0.90925,1800,-0.003566,-0.091686,3.271001,-0.00158,0.000001,12.08842,energetic
0.042635,-0.000001,0.043902,0.794798,5.054434,-4.013398,-10.90731,-11.7349,-2.608519,-10.29913,3.298095,-3.330943,-11.47489,-0.849984,-1.399965,-15.84354,15.29771,-2.769894,10.35122,11.15919,0.033273,0.110787,0.146437,0.295205,0.941562,67.37669,8.902164,0.119111,0.000451,3.946546,0.528675,0.76627,1564,-0.000916,-0.023725,3.329169,-0.000904,0.000002,9.122561,energetic
0.045149,0.000013,0.02541,0.678752,2.819651,3.641403,-10.73553,-6.812674,-0.46223,-24.20953,5.260655,1.532619,-24.05125,-0.273007,-2.216744,-24.0312,15.96742,-3.208828,12.37403,11.4623,0.009074,0.105389,0.138299,0.296031,1.579945,19.08816,5.137291,-0.9294,0.000027,5.423035,0.850484,0.976509,1860,0.0065,0.053791,3.819305,0.000378,-0.000004,8.399844,energetic
0.092319,-0.000013,0.111982,-0.181939,2.934312,-4.555077,-12.91598,-13.89363,-1.990462,-8.900704,2.994077,1.035335,-14.2405,-1.480018,-1.02037,-16.45579,15.07075,-1.97937,9.501719,13.03274,0.021174,0.132491,0.134679,0.269145,1.672454,43.52754,5.421081,-0.615444,0.003733,3.366906,0.791265,1.107124,414,-0.005087,-0.025137,3.350649,-0.001219,-0.000002,4.934731,energetic
0.046711,-0.000002,0.049818,1.950778,9.213422,-3.476782,-8.333579,-7.63877,-4.45059,-9.626068,3.4449,-2.79863,-8.284533,2.727873,0.406179,-9.996119,11.21093,-0.813995,9.079395,8.494031,0.013914,0.081384,0.144885,0.245673,1.506082,457.8812,6.034999,-0.701263,0.000606,4.263519,0.539316,0.721579,2841,0.003024,-0.112672,3.154661,-0.001112,0,6.744811,energetic
0.042738,0,0.042434,1.495699,6.618637,-2.639871,-13.03375,-12.9018,-7.228137,-11.79191,3.333221,0.602326,-15.06153,-0.330131,0.192989,-17.437,19.3877,-1.550035,16.28091,15.34047,0.032063,0.139906,0.136947,0.289303,1.332418,61.45013,13.09867,-0.188335,-0.001049,4.104548,0.818302,0.984383,2011,-0.01106,0.224134,3.736697,0.002055,0.000001,9.885996,energetic
0.072698,0.000011,0.05697,1.536569,6.472398,0.264788,-12.16609,-10.51656,-7.022467,-16.35331,2.814353,-0.260398,-12.38371,3.302556,-0.135052,-14.03656,14.06504,0.88222,10.17554,11.62567,0.028433,0.138615,0.146735,0.307629,1.102756,30.6718,8.633068,-0.208086,-0.003464,4.397382,0.884122,1.156133,639,-0.007789,0.044411,3.324689,-0.001013,0.000001,10.14205,energetic
0.008579,0.000002,0.004932,0.649293,3.686498,10.72853,-5.310401,-4.097232,-0.571641,-17.31953,3.13446,-0.95642,-14.06804,1.149437,-3.139018,-23.09703,19.70016,-4.308831,11.3624,15.26406,0.00726,0.056966,0.114894,0.337377,1.162191,11.54845,8.063994,-1.589961,-0.006371,5.544171,0.854416,0.894662,464,-0.010181,0.058227,3.559795,-0.000474,-0.000002,27.97124,energetic
0.021158,-0.000006,0.029789,0.937635,3.712955,-0.013901,-11.02377,-9.30008,-3.636177,-16.55604,2.814865,-0.813281,-17.45991,-2.004949,-1.762839,-22.05028,21.23762,-0.817121,16.9932,19.99471,0.010889,0.105197,0.136096,0.396801,1.040048,3.654389,9.453166,-0.681329,-0.005343,4.314738,1.332122,1.21437,331,0.01064,0.100703,3.629072,0.001688,0,13.57041,energetic
