@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.089051,0.218678,2.976047,-0.495524,-0.480641,0.278803,0.48548,0.375638,-0.025324,1.758368,3.013195,4.029893,7.159805,0.633609,0.62434,0.524806,0.524659,0.503396,0.345177,0.254034,0.211967,0.330972,0.504794,2.560264,0.290833,1.145733,1.600368,1.843972,2.784343,0.211141,0.208926,0.190163,0.039158,0.04902,0.066733,4.863174,0.517887,0.261282,0.234433,0.187054,0.230177,0.000312,0.187312,0.26776,0.094695,0.080539,0.028605,0.075225,0.123127,0.245382,0.249042,0.123939,0.223544,0.881864,0.031568,0.032479,0.046411,0.082106,22741.808117,55.739391,52.692423,49.756096,1.003241,93.86888,6.116222,1.513105,0.630471,1.220576,0.901991,0.135504,47.04994,5.314126,159.9492,0.261062,0.003793,0.008641,0.161897,0.000077,0.015199,3076.536,0.337195,0,0.942077,0.110317,0,0.054604,0.003029,941.6269,122733
0.096638,0.222537,2.982563,-0.90879,0.586313,0.14948,0.448814,0.148022,0.1841,1.813532,3.501657,4.284082,6.344015,0.626717,0.602151,0.490315,0.446815,0.498307,0.441501,0.297332,0.209422,0.371097,0.498067,2.580673,0.298237,1.214877,1.60065,1.987157,2.292848,0.220641,0.205363,0.188001,0.039738,0.057292,0.06506,5.242353,0.49911,0.332882,0.397462,0.203028,0.139923,0.000047,0.173002,0.282165,0.097283,0.102795,0.027559,0.073152,0.122664,0.242984,0.179181,0.087154,0.346751,0.649395,0.025107,0.036931,0.049897,0.075314,15385.609331,41.12176,43.914881,53.472159,1.003718,95.19699,6.240503,1.535129,0.598501,1.311702,0.897778,0.175357,54.77978,5.224042,103.3747,0.281861,0.005388,0.006671,0.138919,0.000085,0.027953,3765.863,0.192156,0,0.920107,0.128317,0,0.073559,0.003647,1017.656,132528.1
0.054289,0.126527,4.293954,-0.083813,0.143931,0.026739,0.124512,0.375253,0.291709,1.831296,3.321257,4.625802,6.216756,0.615819,0.600814,0.501577,0.411705,0.445458,0.429416,0.268202,0.166702,0.320614,0.466514,2.564456,0.284519,1.446214,2.567596,2.135011,2.318059,0.213468,0.213871,0.194741,0.058872,0.06046,0.071327,5.318103,0.823545,0.40574,0.289089,0.158344,0.166166,0.000101,0.183828,0.357864,0.108792,0.089803,0.023224,0.074371,0.121888,0.241907,0.361109,0.095217,0.391341,1.059219,0.02815,0.032452,0.044443,0.081677,15491.025954,45.485038,68.389777,53.563006,1.004621,88.35123,5.586832,1.43004,0.710717,1.382648,0.9037,0.151875,99.79873,5.809138,184.7717,0.856254,0.017436,0.034471,0.211976,0.000133,0.012418,8395.41,0.400361,0,0.975366,0.129268,0,0.024043,0.002596,638.8676,164899.9
0.071824,0.187706,3.575653,0.348773,0.223118,0.067878,-0.015954,0.014694,-0.131452,1.76909,3.590602,4.737803,6.154128,0.624377,0.574862,0.466952,0.45493,0.47335,0.447879,0.265827,0.16938,0.333637,0.528233,2.574236,0.286831,1.257071,1.865866,1.841647,2.312956,0.208481,0.197811,0.193502,0.038127,0.046469,0.060071,4.968875,0.510892,0.370431,0.175514,0.206873,0.16687,0.000097,0.161786,0.258535,0.101605,0.109712,0.023049,0.073206,0.125236,0.244122,0.245455,0.084265,0.297448,0.614529,0.02566,0.038797,0.048764,0.083275,16229.053049,42.803308,55.120018,42.797372,1.003549,96.04983,6.070026,1.486951,0.616049,1.282288,0.906667,0.134988,83.24131,5.640201,88.48954,0.192685,0.005313,0.007038,0.095481,0.000037,0.008951,4917.584,0.278534,0,0.725033,0.092739,0,0.199493,0.005267,771.5876,83262.19
0.066144,0.170417,3.695023,0.668204,-0.31347,0.128209,0.34918,0.110605,0.173145,2.018935,3.912706,4.235729,6.222211,0.52648,0.523141,0.387102,0.478597,0.415874,0.441779,0.276252,0.163788,0.324177,0.467661,2.561834,0.27319,1.203895,2.554739,2.239116,2.350025,0.227649,0.210478,0.193707,0.055762,0.059347,0.064708,5.636422,1.762851,1.015501,0.428911,0.671495,0.244295,0.000159,0.177995,0.388724,0.094097,0.112657,0.033152,0.09929,0.131124,0.243356,0.501136,0.079248,0.435278,0.652791,0.033563,0.024335,0.041221,0.078412,14854.981519,43.447589,33.614741,80.743267,1.005717,95.96789,6.355222,1.521852,0.621056,1.461705,0.896642,0.100572,54.9183,5.572732,489.6187,2.438197,0.038765,0.019222,0.429166,0.000185,0.01337,7749.863,0.597809,0,0.934088,0.106513,0,0.061609,0.003327,738.7858,360509.7
0.091262,0.247664,2.683243,-0.050097,-0.302624,0.303916,0.189034,0.283871,0.331355,1.765532,3.296736,4.635215,7.401134,0.63719,0.629897,0.487443,0.446646,0.484626,0.388765,0.204435,0.197084,0.348563,0.527505,2.553875,0.29166,1.425896,1.974838,2.476039,3.633618,0.209515,0.201841,0.180519,0.047187,0.04064,0.059834,4.730949,0.435292,0.277448,0.497503,0.316051,0.177694,0.000221,0.17529,0.253899,0.096384,0.083771,0.03432,0.075947,0.124699,0.240453,0.197026,0.073164,0.442271,0.932776,0.024738,0.039762,0.047831,0.080234,26513.421761,99.803092,100.343059,103.969339,1.004783,92.3549,6.440014,1.578483,0.613106,1.351764,0.898777,0.103029,36.78674,5.049259,129.3699,0.434978,0.0075,0.014893,0.147917,0.000124,0.011542,1709.965,0.147538,0,0.860852,0.130275,0,0.119866,0.004281,913.0863,185240.7
0.051329,0.124505,4.435485,-0.137787,-0.149416,-0.065707,0.199094,0.008877,0.280263,1.711038,3.187708,3.958753,5.827055,0.66545,0.641073,0.526806,0.505983,0.492494,0.439036,0.324579,0.167756,0.304654,0.488953,2.577469,0.296703,1.17986,1.488629,2.003833,2.167192,0.202987,0.193771,0.185875,0.039497,0.047144,0.061822,4.864579,0.611409,0.360784,0.168776,0.156452,0.111201,0.00019,0.162887,0.236832,0.100167,0.093085,0.021137,0.070478,0.121281,0.237959,0.35105,0.051299,0.28931,0.455472,0.025986,0.0343,0.044067,0.079702,19737.816397,48.756425,44.465505,42.412387,1.003858,87.4788,5.30883,1.380851,0.72531,1.317398,0.906996,0.11446,42.49436,5.945807,48.26501,0.255704,0.006725,0.007358,0.092925,0.000052,0.010768,1676.753,0.215512,0,0.916778,0.113994,0,0.076347,0.003412,562.9939,40375.81
0.108534,0.23771,2.649981,-1.240141,0.260828,0.207084,0.245325,0.064343,-0.021689,1.833006,3.325028,4.903293,6.28645,0.629194,0.629665,0.502513,0.441678,0.460637,0.434395,0.226267,0.237326,0.370934,0.496088,2.553438,0.290344,1.449718,2.142354,2.181846,2.466227,0.210111,0.202802,0.181334,0.054718,0.061315,0.06455,5.145358,0.882647,0.339309,0.350084,0.310079,0.213205,0.000061,0.183739,0.250498,0.099445,0.092715,0.037566,0.074652,0.122476,0.241479,0.278991,0.077727,0.45823,1.673453,0.024411,0.037683,0.047634,0.084066,14195.690413,37.335787,38.175987,62.565077,1.004624,98.39461,6.481921,1.559371,0.593732,1.353467,0.898149,0.176289,67.94584,5.190199,192.9459,0.929143,0.016275,0.007556,0.327281,0.000096,0.02386,5879.163,0.346856,0,0.925433,0.136185,0,0.069053,0.003538,1134.092,333154
0.101284,0.235254,3.336857,-0.923773,-0.099143,-0.144241,0.073961,0.224951,-0.039125,1.911169,3.38867,5.234291,6.486229,0.568858,0.570276,0.453207,0.454535,0.480501,0.409238,0.258249,0.213188,0.338879,0.507383,2.552113,0.294507,1.50959,1.809148,2.10329,2.426179,0.230409,0.198062,0.19364,0.046299,0.060493,0.070799,4.800973,0.94567,0.375061,0.422481,0.227495,0.275277,0.000215,0.186403,0.275841,0.096701,0.088088,0.029486,0.073874,0.123252,0.240585,0.249197,0.073448,0.318565,0.78457,0.028118,0.036742,0.046663,0.084525,21040.377495,66.59202,49.127372,94.609561,1.004712,97.76276,6.300829,1.532404,0.590061,1.252042,0.900766,0.118289,41.66052,5.307361,117.8385,0.606891,0.012983,0.006761,0.288511,0.000094,0.018794,5722.494,0.306345,0,0.877497,0.104001,0,0.107568,0.004207,1135.951,336350.2
0.032305,0.064364,5.859688,0.782211,0.62535,0.374601,0.401207,0.070284,0.168302,1.853162,3.406622,4.497512,6.471383,0.642166,0.594044,0.470229,0.453119,0.427118,0.405987,0.276862,0.127606,0.268989,0.441689,2.586768,0.29446,1.672038,2.016691,2.645636,2.448963,0.195457,0.205436,0.187049,0.056345,0.057028,0.06134,7.217224,0.865493,0.479417,0.398358,0.261954,0.288419,0.00003,0.194025,0.249905,0.121189,0.084176,0.024708,0.070518,0.127947,0.245448,0.497054,0.085159,0.71707,0.771753,0.038012,0.029515,0.045165,0.08701,6588.605535,23.012366,32.711154,19.391029,1.005214,76.38021,4.595041,1.307181,0.946379,1.38512,0.898188,0.085396,55.08501,6.3576,390.5856,0.585747,0.016287,0.114038,0.504645,0.000216,0.008639,4160.777,1.450868,0,0.948069,0.126318,0,0.049267,0.002697,438.066,230426.3
0.067618,0.15554,3.227965,-0.318144,0.743613,0.180694,0.153544,0.049335,-0.240329,1.888317,3.46206,5.1238,7.178251,0.50416,0.548825,0.444323,0.36952,0.381158,0.32514,0.1972,0.164326,0.345294,0.490357,2.562764,0.293278,1.747155,2.65649,2.561838,2.906943,0.222285,0.210459,0.214021,0.060366,0.077321,0.075364,7.387262,0.780653,0.472955,0.334967,0.364879,0.336234,0.000074,0.18527,0.402527,0.10035,0.124526,0.036985,0.078114,0.127502,0.242182,0.368571,0.104387,0.53197,1.213896,0.031585,0.034175,0.042417,0.07823,9371.20698,39.944906,29.69609,62.677401,1.007017,66.37059,4.961772,1.465231,0.636458,0.775663,0.893223,0.061562,19.84325,4.629151,551.3278,1.022994,0.019101,0.08452,0.417103,0.00021,0.010951,974.9097,0.944149,0,0.75233,0.095034,0,0.186454,0.004841,819.7746,479780.5
0.061208,0.144504,4.691111,-0.409279,-0.140326,0.115821,0.346281,0.336553,0.019767,1.831515,3.806263,5.27497,7.27462,0.532089,0.531306,0.415804,0.404135,0.427149,0.388588,0.31187,0.17023,0.310155,0.460141,2.544963,0.279107,1.614821,2.293055,2.345026,3.018931,0.217853,0.199902,0.192268,0.059512,0.075092,0.074382,5.708903,1.713334,0.69254,0.341862,0.274113,0.29916,0.000092,0.225146,0.387967,0.127047,0.113283,0.03614,0.083215,0.128367,0.235992,0.570014,0.091889,0.433075,1.055364,0.027006,0.0287,0.041095,0.069882,11990.578622,27.979939,43.357073,38.487693,1.003783,92.37813,5.72873,1.439459,0.604959,1.108629,0.898088,0.104519,62.92273,5.790703,344.0527,1.508727,0.033678,0.035818,0.22374,0.000143,0.01109,4494.583,0.961155,0,0.932756,0.100091,0,0.062764,0.003032,749.8167,176171.6
0.078191,0.182126,3.923782,0.337933,-0.193496,-0.087939,0.161676,0.407856,-0.049878,2.003555,3.700199,4.683309,6.390796,0.567912,0.505087,0.423524,0.444702,0.411039,0.365982,0.21623,0.177723,0.303482,0.496146,2.570686,0.28529,1.554366,2.657238,2.394505,2.493997,0.239123,0.201474,0.211974,0.061898,0.073241,0.073285,5.151333,0.831143,0.38883,0.353288,0.230415,0.188678,0.000109,0.177439,0.317514,0.104335,0.092887,0.029009,0.073919,0.125321,0.245713,0.366739,0.100082,0.487075,0.848869,0.030841,0.035755,0.049194,0.082158,13783.872243,28.914152,38.189827,30.550106,1.003357,89.92271,5.910111,1.49747,0.6356,1.211769,0.89981,0.104435,38.43682,5.432393,206.9065,0.807253,0.0218,0.027798,0.306421,0.000162,0.013487,1940.177,0.697009,0,0.88016,0.121582,0,0.105549,0.004001,892.9016,367954.7
0.088349,0.210267,2.652457,0.14097,-0.028236,0.256753,0.418147,0.201107,0.028359,1.905211,3.336051,4.076845,7.649507,0.613867,0.563799,0.48776,0.449449,0.441134,0.359066,0.228746,0.181756,0.346938,0.503761,2.513418,0.288297,1.489416,2.441707,2.219019,2.766198,0.221177,0.208437,0.20543,0.053467,0.062083,0.067737,5.336308,1.205464,0.749936,0.315739,0.306971,0.342155,0.000154,0.192778,0.26175,0.115738,0.106965,0.038321,0.085909,0.125209,0.235169,0.502986,0.08547,0.410701,0.835431,0.035738,0.038526,0.04914,0.078374,17500.013189,53.121037,49.866467,84.515433,1.005044,93.87875,6.541983,1.586232,0.557111,1.148608,0.892358,0.093107,47.0793,4.945224,417.7404,1.639218,0.023424,0.018108,0.289725,0.000116,0.013071,2962.648,0.412483,0,0.874168,0.105276,0,0.110072,0.003396,1073.411,337425.8
