@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_amean numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {energetic,notenergetic}

@data

0.001133,0.036845,-0.000004,0.042788,-0.626075,3.088832,-12.05315,-14.03876,3.714669,-1.991401,-24.14918,8.552183,0.556644,0.591373,-19.60843,-0.116696,0.267288,25.404,-18.58916,19.08621,3.811136,0.08507,0.140602,0.292316,2.095565,6.627496,0.000018,1.245397,11.69193,0.885543,1.104814,0.001331,-0.001554,0.00917,18.69317,117.9888,0.104151,0.00017,energetic
0.003595,0.036913,-0.000001,0.03857,1.042974,4.274276,-10.03104,-9.583858,3.221665,-1.017574,-12.89407,3.64197,1.739001,1.533716,-14.62959,1.381621,0.92495,13.75196,-14.09559,20.1838,3.994688,0.051821,0.127669,0.289664,1.976255,6.204728,0.00002,1.375852,6.808953,1.106548,1.035069,0.008094,0.000329,0.007988,7.095892,125.69,0.156231,0.000261,energetic
0.003871,0.033903,0.000006,0.025099,1.320723,6.134068,-12.32727,-12.8378,2.743249,-6.932463,-14.74133,3.422904,0.326862,1.079119,-16.59782,1.035959,1.009601,20.09026,-17.07709,14.47697,4.328819,0.130314,0.138416,0.394195,0.73375,3.029983,-0.000012,0.750128,7.718921,1.175846,1.305065,0.004996,0.001761,0.01115,7.503225,125.3236,0,-0.000073,energetic
0.004238,0.067747,0.00001,0.052189,0.544002,2.452354,-13.18103,-12.18453,4.025415,-3.153484,-15.3939,3.758724,1.459148,0.216669,-18.06784,-2.732049,-6.385563,23.59806,-18.31324,7.429092,4.08882,0.13197,0.13372,0.319681,1.393467,4.678854,-0.000032,1.40034,7.721258,1.250239,1.14413,-0.006705,0.001187,0.012897,8.594309,118.8961,0.090585,0.000151,energetic
0.028558,0.045767,0,0.045077,0.532283,4.969916,-14.98998,-14.96234,1.241698,-5.92519,-10.51527,2.882138,1.329244,1.031404,-7.656538,2.45318,1.970403,15.37308,-12.24233,8.276046,3.391927,0.156254,0.138357,0.218594,1.808522,8.525048,0.000002,0.0978,10.29041,0.871794,0.880033,0.002777,-0.001235,0.010718,3.964943,0,0,0,energetic
0.01769,0.053532,0.000011,0.037107,0.922129,4.201984,-10.3362,-8.577089,2.497837,-2.87295,-12.55328,3.039394,-0.302064,-0.684464,-11.41434,1.246694,0.706366,20.47066,-12.84604,7.956766,3.833783,0.098371,0.142098,0.289633,1.654794,6.309801,-0.000011,0.789981,9.751936,0.928044,0.964009,0.008249,-0.001161,0.009751,5.149481,110.8931,0,-0.000016,energetic
0.016034,0.11715,0.000011,0.100731,-0.242315,4.554251,-16.5839,-15.81898,2.395901,-4.78686,-17.78382,3.717754,2.079842,2.061625,-13.11311,1.306343,-0.582902,18.24857,-12.79094,14.85525,4.393926,0.179779,0.142409,0.311836,1.340291,4.502259,0.00007,0.024134,5.756111,1.067523,1.160554,-0.001169,-0.000583,0.014459,5.317615,126.9186,0,-0.000029,energetic
0.019259,0.05304,0.000003,0.048489,0.882043,3.364523,-15.22992,-14.93018,2.768746,-5.699852,-21.35346,3.019629,0.803302,1.474153,-17.37658,-1.932957,-2.702548,21.48324,-23.51342,22.30341,5.388291,0.16794,0.163928,0.35202,0.88117,4.040818,-0.000011,0.400646,3.822039,1.400036,1.476785,0.000426,0.002195,0.015182,3.962669,117.1016,0,-0.000022,energetic
0.006146,0.058248,-0.000008,0.070385,0.246492,2.572217,-13.12746,-14.76826,3.545357,-0.902278,-5.9457,2.870235,3.866932,2.906319,-13.49347,3.019927,4.992684,21.82244,-25.50442,19.1777,4.069646,0.092073,0.13437,0.303141,1.416946,4.588523,0.000007,0.862299,5.340696,1.465061,1.503393,0.004776,-0.000554,0.010276,4.871568,117.5467,0,-0.000032,energetic
0.001316,0.011642,0.000004,0.005812,1.247921,3.945338,-10.38581,-9.847573,2.384381,-6.614256,-16.43213,2.561795,-3.42822,-4.95025,-13.67905,1.469165,-0.612923,20.73951,-13.81403,11.64585,3.828919,0.114135,0.127574,0.431831,0.450828,2.093822,-0.00001,1.072937,10.84105,1.085152,1.11726,0.00605,0.000846,0.010124,8.930676,123.4959,0,-0.000139,energetic
