@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_LowMidBPMRatio numeric
@attribute BeatHisto_MeanACR numeric
@attribute output {sleepy,notsleepy}

@data

0.04529,0.028407,-51.153273,5.307704,2.314573,0.397557,0.395281,0.000293,0.626666,0.381858,0.104949,0.47462,0.388522,0.362803,0.375649,0.019236,0.021568,0.181983,0.318991,0.324828,0.427323,0.159043,4.066026,0.132714,0.041243,0.051777,0.15342,16.141636,0.810748,0.586042,sleepy
0.051294,0.032876,-45.282616,5.379965,0.699598,0.101933,0.310877,0.001091,0.611533,0.363614,0.161441,0.424982,0.424365,0.427628,0.379274,0.022976,0.017044,0.189659,0.302789,0.258628,0.595262,0.129286,3.50347,0.126336,0.028104,0.039915,0.162009,42.588077,0.622727,0.579591,sleepy
0.05138,0.037179,-56.804543,7.677727,0.908859,0.482926,0.548491,0.000014,0.616934,0.371661,0.152736,0.428779,0.451165,0.433734,0.390537,0.022459,0.00833,0.206393,0.333186,0.300652,0.575153,0.141577,4.343322,0.118884,0.039652,0.045587,0.153287,9.230656,0.981132,0.574221,sleepy
0.045697,0.026902,-51.041921,5.875236,0.842928,0.688316,0.379447,0.000472,0.582838,0.399412,0.114435,0.506185,0.446545,0.419196,0.441351,0.023852,0.014446,0.191878,0.319607,0.351699,0.582039,0.126172,4.191984,0.130933,0.051149,0.043254,0.155159,45.910755,0.751515,0.552116,sleepy
0.088086,0.062055,-50.743399,4.06822,0.922429,0.912095,0.262187,0.000178,0.641623,0.438974,0.159411,0.481223,0.457412,0.459784,0.473065,0.045593,0.037892,0.19693,0.261634,0.318518,0.601118,0.133057,4.222988,0.10271,0.041933,0.054216,0.149682,31.964499,0.749245,0.575853,sleepy
0.030464,0.02293,-51.811006,9.18446,2.465782,0.720735,0.279596,0.000546,0.632256,0.381133,0.100423,0.488004,0.448745,0.350211,0.494287,0.015987,0.006224,0.191038,0.279329,0.31849,0.458947,0.090035,3.850993,0.142556,0.040301,0.030283,0.159286,21.669731,0.755155,0.579608,sleepy
0.086497,0.069658,-55.088647,5.282384,1.016773,0.372719,0.640094,0.000062,0.672862,0.344596,0.173451,0.56308,0.538436,0.317955,0.311331,0.031927,0.030434,0.23334,0.248324,0.367501,0.64036,0.171521,4.127918,0.145426,0.060178,0.05601,0.153143,7.256676,0.656069,0.584416,sleepy
0.052343,0.033045,-48.514407,5.540313,1.557591,0.082176,0.584684,0.000331,0.537609,0.393397,0.130518,0.477566,0.526743,0.427077,0.421203,0.026228,0.015942,0.18437,0.313865,0.315005,0.431076,0.099043,3.793911,0.158927,0.042166,0.050255,0.15178,15.268463,0.761155,0.583901,sleepy
0.054283,0.035294,-52.310541,6.251074,1.631374,0.579138,-0.28155,0.00007,0.695798,0.478323,0.125525,0.438183,0.371689,0.392792,0.440876,0.016195,0.010127,0.198203,0.238903,0.271882,0.442996,0.133073,3.85925,0.108979,0.041931,0.03846,0.157803,29.084143,0.668203,0.562242,sleepy
0.034273,0.022247,-53.865811,6.972671,1.509161,0.855194,0.680761,0.000461,0.614748,0.474368,0.094188,0.490543,0.479264,0.402481,0.420968,0.020008,0.014973,0.175844,0.397078,0.277498,0.455158,0.155889,4.41959,0.1325,0.04998,0.060919,0.156268,12.864704,0.664935,0.634674,sleepy
