@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {sleepy,notsleepy}

@data

0.03379,0.032669,-5.313234,-5.636065,-1.082532,-0.462508,2.521952,0.238754,0.048726,3.280321,0.015735,0.000003,12.91194,0.000001,0.278773,3.326108,3.517085,3.156573,0.749413,0.058703,3.222851,-3.584256,1512,3.229755,3.514186,905,0.700847,0.837179,-0.000109,0.000017,0.004178,0.057357,0.136943,0.000729,2216,sleepy
0.003863,0.004415,0.023483,-1.168514,-7.809706,-5.406971,2.75757,-4.875244,0.051561,6.171794,0.003217,0,24.10816,0.000003,0.265968,6.096479,4.256587,4.89327,0.504978,-0.173376,3.851304,-2.987787,1212,4.061604,2.342587,1943,0.493673,0.702621,-0.000005,0.000015,0.003874,0.588984,0.140906,0.000475,357,sleepy
0.017448,0.018985,-4.187963,-5.07551,6.203397,2.886302,2.850049,-3.273968,0.044084,18.65668,0.021406,0.000009,14.97178,0.000001,0.465866,4.10648,3.784242,4.667865,1.10493,-0.101729,4.228142,-3.852399,887,4.371653,4.29508,2530,0.946649,0.972959,0.000043,0.000076,0.008702,0.316803,0.122709,0.000575,880,sleepy
0.023791,0.007713,-9.501867,-7.346231,-3.133965,-1.164448,2.938368,0.111962,0.097373,8.216488,0.032726,0.000017,16.87405,-0.000008,0.958597,8.087627,5.588644,6.213564,1.221823,0.277313,4.233445,-5.601146,1463,4.632651,4.43574,1321,0.949563,0.974471,0.000029,0.000299,0.017301,-0.135776,0.161791,0.001,950,sleepy
0.013637,0.016014,6.651653,3.926314,-2.968576,-2.770643,3.2252,-2.658528,0.028569,22.10567,0.006571,0.000001,11.16686,-0.000003,0.459877,3.41371,4.547068,5.829926,1.687739,-0.071278,3.547446,-4.657168,163,3.322038,4.047906,1311,1.126818,1.061517,-0.000002,0.000005,0.002227,-0.00408,0.102303,0.000602,71,sleepy
0.010468,0.008932,-8.917571,-7.501399,-4.602812,-5.083708,3.454795,-1.143639,0.092454,14.72891,0.016761,0.000003,20.53068,0.000007,0.663855,5.024665,4.775012,5.055097,1.171004,0.215595,4.647086,-4.429845,2190,4.594033,5.129065,2645,0.96613,0.98292,0.000041,0.000138,0.011755,0.508904,0.147517,0.001161,1943,sleepy
0.020889,0.021291,-4.400516,-4.037443,-0.508395,-0.882144,2.891017,-0.569703,0.052143,6.240831,0.012284,0.000003,9.833617,0.000003,0.547896,4.155154,5.610999,4.779202,1.228549,-0.051104,3.493275,-4.279452,2526,3.848037,4.233522,745,0.965693,0.982704,-0.000011,0.000029,0.005349,0.619967,0.098587,0.000478,104,sleepy
0.009168,0.008224,-3.901015,-4.232341,-0.686941,-0.303588,2.797985,-2.616196,0.051969,8.653864,0.004488,0.000001,5.482838,-0.000003,0.517612,4.998296,3.994143,3.666967,0.828966,-0.154833,3.68965,-4.660029,639,3.7889,3.48754,2930,0.830161,0.911134,0.000032,0.000023,0.004847,0.367554,0.096213,0.000611,210,sleepy
0.010883,0.009331,-0.34675,-0.574494,4.157679,4.107093,3.332817,-4.066172,0.031964,21.06995,0.012481,0.000002,21.95942,-0.000003,0.522469,6.055938,4.495708,5.004916,1.039545,0.063554,5.176221,-4.709399,1764,4.415984,3.84714,235,0.876284,0.936101,0.000029,0.000021,0.004567,-0.693046,0.17145,0.000578,2356,sleepy
0.014986,0.019265,-4.549345,-6.591275,-3.253235,-0.87013,2.6378,-0.04808,0.066892,24.59245,0.021374,0.000013,16.95579,0.000003,1.051214,4.44897,4.902448,5.183534,1.532106,-0.267904,3.60895,-4.633349,2371,4.170251,3.819484,1975,1.302771,1.141423,0.000036,0.000148,0.012182,0.209653,0.103542,0.001249,1025,sleepy
0.013567,0.010769,-4.108553,-3.049122,3.032372,4.394697,3.637658,-6.443982,0.048977,82.55965,0.021081,0.000003,43.0224,-0.000006,0.579416,4.458759,3.946723,4.590238,1.044312,0.233219,5.171354,-4.07445,2023,3.637432,3.114536,2929,0.774939,0.880313,-0.000059,0.000061,0.00784,1.657257,0.13421,0.000615,2885,sleepy
0.003497,0.003094,5.034483,1.798911,-0.177764,2.119025,2.858231,-2.211343,0.030879,56.50999,0.002952,0,16.0259,-0.000002,0.877957,4.644811,6.064636,5.494678,2.061367,0.053681,5.310476,-7.263356,2850,5.002816,7.495481,463,1.472723,1.213582,-0.000034,0.000028,0.005258,-1.643258,0.092163,0.000585,1208,sleepy
0.013378,0.0175,-7.734107,-9.043097,-1.254288,-3.429255,2.524164,-11.26125,0.069234,15.10009,0.023577,0.000005,29.59625,0.000007,0.742423,4.767235,4.093379,4.750267,0.939595,0.160335,3.954856,-3.673221,951,4.191001,5.782588,2902,1.027224,1.013525,0.000004,0.000173,0.013165,-0.004319,0.134921,0.000922,405,sleepy
0.01218,0.011346,2.526037,4.027532,-4.886631,-3.988003,2.511965,-1.395407,0.04468,5.870429,0.010774,0.000002,20.89504,0.000002,0.917374,6.761833,5.565724,6.889624,1.225077,0.280522,5.172156,-5.457974,2429,4.417348,4.023219,2412,0.965372,0.982559,0.000031,0.000016,0.004013,0.553485,0.130922,0.000724,564,sleepy
0.005111,0.007089,-0.8652,6.565015,-7.799664,-9.912645,3.301596,-3.819768,0.064236,14.29708,0.018106,0.000002,57.80178,0.000008,0.569302,5.163885,5.170417,5.373324,1.249291,-0.236821,5.093116,-5.19027,2893,4.048386,4.831472,6,0.894991,0.946043,0.000007,0.000054,0.007376,-0.397825,0.146032,0.000803,970,sleepy
