@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sleepy,notsleepy}

@data
2.90155,1.045121,0.705823,0.378743,116.4504,7.506057,0.000218,3707.974,1.268966,0.001786,212.3091,16950.23,sleepy
3.449304,1.153226,0.814629,0.425133,46.04148,6.667993,0.000569,1610.369,2.926766,0.003439,332.5664,173242.9,sleepy
3.57676,1.13427,0.77133,0.745812,285.3341,7.064065,0.000219,46090.12,1.32519,0.003035,373.2025,26138.66,sleepy
4.982204,1.374768,0.747871,1.178747,75.82653,5.634856,0.000069,3817.347,0.172649,0.002079,456.9065,17194.24,sleepy
4.544238,1.41118,0.811981,0.560119,97.0975,5.042071,0.000214,4904.611,0.838183,0.001292,368.5144,149532.6,sleepy
4.418307,1.300731,0.699422,0.715286,165.4781,5.748399,0.000154,10847.97,0.933525,0.002352,438.3566,170658.9,sleepy
5.481851,1.501374,0.574246,0.718562,86.47564,5.112887,0.000102,3382.089,0.220189,0.002865,586.2845,117988.8,sleepy
4.882851,1.432771,0.836528,0.686081,123.8775,5.220046,0.000234,9995.804,1.007537,0.004632,509.2475,359737.8,sleepy
5.14351,1.423656,0.600537,0.82421,183.3713,5.318598,0.00009,14624.04,0.441933,0.002114,648.0649,223074.8,sleepy
3.88916,1.193852,0.731332,0.636408,181.4018,6.528587,0.000155,18459.28,0.793097,0.001308,449.2391,90165.26,sleepy
2.84406,1.013773,1.120416,0.360397,63.3676,7.77071,0.003298,2602.219,7.069405,0.002332,222.0954,51766.49,sleepy
4.418307,1.300731,0.699422,0.715286,165.4781,5.748399,0.000154,10847.97,0.933525,0.002352,438.3566,170658.9,sleepy
3.636906,1.148997,0.789389,0.613607,112.0065,7.091779,0.000334,6584.768,1.607338,0.002143,333.2801,32487,sleepy
3.659915,1.225658,1.002354,0.593103,46.29536,5.743023,0.000286,2466.354,0.772037,0.005239,178.518,11205.07,sleepy
3.417365,1.175638,0.888259,0.595262,42.09329,6.156786,0.00038,2903.268,2.040538,0.00377,254.7954,39224.09,sleepy
2.942848,1.060208,0.785318,0.594664,120.0071,7.42089,0.000354,6058.645,1.034484,0.003453,488.7817,25481.91,sleepy
3.091922,1.089928,0.675479,0.424305,294.6749,6.903311,0.000415,16836.62,1.227136,0.003958,391.4373,7793.737,sleepy
4.984186,1.398046,0.707372,0.970679,47.88368,5.630982,0.000347,1874.276,0.527698,0.003407,473.4352,41412.43,sleepy
3.52865,1.167388,0.864337,0.613635,127.9712,6.351703,0.000689,13496.54,0.987929,0.003615,391.137,96344.3,sleepy
5.552406,1.377686,0.766716,1.136349,153.8654,6.262597,0.000106,14911.47,0.548247,0.003828,538.899,141981.1,sleepy
2.575417,0.981291,1.216782,0.407484,37.65532,7.871792,0.001045,1147.731,3.800222,0.001455,250.8206,114717,sleepy
5.033604,1.340957,0.738016,1.208183,50.00119,6.383979,0.000178,1627.444,1.127482,0.002179,424.9571,75994.47,sleepy
3.062406,1.000938,0.816066,0.800875,106.1312,9.244445,0.000844,3163.289,3.745327,0.002587,288.8137,9479.018,sleepy
4.03589,1.271521,0.745954,0.601359,133.5562,5.863801,0.000362,7184.64,0.570898,0.003678,282.964,53632.75,sleepy
7.527242,1.486734,0.697721,1.509748,159.2455,6.506856,0.000819,13473.56,1.656073,0.00641,805.3531,282776.6,sleepy
4.889223,1.372611,0.719466,1.21292,31.93471,5.876134,0.00023,1089.29,1.320003,0.006764,475.2321,130405.8,sleepy
3.690644,1.17998,0.593214,0.62475,195.1518,6.655382,0.000227,22246.66,2.258348,0.002328,652.9913,251012.3,sleepy
3.873003,1.247035,0.639955,0.46091,179.8106,5.65673,0.00036,15257.25,1.159941,0.005761,432.7793,89573.85,sleepy
3.806905,1.249064,0.58515,0.4321,42.91168,5.61071,0.000341,1111.445,0.779687,0.004366,491.8223,92015.46,sleepy
2.957634,1.065822,1.15469,0.607125,49.16231,7.234156,0.000598,3448.559,3.330525,0.002826,245.2898,19221.89,sleepy
2.511394,0.978092,1.003257,0.509745,145.773,7.328512,0.000852,16467.86,4.220094,0.004527,278.4424,3927.848,sleepy
4.692302,1.379917,0.646458,0.624619,128.8685,5.480264,0.000194,7942.427,0.967874,0.0022,499.0725,412011.2,sleepy
4.16382,1.225801,0.639921,0.685868,82.54332,6.632791,0.00027,5837.8,0.966497,0.002571,459.5792,126586.2,sleepy
3.639594,1.195455,0.519386,0.386035,89.23163,6.264652,0.00051,6023.694,0.851279,0.003298,537.0785,44873.16,sleepy
3.782746,1.23963,0.841825,0.569553,60.96968,6.108701,0.00039,2691.964,2.029196,0.002978,553.3089,484121.3,sleepy
4.579069,1.333462,0.647334,0.747955,120.4033,5.840459,0.00014,7272.933,0.371159,0.005061,349.2898,30700.69,sleepy
4.521906,1.306716,0.823671,0.881522,94.46307,6.066654,0.000248,5680.475,1.418931,0.002714,441.0572,187957.2,sleepy
5.767231,1.473726,0.628212,1.210017,69.03564,5.513322,0.000348,6506.026,1.548501,0.003785,740.8622,438898.5,sleepy
3.341186,1.125835,1.024123,0.625015,115.8003,6.83486,0.000494,9085.544,1.859445,0.006132,270.4752,46283.54,sleepy
4.08286,1.293027,0.747428,0.475113,52.44471,5.690533,0.000897,1727.023,2.965187,0.001676,256.223,116495.3,sleepy
3.451362,1.165047,0.674661,0.444736,56.7977,6.369935,0.000483,2305.901,1.694854,0.003733,395.4416,54880.74,sleepy
3.311112,1.146065,1.007969,0.5274,75.81034,6.151463,0.000273,4794.357,1.221237,0.002495,326.3267,22438.6,sleepy
3.611462,1.178889,0.710286,0.350165,124.2569,6.747261,0.000456,5924.651,1.101047,0.001689,297.0701,37966.44,sleepy
6.049211,1.410961,0.580428,1.305745,143.5131,6.608336,0.000242,12923.38,3.18971,0.004406,508.3276,49550.63,sleepy
2.368874,0.923202,1.143048,0.452468,59.75738,9.221183,0.000682,1064.083,9.495582,0.001554,171.8573,2837.169,sleepy
3.53523,1.147435,1.132965,0.775275,129.5784,7.032297,0.000734,12612.11,1.875889,0.004098,251.9029,14793.08,sleepy
6.921842,1.726508,0.401621,0.868481,32.00771,4.279309,0.000159,894.1604,0.786229,0.004019,1674.109,1455036,sleepy
4.303833,1.303983,0.688296,0.677042,96.20198,5.833249,0.000205,4622.543,0.659201,0.003757,316.5465,47785.06,sleepy
2.674689,0.988709,0.698106,0.294687,122.998,8.037422,0.000234,7115.429,2.115238,0.000887,262.8429,19745.67,sleepy
4.016548,1.297807,0.852388,0.476392,77.19077,5.386122,0.000299,4215.099,1.237318,0.003052,281.0201,56331.48,sleepy
3.842623,1.222028,0.955163,0.606992,48.8197,6.458023,0.000247,2289.456,1.060421,0.002002,280.6163,62970.86,sleepy
3.734515,1.270934,0.629472,0.237071,70.57309,5.269555,0.000629,5030.83,2.291442,0.001708,436.3165,391648.7,sleepy
5.085072,1.38295,0.733375,1.064175,24.52263,5.721194,0.000193,689.1227,0.666737,0.002769,530.9785,141714.4,sleepy
3.135134,1.124137,0.621122,0.309905,162.235,6.685891,0.001065,17660.04,1.950268,0.004467,459.5769,5892.789,sleepy
3.831761,1.223669,0.827633,0.551476,139.9693,5.953064,0.000318,9048.941,0.732813,0.002922,346.112,52601.91,sleepy
4.733978,1.298614,0.650397,1.170867,108.4963,6.649143,0.000226,3816.26,1.182506,0.004915,437.5271,59176.08,sleepy
4.420442,1.289134,0.747303,0.835108,98.63019,6.045561,0.000133,3423.528,0.884693,0.002879,401.9571,137201.3,sleepy
3.336989,1.128257,0.608187,0.417287,85.22949,6.650772,0.000476,5360.724,0.762815,0.000651,466.4191,50834.19,sleepy
2.922139,1.081868,0.685645,0.286311,94.16735,6.734488,0.00064,3684.454,2.203076,0.004541,371.5626,15637.34,sleepy
3.52865,1.167388,0.864337,0.613635,127.9712,6.351703,0.000689,13496.54,0.987929,0.003615,391.137,96344.3,sleepy
3.980672,1.221886,0.684279,0.801813,177.2409,6.450833,0.000134,13364.41,0.264318,0.001879,501.6017,28574.78,sleepy
4.131831,1.27716,0.696442,0.533504,62.60399,5.744202,0.000331,2593.409,0.769488,0.002864,515.8002,194237.4,sleepy
3.762275,1.200214,0.957699,0.69081,95.06823,6.309042,0.000263,10010.77,0.88337,0.001325,224.4957,98633.11,sleepy
