@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.042448,0.026713,0.059014,-53.248292,2.250868,0.708337,1.261199,0.330565,-0.05777,6.92592,0.329067,0.091074,0.625433,1.081336,0.475682,0.476408,0.319446,0.391568,0.422272,0.191772,0.065758,0.017558,0.397241,0.337639,0.458403,0.480274,0.123009,0.095516,0.113788,4.051284,0.195674,0.065616,0.034458,0.154131,0.211359,6994.552757,27.284429,52.63709,4.016548,1.297807,0.852388,0.476392,0.88517,0.063387,77.19077,5.386122,232.9659,1.066045,0.032945,0.202192,0.163761,0.000299,0.004888,4215.099,1.237318,0,0.771638,0.074292,0,0.17633,0.003052,281.0201,56331.48
0.053756,0.040102,0.071442,-50.758412,1.324871,-0.434472,0.746051,0.409386,0.096211,5.942692,0.420325,0.142625,0.52254,1.032336,0.570951,0.569186,0.726555,0.441692,0.371946,0.185103,0.062522,0.020697,0.272369,0.308659,0.428937,0.576635,0.116194,0.140447,0.094018,3.912912,0.296634,0.026824,0.034527,0.165223,0.215944,11098.467891,17.533638,65.50271,3.815542,1.203591,0.659604,0.585362,0.865371,0.087882,69.94482,6.796708,258.1823,0.945581,0.032039,0.124481,0.138439,0.000548,0.007815,1973.544,1.203518,0,0.728362,0.072073,0,0.197983,0.003903,483.6849,106210.7
0.035311,0.027808,0.045621,-60.964256,1.031331,0.272921,-0.327689,0.411847,0.044846,4.689602,0.473438,0.116306,0.482921,1.000608,0.481038,0.409892,0.277046,0.415289,0.362619,0.197693,0.047476,0.007723,0.247591,0.23905,0.399728,0.440073,0.149334,0.096605,0.163892,4.653566,0.219952,0.026836,0.038692,0.153682,0.21438,3766.380531,5.727949,57.97492,2.749841,0.960879,0.925721,0.819874,0.863239,0.049134,45.76253,9.502726,117.1488,0.644084,0.028015,0.050572,0.091031,0.000482,0.002988,1410.513,8.937987,0,0.736352,0.101939,0,0.194267,0.004559,295.3088,8331.127
0.035311,0.027808,0.045621,-60.964256,1.031331,0.272921,-0.327689,0.411847,0.044846,4.689602,0.473438,0.116306,0.482921,1.000608,0.481038,0.409892,0.277046,0.415289,0.362619,0.197693,0.047476,0.007723,0.247591,0.23905,0.399728,0.440073,0.149334,0.096605,0.163892,4.653566,0.219952,0.026836,0.038692,0.153682,0.21438,3766.380531,5.727949,57.97492,2.749841,0.960879,0.925721,0.819874,0.863239,0.049134,45.76253,9.502726,117.1488,0.644084,0.028015,0.050572,0.091031,0.000482,0.002988,1410.513,8.937987,0,0.736352,0.101939,0,0.194267,0.004559,295.3088,8331.127
0.028678,0.017568,0.045606,-52.725225,1.647642,-0.026864,0.956893,0.395299,0.04081,4.741932,0.470613,0.094934,0.587946,1.018748,0.47151,0.368216,0.125846,0.345349,0.363643,0.181118,0.045958,0.014516,0.235865,0.285573,0.442306,0.375819,0.110793,0.093513,0.078835,3.84825,0.123873,0.044312,0.041137,0.149414,0.218127,8121.842373,18.976868,57.85852,3.762275,1.200214,0.957699,0.69081,0.889724,0.104398,95.06823,6.309042,212.1817,1.072982,0.027421,0.043617,0.194073,0.000263,0.012931,10010.77,0.88337,0,0.992676,0.087543,0,0.007275,0.001325,224.4957,98633.11
0.028678,0.017568,0.045606,-52.725225,1.647642,-0.026864,0.956893,0.395299,0.04081,4.741932,0.470613,0.094934,0.587946,1.018748,0.47151,0.368216,0.125846,0.345349,0.363643,0.181118,0.045958,0.014516,0.235865,0.285573,0.442306,0.375819,0.110793,0.093513,0.078835,3.84825,0.123873,0.044312,0.041137,0.149414,0.218127,8121.842373,18.976868,57.85852,3.762275,1.200214,0.957699,0.69081,0.889724,0.104398,95.06823,6.309042,212.1817,1.072982,0.027421,0.043617,0.194073,0.000263,0.012931,10010.77,0.88337,0,0.992676,0.087543,0,0.007275,0.001325,224.4957,98633.11
0.028678,0.017568,0.045606,-52.725225,1.647642,-0.026864,0.956893,0.395299,0.04081,4.741932,0.470613,0.094934,0.587946,1.018748,0.47151,0.368216,0.125846,0.345349,0.363643,0.181118,0.045958,0.014516,0.235865,0.285573,0.442306,0.375819,0.110793,0.093513,0.078835,3.84825,0.123873,0.044312,0.041137,0.149414,0.218127,8121.842373,18.976868,57.85852,3.762275,1.200214,0.957699,0.69081,0.889724,0.104398,95.06823,6.309042,212.1817,1.072982,0.027421,0.043617,0.194073,0.000263,0.012931,10010.77,0.88337,0,0.992676,0.087543,0,0.007275,0.001325,224.4957,98633.11
0.074416,0.047227,0.083836,-51.871782,1.41741,1.212841,0.733652,-0.042546,0.033255,5.277859,0.444183,0.111926,0.639943,1.127575,0.50174,0.431667,0.240643,0.364099,0.353971,0.18955,0.05728,0.026004,0.250836,0.244818,0.464114,0.459628,0.119701,0.079425,0.054221,3.965409,0.139757,0.043125,0.041882,0.158142,0.215526,8439.148828,25.54207,65.26555,4.882851,1.432771,0.836528,0.686081,0.897703,0.124868,123.8775,5.220046,322.076,0.954537,0.026351,0.10171,0.126035,0.000234,0.009088,9995.804,1.007537,0,0.818242,0.101831,0,0.148821,0.004632,509.2475,359737.8
0.074416,0.047227,0.083836,-51.871782,1.41741,1.212841,0.733652,-0.042546,0.033255,5.277859,0.444183,0.111926,0.639943,1.127575,0.50174,0.431667,0.240643,0.364099,0.353971,0.18955,0.05728,0.026004,0.250836,0.244818,0.464114,0.459628,0.119701,0.079425,0.054221,3.965409,0.139757,0.043125,0.041882,0.158142,0.215526,8439.148828,25.54207,65.26555,4.882851,1.432771,0.836528,0.686081,0.897703,0.124868,123.8775,5.220046,322.076,0.954537,0.026351,0.10171,0.126035,0.000234,0.009088,9995.804,1.007537,0,0.818242,0.101831,0,0.148821,0.004632,509.2475,359737.8
0.030464,0.02293,0.032197,-51.811006,2.465782,0.76888,0.720735,0.279596,-0.036252,6.29998,0.381133,0.100423,0.517191,0.939778,0.488004,0.448745,0.347272,0.350211,0.494287,0.186994,0.042031,0.006224,0.279329,0.31849,0.324324,0.458947,0.090035,0.085795,0.095176,3.850993,0.149605,0.040301,0.029322,0.159286,0.215854,11711.040798,21.669731,48.64332,2.679823,1.00561,1.089238,0.604553,0.8816,0.108948,98.31427,7.699399,44.63042,0.259014,0.013006,0.086842,0.037709,0.000221,0.006806,5612.303,0.880021,0,0.821571,0.095378,0,0.14669,0.003768,254.5754,3957.932
