@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_minPos numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_stddev numeric
@attribute output {sleepy,notsleepy}

@data

0.012393,0.014587,0.009597,1.608113,-5.743386,-0.278358,1157,5.368331,2229,1148,323,-0.2053,-6.364461,-2.034926,-0.422484,0.038765,0.046358,1152,0.013678,0.000004,6.650566,-0.000006,-0.092813,4.324078,-0.071803,0.877355,4.63548,0.186018,4.130045,3.964855,231,3.954744,7.804317,1388,0.833761,0.913106,0.000014,0.000054,0.12936,0.000827,0.02875,sleepy
0.025329,0.016632,0.016936,1.281157,1.146976,-0.948475,2091,2.193295,493,1932,1059,0.117879,-1.693503,-1.920877,-9.522751,0.056884,0.049038,2564,0.017505,0.000007,6.976021,0.000008,0.010374,4.916513,-0.048797,0.993285,4.712814,0.181463,3.986651,4.390625,326,4.023166,11.14293,2967,1.136854,1.066242,0.000026,0.000058,0.154181,0.000905,0.03008,sleepy
0.003191,0.002549,0.001448,1.271623,5.800787,0.020584,385,0.694406,407,2340,1490,0.019958,-3.463797,-3.992376,-9.460018,0.032568,0.037746,1601,0.001043,0.000001,7.782989,0,0.270963,3.600602,-0.039261,0.903665,4.354098,-0.029492,3.358455,3.685702,2199,3.167652,6.092881,1295,0.697278,0.835032,0.000025,0.000006,0.078158,0.000532,0.02307,sleepy
0.003191,0.002549,0.001448,1.271623,5.800787,0.020584,385,0.694406,407,2340,1490,0.019958,-3.463797,-3.992376,-9.460018,0.032568,0.037746,1601,0.001043,0.000001,7.782989,0,0.270963,3.600602,-0.039261,0.903665,4.354098,-0.029492,3.358455,3.685702,2199,3.167652,6.092881,1295,0.697278,0.835032,0.000025,0.000006,0.078158,0.000532,0.02307,sleepy
0.011293,0.007521,0.010986,4.548757,-3.357425,-1.123973,2348,0.051834,584,2304,890,-0.660854,0.501822,-0.292796,0.159998,0.031023,0.017953,239,0.016104,0.000001,5.603295,-0.000005,0.084158,4.329854,0.016068,0.556057,3.659335,0.0601,3.598137,4.103977,1967,3.569474,5.550026,2286,0.63914,0.799462,-0.000002,0.000027,0.081289,0.000383,0.01956,sleepy
0.011293,0.007521,0.010986,4.548757,-3.357425,-1.123973,2348,0.051834,584,2304,890,-0.660854,0.501822,-0.292796,0.159998,0.031023,0.017953,239,0.016104,0.000001,5.603295,-0.000005,0.084158,4.329854,0.016068,0.556057,3.659335,0.0601,3.598137,4.103977,1967,3.569474,5.550026,2286,0.63914,0.799462,-0.000002,0.000027,0.081289,0.000383,0.01956,sleepy
0.011293,0.007521,0.010986,4.548757,-3.357425,-1.123973,2348,0.051834,584,2304,890,-0.660854,0.501822,-0.292796,0.159998,0.031023,0.017953,239,0.016104,0.000001,5.603295,-0.000005,0.084158,4.329854,0.016068,0.556057,3.659335,0.0601,3.598137,4.103977,1967,3.569474,5.550026,2286,0.63914,0.799462,-0.000002,0.000027,0.081289,0.000383,0.01956,sleepy
0.017403,0.016042,0.014916,2.494347,-9.35095,-1.757682,2507,7.82316,2532,1585,2339,0.146356,-2.433371,-2.517697,-0.914042,0.075017,0.073092,2503,0.016016,0.000013,5.537812,-0.000007,-0.55038,5.279963,-0.025584,0.671111,3.574937,0.310167,4.363677,5.29965,1823,3.493644,6.562683,1680,0.761855,0.872848,0.000036,0.00017,0.121774,0.00041,0.02025,sleepy
0.017403,0.016042,0.014916,2.494347,-9.35095,-1.757682,2507,7.82316,2532,1585,2339,0.146356,-2.433371,-2.517697,-0.914042,0.075017,0.073092,2503,0.016016,0.000013,5.537812,-0.000007,-0.55038,5.279963,-0.025584,0.671111,3.574937,0.310167,4.363677,5.29965,1823,3.493644,6.562683,1680,0.761855,0.872848,0.000036,0.00017,0.121774,0.00041,0.02025,sleepy
0.013637,0.016014,0.00438,2.100487,6.651653,-0.308601,2966,-2.770643,460,2304,1018,-0.179009,0.198859,-9.578061,-2.658528,0.028569,0.032234,73,0.006571,-0.000002,4.271931,-0.000003,-0.123459,3.41371,-0.100045,1.161762,5.829926,-0.071278,3.547446,4.83724,163,3.322038,7.868876,1311,1.126818,1.061517,-0.000002,0.000005,0.102303,0.000602,0.024534,sleepy
