@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_PeriodicCentroid1 numeric

@data

0.047316,0.031354,0.13377,1.36339,1.428344,0.723756,0.487484,0.000542,1.554911,1.77343,4.539261,0.52715,0.109797,0.589456,0.757319,2.706198,0.42065,0.12573,0.033688,0.068399,0.010028,0.229493,0.257639,0.469744,0.95376,0.131652,0.175125,0.017375,0.013693,3.563679,0.408439,0.101844,0.079478,0.140748,0.161209,0.164228,0.058864,0.010502,0.015705,0.040348,0.105602,0.215299,89.724447,0.571561
0.048008,0.038914,0.158866,0.645133,0.601323,0.505881,0.255836,0.000139,1.585572,2.161582,7.408339,0.342397,0.116437,0.549724,0.733629,2.692317,0.452818,0.154042,0.04097,0.065324,0.028074,0.484228,0.419403,0.57508,2.156839,0.19529,0.185868,0.045538,0.040059,4.654188,0.701895,0.09025,0.16177,0.165924,0.338,0.244199,0.063903,0.016135,0.018381,0.044853,0.103127,0.216551,12.686571,0.483838
0.045551,0.030803,0.053742,1.344026,1.149948,0.478355,0.430364,0.000014,1.632229,2.046307,6.534029,0.447277,0.120069,0.577812,0.755093,2.67561,0.423027,0.128096,0.033106,0.044853,0.011286,0.304566,0.366551,0.378627,2.438455,0.149819,0.102049,0.025493,0.017328,5.012067,0.411148,0.099752,0.119004,0.124569,0.229636,0.180158,0.039005,0.013002,0.019919,0.042711,0.104208,0.213207,5.028894,0.516626
0.052238,0.040929,0.066139,0.612871,1.644766,0.961043,0.354374,0.000093,1.405562,2.119876,5.94261,0.412361,0.112141,0.541074,0.722702,2.73838,0.412697,0.135516,0.023166,0.064713,0.025293,0.71162,0.502444,0.702936,2.730513,0.216804,0.208337,0.029889,0.052709,3.981475,0.828723,0.114431,0.209359,0.268135,0.203422,0.196116,0.070163,0.016396,0.025716,0.045879,0.106547,0.22009,11.740319,0.48707
0.035513,0.020659,0.04486,-1.266174,2.617595,0.475511,0.028013,0.00074,1.438996,1.894033,5.249202,0.530908,0.107417,0.558554,0.639591,2.72262,0.438454,0.117511,0.017479,0.027626,0.008467,0.331792,0.335818,0.215885,1.636305,0.121406,0.121087,0.027375,0.00576,4.18575,0.669119,0.075062,0.111061,0.167942,0.159206,0.197082,0.027071,0.006388,0.014795,0.035506,0.096864,0.223601,25.555908,0.499372
0.050269,0.034265,0.065713,-0.569899,2.000181,-0.214435,0.509492,0.000069,1.533859,1.763593,7.349321,0.548987,0.136652,0.563442,0.707999,2.730758,0.466215,0.153879,0.02411,0.04735,0.010925,0.257652,0.211369,0.309156,1.534883,0.096811,0.102635,0.025171,0.006121,4.367415,0.573378,0.07033,0.101011,0.128684,0.145426,0.168525,0.039252,0.012307,0.016991,0.034697,0.08459,0.219195,31.394194,0.457146
0.040861,0.024745,0.042111,0.643423,1.449793,0.223317,0.319599,0.000286,1.426039,1.944499,7.452917,0.508282,0.118797,0.574354,0.743325,2.678258,0.43947,0.138075,0.022029,0.046106,0.008955,0.318334,0.272404,0.369417,1.158928,0.108667,0.11878,0.027318,0.004206,3.603673,0.49065,0.068715,0.100102,0.145366,0.166494,0.258744,0.044139,0.009345,0.018002,0.038329,0.101547,0.213703,42.952328,0.447824
0.069193,0.048748,0.094322,0.847475,2.011631,0.833309,0.022055,0.000016,1.429531,1.989317,5.830514,0.515154,0.126279,0.595748,0.75792,2.679082,0.455929,0.129641,0.030001,0.072229,0.015609,0.318784,0.316682,0.333677,1.112757,0.126153,0.098673,0.018096,0.021977,3.952744,0.550726,0.090111,0.090626,0.142403,0.139814,0.200184,0.037418,0.014066,0.021226,0.043875,0.102825,0.213728,10.835624,0.479795
0.075399,0.051257,0.105064,1.90428,0.797345,0.571988,0.300828,0.000209,1.542719,1.924739,6.68426,0.382511,0.135996,0.621467,0.785484,2.676337,0.380685,0.154501,0.026974,0.075468,0.018518,0.352619,0.268912,0.363158,1.498631,0.09468,0.106565,0.020201,0.02979,3.958363,0.513136,0.086047,0.096262,0.147844,0.348395,0.177637,0.043921,0.011476,0.017273,0.042161,0.111147,0.212471,29.800272,0.503245
0.02449,0.019465,0.023982,1.685318,2.814503,1.232609,0.319249,0.000198,1.416265,1.886228,9.273306,0.486423,0.081204,0.563695,0.74688,2.677839,0.431468,0.128417,0.013076,0.046853,0.002846,0.37147,0.250795,0.510214,2.424792,0.127954,0.156115,0.010554,0.002763,4.233141,0.461258,0.080544,0.14378,0.151392,0.218943,0.252982,0.038401,0.006239,0.014039,0.039149,0.100792,0.20549,20.106717,0.450229
0.038736,0.025811,0.048345,0.442137,0.918998,0.913669,0.654759,0.000517,1.506704,2.153649,5.850452,0.431246,0.113879,0.517574,0.695255,2.71261,0.429996,0.1425,0.02479,0.075461,0.006162,0.394352,0.320148,0.277957,0.838263,0.102008,0.139555,0.022763,0.004649,3.639155,0.545767,0.081315,0.142761,0.144854,0.185722,0.250087,0.03906,0.007847,0.018966,0.031769,0.098794,0.218643,42.993819,0.530571
0.028555,0.018855,0.0307,1.942002,1.955215,0.831234,0.09731,0.000307,1.508161,1.889157,5.183551,0.474679,0.089144,0.591676,0.789075,2.700484,0.355516,0.111749,0.018501,0.056716,0.007022,0.24486,0.268614,0.37151,0.871966,0.106889,0.102418,0.020034,0.012715,3.960248,0.430194,0.100146,0.12236,0.208364,0.235296,0.256872,0.052757,0.009275,0.016126,0.038223,0.10756,0.217935,28.149583,0.518859
