@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {calm,notcalm}

@data
64.62934,3.807238,0.88106,113.3137,6.245331,0.005927,0.330253,435.9383,calm
73.00322,4.986771,0.881235,15.12826,5.107225,0.004839,1.095754,601.4663,calm
69.89258,4.805016,0.883752,46.09037,5.28113,0.007206,0.962466,666.081,calm
89.2369,6.031559,0.888503,61.24029,5.14694,0.016591,0.338629,824.951,calm
69.81461,3.79188,0.890123,107.9064,7.313681,0.007617,1.285428,307.3833,calm
64.27438,3.946069,0.876927,62.0412,6.687486,0.005473,1.684333,433.0521,calm
39.42889,2.588173,0.857692,49.26181,7.843988,0.008113,3.794138,146.5783,calm
68.00964,3.826408,0.881672,71.13964,6.723567,0.005313,0.316257,357.017,calm
46.61069,3.18077,0.869342,14.50208,6.507333,0.00156,1.353643,183.4916,calm
88.49563,6.165613,0.898541,36.30461,5.153974,0.014146,0.413181,632.1175,calm
57.97492,2.749841,0.863239,45.76253,9.502726,0.002988,8.937987,295.3088,calm
76.35054,4.491119,0.876586,37.77248,6.192675,0.005719,1.152718,654.6968,calm
64.33631,3.062406,0.852076,106.1312,9.244445,0.007076,3.745327,288.8137,calm
46.67415,3.361781,0.872996,111.6462,6.290154,0.003419,2.307366,178.6,calm
62.27929,4.095183,0.901048,64.87211,6.006967,0.007647,0.678443,224.9008,calm
68.82871,3.916721,0.884071,151.6037,6.748665,0.008063,0.783285,415.961,calm
68.48413,4.546028,0.887846,129.7347,5.574574,0.01477,1.056305,599.3216,calm
