@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[8]_linregc2 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute F0_sma_minPos numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute output {calm,notcalm}

@data
0.094038,0.025358,-5.684535,-1.24196,16.89305,-3.098659,-8.075842,3.726099,-3.132808,0.004235,0.594071,0.078262,0.047907,0.060743,0.452985,0.412079,0.572557,2.451203,0,9.638837,-0.889134,2772,0.964998,4.014265,-0.007581,0.000001,3.760117,calm
0.041998,0.004806,-2.284987,-1.089127,16.98606,-4.883626,-15.81125,-11.3299,-2.559972,0.013309,0.460375,0.049664,0.041453,0.046114,0.568442,0.614184,-0.195866,1.853902,9,60.80928,-1.081615,19,0.431132,5.74675,0.00655,-0.000004,4.306962,calm
0.211964,0.050968,-8.00998,-1.227592,7.967602,-9.941839,-4.183515,-8.901713,-3.605594,0.026618,0.361162,0.098287,0.077701,0.0562,0.366013,0.421633,0.807996,3.70338,0,13.05007,-0.393694,2042,0.542829,3.605807,0.001053,-0.000004,3.255727,calm
0.035177,0.006177,-3.854789,-0.47814,18.86611,0.440405,4.390043,16.62392,0.435639,0.00605,0.127042,0.033478,0.048226,0.024375,0.569571,0.696952,0.07676,2.293897,0,59.10294,-2.226634,1195,0.454303,3.647702,0.001126,0.000003,4.154691,calm
0.077763,0.018209,-0.133264,0.665937,7.865954,-6.289044,-8.533907,-3.13906,2.266568,0.015729,0.180278,0.060186,0.051355,0.026769,0.469634,0.404716,0.257458,2.508954,0,12.57801,-1.450184,477,0.549284,3.797713,-0.001958,-0.000013,3.34188,calm
0.052075,0.016418,-0.510123,-1.03691,10.6801,1.590027,-6.467569,-8.868054,-3.043072,0.009074,0.396854,0.042483,0.04288,0.032673,0.505506,0.418431,0.178183,2.671551,0,12.02964,0.066361,1425,0.997543,4.376188,-0.000244,0.000002,4.542131,calm
0.090488,0.019197,-6.410715,-1.229999,21.91607,5.235331,-2.239609,-1.39468,-4.599366,0.009679,0.396249,0.069395,0.08051,0.059267,0.420337,0.426979,0.346448,2.146924,14,10.47826,-0.305667,2143,0.850459,4.862465,-0.006518,0.000007,3.328719,calm
0.108198,0.018572,-5.662008,-0.387052,13.48614,0.042159,-2.226373,3.361998,-2.510799,0.00363,0.287356,0.052485,0.054983,0.047319,0.394893,0.40048,1.191696,3.896403,0,13.05298,-1.212682,998,1.200493,4.224573,-0.001518,-0.000006,3.827856,calm
0.076437,0.021559,-6.955183,-0.724894,21.15468,-2.391379,-2.646479,-0.433434,1.645503,0.010889,0.483364,0.073798,0.059739,0.051467,0.478847,0.484394,0.251034,2.03998,4,7.314031,-0.856502,2929,0.843592,5.152714,0.002421,-0.000004,3.917647,calm
0.113928,0.016382,-1.650146,-0.898805,17.43113,-2.190075,-1.120768,3.403992,-3.387198,0.009074,0.556564,0.04915,0.046698,0.051619,0.483733,0.484074,-0.120377,1.926836,13,23.64678,-1.433722,2747,0.563289,5.343256,-0.0012,0,4.997396,calm
