@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc1 numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_linregerrQ numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute F0_sma_de_maxPos numeric
@attribute output {calm,notcalm}

@data
0.020906,0.007591,-0.730536,-1.083694,7.749453,-9.301011,2.33289,-2.061715,-2.668981,0.120992,0.04755,-0.000008,0.059385,0.000392,0.829274,0.455003,0.191706,2.675163,7.319878,-1.759034,2647,0.497051,3.503663,3.525743,0.001175,-0.000001,3.468917,0.733908,-0.000003,2467,calm
0.03605,0.013024,-3.657799,-0.002143,16.36242,-2.227318,-5.720136,-4.669822,0.479326,0.105868,0.038433,-0.000007,0.049056,0.000235,0.93149,0.405624,0.747523,3.071628,10.65711,-1.225622,532,0.505511,3.447993,3.795105,0.000914,-0.000001,3.351037,0.711237,0.000028,2488,calm
0.03098,0.005771,-7.023057,-0.952117,14.25346,0.066392,-3.962524,-3.816242,-3.283525,0.382335,0.072572,0.000003,0.068124,0.003349,2.572749,0.34427,0.888644,2.896083,15.68181,-0.150821,174,0.730046,3.946109,4.000299,0.002654,0.000003,3.473836,1.058106,0.000032,1707,calm
0.090488,0.019197,-6.410715,-1.229999,21.91607,5.235331,-2.239609,-1.975103,-4.599366,0.396249,0.069395,-0.000007,0.08051,0.003471,2.925417,0.426979,0.346448,2.146924,10.47826,-0.305667,2143,0.850459,4.862465,3.705192,-0.006518,0.000007,3.328719,1.239177,0.00001,108,calm
0.032879,0.00865,-1.10273,-0.51698,15.32947,3.738394,-7.940391,-1.941397,-7.718114,0.094374,0.027013,0.000005,0.019279,0.000155,2.168265,0.45644,0.42306,2.751415,9.426111,-0.93425,2812,0.358626,4.119524,3.693067,-0.001127,-0.000003,3.291831,0.675711,0.000002,2594,calm
0.042483,0.017827,-0.810933,0.173671,12.90552,1.737008,-5.793066,-4.108984,1.451061,0.146401,0.039041,0.000004,0.033059,0.000257,1.048701,0.462041,0.304592,2.169075,6.444784,-1.608688,320,0.629671,3.844277,5.439195,0.004266,0.000008,4.283783,0.781683,0.000029,927,calm
0.10356,0.010514,-4.595821,-0.630172,19.57779,6.634474,-4.638036,1.133239,0.767566,0.309135,0.027727,0,0.027401,0.000509,4.754754,0.444289,0.457834,2.434438,37.68171,-1.015984,2360,0.525934,4.107208,4.307311,-0.001037,0.000001,3.26467,0.792662,0.000018,645,calm
0.013794,0.004992,-1.465659,-0.513522,13.11051,-4.049549,-9.757455,-1.316377,-0.447527,0.177254,0.050548,0.000001,0.049094,0.000232,1.917204,0.417726,0.493656,2.269889,10.88877,-0.115697,835,0.504329,3.132509,3.097558,0.000645,0.000001,3.11886,0.688942,-0.000003,1752,calm
0.093869,0.017981,-4.17711,-0.737751,21.40652,-2.749713,-11.94684,-4.919645,-5.427035,0.683606,0.080763,-0.000008,0.09299,0.008407,3.916983,0.513162,-0.086636,1.512009,19.40827,-0.488266,1290,0.919229,5.080643,4.374712,0.001518,0.000007,4.169984,1.108498,0.000005,2571,calm
0.097813,0.013244,-2.750329,-0.993778,19.8715,2.47143,-5.190762,-0.676249,-4.219118,0.3902,0.048245,0.000004,0.042379,0.002095,4.123825,0.430414,0.610583,2.574206,20.05997,-1.152414,900,0.51131,4.658816,4.210286,-0.000385,0.000003,3.232095,0.868121,0.000004,1443,calm
