@attribute Std_Acc1000_Std_Mem40_SCF_2 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_4 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_HighPeakAmp numeric

@data

0.053978,0.043008,0.070631,-63.603056,7.667677,0.431984,1.442231,0.466307,0.787091,0.000008,0.000017,1.50967,3.130629,7.31287,9.244308,0.261802,0.352701,0.420112,0.132112,0.526436,0.685639,1.339391,0.471562,2.76089,0.139787,0.138757,0.028266,0.043602,0.059876,0.973402,7.539686,0.355002,0.402281,0.459551,2.308242,0.17029,0.168176,0.043327,0.042227,0.84635,0.128889,0.09669,0.171478,0.157908,0.248205,0.055727,0.016944,0.024268,0.042186,0.099215,0.222294,5.078417
0.055637,0.040615,0.074006,-51.239504,6.444987,-0.166919,1.346923,0.71425,-0.113586,0.000142,0.000081,1.481643,2.608919,7.211633,8.260044,0.475495,0.424834,0.361284,0.140397,0.534795,0.699742,1.322577,0.405348,2.148613,0.121406,0.122017,0.024173,0.034974,0.040374,1.01567,0.995654,0.327346,0.29421,0.365077,1.368751,0.113317,0.10701,0.037573,0.008668,0.610619,0.077139,0.077046,0.132394,0.132701,0.251476,0.046354,0.017122,0.029111,0.039494,0.103291,0.218228,14.377651
0.089671,0.073419,0.113702,-54.419241,5.949386,-0.5675,0.586833,-0.839985,-0.835271,0.000009,0.00001,1.627663,2.573382,8.397575,9.77927,0.43062,0.348015,0.281259,0.180315,0.512359,0.794518,1.287593,0.356269,2.58918,0.073967,0.064302,0.024552,0.023243,0.041759,0.381877,22.261459,0.249316,0.344894,0.474365,3.259056,0.119814,0.146132,0.02837,0.00593,0.379759,0.063734,0.101642,0.145271,0.263436,0.413555,0.034113,0.015284,0.031276,0.037634,0.100256,0.218465,7.603054
0.07852,0.049662,0.113015,-43.177067,4.825688,0.1546,1.375409,-0.296409,-0.044017,0.000643,0.000781,1.436513,2.590305,6.130336,7.285792,0.487145,0.46031,0.458452,0.169133,0.60228,0.761635,1.35962,0.460197,2.368578,0.11973,0.128056,0.023762,0.043362,0.041283,0.609522,0.56069,0.235687,0.324557,0.339573,1.305316,0.099375,0.096875,0.022906,0.007262,0.443338,0.071703,0.066661,0.100973,0.131748,0.184757,0.034482,0.019006,0.027573,0.040298,0.104301,0.213807,35.321002
0.057396,0.043513,0.073123,-50.59495,6.201568,1.33016,1.616014,0.022526,0.550576,0.000269,0.000139,1.477418,2.829414,7.903827,9.628675,0.385916,0.34977,0.347937,0.133044,0.573496,0.757007,1.358711,0.390093,2.469448,0.123036,0.13707,0.026498,0.053423,0.066682,0.962584,3.321554,0.372257,0.321497,0.420685,1.971597,0.161697,0.155618,0.03105,0.024968,0.779586,0.113854,0.086932,0.11836,0.172877,0.301378,0.04739,0.02145,0.033103,0.041253,0.096143,0.212076,26.732277
0.037457,0.029648,0.045542,-55.213754,7.457015,0.229869,1.741882,0.820371,0.258246,0.000179,0.000137,1.615248,2.766766,6.283901,6.996523,0.451963,0.462494,0.456998,0.104624,0.518944,0.684841,1.32226,0.440224,2.703896,0.162964,0.144072,0.025133,0.049408,0.052293,0.571226,6.362336,0.352309,0.359363,0.394037,2.489782,0.121131,0.145865,0.028536,0.023125,0.458013,0.154099,0.11381,0.143798,0.179404,0.223811,0.046967,0.017468,0.038243,0.049125,0.103288,0.217928,18.086796
0.027883,0.019444,0.026965,-57.78621,6.17478,0.953045,1.715887,1.260022,0.724409,0.000094,0.000082,1.595458,2.543588,6.939732,9.754845,0.525265,0.525014,0.385099,0.079771,0.558176,0.724079,1.353894,0.458724,2.391937,0.157133,0.139648,0.020037,0.052486,0.062345,0.504686,1.079329,0.316653,0.270837,0.306618,1.265634,0.111937,0.108252,0.013787,0.011682,0.618592,0.141413,0.102123,0.093714,0.124871,0.174841,0.040594,0.022431,0.0304,0.04118,0.101428,0.211447,13.366488
0.046576,0.027505,0.04552,-51.701274,5.068262,1.379564,1.81014,0.900507,0.546244,0.000304,0.000287,1.517809,2.696133,9.045829,10.250997,0.45026,0.459656,0.320574,0.106369,0.618814,0.755044,1.391491,0.471956,2.702353,0.156948,0.16268,0.027702,0.055621,0.059574,0.546385,0.733212,0.316656,0.264806,0.317222,2.181656,0.150654,0.115019,0.023292,0.018062,0.567165,0.126918,0.103282,0.13091,0.142806,0.188377,0.030759,0.017565,0.02813,0.047062,0.109276,0.214756,31.965422
0.072211,0.053582,0.104291,-47.510342,6.35659,0.01069,0.38737,0.287897,-0.166316,0.000387,0.000415,1.499132,2.76937,7.164467,10.19996,0.459922,0.385431,0.376139,0.164396,0.527653,0.751445,1.374125,0.414431,2.46591,0.141867,0.141433,0.03576,0.044265,0.060489,0.555843,4.720852,0.242739,0.300869,0.350116,0.998236,0.108415,0.114561,0.022885,0.036949,0.701184,0.115607,0.085378,0.132858,0.164429,0.22679,0.044721,0.018917,0.033977,0.04369,0.102161,0.213407,41.965144
0.047651,0.039803,0.062339,-58.330215,7.362331,0.542505,1.300912,0.222541,0.446305,0.000017,0.000031,1.58279,3.312035,7.66422,10.777769,0.305424,0.344993,0.373752,0.132527,0.531515,0.714581,1.341464,0.338555,2.485385,0.129793,0.138522,0.022117,0.044253,0.055688,0.635734,16.678701,0.358922,0.276413,0.488132,1.939059,0.154967,0.134434,0.023868,0.030283,0.71219,0.151171,0.122234,0.157466,0.180085,0.173601,0.06032,0.020191,0.032579,0.045785,0.099395,0.215343,8.494839
0.092912,0.06892,0.14492,-43.332794,5.029041,-0.612031,1.306286,-0.315933,0.207088,0.000634,0.000407,1.662817,2.737599,6.486311,8.134822,0.431357,0.415265,0.389407,0.177494,0.601147,0.734905,1.304104,0.418937,2.26208,0.12895,0.135715,0.028487,0.050211,0.063336,0.589037,1.207198,0.262551,0.264869,0.283957,1.226326,0.102912,0.093707,0.025462,0.026761,0.52699,0.095466,0.120773,0.114156,0.151807,0.178169,0.040602,0.018205,0.030913,0.043261,0.095417,0.210921,32.949278
0.035875,0.027615,0.069648,-57.489253,5.45079,1.409475,0.962124,0.488503,-0.820156,0.000083,0.000104,1.52343,2.788094,6.723992,8.786548,0.293118,0.450247,0.412185,0.117605,0.54165,0.734769,1.415903,0.363763,2.444433,0.125649,0.110774,0.019963,0.038862,0.048357,1.084635,4.359877,0.340566,0.26468,0.549579,0.960923,0.148463,0.196443,0.038897,0.007398,0.374295,0.109855,0.103796,0.150248,0.234814,0.286111,0.051059,0.014843,0.031535,0.03811,0.109371,0.214848,8.481445
0.056687,0.04362,0.080754,-50.524102,8.256559,-0.674104,1.498313,0.345831,0.60222,0.000145,0.000167,1.434393,2.723623,6.913555,8.680946,0.423625,0.436507,0.409928,0.141525,0.527082,0.653716,1.326683,0.400042,2.40435,0.138071,0.16068,0.02378,0.046324,0.044587,0.736251,1.469324,0.263795,0.40688,0.347598,1.307504,0.112115,0.100274,0.025978,0.008999,0.504473,0.115318,0.080038,0.123614,0.153375,0.158741,0.052526,0.019986,0.028694,0.035711,0.106564,0.213646,16.830041
0.042669,0.035088,0.052384,-52.486272,7.267315,0.740802,2.015124,0.689279,0.62212,0.000228,0.000299,1.537928,2.801487,7.33758,7.760705,0.429139,0.473616,0.398365,0.112349,0.53705,0.715162,1.363602,0.428146,2.730345,0.16415,0.147961,0.027694,0.065982,0.075931,0.468775,7.091248,0.313123,0.329675,0.4335,1.148436,0.119566,0.128965,0.023577,0.024056,0.683512,0.134401,0.083288,0.080252,0.196007,0.231909,0.040062,0.024076,0.030533,0.036222,0.101741,0.214925,15.468024
0.075399,0.051257,0.105064,-50.37056,5.218356,1.90428,0.797345,0.571988,0.300828,0.000194,0.0002,1.542719,2.969817,9.107485,10.260621,0.415466,0.382511,0.33266,0.135996,0.621467,0.785484,1.441575,0.380685,2.54337,0.152863,0.154501,0.026974,0.073538,0.075468,0.534764,1.276497,0.268912,0.242463,0.363158,1.498631,0.09468,0.106565,0.020201,0.02979,0.513136,0.10128,0.086047,0.096262,0.147844,0.348395,0.043921,0.017273,0.026818,0.042161,0.111147,0.212471,29.800272
0.054077,0.03377,0.156249,-51.176883,5.185456,0.270574,0.869064,0.289288,0.057965,0.000359,0.000356,1.487699,2.608965,7.825488,8.150095,0.481503,0.410519,0.364272,0.130668,0.573692,0.765439,1.375584,0.45763,2.393735,0.1347,0.139963,0.042119,0.061691,0.073625,0.774721,1.027368,0.300872,0.372563,0.255451,1.271054,0.158447,0.10747,0.031339,0.013758,0.499963,0.085061,0.071009,0.140384,0.187609,0.20421,0.033302,0.02141,0.03038,0.035897,0.10221,0.209872,58.7164
0.072776,0.049611,0.107615,-49.245868,4.925266,0.253844,0.480611,0.267691,0.134025,0.000286,0.000338,1.511544,2.544883,8.273138,9.78071,0.475281,0.481069,0.353375,0.155505,0.575724,0.767199,1.387612,0.478169,3.435784,0.171905,0.168593,0.038635,0.057651,0.063461,0.558876,6.078079,0.257041,0.342101,0.389997,1.937055,0.109243,0.107789,0.020757,0.022047,0.456233,0.12827,0.073434,0.103477,0.152069,0.265643,0.062717,0.020717,0.028384,0.039635,0.097239,0.213437,51.279838
0.046426,0.033066,0.057599,-52.972051,7.007873,0.616391,1.772672,0.40999,0.016984,0.000294,0.000338,1.575555,2.776884,6.546425,7.797269,0.369382,0.387024,0.415523,0.120981,0.556327,0.716254,1.356467,0.334745,2.571096,0.138357,0.125028,0.027876,0.057683,0.062343,0.793402,1.726064,0.333161,0.259039,0.426448,1.629303,0.147906,0.19163,0.02975,0.034167,0.754667,0.132417,0.10518,0.181913,0.211833,0.360937,0.05748,0.025242,0.032288,0.045103,0.099719,0.216524,21.934424
0.044787,0.039834,0.053069,-61.910395,10.535337,0.369795,1.269226,0.332402,0.058406,0.000012,0.000027,1.418413,2.989466,6.018988,5.027201,0.36715,0.340257,0.575039,0.134368,0.451426,0.603128,1.307114,0.445291,3.429422,0.164272,0.150852,0.023484,0.041002,0.042467,0.527104,18.393104,0.26598,0.287276,0.433855,1.615298,0.110886,0.111014,0.020232,0.002902,0.770674,0.145211,0.094078,0.105053,0.12844,0.193199,0.055527,0.012025,0.019963,0.030947,0.100731,0.22621,7.728742
0.035513,0.020659,0.04486,-48.957039,7.053264,-1.266174,2.617595,0.475511,0.028013,0.000768,0.000915,1.438996,2.444037,4.902402,5.965497,0.527388,0.530908,0.519875,0.107417,0.558554,0.639591,1.279841,0.438454,2.676054,0.118304,0.117511,0.017479,0.0329,0.027626,0.577215,0.325298,0.335818,0.298936,0.215885,1.636305,0.121406,0.121087,0.027375,0.00576,0.669119,0.059718,0.075062,0.111061,0.167942,0.159206,0.027071,0.014795,0.02993,0.035506,0.096864,0.223601,25.555908
