@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute output {happy,nothappy}

@data
1.393002,1.072328,0.900276,230.7342,0.011876,0.031259,0.009706,0.387456,0.004134,621.2942,happy
1.337502,2.208442,0.878032,1889.189,0.031148,0.100773,0.00498,4.115389,0.001794,454.5574,happy
1.120005,0.636227,0.8669,207.1497,0.027418,0.102268,0.007014,2.746013,0.002634,340.6489,happy
1.472892,0.719766,0.898243,503.9017,0.023221,0.024558,0.010054,0.543891,0.005033,714.5933,happy
1.45797,1.187333,0.895441,194.4522,0.017989,0.02146,0.006349,0.555274,0.004096,751.544,happy
1.222616,0.731149,0.869572,131.2602,0.010463,0.015463,0.018203,0.300791,0.003469,888.9507,happy
1.43808,1.178042,0.897894,199.7822,0.014549,0.026243,0.009288,0.61053,0.004032,659.2725,happy
1.288308,0.925064,0.891472,246.3098,0.011553,0.058813,0.009215,0.582137,0.00311,494.6455,happy
1.377157,1.126797,0.901744,163.3239,0.014322,0.023133,0.014049,0.463704,0.002758,544.3168,happy
1.483944,1.107982,0.89776,168.0606,0.017305,0.014703,0.010232,0.221871,0.00533,798.3662,happy
1.580916,0.646849,0.8996,171.2347,0.019571,0.013426,0.012167,0.379929,0.002491,560.3566,happy
1.337914,0.83042,0.89724,201.979,0.011826,0.117151,0.005953,0.473769,0.004772,423.2021,happy
1.533156,1.233234,0.899973,188.3748,0.008563,0.01505,0.011828,0.274231,0.004539,1014.018,happy
1.533156,1.233234,0.899973,188.3748,0.008563,0.01505,0.011828,0.274231,0.004539,1014.018,happy
1.446283,1.107692,0.89526,625.9196,0.013861,0.042107,0.006087,0.538441,0.004218,785.9778,happy
1.561792,1.13952,0.900204,180.255,0.019879,0.008651,0.01647,0.378009,0.003293,1053.673,happy
1.474482,1.403817,0.889478,670.9296,0.021911,0.009186,0.010009,0.352686,0.005869,843.0191,happy
1.36963,1.095027,0.894908,229.7531,0.024962,0.075374,0.008953,0.628171,0.00297,620.5279,happy
1.412653,1.531328,0.893255,1668.605,0.036889,0.11049,0.004944,0.957518,0.00349,593.4771,happy
1.507991,1.044174,0.896619,194.5594,0.018361,0.024539,0.010016,0.27387,0.00544,571.1992,happy
1.603346,0.933416,0.890453,257.2201,0.042287,0.015901,0.022104,1.00118,0.005507,1078.088,happy
1.286437,0.799156,0.895014,222.4787,0.022537,0.073396,0.00732,0.955412,0.00268,409.8957,happy
1.449505,0.94193,0.899192,182.9911,0.010856,0.020423,0.006283,0.2249,0.003423,697.6873,happy
1.232006,0.401107,0.880596,218.2157,0.011978,0.035152,0.006737,0.629586,0.003838,442.0042,happy
1.383922,0.954115,0.891889,273.9457,0.03867,0.134249,0.009919,1.187605,0.003767,430.1923,happy
1.262879,1.066842,0.898347,76.06573,0.00674,0.03454,0.011282,0.288364,0.004058,410.1105,happy
1.385326,0.956841,0.896871,597.4624,0.045262,0.055923,0.009382,0.585869,0.001686,512.9084,happy
1.45032,1.041102,0.899762,95.64177,0.008272,0.010653,0.007009,0.253582,0.005599,674.516,happy
1.331247,0.5288,0.875219,200.2824,0.020663,0.014403,0.004154,0.514856,0.003469,672.4478,happy
1.427119,1.092893,0.901805,298.6949,0.032966,0.278304,0.008664,0.933317,0.004802,461.674,happy
1.652737,1.360215,0.890132,90.29311,0.006538,0.005511,0.020202,0.155819,0.003736,1170.577,happy
1.534603,1.434235,0.906463,164.8009,0.021057,0.01771,0.013711,0.484474,0.003954,735.6034,happy
1.686356,1.092775,0.89524,451.3431,0.015755,0.010419,0.020784,0.668512,0.005994,1350.267,happy
1.592958,1.273948,0.89188,29.47961,0.004846,0.005286,0.018116,0.128227,0.005491,918.8404,happy
1.384598,0.579291,0.896501,194.4314,0.022536,0.100415,0.006517,0.580095,0.002166,393.625,happy
1.605879,0.852046,0.885796,189.81,0.025974,0.037008,0.008598,0.950377,0.005422,1229.532,happy
1.547129,0.936294,0.902297,323.6118,0.019495,0.019467,0.022462,0.612373,0.005603,871.1768,happy
1.536383,0.933385,0.890611,616.0265,0.032668,0.061238,0.008443,1.063307,0.004768,900.9368,happy
1.523367,0.976598,0.895582,382.2982,0.041875,0.084249,0.009456,1.272415,0.006402,910.2132,happy
1.331623,1.032066,0.891823,296.3342,0.042874,0.128608,0.004096,1.065404,0.002349,488.5737,happy
1.483119,0.856953,0.892559,382.3083,0.020884,0.016802,0.012491,0.715041,0.002941,1097.646,happy
1.137948,0.695549,0.885154,154.6412,0.013179,0.034398,0.005789,0.809856,0.002453,417.8757,happy
1.38316,0.989376,0.895173,185.8437,0.006622,0.018022,0.009734,0.422185,0.004435,621.8575,happy
1.404989,0.663585,0.885657,362.4631,0.060546,0.041851,0.007929,1.090486,0.00337,775.879,happy
1.503901,1.254309,0.901576,72.54185,0.00844,0.012813,0.01978,0.182121,0.002805,741.6727,happy
1.629182,1.822215,0.897822,700.2926,0.032757,0.020621,0.043775,0.756178,0.003164,1144.496,happy
1.324808,1.096067,0.895648,177.8518,0.018347,0.168869,0.010696,0.711463,0.004443,395.7743,happy
1.495618,0.736123,0.894203,205.3143,0.017656,0.013955,0.008335,0.422047,0.003121,656.6555,happy
1.450206,1.076006,0.894483,279.3618,0.020492,0.034618,0.009514,0.794193,0.003233,740.5067,happy
1.472462,0.847506,0.891836,43.3441,0.008891,0.010594,0.007928,0.2761,0.005423,955.0565,happy
1.55795,1.104881,0.888813,190.7796,0.009176,0.011884,0.027176,0.238695,0.004036,1114.863,happy
1.49943,1.145207,0.898877,74.59925,0.003887,0.013296,0.010133,0.157071,0.004164,724.3481,happy
1.260169,0.94897,0.896309,188.7387,0.031468,0.266658,0.004588,0.779908,0.003761,249.9736,happy
1.365756,0.994561,0.899404,329.4914,0.024676,0.069601,0.009549,0.53046,0.00276,429.4395,happy
1.335012,1.227542,0.89234,485.686,0.018636,0.018062,0.007631,0.46822,0.00177,607.018,happy
1.426904,0.838527,0.89674,449.7857,0.032743,0.048091,0.006837,0.630745,0.005832,622.8429,happy
1.625781,1.155612,0.89537,141.4347,0.009603,0.005915,0.01787,0.123744,0.005655,1403.105,happy
1.278807,1.166066,0.897269,104.9832,0.013454,0.037677,0.005505,0.460435,0.002381,438.1311,happy
1.433432,1.012044,0.894927,315.7673,0.040615,0.195753,0.01208,1.196249,0.002843,384.6033,happy
1.608617,0.684667,0.884828,975.3502,0.035612,0.02069,0.00498,1.157962,0.006497,1042.731,happy
1.459339,1.028929,0.89983,224.2869,0.020525,0.021264,0.019088,0.417084,0.00263,657.3603,happy
1.497559,0.72345,0.902286,209.5121,0.021164,0.027729,0.016913,0.332934,0.002886,539.3978,happy
1.538082,1.098391,0.897738,88.47658,0.005899,0.005033,0.03413,0.163362,0.00407,1139.978,happy
1.55803,1.361687,0.897203,454.1705,0.047693,0.029215,0.008051,1.604256,0.003903,896.3665,happy
