@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc1 numeric
@attribute mfcc_sma[5]_min numeric
@attribute mfcc_sma[9]_linregerrQ numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_max numeric
@attribute voiceProb_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_linregc1 numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {happy,nothappy}

@data
0.047878,0.379224,-0.000313,-19.79872,23.6809,18.1003,0.018149,0.088212,18.60204,0.81751,0.340469,0.002691,7.997566,6.070352,-0.000002,4.947823,4.262087,4.975301,3.780862,3.883614,0.790299,0.00001,12.9549,4.554439,happy
0.049572,2.280517,-0.00021,-25.5896,18.63595,17.2764,0.072595,0.226726,6.057022,0.789291,1.256282,0.005037,15.47123,5.380831,0,4.667253,4.829641,3.551396,3.815224,3.523819,0.954861,0.000015,7.764645,5.646466,happy
0.011444,0.821115,-0.000347,-20.96792,33.546,27.19148,0.00605,0.073942,15.36166,0.886334,0.539686,0.001559,6.371084,6.176841,-0.000004,5.164359,5.36731,4.653299,3.495299,3.564039,1.1183,-0.000003,17.33743,5.193841,happy
0.034928,1.19452,-0.000389,-26.39451,35.8302,32.00459,0.007864,0.066774,12.67881,0.848718,0.179813,0.003329,8.130356,5.160738,-0.000001,4.897676,5.013249,4.521763,4.287311,4.122266,1.16041,0.000011,12.91148,5.042375,happy
0.014449,1.461667,-0.002193,-22.25539,30.00341,16.55379,0.020569,0.073668,7.603863,0.868295,0.586014,0.00134,14.21537,7.788051,-0.000002,6.555901,5.519599,4.340249,4.576378,3.818755,0.887119,-0.000002,19.2211,6.03585,happy
0.011414,0.537315,-0.000095,-28.51913,29.87803,26.45685,0.004235,0.095032,11.94129,0.89889,1.490664,0.001581,6.302107,6.531496,0.000008,5.363703,4.143102,4.213827,4.115164,3.666551,1.565128,-0.000006,10.6521,5.948581,happy
0.069388,1.120199,-0.000374,-19.49115,20.21618,21.47609,0.010284,0.146895,4.703133,0.81403,1.502923,0.007556,6.349347,5.847137,-0.000001,4.556171,5.788147,4.559299,3.348282,3.194089,1.132696,0.000044,6.268675,6.327905,happy
0.030685,0.927171,-0.000414,-10.39229,13.51509,12.45061,0.009074,0.075916,4.121617,0.759686,1.243944,0.002712,5.147141,5.701365,-0.000006,4.581682,3.393402,3.329645,3.385629,3.319943,0.925804,0.000012,5.586779,5.284749,happy
0.015164,1.249201,0.000621,-27.65189,32.32473,22.24197,0.018149,0.087789,17.19093,0.893493,0.529337,0.002022,13.98211,8.101453,-0.000006,6.127705,4.097826,4.159634,3.930924,3.496428,1.112566,-0.000024,20.54996,4.70672,happy
0.024992,1.505963,-0.000077,-18.73966,14.15871,14.34399,0.013309,0.09313,2.913117,0.829489,-0.4155,0.004006,5.165275,4.593551,-0.000003,4.052909,4.069242,4.093267,3.592932,3.931494,1.210837,-0.000028,4.249564,4.08826,happy
0.07756,0.541017,0.000356,-13.53041,17.86254,14.00794,0.030248,0.127237,3.891501,0.57103,0.887286,0.004219,7.564261,4.697285,-0.000003,3.837769,3.98777,3.254918,3.229946,3.367757,0.790537,-0.000018,4.509696,4.155364,happy
0.041087,0.811605,0.001819,-15.80291,16.99251,18.45254,0.00726,0.092533,5.731955,0.752549,1.191675,0.00368,10.10287,10.37323,-0.000003,6.329826,4.491114,4.379082,4.385692,3.331834,0.663305,-0.000013,7.27249,5.371886,happy
0.019225,4.114319,-0.001103,-26.30523,32.25355,29.4645,0.013309,0.058176,25.26502,0.849606,0.27625,0.002911,25.56441,10.37304,-0.000005,6.315757,4.785894,4.090329,3.379267,3.624032,1.138128,0.000008,24.8203,4.145203,happy
0.018244,3.18097,0.001248,-30.91076,35.60753,38.65929,0.009679,0.064158,27.10226,0.90692,-0.053636,0.003078,23.25573,9.597815,0.000002,6.82155,4.852094,4.189169,3.96905,3.85462,1.185363,0.000004,28.54423,5.812553,happy
0.018792,1.350182,0.000239,-17.07651,37.95164,33.90182,0.003025,0.069855,16.36416,0.931408,0.545082,0.001984,10.48657,5.868179,-0.000006,4.226353,4.530536,4.028035,4.63797,3.752731,1.297454,0.00001,17.63276,4.647789,happy
0.032078,2.342785,-0.001003,-19.46953,41.97498,30.65752,0.008469,0.101758,9.546549,0.868904,0.833838,0.003723,13.11481,6.89612,0,8.70718,5.637119,3.760183,3.616611,3.432333,0.899992,0.000014,12.93528,5.310315,happy
0.012326,0.393246,0.000433,-18.37473,17.05777,22.06729,0.015124,0.074665,3.653551,0.895761,0.618343,0.000958,4.10288,4.296257,0.000002,3.084687,3.421519,3.095337,3.002707,3.296515,1.133334,0,3.400361,3.767245,happy
0.037245,0.753978,0,-22.25095,21.46674,22.39653,0.010284,0.101233,6.914797,0.931636,1.053947,0.003914,7.612842,6.098262,-0.000003,4.235757,3.862273,5.488959,3.928132,3.786059,0.99057,0.000024,7.3355,4.41895,happy
0.056149,0.573552,0.000927,-26.49228,39.71653,21.73735,0.007864,0.113062,5.732178,0.876777,-0.022952,0.005584,6.223236,5.752276,0.000002,6.056464,3.998502,4.02184,3.83882,4.223537,1.006086,-0.000022,8.717834,4.168478,happy
0.050402,0.423506,-0.000228,-23.93989,19.81199,14.84836,0.00484,0.116392,6.119383,0.875068,1.159523,0.005059,7.447059,5.496464,-0.000008,5.246891,4.415215,4.346202,3.927876,4.469884,0.996509,0.000001,11.74333,5.38945,happy
0.032397,0.757461,-0.000117,-23.83705,22.61937,17.7538,0.004235,0.07292,12.0461,0.877441,1.19688,0.003984,5.505502,4.815994,-0.000006,5.251317,4.850991,4.302541,4.447864,3.581952,1.102725,-0.000015,6.698871,6.000129,happy
