@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_stddev numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_kurtosis numeric
@attribute voiceProb_sma_max numeric
@attribute F0_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_max numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[2]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[9]_kurtosis numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {happy,nothappy}

@data
0.014651,0.012734,1.805524,6.374081,-4.067922,-3.556501,4.494876,-1.696257,-8.30872,18.93886,0.054696,9.202234,0.7873,3.274796,0.014729,0.002138,1.654497,10.43487,5.985283,4.679293,5.301262,0.769771,3.57674,0.822075,3.632092,3.514219,0.000002,10.2275,0.000669,4.204791,happy
0.011216,0.007194,1.760961,6.716503,-7.809766,-6.945181,5.565559,4.595717,0.19021,23.85091,0.071429,15.32517,0.925178,2.015615,0.011112,0.001878,0.674379,9.408543,5.506876,4.700357,4.620039,1.305695,4.277256,1.236859,5.144692,3.555966,0.000011,16.47922,0.00111,6.728188,happy
0.027985,0.031499,0.979311,3.650062,-13.88141,-14.71747,3.271401,-5.464583,4.406433,26.40436,0.110776,7.24503,0.854859,2.523452,0.015633,0.002729,1.291464,8.67712,4.932322,6.473892,6.92403,1.18792,4.555619,1.519554,4.320871,3.802379,0.000006,9.066504,0.000778,5.179841,happy
0.018305,0.013344,0.69544,2.639348,-12.04075,-10.436,4.27803,0.120295,1.580086,21.49844,0.080524,5.228378,0.88913,2.647683,0.01047,0.002236,0.939747,5.615674,6.442558,5.129806,5.167844,1.271584,4.118135,1.247704,4.083048,4.774931,0.000004,6.367258,0.000757,6.31051,happy
0.032955,0.024606,2.056325,12.75099,-5.392501,-0.342452,4.313519,-3.945586,-1.638699,45.04643,0.067931,3.317519,0.921746,0.166202,0.018429,0.003077,0.271604,5.209569,3.198082,3.833519,3.816203,0.907666,5.391826,1.185632,5.195427,3.977647,-0.000003,5.156488,0.001859,3.691512,happy
0.049131,0.055462,0.544075,2.642844,-9.96425,-11.484,3.140911,-4.625451,-2.698242,19.72217,0.091354,3.38728,0.790453,5.681678,0.021865,0.003995,1.351908,7.28359,6.879836,5.489272,4.309565,0.922923,3.964466,1.105058,3.787708,3.222825,-0.000018,5.271656,0.000613,5.23833,happy
0.059777,0.061604,0.97773,6.148393,-9.108016,-9.08636,3.210694,-3.616211,-3.88563,29.44261,0.102746,9.275076,0.869439,1.466974,0.032081,0.005184,0.408796,9.633609,7.491667,4.721306,3.997966,0.930181,3.842604,1.124851,4.220788,3.541368,-0.000001,10.56586,0.001046,4.304674,happy
0.019488,0.016227,1.663478,5.791687,-14.49681,-15.2738,3.627621,6.622627,-3.528538,44.83048,0.130932,5.015397,0.88425,2.340308,0.017408,0.003451,0.812402,7.807696,4.837979,4.235814,4.644428,1.999045,3.644842,2.640815,4.235366,3.78962,0.000021,6.748362,0.001491,6.029001,happy
0.010478,0.009554,1.476916,4.561423,-6.761149,-5.650694,4.093623,-6.045687,-1.893204,15.95606,0.08386,9.163857,0.850886,3.448099,0.009292,0.001451,1.278335,9.565225,6.157671,5.595809,3.992379,0.852915,3.964822,1.011825,3.936893,3.337181,-0.000034,8.325608,0.000717,5.065289,happy
0.017368,0.014115,2.117747,12.26778,-4.026798,-3.562343,3.667464,-8.625299,-8.600306,56.09106,0.071057,61.62238,0.899604,-0.064476,0.013391,0.001668,1.20437,16.76021,7.135272,5.576006,4.667683,0.855851,3.471242,1.100964,3.618884,3.520778,-0.000008,64.53481,0.000892,5.242718,happy
