@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Mean_Mem40_SCF_2 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Mean_Mem40_SFM_21 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_7 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SCF_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_8 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_10 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_B numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Chroma_C numeric
@attribute Std_Acc1000_Mean_Mem40_PeakRatio_Average numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_9 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_12 numeric
@attribute Std_Acc1000_Mean_Mem40_SCF_21 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_8 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_14 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_15 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_5 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Chroma_D numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_19 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_MidPeakAmp numeric
@attribute BeatHisto_HighPeakAmp numeric
@attribute BeatHisto_MaxHPS numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {happy,nothappy}

@data
0.052703,-47.695027,0.53392,0.275441,1.937198,0.337054,0.304191,0.160254,0.44572,1.058473,2.586889,0.616139,0.850162,0.216722,0.222638,0.189024,0.195116,5.631273,0.564303,0.385899,0.000104,0.000095,0.364854,0.446331,0.906148,1.085668,1.421169,0.113592,0.095185,0.110453,0.101877,0.088735,0.074037,0.09185,0.000113,0.128894,0.039173,0.03647,0.029524,0.216109,69.30085,55.133437,72.472244,1.005972,80.68755,4.982453,1.368687,0.653341,1.101382,0.89002,0.101557,56.25025,5.891693,326.3804,0.846115,0.017641,0.097115,0.359341,0.000306,0.010337,3270.335,0.825481,0,0.920107,0.118091,0,0.073559,0.00351,623.3481,102296.9,happy
0.027657,-48.438553,0.667278,0.348217,1.908353,0.457937,0.341546,0.131883,0.446114,1.035561,2.570524,0.439117,0.81355,0.221735,0.208378,0.169437,0.165733,5.766667,0.295708,0.287618,0.000147,0.000169,0.165335,0.510435,0.507561,1.028759,2.371015,0.103686,0.104146,0.079162,0.109873,0.123295,0.068291,0.093753,0.000158,0.111619,0.038843,0.036362,0.03908,0.216915,68.19349,50.723397,110.159808,1.008169,68.04236,4.481741,1.315153,0.825521,1.063325,0.899341,0.089496,43.85755,5.868628,147.0883,1.003039,0.024996,0.087371,0.305832,0.000201,0.012476,2048.563,0.492516,0,0.935419,0.116887,0,0.06045,0.003152,324.4202,32055.16,happy
0.056009,-51.21985,0.363083,-0.053968,2.20233,0.350291,0.376407,0.13951,0.438221,0.980997,2.600915,0.496934,0.805401,0.210275,0.184336,0.188007,0.161354,6.651818,0.741133,0.508696,0.000065,0.000105,0.487999,0.654956,0.762957,0.875841,4.63604,0.143878,0.117816,0.085242,0.063458,0.085831,0.066867,0.084428,0.000066,0.113327,0.051172,0.048489,0.038545,0.213966,18.405001,19.900871,15.667438,1.003979,67.4408,4.480486,1.36129,0.446484,0.40702,0.875873,0.082996,96.78332,5.060782,351.9246,1.518368,0.035447,0.039466,0.050404,0.000205,0.005772,7594.567,0.633068,0,0.788948,0.131128,0,0.16662,0.005406,678.9999,109523.9,happy
0.058642,-46.857318,-0.058329,0.05296,1.865488,0.500075,0.257557,0.174566,0.45401,1.089488,2.559896,0.402157,0.682293,0.220943,0.200427,0.185526,0.161342,5.283394,0.580686,0.228874,0.00008,0.000078,0.266968,0.362733,0.472938,0.655339,1.057559,0.09903,0.089484,0.071524,0.083193,0.069018,0.073977,0.092387,0.000238,0.134621,0.031135,0.033506,0.02619,0.213128,61.428227,96.68348,30.823141,1.009015,82.05285,5.142152,1.389359,0.753244,0.908491,0.89352,0.080569,30.31725,5.794043,324.9458,1.317986,0.025168,0.027819,0.116832,0.000344,0.011861,1213.804,0.776841,0,0.723036,0.08768,0,0.200388,0.004496,655.9339,168517.7,happy
0.034743,-51.119963,1.030353,0.330244,1.929136,0.416934,0.263243,0.118766,0.443049,1.028943,2.554039,0.486054,0.873313,0.204616,0.187502,0.167756,0.156098,5.8932,0.438421,0.290096,0.00008,0.000077,0.250606,0.489201,0.461405,0.642933,1.89282,0.100957,0.100375,0.073311,0.068666,0.069278,0.072434,0.088365,0.000057,0.123744,0.0326,0.03503,0.020029,0.208997,28.904156,25.430886,46.876726,1.005859,75.21993,4.659546,1.312497,0.776454,1.095694,0.900061,0.10302,116.9336,6.304329,244.3274,1.029336,0.027854,0.06113,0.245293,0.000179,0.006222,8443.634,1.159797,0,0.904794,0.123601,0,0.0862,0.003941,371.3107,39903.07,happy
0.048318,-55.102212,0.197584,-0.102456,2.001474,0.566513,0.324041,0.13287,0.440723,1.113466,2.600099,0.437343,0.735226,0.256908,0.216227,0.165175,0.178073,6.345235,0.552562,0.213952,0.000018,0.000018,0.307401,0.390692,0.706273,0.62949,1.381209,0.112959,0.094076,0.069431,0.075363,0.076243,0.073823,0.092698,0.000025,0.105804,0.039446,0.030097,0.025572,0.219263,25.959884,37.027567,26.984695,1.006745,75.35211,5.04426,1.38602,0.726317,0.964649,0.888265,0.042676,23.168,5.855773,403.4428,2.072193,0.048442,0.090725,0.298202,0.000445,0.004935,719.938,1.43047,0,0.901465,0.110629,0,0.088885,0.003731,531.2059,323492.4,happy
0.082179,-48.190913,-0.172834,-0.124178,1.946197,0.451486,0.210245,0.20355,0.48365,1.098363,2.56659,0.500738,0.791691,0.233417,0.182375,0.178657,0.171893,5.899923,0.502056,0.231784,0.000181,0.000211,0.382853,0.436324,0.668674,0.779435,2.058152,0.120774,0.145849,0.11424,0.075483,0.107285,0.070182,0.093656,0.000321,0.100615,0.031543,0.034745,0.019526,0.213783,32.213017,69.232186,38.857277,1.007162,80.1544,5.756409,1.547735,0.642674,0.89737,0.895486,0.094455,28.48885,4.710793,421.602,0.925546,0.017186,0.040368,0.365832,0.000184,0.020097,2174.379,0.863684,0,0.455393,0.056171,0,0.248175,0.005266,858.6912,523135.6,happy
0.044137,-52.722032,1.103198,0.527196,1.912292,0.450875,0.272712,0.123397,0.499083,1.077879,2.533018,0.419821,0.763395,0.23544,0.209828,0.202166,0.172568,6.259982,0.710205,0.139629,0.000037,0.000034,0.267618,0.417291,0.469198,0.669423,1.489209,0.093974,0.087817,0.079604,0.074996,0.072636,0.082329,0.098461,0.000033,0.092562,0.030562,0.03305,0.033509,0.211462,25.928118,47.53148,21.630436,1.007713,70.07265,5.390999,1.49899,0.633518,0.817419,0.889678,0.097825,41.95247,4.759617,439.6125,1.565078,0.02693,0.056147,0.314971,0.000131,0.016296,2182.625,0.448128,0,0.939414,0.100752,0,0.056953,0.002241,528.5102,222375,happy
0.03954,-47.926326,0.401634,0.054617,1.813238,0.275569,0.398193,0.136818,0.412138,1.043233,2.538709,0.526574,0.669273,0.230449,0.162478,0.169228,0.136015,5.43788,0.581813,0.419242,0.000337,0.000387,0.355574,0.420359,0.578637,1.549716,1.433875,0.10138,0.097858,0.146143,0.072053,0.100974,0.072243,0.088811,0.000391,0.099071,0.04609,0.032594,0.030198,0.218511,34.148509,46.56734,39.951604,1.004097,90.36765,5.282582,1.382722,0.534687,1.075511,0.876344,0.147682,195.4057,6.216584,224.6145,1.052251,0.019332,0.030302,0.25871,0.000468,0.014487,28733.96,0.491953,0,0.715047,0.078804,0,0.203891,0.005761,493.8016,75228.28,happy
0.068951,-43.217647,0.640856,-0.084116,1.860855,0.442336,0.22622,0.192641,0.471116,1.04549,2.546219,0.428779,0.793886,0.218058,0.191507,0.17849,0.168465,5.040862,0.2945,0.156146,0.000192,0.000218,0.292044,0.3614,0.483676,0.741713,1.150626,0.105821,0.078365,0.071977,0.066744,0.061049,0.073594,0.089319,0.000277,0.099403,0.033705,0.029425,0.027259,0.210678,48.033249,79.914042,58.674303,1.005469,84.2311,5.522818,1.449778,0.712327,1.19373,0.902646,0.098286,33.40222,5.458326,103.0039,0.62139,0.013503,0.028451,0.202972,0.0001,0.012086,1192.843,0.373466,0,0.928096,0.13099,0,0.066778,0.003002,646.9201,131066.5,happy
0.075896,-43.067076,0.357431,0.334291,2.003008,0.345005,0.227857,0.175517,0.471481,1.087734,2.546232,0.507494,0.741005,0.212819,0.179386,0.170246,0.161547,5.185713,0.719815,0.299573,0.000374,0.000431,0.371272,0.492294,0.694401,0.844004,2.214687,0.096864,0.134121,0.063363,0.072671,0.09064,0.074624,0.088749,0.000275,0.112691,0.031919,0.039801,0.025399,0.209973,31.189672,43.721051,45.061173,1.002659,82.1969,5.384498,1.445248,0.57093,0.844748,0.897052,0.062708,33.38163,5.39679,169.0699,0.68307,0.016371,0.02366,0.107062,0.000112,0.006877,1132.775,0.638539,0,0.921438,0.123609,0,0.072438,0.002838,826.5056,207474.4,happy
0.092648,-53.861416,0.571193,0.232154,1.852171,0.45681,0.192788,0.127906,0.529539,1.184517,2.551009,0.517169,1.098008,0.197689,0.221874,0.208468,0.203996,6.447973,0.590971,0.280418,0.000049,0.000058,0.35202,0.402666,0.518572,1.56113,1.084936,0.096316,0.096116,0.123398,0.083822,0.075953,0.088282,0.102915,0.000129,0.102634,0.042047,0.023856,0.025197,0.21312,61.578974,53.176184,112.326314,1.015675,59.35509,5.256742,1.599017,0.617908,0.766191,0.88596,0.034969,9.417238,4.076374,397.476,0.617056,0.024458,0.087586,0.736847,0.000606,0.005418,224.2502,1.219599,0,0.547936,0.074234,0,0.247867,0.006068,918.0831,1074660,happy
0.057564,-52.204373,0.430977,0.268923,1.908366,0.456569,0.308536,0.171486,0.44934,1.056913,2.56536,0.423931,0.879534,0.214806,0.192939,0.1745,0.16618,6.231916,0.517631,0.237477,0.000009,0.000013,0.366505,0.415424,0.418844,0.956804,1.558484,0.099715,0.085417,0.091896,0.075925,0.072159,0.066336,0.086926,0.000018,0.11028,0.043262,0.034149,0.01728,0.215112,30.751307,18.201672,36.885451,1.00615,81.04957,5.094334,1.389067,0.718524,0.955749,0.900008,0.146709,95.43996,5.591136,429.4656,1.429323,0.021172,0.024777,0.302898,0.000139,0.012264,6612.812,0.663562,0,0.873502,0.104621,0,0.11057,0.003485,650.58,112325.5,happy
0.060055,-50.026918,0.099875,0.281113,1.993706,0.30959,0.276036,0.175071,0.404103,1.003058,2.541868,0.550719,0.69724,0.184079,0.147342,0.155296,0.121899,5.995379,0.450602,0.285523,0.00007,0.000068,0.644068,0.485678,0.977109,0.97376,3.827339,0.125731,0.09748,0.061374,0.091813,0.079267,0.066954,0.07817,0.00005,0.13495,0.05087,0.043271,0.03355,0.204775,17.041697,20.749346,18.270372,1.003331,71.32089,4.349429,1.313819,0.558123,0.535759,0.869448,0.098869,77.54994,5.589384,192.6394,0.771645,0.019413,0.018597,0.043349,0.000464,0.007889,2617.826,0.559305,0,0.756991,0.114705,0,0.184078,0.005808,667.0574,116437.9,happy
0.075545,-47.329043,0.609023,0.393106,1.884285,0.468497,0.350868,0.166495,0.476799,1.184844,2.628595,0.480933,0.768055,0.232922,0.187633,0.17957,0.187484,5.799074,0.39188,0.155374,0.000043,0.000048,0.212404,0.334966,0.416343,0.652468,1.317415,0.103165,0.071159,0.07016,0.067656,0.071391,0.076793,0.102497,0.000033,0.08681,0.037037,0.031349,0.02704,0.215686,37.271203,26.623821,48.502219,1.004047,85.34902,6.197018,1.578177,0.60497,1.003353,0.90377,0.081963,27.48977,4.989632,278.5964,0.771209,0.011267,0.02786,0.180009,0.000103,0.014291,1813.874,0.234561,0,0.920107,0.105572,0,0.073559,0.002963,881.4828,258123.2,happy
0.033977,-46.608212,0.555984,0.00713,1.964982,0.34611,0.292221,0.149931,0.399073,1.039555,2.542614,0.470172,0.74852,0.232952,0.19214,0.164,0.167268,5.485417,0.514364,0.319623,0.000331,0.000344,0.237565,0.393092,0.850099,0.64213,1.68459,0.117977,0.080658,0.084089,0.074965,0.068198,0.066811,0.085468,0.000166,0.125464,0.037116,0.033395,0.023398,0.214525,33.160057,38.096054,59.177968,1.00519,69.19708,4.184395,1.254737,0.752049,0.917578,0.893218,0.08148,52.6111,6.23207,133.9765,0.56758,0.013675,0.030723,0.141283,0.000217,0.005692,2101.975,0.482207,0,0.847537,0.112449,0,0.129304,0.003939,389.5745,27000.28,happy
