@attribute Std_Acc1000_Std_Mem40_SCF_13 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_12 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_13 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_21 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15 numeric
@attribute BeatHisto_LowPeakAmp numeric

@data

0.159917,-0.814435,11.383217,7.476539,7.074783,8.925811,0.393337,0.183126,0.296353,2.678196,0.658475,0.956199,2.057452,2.468369,0.14054,0.046537,0.050428,0.064137,0.073687,0.082584,0.075685,0.070958,0.075692,0.435805,0.102929,0.095604,0.121534,0.103978,0.122583,0.141378,0.256114,0.289409,0.035168,0.147502,0.121453,0.146138,0.118872,0.096964,0.115453,0.188921,0.08603,0.097707,0.101965,0.304575,0.048427,0.034859,0.035109,0.028089,0.027633,0.027422,0.043373,0.179697,20.248749
0.167636,-0.284513,3.503295,4.989539,6.830716,8.683292,0.404585,0.182663,0.346631,2.674464,0.637478,0.88214,1.750786,2.12261,0.099813,0.048673,0.057933,0.065604,0.075693,0.059264,0.060639,0.065072,0.068442,0.291106,0.101225,0.114306,0.118632,0.111231,0.127751,0.142675,0.255521,0.289078,0.052991,0.103497,0.091758,0.109482,0.121157,0.087574,0.067015,0.248883,0.071202,0.090443,0.138758,0.313667,0.038805,0.040156,0.028924,0.027797,0.024167,0.025856,0.020421,0.17787,42.541451
0.245358,-0.265664,3.656376,5.132081,6.64367,9.862153,0.492419,0.19031,0.360096,2.633383,0.574427,0.859687,1.645932,1.728539,0.109523,0.048359,0.043486,0.049582,0.054668,0.065338,0.072041,0.069543,0.070582,0.269069,0.121451,0.160045,0.114108,0.103445,0.119203,0.136229,0.250003,0.282598,0.031647,0.106104,0.101292,0.104995,0.122963,0.101383,0.10086,0.181381,0.089438,0.102506,0.123577,0.314189,0.039499,0.046763,0.023334,0.025103,0.026425,0.029205,0.024688,0.17511,43.851387
0.290595,-0.151478,3.943316,5.945331,6.422381,7.117508,0.415872,0.150311,0.317128,2.705223,0.930631,1.091172,2.050982,2.484608,0.15333,0.077503,0.079264,0.085785,0.09454,0.085357,0.092008,0.088286,0.091203,0.24793,0.112494,0.090388,0.089959,0.107785,0.130792,0.147067,0.26632,0.299236,0.092098,0.166018,0.117323,0.146108,0.120647,0.113294,0.162749,0.181546,0.082082,0.120779,0.127996,0.310145,0.037339,0.041065,0.025115,0.022537,0.024009,0.021167,0.032975,0.184167,40.369873
0.083142,0.41738,3.10295,7.388695,8.860745,11.54583,0.300519,0.149859,0.285305,2.670851,0.556431,0.862594,1.543264,2.298701,0.127945,0.034097,0.049987,0.04886,0.055922,0.062223,0.069334,0.067779,0.077648,0.223671,0.147335,0.097918,0.109352,0.101689,0.119588,0.135901,0.258408,0.293742,0.033257,0.087663,0.09579,0.0917,0.085643,0.081252,0.090342,0.120629,0.090825,0.154456,0.141931,0.401781,0.034802,0.033084,0.02333,0.03149,0.024982,0.028677,0.022,0.17793,21.888299
0.090754,-1.500901,10.37502,7.6241,6.492721,8.258729,0.542183,0.155133,0.244045,2.745731,0.547162,0.901724,1.789227,2.262261,0.133733,0.036395,0.028451,0.038313,0.047301,0.074354,0.067435,0.069278,0.080068,0.462502,0.134664,0.118729,0.109647,0.090364,0.124186,0.125301,0.25442,0.288826,0.015527,0.121663,0.097086,0.091428,0.069053,0.073355,0.078253,0.18955,0.085864,0.143971,0.17632,0.303564,0.05406,0.047984,0.030028,0.028885,0.022066,0.021262,0.041867,0.180471,6.259773
0.049094,2.006711,2.198846,4.608298,5.775885,8.441772,0.4732,0.133855,0.24053,2.663368,0.547222,0.920196,1.388198,1.571031,0.110078,0.045625,0.039374,0.044001,0.05225,0.056261,0.067054,0.064515,0.064638,0.112766,0.107655,0.109016,0.102154,0.110546,0.124788,0.145686,0.262029,0.29168,0.031611,0.079608,0.070835,0.071396,0.063555,0.05731,0.061519,0.097283,0.07881,0.094658,0.139821,0.286235,0.036019,0.038497,0.023455,0.026592,0.02657,0.030746,0.017613,0.182543,48.162566
0.047108,0.910054,3.03116,5.635417,6.042107,6.800479,0.466573,0.096772,0.223283,2.714501,0.616091,1.013325,2.0469,2.050089,0.126414,0.061061,0.057208,0.059929,0.064996,0.071044,0.070813,0.07675,0.079664,0.344972,0.115308,0.116579,0.140667,0.104033,0.127708,0.142591,0.263505,0.299838,0.099254,0.200634,0.151327,0.079307,0.141377,0.176633,0.094502,0.220986,0.072029,0.11786,0.149237,0.441335,0.038485,0.036929,0.034976,0.026655,0.026219,0.026326,0.053235,0.175454,20.865585
0.126126,-1.364715,3.383188,7.88642,8.095441,10.557358,0.497291,0.165718,0.312541,2.696256,0.485625,0.849891,1.624242,3.654381,0.117726,0.036324,0.044666,0.050671,0.057915,0.062709,0.067444,0.078334,0.077958,0.273979,0.09742,0.107562,0.102133,0.091315,0.108526,0.127779,0.251013,0.29037,0.01617,0.078923,0.093949,0.074414,0.077498,0.072144,0.135238,0.262608,0.078566,0.110463,0.115976,0.406699,0.03535,0.03497,0.021737,0.021936,0.025414,0.023929,0.022036,0.176731,9.473763
0.238327,-0.336163,11.823886,6.147305,8.173923,9.27717,0.351561,0.203902,0.346795,2.675399,0.568248,1.268042,2.307208,2.389101,0.124854,0.033002,0.047136,0.051027,0.049492,0.065673,0.059882,0.060428,0.064815,0.393725,0.116886,0.098764,0.131784,0.106637,0.120863,0.137149,0.257152,0.289426,0.014624,0.137284,0.177262,0.137823,0.224214,0.257845,0.246878,0.261238,0.070119,0.096667,0.13553,0.445603,0.044131,0.046632,0.029122,0.025894,0.032318,0.026151,0.012227,0.177892,20.62758
0.125962,1.139584,4.481047,6.691981,8.535561,9.218315,0.387087,0.13645,0.300238,2.678643,0.633045,1.066658,2.234998,3.131758,0.141945,0.055954,0.054423,0.050278,0.063216,0.070968,0.067478,0.067972,0.069881,0.358805,0.107445,0.134741,0.113942,0.121824,0.134444,0.148739,0.257419,0.288289,0.045146,0.182954,0.149765,0.116215,0.133309,0.253459,0.272537,0.339692,0.084229,0.138529,0.140489,0.447674,0.02794,0.041355,0.047001,0.035904,0.039653,0.037415,0.075771,0.181048,19.387139
0.107907,-0.305869,2.830506,6.303298,7.105838,8.014997,0.449762,0.155079,0.309762,2.713501,0.542691,0.945535,1.673611,2.073177,0.122718,0.039387,0.044025,0.060549,0.064111,0.092638,0.080874,0.074935,0.080616,0.220342,0.100252,0.108106,0.114611,0.101788,0.120722,0.135053,0.260437,0.295794,0.016808,0.110882,0.076482,0.071046,0.134623,0.067478,0.07149,0.215305,0.066278,0.094742,0.121666,0.316676,0.029505,0.038746,0.028874,0.024501,0.025972,0.024633,0.031702,0.179714,29.502485
0.103631,-0.457854,4.337635,8.25152,9.788935,13.188089,0.370445,0.166149,0.291732,2.702852,0.559251,1.048017,1.796054,2.970811,0.128062,0.04085,0.052623,0.064452,0.070086,0.070087,0.074398,0.075203,0.081813,0.24216,0.110603,0.114693,0.122316,0.105939,0.121908,0.138295,0.257771,0.294967,0.052334,0.118103,0.109283,0.130069,0.109936,0.12139,0.118447,0.305023,0.080242,0.105402,0.130175,0.517428,0.049497,0.040477,0.037911,0.034309,0.034563,0.026042,0.053645,0.17567,16.525524
0.228996,-0.218962,3.092695,5.539458,6.25406,9.141213,0.513318,0.190186,0.314971,2.679905,0.46681,0.890155,1.133518,1.471284,0.109003,0.037577,0.041536,0.035044,0.04138,0.058459,0.060075,0.058629,0.067653,0.17947,0.115018,0.102587,0.112051,0.106187,0.118234,0.131021,0.25456,0.288254,0.016032,0.092965,0.092918,0.056064,0.052431,0.060329,0.058631,0.23096,0.079898,0.11376,0.152319,0.323879,0.035738,0.025406,0.028866,0.030399,0.028027,0.030754,0.013487,0.178173,23.324416
0.146722,-1.850874,2.566518,8.164862,10.837357,10.342933,0.408115,0.182837,0.317012,2.689164,0.750573,1.067391,1.790545,2.628617,0.118329,0.039706,0.052093,0.050448,0.063921,0.06056,0.057471,0.070338,0.075769,0.247765,0.100301,0.104874,0.085301,0.109776,0.116668,0.133898,0.26089,0.291217,0.072397,0.125167,0.091256,0.089481,0.088605,0.102627,0.069907,0.116928,0.068895,0.110349,0.132919,0.398048,0.040858,0.045737,0.021356,0.0229,0.020841,0.020375,0.06973,0.166721,30.658935
0.152673,1.154833,2.310289,3.462567,4.158157,4.933803,0.343511,0.088327,0.183901,2.732391,0.547881,1.122676,2.370736,1.781153,0.158407,0.042149,0.068639,0.090796,0.095073,0.06205,0.059896,0.062797,0.067826,0.218545,0.140648,0.086599,0.098966,0.093473,0.117521,0.138345,0.260557,0.294112,0.127894,0.079993,0.104225,0.122625,0.139963,0.130977,0.191216,0.198891,0.097538,0.107278,0.145384,0.323748,0.042817,0.023239,0.028365,0.03009,0.038867,0.0349,0.026949,0.183133,74.15371
