@attribute mfcc_sma_de[10]_max numeric
@attribute mfcc_sma_de[10]_range numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_range numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {high,nothigh}

@data

0.013501,0.035023,-18.33514,4.395416,-8.303478,-8.0981,26.18355,-2.155906,15.87685,0.242783,-20.70829,4.248955,15.54479,0.062311,0.277072,91,1.050654,5.891159,0.011843,50.92894,93,6.836116,0,0.579023,6.099514,8.911048,1113,4.057661,3.661469,2354,-0.03813,3.748856,3.762674,7.956965,3.241441,-0.050151,-0.000013,5.276175,0.092439,0.220356,3.770357,high
0.002854,0.026226,-31.04252,17.83624,-1.419663,-15.76103,36.42329,-0.791977,23.49373,0.005848,-15.90773,4.715343,12.37064,0.012704,0.486388,1814,2.301617,9.127458,0.021749,23.31629,2290,8.996629,-0.000004,0.741549,7.132909,8.071081,1446,4.19086,4.087499,2972,0.175286,4.38675,3.758309,7.382555,3.730572,-0.086388,0.000008,11.96483,0.137346,0.260073,5.314528,high
0.010875,0.028088,-19.03683,14.52634,0.025605,-11.21946,31.09343,-1.492757,18.23811,0.037023,-17.79328,4.065956,8.961775,0.011494,0.358137,984,2.303885,14.40496,0.006748,-0.006707,993,6.682095,0.000006,0.30615,4.146605,6.063806,715,3.242361,3.366984,490,-0.098012,3.12753,3.172124,6.397894,4.209597,-0.060375,-0.000016,10.76024,0.089326,0.222061,7.272471,high
0.001025,0.010558,-9.264152,8.795705,-17.15583,-24.69605,33.5612,-9.876429,20.85773,0.867007,-16.7323,4.2946,17.90785,0.00605,0.101633,769,-0.684776,4.012732,0.03537,55.10542,2382,6.520928,-0.000004,0.885657,6.985328,8.10182,2746,5.088142,3.47344,1799,0.102062,3.392534,5.13907,9.078665,3.789184,-0.010526,0.000004,3.774579,0.161565,0.32963,5.86613,high
0.004522,0.015482,-13.31432,11.71768,-5.107646,-20.32446,34.28455,-2.699409,29.22613,-0.433063,-18.08915,5.350086,14.39602,0.011494,0.133696,2125,0.986321,5.868902,0.016173,58.87814,2131,6.539742,0.000005,0.335944,5.265676,6.801109,1400,4.812095,3.475165,2918,0.16935,3.708354,4.280277,8.612251,3.502899,-0.027768,0.000007,10.66623,0.114448,0.233063,4.461918,high
0.018144,0.050797,-15.34598,-1.281746,-12.3933,-8.510672,31.19869,3.400252,14.56585,-0.141619,-7.104721,3.786618,12.61873,0.027828,0.161525,43,0.396232,2.782468,0.013278,39.77099,2538,3.631973,-0.000005,0.595501,4.785749,4.285368,1576,4.22585,3.381225,1867,0.0159,3.19093,3.12674,6.695971,3.05086,-0.020327,0.000009,4.066683,0.115791,0.238039,4.152229,high
0.012031,0.05229,-33.6976,15.26894,-9.71487,-22.13976,33.4246,-1.209307,16.5973,0.00729,-20.98528,4.482509,11.43366,0.005445,0.54507,2479,1.307596,4.742663,0.011422,28.22684,766,7.006661,0.000001,0.747496,7.352354,6.647432,419,3.31442,3.506438,11,0.15342,3.278179,5.624996,9.32829,2.940209,-0.103993,-0.000069,8.635201,0.098256,0.188559,3.540062,high
0.002239,0.040614,-31.36805,14.81854,-0.826738,-22.37366,30.86908,-0.935448,29.1911,-0.457606,-15.02883,5.400998,18.81052,0.009679,0.584997,2736,3.451992,21.01377,0.013339,-25.53172,2815,9.515001,0.000004,0.740953,4.965919,8.757225,2764,4.198678,3.312868,2491,0.006125,3.630964,4.800148,9.275724,4.885303,-0.102601,-0.000047,18.51394,0.110584,0.257429,4.936277,high
0.003762,0.01095,-22.57605,12.97797,-1.603439,-19.5997,29.57448,-3.292416,20.98225,-0.012393,-15.40106,5.560068,13.7314,0.009074,0.402299,2011,2.67314,13.09317,0.013784,28.43017,1125,5.347778,0,0.521779,3.976836,6.763673,2154,3.557074,3.291495,2907,0.039686,4.013445,3.646098,7.443403,3.499761,-0.060194,-0.000009,10.48668,0.096497,0.19544,4.059215,high
0.000938,0.013184,-16.89828,13.7422,-2.172992,-10.33747,39.01617,-5.779173,29.63299,0.654774,-11.65655,5.076531,16.10672,0.009074,0.278887,960,1.281655,7.75921,0.025132,57.82341,1877,5.500282,0.000001,1.063348,5.245555,6.016352,2827,4.754457,4.511436,2897,0.007832,3.529599,4.892402,8.773964,3.562967,-0.05487,0.00001,8.19677,0.129632,0.261215,3.857355,high
