@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric

@data

0.41738,0.051186,0.121521,3.290907,0.149859,2.25517,2.557824,2.670851,0.013425,0.862594,1.543264,3.347209,0.145843,0.127945,0.049987,0.04886,0.055922,0.067779,0.077648,0.721249,0.255855,0.314804,1.147912,1.263094,2.339275,0.147335,0.101689,0.119588,0.220039,0.238427,0.013926,0.033257,0.523613,0.087663,0.09579,0.0917,0.085643,0.084254,0.154456,0.141931,0.157196,0.382761,0.401781,0.033084,0.02333,0.03149,0.010582,0.17793,33.36742,1.003536,79.92265,4.645403,1.291383,0.658341,1.039617,0.901131,0.139198,147.1848,6.37415,213.5952,0.388414,0.008461,0.034564,0.336888,0.000086,0.008037,8433.484,0.960538,0,0.989348,0.134118,0,0.010546,0.001637,442.6372,29549.92
-0.910668,-0.368759,-0.034869,3.572152,0.197081,2.271758,2.583351,2.719526,0.031452,1.009705,1.722257,2.92905,0.162683,0.134922,0.039471,0.048342,0.061736,0.070779,0.074061,1.832904,0.238669,0.533692,0.635536,1.036787,1.815741,0.099658,0.100664,0.116596,0.225953,0.241594,0.011818,0.028256,0.176379,0.120522,0.053669,0.109775,0.101918,0.092257,0.084093,0.121078,0.256957,0.283124,0.302723,0.032668,0.026041,0.025121,0.013817,0.177922,23.620386,1.004372,92.83834,6.154241,1.531225,0.492987,1.008522,0.889601,0.164038,85.68211,5.081115,118.3456,0.486221,0.007512,0.004668,0.082838,0.000098,0.018373,4055.372,0.126332,0,0.804927,0.114206,0,0.157124,0.0043,1159.8,106683.5
0.374377,-0.174778,0.037073,3.496848,0.165389,2.243018,2.539343,2.676979,0.056624,0.992575,1.76303,2.372935,0.179005,0.124012,0.062108,0.066472,0.067983,0.069282,0.073651,1.828069,0.252942,0.419615,0.642551,0.94328,1.289234,0.100164,0.110108,0.126065,0.220723,0.237418,0.035888,0.043297,0.557327,0.112279,0.078747,0.141927,0.08692,0.066148,0.105687,0.113664,0.212365,0.306403,0.340485,0.039826,0.028944,0.02967,0.011418,0.178829,21.242518,1.003041,83.15606,5.78451,1.501275,0.538777,0.879343,0.89622,0.121334,87.55855,5.124471,339.9785,1.871077,0.04121,0.017928,0.278758,0.000142,0.00861,5272.99,0.717538,0,0.885486,0.103143,0,0.101468,0.003158,900.7963,718972.6
0.56178,0.257532,0.282692,3.133302,0.157488,2.282395,2.567147,2.687919,0.022385,0.874121,1.544638,2.203531,0.166718,0.116289,0.042543,0.0467,0.053297,0.064018,0.070989,0.36875,0.230857,0.341835,0.566097,1.16245,1.588869,0.106025,0.106278,0.12493,0.228978,0.242231,0.015254,0.039855,0.296855,0.081824,0.09664,0.085629,0.084319,0.069669,0.122813,0.132434,0.220712,0.207174,0.358308,0.034216,0.024462,0.028584,0.010095,0.183778,26.306249,1.002868,87.93056,5.607259,1.438104,0.712924,1.423545,0.909766,0.123235,61.14609,5.828939,77.02627,0.255627,0.006638,0.020389,0.187923,0.000069,0.00985,3117.359,0.277945,0,0.984021,0.127697,0,0.015734,0.002904,499.8288,71998.21
-1.408265,-0.316019,-0.413417,3.548892,0.162254,2.201391,2.554494,2.776304,0.0114,1.140176,1.703903,2.657068,0.198427,0.168229,0.063468,0.071169,0.063549,0.095856,0.107659,9.753457,0.258233,0.391102,0.629242,0.730066,1.390773,0.100377,0.091272,0.106037,0.21303,0.231538,0.004324,0.025094,0.927741,0.090669,0.076637,0.090028,0.086877,0.11437,0.131483,0.126208,0.401541,0.363786,0.482092,0.031075,0.03133,0.037818,0.011171,0.173978,12.10881,1.005166,64.73019,3.418498,1.147057,0.686566,0.665852,0.864227,0.089689,48.5607,6.39171,366.3472,0.843268,0.016651,0.038432,0.194055,0.000607,0.006243,1531.398,2.530348,0,0.866844,0.147416,0,0.115502,0.004741,608.2863,28212.8
0.317513,0.088481,0.07479,3.718249,0.149625,2.223448,2.530066,2.693761,0.008293,0.96549,2.002555,2.545676,0.161305,0.111539,0.045487,0.052301,0.060537,0.070702,0.083156,6.085207,0.307199,0.32296,1.219175,1.084334,1.855143,0.098492,0.104354,0.120915,0.226163,0.236299,0.005313,0.007544,0.463458,0.100991,0.077642,0.090667,0.118301,0.068851,0.103981,0.127834,0.228558,0.580319,0.492943,0.025398,0.026006,0.025792,0.008981,0.17467,37.881459,1.004206,65.47381,3.855244,1.208001,0.741089,0.661727,0.884223,0.129155,103.8696,6.39699,116.2361,0.288755,0.008387,0.020662,0.084862,0.000322,0.008213,5971.584,0.701076,0,0.953396,0.100044,0,0.044462,0.002748,361.7135,17730.61
-2.985107,0.003543,0.213828,3.461083,0.202091,2.177023,2.52519,2.747557,0.020085,0.970725,1.759762,2.648375,0.169479,0.114143,0.041615,0.045053,0.065631,0.069026,0.079155,0.749933,0.266546,0.420215,0.540424,0.926067,1.341901,0.101151,0.092287,0.113007,0.222443,0.232019,0.00799,0.015409,0.238719,0.099921,0.092855,0.089675,0.083375,0.076235,0.120585,0.152129,0.186968,0.200584,0.434163,0.037046,0.022977,0.022656,0.016636,0.174232,50.178417,1.003051,86.75408,5.115975,1.368375,0.564389,1.054562,0.893196,0.180846,94.59221,5.842427,108.4604,0.47496,0.007883,0.009359,0.145691,0.000077,0.016445,6069.617,0.176497,0,0.962716,0.103006,0,0.035917,0.003293,717.2686,66855.94
-0.777791,0.054145,-0.052045,3.718647,0.208833,2.242336,2.540177,2.684408,0.051857,0.901311,2.073723,2.104447,0.158658,0.116545,0.061475,0.049807,0.059214,0.067579,0.070363,3.524893,0.226329,0.263655,0.873772,1.016005,1.123432,0.117456,0.110168,0.129315,0.225838,0.241355,0.020233,0.071223,0.32399,0.08872,0.102861,0.077717,0.101654,0.070228,0.103589,0.155281,0.170171,0.356915,0.424794,0.036972,0.020269,0.022187,0.018958,0.1803,66.900112,1.005158,80.12381,5.590025,1.493605,0.625298,0.878378,0.896075,0.10089,42.61003,5.12039,121.2045,1.49107,0.042799,0.020089,0.112091,0.000112,0.010423,1520.067,0.803396,0,0.904794,0.095531,0,0.0862,0.003776,821.9623,650234.2
-0.28694,0.066906,0.359903,3.864051,0.183434,2.232393,2.543672,2.687789,0.03121,1.140315,1.613939,3.87464,0.1714,0.118375,0.053752,0.058848,0.056187,0.068831,0.069602,3.099806,0.308423,0.362137,0.655522,0.901122,1.154396,0.113119,0.105176,0.123792,0.222259,0.236109,0.012827,0.030459,0.40662,0.098239,0.108358,0.11082,0.11738,0.081336,0.100357,0.12201,0.354653,0.222163,0.454065,0.040387,0.034904,0.02945,0.01301,0.176373,43.267541,1.003645,80.05903,5.328547,1.441402,0.608859,0.914192,0.896138,0.062582,21.76244,5.326988,461.7908,1.336989,0.026456,0.021261,0.225169,0.000254,0.008332,608.3487,0.717655,0,0.839547,0.106003,0,0.134797,0.003741,789.9421,506881.6
0.316302,1.027504,0.228097,3.483653,0.154119,2.267679,2.561215,2.698115,0.026575,0.998245,3.114135,2.695064,0.162959,0.114154,0.063548,0.068966,0.072732,0.076408,0.076388,1.045117,0.342391,0.511392,0.917846,0.905623,2.914582,0.124102,0.110195,0.12776,0.228902,0.243641,0.021074,0.06019,0.435359,0.13141,0.085137,0.101583,0.093049,0.074356,0.119885,0.1922,0.224019,0.225837,0.269492,0.043824,0.025058,0.034874,0.011621,0.174969,16.673217,1.004482,77.65915,4.982199,1.384926,0.673106,1.067624,0.896436,0.04988,28.02943,5.829895,94.45213,0.634248,0.019832,0.025522,0.172353,0.000155,0.004688,814.7746,0.58892,0,0.696405,0.097491,0,0.211566,0.006159,606.4371,155987.2
0.083396,0.196743,0.520176,3.596616,0.142015,2.298044,2.57457,2.696843,0.02202,0.97238,1.876164,3.774987,0.189128,0.151707,0.060043,0.067968,0.068273,0.072174,0.073726,0.831377,0.252669,0.471985,0.718075,1.125755,2.058882,0.100414,0.10912,0.121146,0.230935,0.246916,0.010373,0.042762,0.354128,0.110329,0.12138,0.136363,0.125746,0.07625,0.107352,0.179574,0.127906,0.358961,0.344819,0.03217,0.029951,0.023771,0.011367,0.178964,41.002809,1.006551,70.72986,4.617171,1.337914,0.748864,0.83042,0.89724,0.088814,76.88922,5.807867,201.979,0.557631,0.011826,0.117151,0.234516,0.000117,0.005953,6196.403,0.473769,0,0.626498,0.075182,0,0.234154,0.004772,423.2021,66630.81
-0.300525,0.348805,0.089702,3.489375,0.225318,2.271916,2.565692,2.675934,0.035681,0.890927,1.956823,1.947997,0.174392,0.11528,0.043247,0.06153,0.047396,0.069887,0.069704,4.643287,0.266472,0.428752,0.700174,0.980965,1.363747,0.108758,0.105325,0.126108,0.227476,0.239765,0.016124,0.042914,0.346501,0.100979,0.081808,0.074803,0.104382,0.117091,0.146273,0.180329,0.200778,0.313826,0.360033,0.029667,0.032478,0.027902,0.011348,0.182498,35.118521,1.003161,107.9018,7.079797,1.628858,0.527374,1.14463,0.899403,0.084529,35.72098,5.019219,404.617,0.761927,0.006098,0.008043,0.109759,0.000076,0.01,1073.082,0.319979,0,0.886818,0.137834,0,0.100439,0.003514,1337.807,175759.8
1.670243,0.036262,0.063521,3.966449,0.171015,2.274065,2.577116,2.697487,0.051214,1.108728,2.118383,2.90537,0.194208,0.124182,0.083002,0.070405,0.081352,0.074844,0.073517,3.658594,0.229016,0.430228,0.924201,1.178906,1.699995,0.115465,0.11459,0.129515,0.224958,0.242584,0.01841,0.037753,0.329316,0.133992,0.081863,0.100225,0.132331,0.139335,0.103479,0.179274,0.223929,0.391406,0.504017,0.043156,0.033482,0.030027,0.010375,0.180933,35.674553,1.007946,85.78602,6.162499,1.563035,0.537867,1.019952,0.895411,0.059537,36.44381,5.035742,267.8861,1.115739,0.023049,0.020062,0.310308,0.000101,0.004701,1098.669,0.587928,0,0.851531,0.092649,0,0.12651,0.003874,884.0896,296684.3
-1.008545,0.480423,0.55429,2.618485,0.13006,2.244962,2.537447,2.663092,0.050376,0.760436,1.121632,2.668357,0.182071,0.10539,0.07302,0.068544,0.063409,0.071822,0.067647,0.176187,0.216573,0.282718,0.379786,0.577684,1.136748,0.09213,0.11449,0.127379,0.22492,0.239429,0.010019,0.02869,0.213816,0.090803,0.08032,0.063978,0.077786,0.10155,0.076346,0.095418,0.1483,0.196904,0.220503,0.031653,0.028464,0.026181,0.009412,0.177343,130.0851,1.009851,68.43906,6.045794,1.671952,0.54376,0.681941,0.88479,0.074732,13.7937,3.881248,218.1881,0.983118,0.024321,0.021162,0.317645,0.000232,0.015705,310.577,0.463598,0,0.979361,0.060627,0,0.020227,0.000836,600.4045,296171.3
