@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {high,nothigh}

@data
1.019213,0.548788,43.69148,0.416338,0.165577,0.641592,162.0736,high
0.577014,1.039092,676.3798,2.289928,0.111834,2.006233,772.0347,high
0.596515,1.403817,670.9296,2.555828,0.009186,0.352686,843.0191,high
0.846397,0.646215,109.1324,0.670098,0.119206,1.41799,363.7179,high
0.57093,0.844748,169.0699,0.68307,0.02366,0.638539,826.5056,high
0.565055,0.877041,311.2442,1.356885,0.087452,1.869363,702.5452,high
0.82965,0.920467,2771.444,7.742378,0.069645,4.942109,375.4302,high
0.419241,0.860858,183.8068,0.588692,0.019875,0.172649,588.7673,high
0.54376,0.681941,218.1881,0.983118,0.021162,0.463598,600.4045,high
0.754437,0.568333,473.8091,0.989307,0.113873,3.057828,310.9625,high
0.622871,0.987032,193.6866,0.665911,0.042792,0.409983,628.0969,high
0.442828,1.313022,730.3002,1.725436,0.029437,1.388189,1009.605,high
0.509727,0.776406,58.61796,0.392642,0.008255,0.122684,1172.87,high
0.517127,1.273948,29.47961,0.174904,0.005286,0.128227,918.8404,high
0.583286,0.659669,339.4245,1.983152,0.036165,0.797628,604.5674,high
0.610025,0.425021,195.6898,0.582637,0.043366,0.997668,416.6789,high
0.537867,1.019952,267.8861,1.115739,0.020062,0.587928,884.0896,high
0.62822,0.31633,345.5881,1.645562,0.094979,2.697834,405.784,high
0.581606,0.950206,131.1126,0.634478,0.026247,0.297682,533.3324,high
0.562184,0.789613,430.4563,3.924668,0.033685,1.433139,997.6295,high
0.711057,0.968473,367.841,1.305773,0.015997,0.868141,580.9897,high
0.573359,0.77581,222.5744,1.354212,0.013477,0.359051,712.4848,high
0.697574,1.165233,158.469,0.416022,0.013164,0.758088,462.6294,high
0.550094,1.303576,76.72094,0.41713,0.004605,0.08316,840.4328,high
0.600537,0.82421,209.9204,1.055604,0.040503,0.441933,648.0649,high
0.702724,1.047047,229.1962,0.908228,0.055876,0.285858,673.4006,high
0.712924,1.423545,77.02627,0.255627,0.020389,0.277945,499.8288,high
0.54637,0.903505,314.7236,1.151587,0.011992,0.452997,1058.086,high
0.727319,0.571175,123.9371,0.758691,0.035216,0.377504,227.8568,high
0.49402,1.060527,356.0236,1.931331,0.03095,0.548489,867.1839,high
0.565756,0.819067,124.015,0.447934,0.027409,0.417821,604.2614,high
0.680545,1.043674,324.5884,1.507646,0.039712,0.561358,570.3126,high
0.695531,1.345082,317.1961,0.830125,0.054699,0.367302,658.2534,high
0.600017,1.162126,73.51125,0.273472,0.009486,0.22094,549.744,high
0.70804,1.233267,387.632,1.447379,0.054378,1.760211,550.433,high
0.533819,1.159034,303.7355,1.207585,0.012189,0.38232,1228.803,high
0.626664,0.951147,232.4331,0.826868,0.013928,0.345354,790.1012,high
0.610944,1.060873,96.55075,0.107328,0.016629,0.307698,638.08,high
0.789462,1.062985,149.6328,0.221596,0.173982,0.589736,337.6135,high
0.602227,0.937439,108.5188,0.331077,0.047664,0.252103,346.5566,high
0.833917,0.844504,59.80346,0.34035,0.018913,0.890775,417.2741,high
0.582609,0.832962,205.5492,1.252692,0.063298,0.96969,491.8027,high
0.553997,1.451475,106.1187,0.353013,0.005989,0.200706,947.044,high
0.858429,0.893713,231.3197,0.624691,0.106886,0.783285,415.961,high
0.580738,1.692769,529.5147,1.572997,0.0285,0.443617,927.5588,high
0.637402,1.056162,46.23087,0.093559,0.009411,0.184383,1015.042,high
0.670833,0.838527,449.7857,1.735665,0.048091,0.630745,622.8429,high
0.707064,1.397391,1001.594,2.9224,0.037963,2.22128,555.2692,high
0.658753,1.014124,434.6617,0.604276,0.082308,1.206877,480.6054,high
0.552533,0.600415,420.2543,1.422215,0.034244,1.053798,731.5997,high
0.678162,0.838591,186.7578,0.724115,0.171018,1.141272,873.9773,high
0.523187,0.932037,901.8508,2.942664,0.035728,0.483726,919.7138,high
0.715865,1.20525,271.7926,0.824257,0.025893,0.332853,517.4278,high
0.66277,0.708485,218.2056,1.016612,0.048676,0.691293,387.2596,high
0.880626,0.965969,205.9663,0.888469,0.053148,0.502832,432.1053,high
0.598778,1.133366,83.46851,0.374515,0.010721,0.13319,826.9539,high
0.673985,1.061328,375.0148,1.270124,0.044067,1.239862,859.383,high
0.850432,1.01006,390.7113,0.609731,0.06248,1.316886,452.5989,high
0.626664,0.951147,232.4331,0.826868,0.013928,0.345354,790.1012,high
0.585527,1.09289,239.9564,0.271164,0.013887,0.509393,748.1798,high
0.77718,0.98443,391.3581,1.796216,0.084219,1.248963,793.2468,high
0.540312,0.998356,114.421,0.392511,0.004497,0.306284,1466.017,high
0.626488,0.915928,182.9287,0.573103,0.034622,0.519976,694.2051,high
0.507259,1.181102,173.349,0.766543,0.018418,0.572714,1035.172,high
1.009949,1.023184,49.16737,0.221914,0.065562,0.389558,254.3003,high
0.52333,1.14701,79.30974,0.763678,0.002316,0.076777,860.639,high
0.731842,1.160426,283.2082,0.963694,0.058587,0.417164,630.694,high
0.673668,0.856807,72.12051,0.244513,0.019616,0.337176,456.0437,high
0.62712,1.202662,283.0002,1.592186,0.025608,0.28327,907.8087,high
0.600382,1.192964,104.1833,0.224082,0.007742,0.150666,973.5546,high
0.77133,0.745812,117.8237,0.767994,0.100334,1.32519,373.2025,high
0.592883,0.822549,228.1351,0.998589,0.041637,0.715356,685.7119,high
1.204247,1.026478,100.9641,0.276465,0.101987,0.82482,239.5676,high
0.585141,1.396079,709.6074,2.96922,0.03825,1.076212,775.1456,high
0.68466,0.829686,171.0493,0.718551,0.074199,0.563309,434.9186,high
