@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute BeatHisto_MeanACR numeric

@data
1.159562,0.439299,0.21879,0.205802,0.025621,0.077363,0.064767,0.133563,0.553332
1.007181,0.440472,0.210259,0.193375,0.026045,0.086011,0.076043,0.12156,0.571056
2.030797,0.502577,0.213541,0.198901,0.033571,0.11583,0.141489,0.287777,0.578322
1.447214,0.359728,0.2244,0.178892,0.0227,0.07982,0.071309,0.128997,0.578903
1.579135,0.48066,0.22461,0.195286,0.032723,0.082824,0.134411,0.390871,0.604007
2.03334,0.462023,0.229819,0.205062,0.033237,0.110965,0.109802,0.235844,0.651547
1.611865,0.419621,0.203942,0.199894,0.026205,0.187017,0.067036,0.180523,0.566807
1.405582,0.360235,0.189337,0.175406,0.016009,0.161422,0.142612,0.164666,0.557843
1.665953,0.434356,0.216104,0.184246,0.0228,0.077779,0.062003,0.091939,0.539514
1.929979,0.448217,0.214102,0.204955,0.03671,0.084567,0.079272,0.21493,0.564557
1.253724,0.46926,0.237899,0.20186,0.040149,0.077646,0.08238,0.167949,0.513168
1.145756,0.451513,0.190961,0.180786,0.021744,0.090538,0.143459,0.228804,0.550904
1.773606,0.402757,0.221349,0.208502,0.039691,0.08187,0.084117,0.163403,0.561006
2.026923,0.390725,0.198151,0.181775,0.023899,0.079732,0.072621,0.091449,0.573392
1.887093,0.39861,0.210932,0.197811,0.023746,0.075757,0.084265,0.133216,0.583004
2.458724,0.52422,0.207815,0.197436,0.023208,0.125257,0.123071,0.175881,0.54977
0.985506,0.45277,0.208716,0.20309,0.041048,0.101808,0.127065,0.357075,0.560487
0.749055,0.447751,0.20691,0.191338,0.014536,0.089995,0.104342,0.197913,0.563267
1.960924,0.436941,0.201533,0.204203,0.023871,0.155514,0.131833,0.283964,0.585989
1.084066,0.415295,0.196591,0.165693,0.026917,0.109291,0.072541,0.213344,0.557899
0.985506,0.45277,0.208716,0.20309,0.041048,0.101808,0.127065,0.357075,0.560487
1.559303,0.421511,0.214626,0.195859,0.02206,0.112889,0.138257,0.225196,0.563907
2.121895,0.475406,0.226506,0.21118,0.030392,0.115571,0.154303,0.181128,0.547559
1.840142,0.423723,0.194247,0.209552,0.024869,0.078782,0.064534,0.199217,0.508827
2.18654,0.465073,0.227597,0.21787,0.025956,0.123752,0.138604,0.399274,0.571574
0.445694,0.422017,0.247834,0.194312,0.027576,0.101374,0.123812,0.175563,0.562178
1.062759,0.484757,0.210835,0.187619,0.043376,0.096154,0.136599,0.281843,0.566103
0.451917,0.482512,0.219451,0.196731,0.033239,0.090042,0.086305,0.328155,0.581564
1.403387,0.377288,0.199831,0.191229,0.025137,0.082028,0.07413,0.248565,0.566802
0.733494,0.485307,0.213196,0.196348,0.030329,0.086963,0.10537,0.125226,0.590447
0.543121,0.391832,0.200527,0.178597,0.031975,0.093271,0.080222,0.401343,0.579877
1.065225,0.538158,0.208642,0.167283,0.021053,0.108931,0.2495,0.23299,0.589069
1.995797,0.414898,0.198515,0.190238,0.038168,0.093377,0.118326,0.37422,0.570081
1.109742,0.416251,0.218291,0.199657,0.023516,0.0919,0.065467,0.149476,0.574524
1.56914,0.460018,0.212521,0.207189,0.044168,0.077596,0.07185,0.154202,0.596446
1.395363,0.524557,0.233292,0.229625,0.043223,0.082235,0.109397,0.106333,0.579187
1.996859,0.442995,0.231878,0.213841,0.03355,0.07915,0.1123,0.12899,0.557083
1.880957,0.386954,0.206931,0.168074,0.018981,0.079365,0.081606,0.141659,0.569022
1.273834,0.401368,0.229986,0.203592,0.037565,0.130774,0.094278,0.166557,0.566361
2.290668,0.603746,0.227412,0.202327,0.03041,0.082059,0.139871,0.374846,0.596598
2.307366,0.379523,0.22602,0.202976,0.023243,0.131785,0.064735,0.194835,0.56821
0.67548,0.416783,0.220644,0.210845,0.037295,0.087287,0.086346,0.168305,0.613025
1.413721,0.763076,0.233218,0.158332,0.041959,0.071515,0.199285,0.247872,0.6008
1.198735,0.448458,0.231819,0.197786,0.027433,0.073245,0.114263,0.132636,0.657827
2.10864,0.394382,0.214961,0.168945,0.024207,0.080326,0.134445,0.184513,0.561024
1.623535,0.429623,0.220152,0.185823,0.02377,0.087047,0.119682,0.165592,0.591093
0.465923,0.524232,0.217079,0.190103,0.031723,0.136854,0.137327,0.476129,0.550169
0.673826,0.457128,0.22843,0.224666,0.032986,0.095399,0.111861,0.151825,0.573749
1.638972,0.429525,0.200629,0.185881,0.021579,0.085229,0.088463,0.148202,0.573623
1.058241,0.439942,0.207465,0.180879,0.027278,0.07765,0.092725,0.162003,0.552037
1.335888,0.457559,0.20675,0.201116,0.030695,0.11828,0.172429,0.468205,0.538555
1.200864,0.427694,0.217782,0.181372,0.023684,0.067818,0.148994,0.406808,0.609939
1.955037,0.487371,0.22719,0.2077,0.027647,0.113681,0.132136,0.163535,0.556252
1.191136,0.452191,0.214296,0.204423,0.029941,0.09769,0.094043,0.294713,0.611283
2.631501,0.548277,0.20422,0.189269,0.02166,0.090749,0.124145,0.23601,0.578669
2.082289,0.406054,0.204494,0.172745,0.024417,0.090185,0.090863,0.136011,0.593822
2.331121,0.465653,0.210057,0.192942,0.030721,0.098114,0.094439,0.209983,0.555111
0.809388,0.430395,0.223099,0.191333,0.029702,0.090291,0.104926,0.266094,0.568752
1.104997,0.516036,0.213695,0.211601,0.03063,0.12268,0.090343,0.199338,0.588617
1.225408,0.406642,0.218784,0.169222,0.02276,0.093243,0.078231,0.131862,0.578914
0.860683,0.473691,0.211688,0.216518,0.033591,0.077825,0.133822,0.306138,0.605824
1.140744,0.428363,0.238248,0.230228,0.057618,0.110753,0.080713,0.282511,0.620868
1.679898,0.383583,0.241082,0.208067,0.033441,0.082781,0.096907,0.132235,0.571574
1.036833,0.464632,0.216516,0.218835,0.033049,0.100714,0.095211,0.288828,0.559278
1.562266,0.369243,0.211025,0.1961,0.02857,0.087453,0.087922,0.16442,0.559423
1.750636,0.490459,0.251568,0.228908,0.034216,0.075849,0.094652,0.151819,0.545164
1.065056,0.439862,0.222897,0.24103,0.034088,0.104997,0.10183,0.216648,0.619925
0.780926,0.446941,0.232284,0.217335,0.044932,0.08507,0.067917,0.273855,0.656272
0.780926,0.446941,0.232284,0.217335,0.044932,0.08507,0.067917,0.273855,0.656272
0.517938,0.421941,0.2421,0.205963,0.031,0.081262,0.093141,0.110034,0.604899
0.517938,0.421941,0.2421,0.205963,0.031,0.081262,0.093141,0.110034,0.604899
0.560186,0.511804,0.229601,0.222468,0.06301,0.082447,0.087894,0.205615,0.623844
0.854872,0.456125,0.238914,0.219186,0.050078,0.117743,0.095587,0.192082,0.579899
0.854872,0.456125,0.238914,0.219186,0.050078,0.117743,0.095587,0.192082,0.579899
1.442888,0.395827,0.217029,0.189661,0.03475,0.071652,0.086414,0.114507,0.569843
0.803291,0.586659,0.259023,0.216577,0.074692,0.113188,0.089081,0.585041,0.528471
0.803291,0.586659,0.259023,0.216577,0.074692,0.113188,0.089081,0.585041,0.528471
1.696763,0.465265,0.210466,0.197683,0.034767,0.102723,0.188031,0.273266,0.584725
1.408912,0.448689,0.213389,0.214922,0.033943,0.071226,0.117146,0.17325,0.571431
0.471154,0.47712,0.212407,0.19966,0.037589,0.095193,0.149192,0.379731,0.62414
0.471154,0.47712,0.212407,0.19966,0.037589,0.095193,0.149192,0.379731,0.62414
0.471154,0.47712,0.212407,0.19966,0.037589,0.095193,0.149192,0.379731,0.62414
