@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_PeakRatio_Average numeric
@attribute BeatHisto_MeanACR numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {nostalgic,notnostalgic}

@data
0.142346,0.401903,0.211463,0.199997,0.021897,0.08232,0.095466,0.107095,0.596366,76.34156,4.513758,1.298688,0.69477,0.882817,0.890333,0.11372,83.77773,6.212875,49.82003,0.541334,0.015915,0.019818,0.061912,0.000154,0.00895,4826.577,0.45156,0,0.727031,0.077099,0,0.198589,0.0047,544.0419,85475.01,nostalgic
0.62692,0.408432,0.206337,0.215625,0.031796,0.104499,0.090332,0.279218,0.51295,116.4624,6.936955,1.535334,0.556948,1.667543,0.900973,0.114007,71.74384,5.932338,675.8551,1.875698,0.02067,0.02352,0.864019,0.000129,0.011922,5125.443,1.062026,0,0.908788,0.127124,0,0.082947,0.003634,965.2411,250799.5,nostalgic
1.378779,0.412123,0.218165,0.196317,0.023302,0.077024,0.124165,0.241792,0.555801,75.09517,5.150018,1.416672,0.70157,0.935665,0.899012,0.097958,76.03316,5.573889,221.5783,0.972183,0.024028,0.05037,0.181696,0.000121,0.007055,3738.017,0.668829,0,0.985353,0.122304,0,0.014442,0.002071,451.5059,174525.6,nostalgic
1.547684,0.427989,0.236207,0.20017,0.032092,0.120525,0.055615,0.157203,0.549557,45.26798,2.936316,1.076913,1.142572,0.592652,0.867781,0.056668,40.27171,7.25011,153.9535,0.887019,0.057282,0.66284,0.432063,0.000712,0.003716,1434.52,6.852372,0,0.949401,0.116873,0,0.048071,0.002799,265.8175,26744.12,nostalgic
1.547546,0.422759,0.203896,0.201278,0.028473,0.07252,0.089443,0.146768,0.577442,77.46033,5.230201,1.411234,0.745783,1.091427,0.900704,0.075004,40.88044,5.68805,331.017,1.357783,0.02471,0.033918,0.257998,0.000135,0.00687,1362.66,0.461097,0,0.985353,0.127198,0,0.014442,0.002866,424.9108,127036.8,nostalgic
1.921636,0.416664,0.208069,0.185518,0.027293,0.112661,0.072948,0.092289,0.56577,81.88851,5.388598,1.422042,0.67978,1.105182,0.89979,0.156202,121.6589,5.653671,197.6046,1.013068,0.02059,0.028013,0.141482,0.000138,0.013928,8873.649,0.366696,0,0.870839,0.087944,0,0.112554,0.003502,543.3046,98938,nostalgic
1.237673,0.462689,0.211747,0.200689,0.030944,0.093371,0.058687,0.236359,0.522279,96.98404,5.776952,1.430099,0.558885,1.019115,0.894983,0.083572,45.14988,5.968836,427.2048,1.300634,0.017786,0.022327,0.235824,0.000166,0.007023,1587.026,0.437794,0,0.98269,0.097781,0,0.017022,0.001112,737.1394,119168,nostalgic
2.382214,0.536648,0.223268,0.214045,0.025303,0.122671,0.21128,0.14122,0.611999,50.23632,3.132248,1.10606,0.95363,0.463093,0.872065,0.049404,40.8927,6.765748,243.5573,0.776615,0.0292,0.240772,0.109936,0.000351,0.003458,2005.249,1.606966,0,0.906791,0.096217,0,0.084577,0.002903,302.1321,77731.94,nostalgic
0.872142,0.474721,0.20165,0.204133,0.028486,0.101094,0.085328,0.141401,0.592168,69.17642,5.258048,1.478222,0.7865,0.872331,0.900347,0.055825,46.6363,5.240324,242.7795,1.200696,0.029402,0.075145,0.246131,0.000156,0.005019,2534.818,0.795921,0,0.948735,0.108959,0,0.048669,0.003163,436.851,129333.4,nostalgic
1.15805,0.475856,0.202565,0.16543,0.027134,0.07883,0.133465,0.198431,0.563401,68.88015,4.504638,1.317757,0.631163,0.567696,0.890461,0.099855,109.3663,5.742933,549.6384,1.936896,0.034539,0.105811,0.111928,0.00018,0.004995,5641.628,0.815256,0,0.972037,0.120207,0,0.027199,0.001811,455.0173,86443.53,nostalgic
