@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast_arff_file/psysound.arff'

@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric
@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute mean_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute std_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute mean_Pure_Tonal numeric
@attribute std_Pure_Tonal numeric
@attribute mean_Complex_Tonal numeric
@attribute std_Complex_Tonal numeric
@attribute mean_Multiplicity numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {nostalgic,notnostalgic}

@data
0.20691,0.191338,0.014536,0.109376,0.119296,0.089995,0.02259,49.03801,2.681669,1.022294,0.748249,0.390259,0.862741,0.114219,108.6682,7.380207,91.83184,0.340135,0.015057,0.095794,0.03779,0.000462,0.007991,4197.079,1.214381,0,0.931425,0.085448,0,0.063915,0.001706,380.1684,8784.018,nostalgic
0.219945,0.202562,0.032692,0.136108,0.12798,0.093602,0.027513,88.85039,6.220261,1.566595,0.554343,1.018363,0.902644,0.065569,31.73588,5.102792,183.5791,1.390587,0.030967,0.01729,0.195907,0.000135,0.005468,913.1786,0.47083,0,0.839547,0.102542,0,0.134797,0.004377,973.003,797232.8,nostalgic
0.184392,0.190881,0.028015,0.117394,0.098064,0.062511,0.022393,72.17335,4.880401,1.374076,0.763258,1.029236,0.902716,0.112893,65.37017,5.808719,206.2827,1.127577,0.024481,0.071995,0.234464,0.000113,0.006374,2405.98,0.556235,0,0.986684,0.097247,0,0.013147,0.003058,366.7553,51717.62,nostalgic
0.20422,0.189269,0.02166,0.103839,0.121817,0.090749,0.025827,57.97261,3.185564,1.102469,0.610025,0.425021,0.870487,0.078518,86.15623,6.678225,195.6898,0.582637,0.018093,0.043366,0.052783,0.000389,0.004836,3879.19,0.997668,0,0.923435,0.11208,0,0.07075,0.002704,416.6789,17838.07,nostalgic
0.21685,0.199768,0.026966,0.100782,0.099532,0.069004,0.029013,90.41005,5.565103,1.421877,0.559954,1.100174,0.899356,0.047915,26.6725,5.875621,109.2795,0.28678,0.00515,0.020528,0.057733,0.0001,0.003529,642.0211,0.165084,0,0.996671,0.110175,0,0.00332,0.003269,636.6326,66244.2,nostalgic
0.213659,0.193986,0.029969,0.104561,0.101833,0.087535,0.026252,89.26841,5.692113,1.458618,0.618284,1.112858,0.903545,0.157021,105.0794,5.700501,89.43328,0.439115,0.011082,0.013463,0.14954,0.000129,0.014782,10582.17,0.245297,0,0.808256,0.111388,0,0.155082,0.004399,638.5537,169753,nostalgic
0.236902,0.226501,0.03875,0.108065,0.100486,0.072098,0.019929,61.33011,4.616378,1.404465,0.789458,0.78643,0.897898,0.054912,22.49888,5.326287,155.7838,0.912084,0.037921,0.129973,0.428267,0.000215,0.005978,781.2474,0.888181,0,0.766977,0.086671,0,0.178842,0.004548,424.7563,280042,nostalgic
0.241079,0.216323,0.041466,0.104171,0.108335,0.083153,0.024673,90.93359,6.24248,1.561792,0.581398,1.13952,0.900204,0.116866,35.56275,5.023829,180.255,0.833092,0.019879,0.008651,0.141364,0.000108,0.01647,2276.024,0.378009,0,0.962716,0.114289,0,0.035917,0.003293,1053.673,528102.6,nostalgic
0.2244,0.178892,0.0227,0.111572,0.104891,0.07982,0.023795,84.10877,4.878312,1.331734,0.711515,1.146195,0.899915,0.202078,124.7101,6.160053,134.5812,0.737265,0.017009,0.027101,0.148075,0.000115,0.013036,6090.526,0.559979,0,0.890147,0.149521,0,0.097851,0.004012,659.1963,74673.17,nostalgic
0.225537,0.198437,0.026628,0.131149,0.122,0.091964,0.020786,67.94062,4.629351,1.347301,0.836511,0.951337,0.89722,0.097694,93.82027,5.904164,190.7658,0.840884,0.023362,0.097809,0.231502,0.000188,0.006393,5311.126,0.732759,0,0.830892,0.119269,0,0.140604,0.00507,326.6114,41291.87,nostalgic
0.208069,0.185518,0.027293,0.100942,0.103006,0.112661,0.027642,81.88851,5.388598,1.422042,0.67978,1.105182,0.89979,0.156202,121.6589,5.653671,197.6046,1.013068,0.02059,0.028013,0.141482,0.000138,0.013928,8873.649,0.366696,0,0.870839,0.087944,0,0.112554,0.003502,543.3046,98938,nostalgic
0.218256,0.199527,0.029604,0.120247,0.133923,0.10253,0.018337,62.64657,3.754473,1.166526,1.073344,1.046618,0.88468,0.028802,15.87767,6.907124,400.7619,1.248417,0.031566,0.220777,0.446785,0.000329,0.003219,522.28,1.536105,0,0.932756,0.107105,0,0.062764,0.00346,304.1052,188838.6,nostalgic
0.223517,0.21648,0.041701,0.111671,0.109673,0.12624,0.028998,67.81397,4.56921,1.352587,0.711054,0.796193,0.892301,0.064258,38.61522,5.524994,281.8281,0.96418,0.029865,0.103223,0.284463,0.000226,0.005774,2274.928,1.410874,0,0.942077,0.117484,0,0.054604,0.003157,584.8491,305391.4,nostalgic
0.200651,0.189064,0.028038,0.133321,0.139482,0.064719,0.02599,74.3488,4.507379,1.331247,0.526909,0.5288,0.875219,0.078692,73.08117,5.60817,200.2824,0.892475,0.020663,0.014403,0.032125,0.000211,0.004154,2693.039,0.514856,0,0.882157,0.117507,0,0.104025,0.003469,672.4478,51703.95,nostalgic
0.225733,0.196122,0.033712,0.108462,0.08743,0.089269,0.025277,94.95804,6.228139,1.524392,0.56378,1.299351,0.899846,0.13117,55.26812,5.294494,170.0812,0.619634,0.007628,0.005376,0.328941,0.00005,0.015687,2524.236,0.246952,0,0.906125,0.134918,0,0.085119,0.003275,922.7867,111607.3,nostalgic
0.23334,0.200131,0.027576,0.103731,0.096701,0.104441,0.026674,67.85006,4.553115,1.385389,0.574212,0.531773,0.884538,0.098154,42.80477,4.925271,339.3819,0.65518,0.008393,0.025392,0.076196,0.000196,0.01164,1745.468,0.459701,0,0.752996,0.08067,0,0.186117,0.004133,930.3234,67260.6,nostalgic
0.223779,0.201867,0.03045,0.112842,0.099057,0.086526,0.019913,70.32943,3.848075,1.162997,1.025125,1.22166,0.891406,0.08402,63.20767,7.395779,85.6461,0.49061,0.019294,0.08331,0.178031,0.000157,0.0051,2120.921,1.101275,0,0.885486,0.131484,0,0.101468,0.003545,274.0483,25530.74,nostalgic
0.214174,0.199186,0.03872,0.10231,0.114849,0.076207,0.037027,84.91097,6.198616,1.571896,0.599828,1.081102,0.896369,0.112173,78.08841,4.934287,357.7534,1.327272,0.020333,0.046619,0.263737,0.000165,0.013963,6631.231,0.313096,0,0.962716,0.119875,0,0.035917,0.002807,888.7677,270028.7,nostalgic
0.200629,0.185881,0.021579,0.109539,0.118664,0.085229,0.018742,72.11052,4.338181,1.264693,0.720332,0.944046,0.894569,0.120435,102.0024,6.294202,92.00735,0.825129,0.020826,0.036592,0.148674,0.000127,0.007949,6325.255,0.61637,0,0.890147,0.090538,0,0.097851,0.003927,408.6252,67916.44,nostalgic
0.213695,0.211601,0.03063,0.112823,0.119076,0.12268,0.027147,67.4733,4.092115,1.234199,0.7928,0.961116,0.889812,0.061955,38.54265,6.431507,221.1563,0.901876,0.026233,0.108831,0.204137,0.000279,0.005448,1307.79,1.085748,0,0.966711,0.104797,0,0.032202,0.002753,372.3907,65600.14,nostalgic
0.203896,0.201278,0.028473,0.128213,0.091628,0.07252,0.024107,77.46033,5.230201,1.411234,0.745783,1.091427,0.900704,0.075004,40.88044,5.68805,331.017,1.357783,0.02471,0.033918,0.257998,0.000135,0.00687,1362.66,0.461097,0,0.985353,0.127198,0,0.014442,0.002866,424.9108,127036.8,nostalgic
0.227412,0.202327,0.03041,0.120707,0.122338,0.082059,0.024975,57.72552,3.651161,1.222778,0.59939,0.406513,0.850155,0.055661,32.66718,5.518086,600.7589,2.522299,0.058879,0.051306,0.056286,0.000946,0.003949,935.1597,1.416386,0,0.908788,0.131485,0,0.082947,0.003812,654.5227,109622.5,nostalgic
0.211747,0.200689,0.030944,0.124749,0.126477,0.093371,0.033104,96.98404,5.776952,1.430099,0.558885,1.019115,0.894983,0.083572,45.14988,5.968836,427.2048,1.300634,0.017786,0.022327,0.235824,0.000166,0.007023,1587.026,0.437794,0,0.98269,0.097781,0,0.017022,0.001112,737.1394,119168,nostalgic
0.208716,0.20309,0.041048,0.104125,0.119748,0.101808,0.035277,69.47865,4.681034,1.359319,0.685095,0.67968,0.888233,0.061343,55.60623,5.506322,666.2929,1.791852,0.03269,0.105617,0.186557,0.00026,0.005362,4466.587,1.077409,0,0.96538,0.122796,0,0.033444,0.001889,592.6157,310150.9,nostalgic
0.214102,0.204955,0.03671,0.147734,0.104185,0.084567,0.032347,105.1653,6.70867,1.55271,0.52564,1.207851,0.894398,0.130827,73.43676,5.472219,349.8703,1.596731,0.023016,0.014123,0.246319,0.000112,0.013045,3774.209,0.424525,0,0.928762,0.095725,0,0.066208,0.002574,1059.862,396349.7,nostalgic
0.237899,0.20186,0.040149,0.138781,0.099773,0.077646,0.020638,63.47537,4.472961,1.344351,0.87079,0.95798,0.899265,0.069609,39.14548,5.524204,276.5586,1.104575,0.032619,0.116291,0.665983,0.000249,0.007476,2106,1.221025,0,0.939414,0.117239,0,0.056953,0.002913,489.4078,559368.5,nostalgic
0.210835,0.187619,0.043376,0.135582,0.147583,0.096154,0.032735,76.62907,5.431744,1.477954,0.651728,0.874138,0.890737,0.054505,42.85577,5.170051,469.7901,1.696883,0.036246,0.083945,0.352807,0.000296,0.005553,2620.998,1.073554,0,0.950067,0.144369,0,0.047472,0.002517,719.3692,516754.1,nostalgic
