@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_minPos numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_maxPos numeric
@attribute pcm_zcr_sma_maxPos numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregc2 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute output {nostalgic,notnostalgic}

@data
-8.576905,2165,0.000153,3.395796,2411,1470,0.000029,-0.013245,6.225422,-0.000003,0.665447,2725,0.009601,-0.172992,1222,1.010825,nostalgic
1.436472,592,0.000821,2.891572,371,1463,0.000006,0.007923,11.24622,-0.000003,1.965885,1307,0.017617,0.241246,376,2.597061,nostalgic
-6.781009,265,-0.001663,2.747046,2230,1641,0.000007,-0.003491,6.641592,-0.000006,0.594943,858,0.00498,-0.090699,754,1.142256,nostalgic
-7.418201,1990,0.000703,2.754358,2552,158,0.000002,-0.002722,7.666939,0,0.789935,2273,0.013166,-0.086241,275,1.24609,nostalgic
-9.49649,2,0.000218,3.662889,2347,2270,0.000008,-0.005663,6.135266,0.000006,0.638899,933,-0.002714,0.118008,574,1.109103,nostalgic
-5.877776,100,0.001715,3.045976,2493,1273,0.000021,0.001126,8.574049,-0.000001,0.876282,1182,0.001894,0.273386,2161,1.328094,nostalgic
-8.571368,2152,0.000504,3.566234,1943,1165,0.000017,0.003254,9.312807,0.000002,0.824688,2827,0.004714,-0.405573,424,1.26278,nostalgic
-3.351336,1218,0.000264,3.179855,826,2978,0.000006,0.00211,7.120574,0.000001,0.403797,946,0.000634,-0.033845,2241,0.961881,nostalgic
-10.89244,1405,-0.001082,3.346675,822,1340,0.000006,-0.002026,5.404638,0.000002,0.511717,1325,-0.000353,-0.148406,406,0.987743,nostalgic
3.154784,1534,-0.001856,3.740696,1342,1334,0,-0.000213,7.075741,-0.000004,0.280264,1099,0.00046,-0.183264,1312,0.541286,nostalgic
-10.68268,439,0.001268,3.243063,1789,2240,0.000001,0.002871,3.607677,-0.000004,0.381338,1199,0.002254,0.070435,2627,0.875491,nostalgic
-2.09043,2490,0.000203,3.019952,2661,216,0.000004,0.007433,6.929772,-0.000001,0.412434,1321,-0.004741,0.290721,1177,1.064778,nostalgic
-6.431821,1685,0.000376,3.595175,1002,974,0.000008,-0.006947,6.584342,-0.000001,0.552026,239,0.003526,0.200416,1567,0.924377,nostalgic
-0.832079,796,0.000428,2.904307,2352,1698,0.000001,0.000677,4.244644,0.000007,0.566226,2689,0.007231,-0.037542,992,1.277751,nostalgic
-7.448026,2328,0.001933,2.983382,2319,1513,0.000003,0.009505,5.729571,-0.000003,0.605777,2769,0.008747,-0.000501,2953,0.818949,nostalgic
-0.273873,50,0.001771,3.11289,2883,1071,0.000011,-0.00824,6.266262,0.000006,0.924855,2019,0.006311,-0.173949,2960,1.242358,nostalgic
-9.046853,2195,-0.001072,2.801651,1481,2213,0.000008,-0.00199,5.62869,-0.000009,0.545343,2514,0.004684,-0.054209,2196,1.170323,nostalgic
-3.92658,1590,-0.00085,3.148744,162,831,0,0.000438,5.481761,0.000005,0.598668,515,0.008675,0.211168,2112,1.22279,nostalgic
-7.418201,1990,0.000703,2.754358,2552,158,0.000002,-0.002722,7.666939,0,0.789935,2273,0.013166,-0.086241,275,1.24609,nostalgic
-9.520502,1136,-0.000661,3.037781,483,653,0.000022,-0.005021,7.699759,0.000001,0.646797,1254,-0.006508,-0.051365,1795,1.073824,nostalgic
