@relation 'wav/all/marsyas.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-Rlast'

@attribute Mean_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Mean_Acc1000_Std_Mem40_SFM_6 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_1 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_9 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1 numeric

@data
0.216883,0.18428,0.021438,0.10306,0.094094,0.076023,0.02077
0.218784,0.169222,0.02276,0.149036,0.109809,0.093243,0.01805
0.194247,0.209552,0.024869,0.101295,0.095267,0.078782,0.021592
0.203365,0.17919,0.015293,0.190079,0.13565,0.104978,0.017946
0.212194,0.197512,0.036755,0.095795,0.144911,0.09905,0.02443
0.195542,0.187699,0.025037,0.106636,0.092841,0.114069,0.028415
0.20288,0.200503,0.044739,0.108962,0.092664,0.077442,0.019904
0.195622,0.171094,0.031326,0.140533,0.141122,0.069538,0.024343
0.202845,0.202013,0.023212,0.111945,0.114887,0.099022,0.021608
0.210932,0.197811,0.023746,0.101605,0.100213,0.075757,0.023049
0.243465,0.195249,0.040832,0.135196,0.120151,0.078353,0.032232
0.189337,0.175406,0.016009,0.137613,0.116789,0.161422,0.017983
0.201533,0.204203,0.023871,0.156599,0.120697,0.155514,0.030306
0.197115,0.199337,0.026228,0.128129,0.134847,0.083034,0.025245
0.221279,0.203538,0.035225,0.108899,0.118056,0.082521,0.035896
0.230064,0.202614,0.03857,0.140778,0.131558,0.080881,0.0264
0.220152,0.185823,0.02377,0.122638,0.106301,0.087047,0.025459
0.189378,0.17809,0.012611,0.130527,0.19152,0.119701,0.020189
0.197848,0.20126,0.036423,0.097676,0.094665,0.101682,0.033828
0.190961,0.180786,0.021744,0.161079,0.11932,0.090538,0.022171
0.205979,0.184819,0.027593,0.124409,0.139679,0.087523,0.031531
0.222706,0.20809,0.035614,0.114581,0.116334,0.094438,0.031104
0.233218,0.158332,0.041959,0.1626,0.163902,0.071515,0.046586
0.204323,0.135851,0.023689,0.167177,0.123958,0.124505,0.043213
0.231878,0.213841,0.03355,0.100464,0.117095,0.07915,0.021825
0.22602,0.202976,0.023243,0.109916,0.107414,0.131785,0.021806
0.247834,0.194312,0.027576,0.107201,0.127309,0.101374,0.026758
0.216549,0.21402,0.037961,0.111401,0.097712,0.081535,0.019913
0.203564,0.175261,0.026992,0.106758,0.132209,0.085577,0.030825
0.217079,0.190103,0.031723,0.181381,0.10695,0.136854,0.039782
0.206931,0.168074,0.018981,0.113262,0.116472,0.079365,0.019746
0.208642,0.167283,0.021053,0.144054,0.115648,0.108931,0.022651
0.220602,0.175371,0.023113,0.142342,0.153331,0.108821,0.025729
0.231819,0.197786,0.027433,0.118114,0.108892,0.073245,0.016747
