@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[12]_max numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc2 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[10]_min numeric
@attribute mfcc_sma_de[10]_linregc1 numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[11]_min numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute output {nostalgic,notnostalgic}

@data
-7.017858,3.062509,0.497705,11.23742,0.000018,7.894432,0.000001,-0.000001,0.002111,-0.024602,1191,0.918644,-4.887132,-0.000004,1.080013,-3.213394,3.513804,nostalgic
2.419463,3.396481,1.203255,15.33372,0.000001,9.440567,-0.000006,-0.000005,0.000028,0.204759,432,0.774041,-3.727885,0.000006,0.785575,-4.681115,4.11777,nostalgic
-11.17472,3.105221,-2.909675,8.379214,0.000009,5.967382,-0.000004,-0.000005,0.007274,0.121005,929,0.789562,-3.929073,0.000003,0.805366,-3.055672,3.821352,nostalgic
3.154784,3.740696,4.449578,6.582468,0,7.075741,-0.000004,-0.000001,0.00046,-0.183264,1312,0.601785,-3.243084,-0.000005,0.541286,-3.366655,3.095998,nostalgic
-4.037443,2.891017,-0.252265,8.974607,0.000003,5.896382,0.000003,0.000002,-0.0015,0.094187,900,1.163289,-5.537024,-0.000001,1.274704,-4.279452,4.233522,nostalgic
8.464542,2.815365,-1.456373,6.719118,0.000001,9.537741,0.000015,0.000013,-0.01916,-0.24339,2718,0.79878,-3.883277,0.000006,0.769864,-3.096679,3.321258,nostalgic
-9.055779,2.540784,-6.728711,12.61454,0.000012,4.385772,0.000003,-0.000006,0.011806,0.138499,824,1.099672,-3.121208,-0.000005,0.890677,-3.577044,3.440262,nostalgic
4.383124,3.086244,-4.728803,10.153,0,4.553571,-0.000003,-0.000005,0.006504,-0.448807,2983,0.47553,-3.425931,0.000003,0.56329,-2.632179,2.741608,nostalgic
-4.805274,3.530975,-0.250567,15.20276,0.000011,9.771658,0.000008,0.000003,-0.004121,-0.224425,1572,1.028986,-4.306996,0.000006,1.002282,-5.330155,3.197719,nostalgic
-3.821532,2.614149,-6.913758,18.14425,0.000003,10.10343,0.000004,0.000001,-0.004136,0.150553,1537,1.227221,-4.73893,-0.000004,1.308914,-4.07854,5.4123,nostalgic
-9.938581,2.707641,0.198405,18.07639,0.000009,6.370378,-0.000002,0.000001,0.004868,0.184581,132,1.926684,-3.855266,0.000005,1.205004,-4.33475,4.587274,nostalgic
-6.127882,2.998432,-3.086546,20.51623,0.000005,6.49256,0.000001,-0.000003,0.00701,-0.181934,978,1.078734,-4.805036,0.000006,1.078793,-4.800994,5.803884,nostalgic
-7.04306,4.350116,-0.63773,11.52755,0.000022,7.654693,0.000004,-0.000001,0.003663,-0.038904,2881,0.956695,-4.501148,0.000004,1.128063,-3.729948,4.149437,nostalgic
-6.520215,2.933063,-4.646527,9.036244,0.000006,7.393121,0.000004,0.000005,-0.007462,0.016645,2870,0.875599,-4.115179,0.000003,1.063457,-2.999934,3.469765,nostalgic
-8.990432,3.404742,3.320011,19.45868,0.000024,9.630171,-0.000003,-0.000002,0.003242,0.081533,243,1.14602,-4.322952,0.000007,0.989422,-4.537049,5.94423,nostalgic
-9.046853,2.801651,-4.965377,10.47828,0.000008,5.62869,-0.000009,-0.000003,0.004684,-0.054209,2196,1.169502,-4.475367,-0.000005,1.170323,-4.627739,4.679002,nostalgic
-1.798241,4.427369,-0.288596,14.79953,0.000002,7.878333,0,-0.000001,0.000021,0.144743,981,1.073461,-5.562978,0.000005,1.281136,-5.060904,3.505873,nostalgic
-3.146973,3.684959,-4.858482,5.082853,0.000002,4.960933,0,0.000001,-0.000834,0.105318,1907,0.796135,-3.082137,0.000001,0.778435,-3.023356,2.560929,nostalgic
-3.91318,3.214895,-6.022246,9.872479,0.000013,6.685157,0,0.000002,-0.004435,0.078515,1646,0.818106,-3.214892,0.000003,0.90164,-3.43677,2.83516,nostalgic
-10.83475,3.695906,1.992697,10.984,0.000013,7.125897,-0.000001,-0.000005,0.004549,-0.189881,852,0.92921,-3.62376,-0.000003,0.917498,-3.466326,3.658716,nostalgic
-5.803162,2.529027,1.696249,10.05536,0.000001,7.287799,0.000005,-0.000004,0.007842,0.354478,2718,0.957868,-4.221078,0.000004,0.978018,-4.429368,3.82972,nostalgic
0.458738,2.720435,-7.360696,11.46733,0,6.185414,0.000002,-0.000001,0.001871,0.30723,1154,0.872004,-4.454966,0,0.923365,-3.567248,4.195952,nostalgic
0.770454,3.219053,-4.452633,11.60675,0.000001,6.165751,-0.000009,0.000015,-0.022835,0.13783,443,0.545473,-3.697409,-0.000002,0.636418,-2.976973,3.209289,nostalgic
-12.00763,3.255183,-2.639924,8.696714,0.000004,4.724983,-0.000001,0.000002,-0.003654,0.102727,1645,1.150822,-3.708889,0.000001,1.123982,-4.208912,4.196051,nostalgic
4.271746,2.789527,1.815247,6.520226,0,8.730381,-0.000003,-0.000002,0.000239,-0.045743,319,0.769283,-4.871622,0.000012,0.879717,-3.474392,3.328621,nostalgic
-11.2696,2.841836,-1.427388,9.846371,0.000005,3.99335,-0.000003,-0.000003,0.005987,0.023834,442,1.008892,-3.84748,-0.000009,0.941769,-3.377989,3.199613,nostalgic
-8.25879,2.757751,2.254474,11.43309,0.000022,6.028255,-0.000001,-0.000003,0.006526,0.386292,468,0.97987,-3.426334,-0.000001,0.906505,-3.425283,3.760988,nostalgic
-2.645983,1.953486,-0.232436,12.46107,0,4.811026,0.000003,-0.000003,0.003893,-0.063966,523,0.932319,-3.339856,-0.000001,0.907645,-3.935027,4.218007,nostalgic
-1.137552,2.755181,-3.648304,16.35696,0.000001,7.605186,0.000001,0.000003,-0.003759,0.018302,2483,1.21085,-4.001049,-0.000003,1.28093,-3.804989,4.121147,nostalgic
-12.96306,3.392771,-2.132702,9.776921,0.000015,7.267442,0.000006,0,-0.003657,0.231324,2297,1.094382,-5.159817,-0.000005,1.19442,-4.456317,3.587267,nostalgic
-1.745423,3.43649,4.883896,16.03217,0.000003,7.219401,-0.000004,-0.000004,0.001903,0.137813,629,1.0734,-3.29631,0.000005,1.012882,-3.888034,4.324992,nostalgic
-8.387425,2.866942,-1.604104,7.952114,0.000005,5.24958,0,0.000002,-0.004009,-0.057368,2773,0.826986,-4.336585,-0.000003,1.035725,-4.212071,3.540096,nostalgic
-1.113691,4.036619,1.686287,11.53428,0.000003,5.203238,-0.000001,-0.000001,-0.000566,0.082435,794,1.302842,-3.818431,-0.000003,0.911867,-3.824873,3.14445,nostalgic
-7.815214,2.33434,2.352373,20.70608,0.000005,7.804784,0.000005,-0.000004,0.012639,-0.064206,1675,1.10655,-4.585472,0.000007,1.026184,-6.443972,2.813985,nostalgic
-3.834264,3.293701,-3.042612,10.59233,0.000002,6.768548,-0.000002,0,0.001044,0.511229,567,0.806125,-3.218073,0.000006,0.888486,-3.387905,3.375507,nostalgic
-1.749219,3.176301,-3.11582,23.1626,0.000002,9.647762,-0.000003,0.000004,-0.009072,-0.102342,207,0.997911,-4.431307,-0.000003,1.345794,-5.12277,5.171838,nostalgic
-10.16217,3.330472,-2.453285,14.6971,0.000003,6.106919,-0.000006,-0.000008,0.01359,-0.172426,1020,1.316404,-4.873701,0.000004,1.165112,-3.650935,4.179854,nostalgic
-3.726376,3.451449,-5.151682,9.39702,0.000005,6.802048,0.000004,-0.000006,0.013273,0.505235,334,1.485477,-5.025825,0.00001,1.159829,-3.943576,3.97134,nostalgic
8.17907,3.408839,-5.767657,23.9412,0.000002,9.233345,-0.000006,0.000002,-0.007931,0.686073,271,0.785555,-5.282136,-0.000005,0.951182,-5.294433,3.645643,nostalgic
-0.832079,2.904307,0.133528,15.07307,0.000001,4.244644,0.000007,-0.000005,0.007231,-0.037542,992,1.114309,-4.825431,-0.000004,1.277751,-3.682778,3.990395,nostalgic
-9.49649,3.662889,0.590391,14.6672,0.000008,6.135266,0.000006,0.000001,-0.002714,0.118008,574,0.942453,-4.356709,0.000007,1.109103,-3.507594,4.092725,nostalgic
-5.877776,3.045976,0.950662,13.33377,0.000021,8.574049,-0.000001,0.000001,0.001894,0.273386,2161,1.543667,-3.8193,0.000005,1.328094,-3.687327,5.446102,nostalgic
