@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[9]_max numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_linregerrQ numeric
@attribute F0_sma_de_skewness numeric
@attribute output {angry,notangry}

@data

0.715535,4.645008,2.555791,-11.09652,2.504371,2.710205,3.081481,404,-0.993555,22.16035,-20.96391,2841,-1.297462,12.45858,15.16609,0.012704,0.135972,0.145429,1.25195,0.270148,454.6651,2900,0.115937,-0.000929,-0.608482,0.007002,0.149521,-0.00327,4.551595,7.601388,0.042539,0.090884,0.000023,0.000466,276.9648,-0.146428,angry
2.044052,6.127419,3.348106,-28.70707,-6.543207,-6.915342,3.011749,788,-4.640027,22.4588,-20.31848,2504,-5.963834,10.2962,29.24958,0.013914,0.049407,0.062552,4.785528,0.535859,432.0092,1411,-1.481576,0.000568,-0.569866,-0.061011,0.379696,0.017982,4.202445,7.946324,-0.188914,0.132046,-0.000066,0.000736,542.586,0.075511,angry
0.331246,-2.155399,3.097054,-12.85845,-1.69906,-2.0779,2.847695,160,-0.401555,14.17995,-16.23488,1387,-4.710544,10.59375,13.97293,0.042952,0.140821,0.13473,0.491178,0.225088,230.4944,914,-0.864685,-0.000174,0.120017,0.214817,0.181785,-0.0014,4.694376,7.096528,-0.233039,0.085704,0.000069,0.000321,11.21561,0.029816,angry
4.240867,1.518172,3.370989,-21.60854,-2.435273,-0.886139,2.702078,1531,0.072333,45.3743,-14.20364,966,-2.553629,14.94362,18.38875,0.005445,0.048622,0.028532,3.899868,0.342216,454.6767,2478,-1.295386,-0.00536,0.200196,-0.100141,0.348317,-0.009401,6.019821,9.631981,-0.116097,0.09264,0.000188,0.00047,152.8742,-0.304406,angry
-0.164496,1.81738,3.310961,-12.35906,2.791783,3.165112,3.102079,2786,0.183212,15.72494,-10.01756,2904,1.472162,10.33175,9.124784,0.034483,0.143303,0.142313,0.403209,0.206145,0,1207,0.123429,-0.001687,-0.105635,-0.06813,0.200721,-0.00837,5.331576,7.417659,-0.073807,0.055627,-0.000116,0.000143,0,0,angry
0.639547,3.308868,3.897189,-19.92343,0.622768,-0.935114,3.966493,1852,-0.910631,25.2354,-16.00213,538,2.813969,15.57771,17.47281,0.005445,0.077388,0.059133,2.058353,0.29079,444.5797,549,-0.276244,-0.002033,-0.64802,-0.097087,0.24747,0.006375,5.889949,7.274843,-0.00119,0.116637,-0.000078,0.000888,456.4332,0.22778,angry
1.191287,5.536591,2.333061,-11.13703,1.207364,1.630276,3.34144,2712,0.734659,20.59817,-16.47909,1582,-0.658613,10.15202,11.94644,0.026013,0.127662,0.148604,0.662168,0.203517,0,1548,-1.047695,0.001742,-1.20496,-0.19199,0.150889,-0.004107,4.429671,6.098136,-0.135684,0.039732,0.000073,0.000132,0,0,angry
1.682147,-1.381418,3.179868,-10.66497,3.827317,4.312218,3.047682,2725,3.71906,13.4942,-14.62839,2023,-1.840052,11.09836,11.4927,0.012704,0.103105,0.091863,2.412939,0.268012,406.9113,481,-0.255373,0.00097,0.069579,0.040797,0.11947,0.004869,5.059054,7.343932,-0.026704,0.118336,0.000109,0.000448,167.0495,0.069034,angry
2.257607,-1.097864,3.166492,-8.521085,2.8088,2.699464,3.186867,392,4.575149,14.51486,-17.00431,1846,-5.812109,7.541239,10.65315,0.026618,0.129245,0.136114,1.679021,0.227256,277.5407,2865,-0.312547,0.00011,0.228386,0.155125,0.012346,-0.004003,4.249669,7.666461,-0.169793,0.098325,0.000101,0.000217,29.21391,-0.007256,angry
-0.279777,-0.532768,3.074482,-10.80413,3.11453,2.809644,3.143367,2872,0.625478,14.81066,-18.51412,2937,-2.944367,13.04524,24.75285,0.009679,0.125333,0.135579,0.00707,0.224058,216.0784,2933,-0.327803,-0.000955,-0.032136,0.160177,0.085204,0.001172,4.928955,9.206209,-0.124908,0.064735,0.000055,0.000238,5.781546,0,angry
0.946486,1.8419,2.604686,-14.38215,1.770152,3.737188,3.107625,1044,-2.607242,24.15721,-20.08607,2718,-7.483367,8.955238,20.3616,0.039927,0.13818,0.099416,0.645676,0.352498,479.1305,406,0.736764,-0.001115,0.401346,-0.596382,-0.100284,0.004494,5.486608,7.000616,-0.103186,0.115093,-0.000124,0.000904,582.7802,0.045909,angry
0.106621,10.6637,2.672245,-7.507738,1.398412,0.83275,2.953901,6,1.87182,10.11894,-14.44426,915,-3.803255,7.45261,9.086075,0.026618,0.121581,0.125595,-0.00619,0.293763,422.2759,331,-0.761236,0.002608,-0.551268,0.038298,0.137109,-0.001725,3.549484,7.410906,-0.001171,0.083412,0.00012,0.000464,223.0658,-0.085067,angry
3.373144,-0.247558,3.251044,-33.26126,-7.337563,-7.876033,3.119118,2694,2.275962,49.48787,-22.10494,2485,-0.489059,13.39582,32.74609,0.009074,0.048771,0.036431,3.736457,0.432421,468.9362,2638,-0.686822,0.005012,0.260907,0.110428,-0.007976,0.006443,5.788929,8.780931,0.176035,0.098209,0.00028,0.000647,478.0077,0.017882,angry
2.317647,-2.057058,4.544754,-11.13569,1.542922,1.768345,2.974084,2795,0.553937,15.91643,-12.75746,784,4.093614,11.86517,9.898847,0.008469,0.074938,0.071137,4.035182,0.299346,360.5476,1371,0.344015,-0.000208,-0.227583,-0.227247,-0.194966,0.00425,4.673725,6.433689,0.015602,0.077372,-0.000127,0.000365,79.90827,0.277055,angry
-0.482819,7.861211,3.144504,-12.5563,0.242706,2.836617,3.029588,124,1.222031,9.053351,-11.12956,2691,-2.353899,8.092839,11.4934,0.011494,0.111968,0.137179,-0.164612,0.370787,313.7934,2873,-0.582978,0.001684,-0.44092,0.150569,-0.01707,-0.006756,2.977568,5.85465,0.028298,0.073688,0.000208,0.00047,104.5717,-0.046608,angry
1.675368,2.523692,3.703584,-27.4096,-7.275047,-7.705229,3.516424,44,-3.619246,17.03765,-12.72295,1476,-0.587077,10.83223,11.64491,0.025408,0.079607,0.097075,1.131173,0.423267,371.2897,2129,-1.053985,0.001728,-0.120569,0.211199,0.005179,0.003076,3.19907,6.506642,-0.154642,0.136584,0.000078,0.000912,338.3188,0.110486,angry
0.753287,1.583633,3.565205,-16.466,0.413093,2.791044,2.787316,1353,-1.598457,27.34918,-18.60053,879,-0.094371,24.79404,33.1526,0.00484,0.078642,0.072781,2.409916,0.499444,474.0333,356,-1.023204,-0.000828,-0.171265,-0.173706,-0.138328,-0.008253,5.443211,9.81424,0.005927,0.184291,-0.000441,0.002537,1372.842,0.052349,angry
-0.335559,-15.20181,2.558786,-15.06294,-2.626828,-3.456032,2.83368,1591,-2.966473,11.63488,-19.40064,239,-6.295599,8.325416,11.80568,0.0732,0.109323,0.112397,0.255834,0.352892,440.8,130,-0.192398,0.001369,-0.286168,0.010217,0.023105,0.007072,3.247662,7.189515,-0.065662,0.094518,-0.00006,0.000507,300.9027,0.183947,angry
0.81727,-3.918312,3.143004,-15.52103,-0.768608,-1.573144,3.395216,1563,2.089906,31.25424,-23.60044,1209,-2.158168,15.44143,29.66766,0.010284,0.09364,0.093935,1.166239,0.440417,464.4632,2555,-0.818808,0.001985,-0.195313,0.033828,0.00705,-0.010568,5.886925,9.701412,-0.15848,0.145671,-0.000406,0.00158,1186.059,0.082698,angry
1.890878,0.171598,2.755044,-16.93251,3.519702,6.003067,3.308363,988,-1.640502,15.72694,-15.99336,497,2.568475,10.20086,14.5103,0.016334,0.123605,0.082858,1.681689,0.217411,74.96599,2831,-1.308335,-0.005987,0.667351,0.177461,0.165808,0.006883,3.956485,7.500451,0.040223,0.089374,-0.000165,0.000233,1.743507,39.27441,angry
0.327789,3.057329,2.999892,-12.73781,2.748606,3.849916,3.176314,1377,1.409095,25.98961,-16.22208,125,-1.603813,13.88084,17.30886,0.019964,0.115467,0.07056,0.666012,0.322167,399.8858,518,-0.337818,0.000026,-0.559664,-0.128498,-0.001462,0.002783,5.856712,7.643874,-0.055017,0.091289,-0.000043,0.000692,178.9013,0.070621,angry
-0.059617,4.06337,3.97716,-16.50601,-0.257919,-0.607591,3.425864,79,2.581374,22.90553,-27.05898,2938,-0.947081,14.71322,16.73627,0.016334,0.132382,0.134349,1.878415,0.262717,443.4999,656,0.470514,-0.000701,0.626161,0.311086,-0.176049,-0.009955,4.370996,9.166253,0.104894,0.102126,-0.000049,0.000705,264.413,0.048321,angry
0.037045,2.71986,2.968074,-10.86425,0.891784,1.37293,3.31597,263,-2.268927,7.152164,-13.22024,233,-1.242646,7.283756,8.600475,0.023593,0.126386,0.10043,0.233931,0.209197,0,693,-0.094228,0.002435,-0.138994,-0.039169,-0.302014,-0.004225,2.815464,6.044849,-0.071031,0.064554,0.000103,0.000177,0,0,angry
-0.745497,4.945802,6.818337,-11.79754,-0.061494,-0.270601,2.800561,618,-0.770678,14.88581,-11.81871,1613,-2.182857,10.40804,13.4446,0.026618,0.143681,0.138817,-0.309196,0.271061,389.294,1234,-0.114902,0.002045,-0.417157,0.010298,-0.098061,-0.003235,3.855195,8.000609,0.026895,0.099235,0.000125,0.000472,72.61145,0.434844,angry
0.531069,-3.674747,3.152712,-7.691511,4.813876,4.83545,2.983205,1211,1.144105,14.78096,-7.717046,2190,1.763603,9.144577,10.12896,0.061101,0.134045,0.132741,0.437208,0.233961,206.9484,2332,0.216977,0.000639,-0.117397,0.024128,0.008391,0.009437,3.390316,7.297352,-0.079255,0.061943,0.00003,0.000274,5.303287,0,angry
1.147612,-0.747576,4.175407,-17.90269,2.623239,2.478048,3.115097,2150,2.785528,31.2124,-15.89489,629,-2.773674,11.69005,25.99297,0.016939,0.115748,0.128205,1.039197,0.264825,459.1667,2862,1.194089,-0.002804,0.308293,-0.056568,0.05846,0.0054,5.303822,8.080696,0.013271,0.076784,-0.000036,0.000348,48.78119,-1.475138,angry
0.268322,2.978554,4.433303,-9.909121,3.734794,4.197823,3.094263,1162,-1.7229,11.8148,-15.53307,2865,-3.168875,12.05748,12.31497,0.021174,0.123413,0.11889,-0.003205,0.362703,468.9362,2275,-0.453094,0.00018,-0.375411,-0.171782,0.268471,0.000108,3.505535,6.716058,0.045594,0.09443,-0.00008,0.000424,355.7409,-0.186418,angry
2.652858,0.647698,2.929962,-8.112607,4.03862,4.187301,3.085671,2768,-2.022529,12.48249,-10.93959,1285,2.512565,9.890815,9.731101,0.044767,0.138991,0.153504,2.756986,0.266551,469.1486,2720,-0.321264,-0.001427,0.312061,-0.102458,-0.114532,-0.000645,3.377282,6.253139,0.113734,0.142153,0.000175,0.000431,152.4973,0.178366,angry
0.994654,6.139649,3.776756,-13.44538,-3.470709,-3.372675,2.756021,2570,1.494468,11.66212,-14.90946,202,-2.255898,9.862762,7.775068,0.030853,0.175231,0.178565,1.096788,0.240831,250.4545,1038,0.089295,0.000555,-0.222189,0.103694,0.066628,-0.005656,3.908385,7.106711,-0.064668,0.095923,0.000027,0.000223,7.028194,8.486067,angry
0.495164,8.543265,3.531342,-18.13778,-1.900632,-1.29947,2.795144,1116,-0.462941,20.12101,-20.38249,1708,-4.758448,14.13506,16.26087,0.018149,0.156345,0.158163,0.813021,0.497244,428.5065,550,-0.262179,-0.000142,-0.318497,0.351718,0.252662,-0.013531,4.715193,7.080262,-0.038046,0.163213,-0.000012,0.001125,675.3806,0.246634,angry
0.987695,5.057593,2.845146,-7.596878,4.483683,4.357639,2.968005,2687,-2.478258,17.8248,-13.25585,2209,-2.338549,9.837276,12.39483,0.016334,0.069606,0.059617,0.835228,0.323799,442.2993,144,-1.099412,0.000726,-0.193952,0.171427,0.180322,0.003511,3.82628,6.528717,-0.118249,0.129711,0.000004,0.000791,432.5614,0.058335,angry
0.635081,0.627786,5.21296,-19.08261,0.145114,0.372953,4.006322,15,-0.680201,16.31549,-21.53176,2166,2.359937,16.08562,16.51019,0.012099,0.101847,0.094865,1.918715,0.269416,396.1313,2626,-1.181815,0.003504,-0.447145,-0.006373,-0.117725,-0.001706,4.178923,7.067101,0.11037,0.110532,0.000042,0.000504,89.62316,0.069059,angry
1.279426,0.657107,3.05503,-29.88642,1.203382,1.51464,3.394525,2038,-1.608888,46.08978,-17.98868,1415,1.684419,15.58671,27.20707,0.004235,0.076766,0.065842,3.498101,0.377887,440.1736,2273,-0.080969,-0.001513,-0.073239,-0.20678,-0.052188,-0.002289,8.152298,10.93065,0.071981,0.155227,0.000321,0.002598,1375.58,0.009938,angry
0.968625,2.918568,3.005345,-13.9982,-3.122391,-1.9288,3.061059,1746,2.302334,12.57192,-11.30495,2415,1.550896,9.265959,11.97851,0.029038,0.12049,0.106574,0.956916,0.266442,299.864,2377,-0.162105,-0.001362,-0.066886,-0.01361,-0.061725,-0.001139,3.143542,5.749949,0.076002,0.073599,0.000043,0.000194,11.13447,0,angry
0.023195,4.336192,4.813869,-17.98693,0.597607,1.711686,5.065329,1013,-3.532107,22.65995,-13.82858,1064,3.316223,11.57864,11.5274,0.010284,0.131271,0.108464,0.4752,0.383748,479.1305,94,0.001635,-0.001188,-0.183783,0.086657,-0.190576,0.016137,3.523531,7.493635,0.214007,0.131193,0.000319,0.000427,172.2729,0.115967,angry
-0.378142,4.628005,2.864999,-11.24488,0.448172,-0.237663,2.669269,1059,11.96352,23.52664,-22.36384,2414,-8.446787,13.48716,16.9455,0.007864,0.132874,0.146216,0.47825,0.363624,474.0333,2845,-0.226416,0.00334,0.038087,0.133355,0.098121,0.000757,3.723659,8.125843,-0.049284,0.110038,0.0002,0.000721,396.7478,0.003708,angry
2.443737,0.387621,2.969945,-21.12117,1.913519,2.092073,2.981645,2177,-0.141494,33.50668,-16.79839,2308,2.029793,37.40229,56.69144,0.00363,0.074639,0.058258,1.475246,0.401195,469.1486,2836,-0.009847,0.001334,-0.10245,-0.041553,-0.083795,0.011582,5.210448,17.70668,-0.310101,0.171501,0.000152,0.002086,2051.164,-0.027574,angry
0.91162,-2.345037,4.242752,-15.6837,5.851294,6.121983,2.785158,2661,-3.753071,38.32793,-16.06463,2581,2.577452,15.47784,27.84444,0.009074,0.142224,0.142576,0.592948,0.371132,403.1309,1621,-0.13618,-0.001706,0.039708,-0.213086,-0.485168,0.01637,5.632914,9.179551,-0.085087,0.137827,-0.000191,0.001449,619.0981,-0.025994,angry
0.82334,5.151644,3.270425,-14.12678,-0.585315,-1.6002,3.552895,303,0.275685,12.06063,-12.24071,562,-0.859132,8.718994,11.77332,0.047187,0.133044,0.129351,1.386761,0.325047,432.7721,75,-0.937372,0.001026,-0.532742,0.200092,-0.076713,0.009181,3.636588,7.130763,0.064042,0.114698,0.000245,0.000604,369.4197,-0.171199,angry
0.436901,-3.893606,4.596851,-22.35696,-2.275198,-1.786118,3.982582,2825,1.887315,24.42494,-17.46516,2127,-2.096093,14.16784,14.08376,0.019964,0.129278,0.125043,1.143721,0.330251,448.2342,833,0.190122,0.00064,0.172629,0.037331,0.301775,0.008481,6.434466,7.721252,-0.002241,0.126651,0.000071,0.00072,378.4981,0.042644,angry
1.831213,0.288616,2.971373,-17.36012,-0.041106,-4.399011,3.045678,2217,-4.890669,20.76134,-15.85874,2065,-1.648335,11.41925,13.90195,0.049607,0.144139,0.163386,1.257497,0.355489,440.8,327,-1.180803,-0.000442,-0.019039,-0.158501,0.206123,-0.006293,5.940192,6.234802,-0.124731,0.109057,-0.000269,0.000652,553.9392,0.012401,angry
0.79817,-2.72622,6.065016,-28.73695,-3.028184,-3.56338,4.500777,2868,-0.094593,25.00795,-13.13595,51,0.900497,9.970676,20.6835,0.00726,0.088721,0.091817,0.837441,0.350105,375.5541,2527,-0.344359,-0.000664,0.16514,0.140054,0.184755,0.015014,5.96459,10.03496,-0.03748,0.158482,0.000101,0.000992,359.9181,0.107095,angry
1.796186,17.13663,3.930778,-9.003514,2.349342,0.223483,4.408087,2809,-2.920975,12.87991,-11.8862,2688,-2.29853,5.24412,10.91497,0.007864,0.041045,0.040768,1.132905,0.376022,468.9362,2924,-1.278977,-0.001956,-0.52912,-0.199606,-0.339896,-0.005421,3.242091,5.868,-0.127139,0.096506,0.000062,0.000929,586.8335,-0.029641,angry
0.183233,-0.153826,1.889268,-13.53559,1.54,6.441652,2.786877,304,1.965286,15.18528,-14.44054,771,1.012584,15.8126,26.72554,0.00726,0.082265,0.075018,-0.045961,0.469791,464.5176,1368,-1.02756,0.002546,-0.052355,0.048462,-0.28374,0.00196,3.621621,6.796084,-0.000867,0.101552,0.000035,0.000513,373.2682,-0.204622,angry
0.555241,-1.446678,3.742446,-18.77749,-0.528132,-1.024747,3.429684,273,0.721811,24.53535,-18.69177,534,-2.880181,16.16771,15.74241,0.009679,0.073952,0.068119,0.711289,0.467368,453.2864,600,-1.572948,-0.000073,-0.305474,-0.006541,-0.130243,0.004786,4.473443,6.598179,0.022987,0.106954,-0.000348,0.0008,538.2399,0.019054,angry
1.040705,-11.36845,4.719038,-10.41066,4.201333,3.41001,3.412905,2030,2.066121,17.67419,-18.97238,292,-3.59601,13.02019,10.92213,0.039927,0.11377,0.111402,0.576832,0.302616,464.2551,1457,0.17525,0.001062,0.073423,0.013863,-0.074182,-0.005577,4.365661,7.815303,0.035743,0.109725,0.000101,0.000472,288.2921,-0.230587,angry
-0.406622,-0.686356,2.95192,-10.8574,3.912744,3.030827,3.001958,1184,-2.502271,14.92097,-15.6712,699,-3.523679,10.65111,11.45948,0.017544,0.134416,0.121684,-0.591645,0.320078,473.0002,67,-0.315332,-0.001002,0.128525,-0.182761,-0.089907,-0.012408,4.029598,7.024909,-0.033626,0.108079,0.000295,0.000812,703.6532,-0.00152,angry
0.259381,0.785085,3.238404,-9.997072,0.787244,0.819796,3.027799,149,-3.038121,12.97417,-13.67673,1081,-1.506034,14.64431,12.52885,0.0732,0.209141,0.183389,-0.109103,0.324692,468.9362,1586,-0.034752,0.000776,0.242306,0.36622,0.154229,0.007981,4.181689,7.462821,0.045795,0.134883,0.000297,0.000733,794.7474,-0.027904,angry
1.736256,-1.901357,3.18807,-7.968151,1.693621,2.082276,2.935306,264,3.192031,11.51544,-12.62057,2833,-0.836571,12.23304,10.46756,0.07804,0.140847,0.137458,0.990304,0.263405,467.308,1702,0.136778,0.000475,-0.179822,0.095619,-0.103946,-0.000124,3.648346,6.973089,0.019874,0.111692,-0.000095,0.000441,133.8538,-0.225023,angry
0.698951,-4.964057,3.44597,-13.56745,-0.42155,1.291972,3.125734,1512,-0.208685,20.64384,-18.43029,1031,-3.604706,8.449595,14.04474,0.062311,0.161587,0.137532,1.274183,0.33954,363.3929,232,-0.376254,0.002137,-0.14815,0.244322,0.135681,-0.00189,5.130544,6.877397,0.07246,0.134392,0.000052,0.000771,274.989,0.018709,angry
0.224353,-2.132021,3.799191,-9.955493,1.986461,1.73206,3.125176,313,1.419722,13.26263,-16.05032,1915,0.68461,8.85186,10.50309,0.049002,0.122424,0.102258,0.956276,0.204556,0,1601,-0.020206,0.000612,-0.078294,0.078971,0.09093,-0.004158,4.118083,6.227742,-0.063736,0.068828,0.000064,0.00012,0,0,angry
