@attribute Std_Acc1000_Std_Mem40_SCF_19 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Flatness numeric
@attribute output {angry,notangry}

@data

0.077218,0.053024,0.129081,0.533886,-0.175722,1.956498,0.354138,0.384769,0.462281,0.465173,2.538323,0.454031,0.848995,1.546403,2.360356,1.770279,3.044626,0.121047,0.109179,0.179688,0.025827,0.031456,0.058539,0.010572,0.178668,0.190698,0.197094,0.366249,0.440587,0.544606,1.228397,0.10537,0.085968,0.125056,0.067078,0.11745,0.259021,0.065907,0.10015,0.678232,0.129219,0.246325,0.572315,0.706206,0.019011,0.031402,0.03931,109.5,0.578176,1.003838,0.001546,angry
0.120345,0.085179,0.188275,0.272373,0.132891,1.892888,0.330913,0.349064,0.427706,0.378385,2.55652,0.507407,0.947928,1.548515,1.777078,1.797783,4.023368,0.130452,0.113835,0.091344,0.03527,0.044484,0.054429,0.009885,0.412245,0.239974,0.182331,0.236992,0.440862,0.561523,0.85743,0.097849,0.110352,0.103746,0.071073,0.122691,0.256947,0.07967,0.23176,1.124767,0.14681,0.429533,0.553453,0.680843,0.028162,0.028501,0.045953,116.25,0.583258,1.005836,0.001539,angry
0.138602,0.093675,0.255485,0.089521,0.339637,1.846257,0.479922,0.491009,0.513474,0.43212,2.574185,0.479905,0.95705,1.224211,1.318845,1.463378,3.370355,0.114628,0.105049,0.074538,0.039355,0.037485,0.045681,0.00957,0.284091,0.21139,0.194271,0.234132,0.452747,0.442929,1.030432,0.094051,0.085063,0.082474,0.078761,0.124489,0.258924,0.070813,0.14161,0.54274,0.122069,0.36614,0.42215,0.438214,0.031951,0.042004,0.04857,98.5,0.590628,1.003247,0.001576,angry
0.051895,0.040387,0.073685,0.547336,-0.184715,2.117026,0.403796,0.385304,0.304967,0.315583,2.592044,0.533728,0.981803,2.020051,2.048556,2.270679,4.146535,0.130269,0.148717,0.187781,0.025704,0.075058,0.077547,0.010599,0.636213,0.342011,0.330009,0.334755,0.481256,0.620289,1.564137,0.105663,0.153559,0.155885,0.078335,0.121534,0.264317,0.112845,0.208126,1.603654,0.184924,0.322484,0.806423,0.971403,0.031324,0.047881,0.049973,114.25,0.568904,1.002792,0.001571,angry
0.136016,0.089517,0.235843,0.098317,-0.057829,1.778811,0.547836,0.507269,0.523246,0.437838,2.58663,0.429587,0.91816,1.396585,1.223701,1.382392,3.64247,0.115008,0.10368,0.080604,0.027495,0.048216,0.046628,0.008526,0.198643,0.24993,0.195174,0.221548,0.392991,0.421402,0.554834,0.089639,0.088334,0.071977,0.073463,0.129169,0.260022,0.056765,0.145301,0.943312,0.121383,0.202627,0.421013,0.353288,0.027214,0.037131,0.047954,111,0.578031,1.003465,0.001599,angry
0.043925,0.029669,0.060346,0.562932,0.102716,1.90435,0.495616,0.494663,0.469004,0.455274,2.590148,0.594462,0.938283,1.466566,1.715241,1.732006,2.720268,0.139932,0.122013,0.136981,0.030248,0.081735,0.066875,0.010988,0.452615,0.263723,0.241342,0.28207,0.490542,0.599178,1.157201,0.130923,0.10638,0.109474,0.077098,0.125488,0.261022,0.110488,0.155695,0.990015,0.191063,0.306643,0.921342,0.714499,0.032943,0.038475,0.055782,97,0.576874,1.004093,0.001493,angry
0.143084,0.093061,0.261566,0.296327,0.026416,1.747399,0.582151,0.543546,0.53573,0.427763,2.552935,0.46523,0.854798,1.048093,1.153379,1.205945,3.215685,0.115526,0.098076,0.063453,0.042313,0.042443,0.048113,0.010162,0.209792,0.121148,0.115412,0.21167,0.352638,0.399908,0.498383,0.086725,0.080346,0.073378,0.077616,0.127342,0.259825,0.060819,0.16823,0.656095,0.102185,0.22101,0.495288,0.881841,0.032403,0.040303,0.051303,121.5,0.582734,1.003634,0.001571,angry
0.072148,0.042391,0.102434,0.523201,0.271542,1.877165,0.422725,0.441099,0.432724,0.42853,2.557503,0.603848,0.963415,1.65262,2.180976,2.025578,4.056535,0.150427,0.121169,0.126545,0.033963,0.060202,0.073233,0.0105,0.283511,0.245062,0.177786,0.255071,0.364328,0.524823,1.096217,0.092068,0.099575,0.091652,0.073915,0.128913,0.25832,0.095471,0.134193,0.76638,0.142767,0.292226,0.481529,0.864743,0.025093,0.030431,0.04501,136.5,0.53079,1.005177,0.001506,angry
0.136365,0.091135,0.252272,0.398212,-0.014786,1.831112,0.587749,0.58079,0.532871,0.381491,2.567046,0.430631,0.855289,0.936316,1.15962,1.133517,3.467962,0.108735,0.125702,0.083492,0.03451,0.035902,0.044435,0.010863,0.176915,0.11603,0.15105,0.229499,0.375682,0.344635,0.567626,0.096707,0.092129,0.078523,0.080574,0.130308,0.259662,0.06457,0.143343,0.660438,0.133623,0.186286,0.394778,0.420982,0.027986,0.041229,0.052083,116.75,0.588159,1.003819,0.001566,angry
0.101886,0.065689,0.160663,-0.074068,0.205559,1.816851,0.532774,0.507044,0.51748,0.3753,2.553689,0.426337,0.821587,1.255679,1.414654,1.55038,3.333821,0.128714,0.109682,0.106696,0.032535,0.050955,0.068081,0.009475,0.262472,0.186761,0.185307,0.230332,0.413636,0.392846,0.710859,0.097674,0.082506,0.079315,0.071695,0.129407,0.263982,0.094303,0.144284,1.486485,0.11316,0.318978,0.814272,0.740027,0.027094,0.033013,0.044642,85,0.560339,1.003412,0.001581,angry
