@attribute Std_Acc1000_Std_Mem40_SCF_20 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_11 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MidBPM numeric
@attribute BeatHisto_MeanACR numeric
@attribute BeatHisto_MaxHPS numeric
@attribute output {angry,notangry}

@data

0.082225,-0.257463,0.793756,0.129294,8.24613,0.675635,0.480681,0.524545,0.433391,0.508952,2.434784,0.703668,0.488286,1.081321,1.245861,1.593482,2.196261,2.820536,0.103097,0.080025,0.042155,0.038906,0.056171,0.059756,0.452661,0.20741,0.193297,0.121515,0.203374,0.250096,0.331995,0.52637,0.087759,0.101182,0.074963,0.041596,0.004557,0.099052,0.49101,0.541855,0.026524,0.037197,0.048144,0.085215,0.219416,104,0.590859,1.002654,angry
0.052499,0.630143,0.186471,-0.224462,8.480143,0.52682,0.303957,0.330813,0.386775,0.389253,2.423277,7.538134,0.516982,1.869207,2.238175,2.910295,3.027708,3.630384,0.167351,0.156599,0.030125,0.060557,0.104168,0.093871,1.232972,0.32925,0.467483,0.295723,0.288645,0.347601,0.508728,0.976857,0.128586,0.109943,0.096426,0.035103,0.004394,0.363867,1.359939,1.486238,0.026129,0.024432,0.035892,0.06896,0.21571,104,0.577794,1.003076,angry
0.093876,0.261383,0.021685,0.494768,8.709705,0.623166,0.407233,0.451562,0.388944,0.525319,2.403032,1.128587,0.565527,1.455731,1.538892,1.519747,2.249441,3.079907,0.109397,0.079694,0.038766,0.046791,0.050892,0.052286,0.379012,0.353717,0.221433,0.152253,0.225632,0.279403,0.329042,0.889356,0.098795,0.091606,0.081376,0.037806,0.005477,0.257648,0.41664,0.428527,0.020786,0.034673,0.049265,0.084787,0.216796,88,0.567162,1.003856,angry
0.08004,0.05258,0.258321,-0.092368,8.223273,0.592324,0.529841,0.529726,0.423342,0.496892,2.393586,1.363174,0.605274,1.239403,1.236038,1.438064,2.156451,2.752287,0.105288,0.074441,0.03009,0.045407,0.055455,0.060171,0.460297,0.158094,0.11664,0.165369,0.22077,0.265153,0.427952,0.531835,0.100187,0.095709,0.080792,0.032896,0.004689,0.143858,0.366804,0.459788,0.024223,0.032107,0.044995,0.081916,0.214601,122,0.58998,1.00399,angry
0.021179,0.730287,0.467957,0.361401,7.27489,0.692623,0.484789,0.46772,0.450976,0.419796,2.363738,1.237568,0.421176,1.245218,1.686457,1.755741,2.964807,2.758366,0.130776,0.184353,0.028784,0.040297,0.044385,0.052509,1.017577,0.279382,0.237459,0.270845,0.212073,0.280412,0.400646,0.984098,0.120532,0.089802,0.094459,0.073015,0.004594,0.309029,0.881964,1.782166,0.02853,0.0265,0.044501,0.078547,0.21414,97.5,0.504183,1.008522,angry
0.051054,0.312693,-0.09166,0.06447,7.983112,0.553236,0.39984,0.461286,0.419518,0.466199,2.404914,8.079674,0.716572,1.616217,2.895054,2.273264,2.718157,3.446589,0.155781,0.124,0.044799,0.069978,0.085571,0.087861,0.74756,0.311431,0.303042,0.341797,0.241943,0.27474,0.399483,2.853433,0.079273,0.090723,0.080136,0.063484,0.006493,0.231691,0.472373,0.610472,0.028804,0.033834,0.044445,0.081562,0.214303,103.5,0.542187,1.009048,angry
0.133443,0.387782,0.204206,-0.112229,9.130479,0.63281,0.450946,0.436449,0.348466,0.510322,2.373601,8.136967,0.484903,1.71841,1.641843,1.757813,2.797665,3.280993,0.106846,0.075297,0.042744,0.061145,0.053884,0.056027,0.333434,0.273534,0.188646,0.249063,0.221698,0.285661,0.47078,0.705746,0.08315,0.082628,0.096022,0.029388,0.00412,0.307498,0.321277,0.514509,0.038726,0.034442,0.046391,0.084552,0.215091,144.75,0.605914,1.003156,angry
0.073725,0.274057,0.181558,0.168409,8.90451,0.657111,0.540881,0.543089,0.394749,0.497707,2.371332,0.780532,0.511079,1.152774,1.083111,1.188166,2.252163,3.059635,0.099856,0.073651,0.028463,0.038348,0.041635,0.051005,0.508982,0.163571,0.177326,0.133787,0.214794,0.286878,0.334776,0.488624,0.085809,0.08667,0.081043,0.022115,0.004401,0.12092,0.451679,0.518083,0.028907,0.034676,0.04569,0.081691,0.212458,90,0.577131,1.003738,angry
0.035419,0.414602,-0.106106,-0.095813,7.846131,0.609087,0.399032,0.42524,0.374232,0.396442,2.437515,1.255667,0.482026,1.745744,1.816549,2.795489,3.02334,2.95885,0.158065,0.139479,0.02156,0.109111,0.103549,0.093207,1.401537,0.41353,0.297382,0.306474,0.26788,0.43752,0.839503,0.766616,0.167273,0.109963,0.090524,0.061253,0.007014,0.104965,0.581953,0.765722,0.02557,0.036659,0.048672,0.077975,0.210187,100,0.602131,1.002907,angry
0.083121,0.184075,0.540588,-0.016522,8.452937,0.653396,0.581502,0.558351,0.411119,0.555858,2.386061,1.176464,0.523683,0.980324,1.203995,1.357556,2.451091,2.744714,0.105191,0.069189,0.028259,0.030264,0.041366,0.046168,1.428996,0.214662,0.204684,0.227335,0.2407,0.320895,0.327572,1.310452,0.093342,0.080437,0.076785,0.039633,0.005509,0.134581,0.658778,0.888062,0.030347,0.041363,0.052726,0.083914,0.21556,117.5,0.573952,1.002791,angry
0.094489,-0.050641,0.30141,0.130597,8.601121,0.643818,0.508148,0.522636,0.451823,0.51525,2.408245,2.104424,0.513782,1.338191,1.308601,1.507591,2.15361,3.130849,0.101567,0.074372,0.028804,0.037547,0.038694,0.050292,0.365202,0.173043,0.176998,0.142499,0.220588,0.283685,0.422436,0.602268,0.089797,0.084046,0.101948,0.025468,0.006255,0.208405,0.460461,0.63686,0.02718,0.03814,0.047934,0.07827,0.214885,122.25,0.571849,1.002822,angry
