@attribute mfcc_sma_de[9]_linregc2 numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_skewness numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_linregc1 numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {angry,notangry}

@data

2.257607,11.4151,-13.49806,1812,-1.097864,0.055689,3.166492,-8.521085,2.8088,2.699464,3.186867,392,14.51486,2.791605,0.000364,3.009419,1846,-5.812109,7.541239,10.65315,0.026618,0.129245,1.679021,0.140883,0.227256,0.002923,2.171341,2865,-0.312547,0.00011,0.228386,0.000558,0.012346,-0.004003,0.000635,7.666461,-0.169793,0.098325,0.000101,0.000217,83.26222,-0.000001,0.001941,angry
2.20439,8.245287,1.206689,855,-5.28817,0.488951,3.438346,-32.99617,-7.713626,-10.17465,3.034939,1224,27.03464,3.046746,-0.001929,3.209324,626,-7.580473,27.08805,38.81566,0.015124,0.061148,1.862353,0.1588,0.521018,0.047593,0.356128,541,0.082917,0.000851,0.392944,-0.00009,0.290836,-0.002188,0.002401,10.43986,-0.161356,0.162678,-0.000394,0.001047,123.6759,-0.000051,0.01932,angry
2.652858,13.58765,-13.38948,557,0.647698,0.454841,2.929962,-8.112607,4.03862,4.187301,3.085671,2768,12.48249,3.621815,-0.000089,3.361184,1285,2.512565,9.890815,9.731101,0.044767,0.138991,2.756986,0.131871,0.266551,0.009995,1.474732,2720,-0.321264,-0.001427,0.312061,-0.000153,-0.114532,-0.000645,0.00005,6.253139,0.113734,0.142153,0.000175,0.000431,125.439,-0.000009,0.013269,angry
0.83808,4.25283,-12.24179,2607,-3.154021,0.117346,2.873754,-11.66954,1.747265,1.566782,2.992511,2026,19.18883,3.00953,0.00013,3.321586,2940,-1.530643,8.949371,13.62694,0.045372,0.120282,2.117973,0.134581,0.220008,0.003282,1.279306,1543,0.037866,0.001355,-0.16032,-0.000714,-0.092278,-0.00065,0.006368,7.831781,-0.031312,0.090844,0.000049,0.000287,0,0,0,angry
1.179705,5.096164,-2.382731,2910,3.866289,0.434248,3.496958,-16.87251,-0.826869,2.123908,2.764318,534,17.38025,3.653033,-0.000342,3.519866,114,-2.881205,18.4778,14.33476,0.00484,0.031485,1.897955,0.192394,0.400875,0.008178,1.448847,1682,0.29458,0.004641,0.537716,-0.003068,0.231281,-0.004232,-0.004344,6.382984,-0.027343,0.098179,-0.000061,0.000457,123.2962,0.000083,-0.070778,angry
1.279426,5.291455,-8.499109,1004,0.657107,-0.159602,3.05503,-29.88642,1.203382,1.51464,3.394525,2038,46.08978,2.99817,0.000195,2.860069,1415,1.684419,15.58671,27.20707,0.004235,0.076766,3.498101,0.137928,0.377887,0.032411,0.49714,2273,-0.080969,-0.001513,-0.073239,-0.00075,-0.052188,-0.002289,-0.00299,10.93065,0.071981,0.155227,0.000321,0.002598,118.0572,-0.000107,0.160038,angry
-0.242315,4.554251,-16.5839,1167,-3.840251,0.320774,3.717754,-13.11311,1.306343,0.943068,2.955628,2392,20.13682,3.026001,-0.000209,3.020904,952,1.474411,14.85525,19.29479,0.030248,0.179779,0.960461,0.142409,0.33592,0.01406,1.340291,2951,0.821802,-0.002938,0.098984,-0.001184,0.211197,-0.001169,0.00273,9.841265,-0.140529,0.132411,0.00023,0.000656,126.9186,-0.000029,0.043329,angry
0.224353,3.316654,-12.75985,2303,-2.132021,-0.479705,3.799191,-9.955493,1.986461,1.73206,3.125176,313,13.26263,3.178789,-0.000568,3.32004,1915,0.68461,8.85186,10.50309,0.049002,0.122424,0.956276,0.132559,0.204556,0.001477,2.153667,1601,-0.020206,0.000612,-0.078294,-0.002516,0.09093,-0.004158,0.007577,6.227742,-0.063736,0.068828,0.000064,0.00012,0,0,0,angry
3.373144,16.70019,-0.421476,1784,-0.247558,-0.385225,3.251044,-33.26126,-7.337563,-7.876033,3.119118,2694,49.48787,2.603385,-0.001641,3.107032,2485,-0.489059,13.39582,32.74609,0.009074,0.048771,3.736457,0.153082,0.432421,0.012957,-0.051554,2638,-0.686822,0.005012,0.260907,0.000253,-0.007976,0.006443,0.004254,8.780931,0.176035,0.098209,0.00028,0.000647,124.0459,-0.000043,0.064849,angry
0.642258,2.606331,-12.88831,218,6.139793,0.110848,3.542632,-16.89564,0.069505,0.284098,3.100348,1066,10.74924,3.301631,-0.000604,3.140259,239,-4.918445,7.368977,11.33904,0.020569,0.120381,0.525578,0.124166,0.181663,0.007595,1.98209,235,-0.147411,-0.000687,-0.172011,0.003419,-0.114958,-0.002426,0.001241,6.760517,0.047595,0.121968,-0.000096,0.00034,113.3217,0.000244,-0.236543,angry
